Date,Open,High,Low,Close,Volume,OpenInt
20150615,21.429,21.429,21.039,21.039,44779,0
20150616,21.02,21.039,20.65,20.883,41697,0
20150617,20.845,21.332,20.455,21.127,26853,0
20150618,21.039,21.127,20.942,21.088,28510,0
20150619,21.127,21.127,20.747,20.845,8537,0
20150622,21,21,20.864,20.874,2743,0
20150623,20.874,20.991,20.601,20.942,26336,0
20150624,20.942,20.942,19.559,20.815,16316,0
20150625,20.806,20.932,20.455,20.932,3285,0
20150626,20.455,20.883,19.978,20.825,22873,0
20150629,20.017,20.455,20.017,20.455,218,0
20150630,20.357,20.357,19.968,20.357,8541,0
20150701,20.455,20.796,20.455,20.796,2053,0
20150702,20.776,20.796,20.776,20.796,25769,0
20150703,20.806,20.981,20.796,20.796,10412,0
20150706,20.922,20.991,20.922,20.991,11373,0
20150707,20.991,21.624,20.991,20.991,16753,0
20150708,21.429,21.429,20.991,21.429,4650,0
20150709,21.429,21.478,21.419,21.419,410,0
20150710,21.429,21.429,21.039,21.419,1019,0
20150713,21.478,21.478,21.234,21.419,613,0
20150714,21.283,21.419,20.942,21.419,2772,0
20150715,21.419,21.419,20.679,21.419,12224,0
20150716,21.419,21.478,21.039,21.429,10388,0
20150717,21.478,21.478,21.409,21.419,2902,0
20150720,21.419,21.429,21.332,21.332,10308,0
20150721,21.332,21.419,21.322,21.419,6043,0
20150722,21.429,21.429,21.234,21.234,318,0
20150723,21.4,21.429,21.4,21.429,2989,0
20150724,20.942,21.702,20.942,21.702,180,0
20150727,21.536,21.536,21.429,21.429,295,0
20150728,21.429,21.429,21.429,21.429,10,0
20150729,21.409,21.409,21.409,21.409,10,0
20150730,21.039,21.409,21.039,21.409,72,0
20150731,21.4,21.4,21.4,21.4,10,0
20150803,21.088,21.088,19.676,20.854,1911,0
20150804,20.747,20.747,20.552,20.747,1869,0
20150805,20.845,21.293,20.845,21.293,1695,0
20150806,21.293,21.293,21.293,21.293,234,0
20150807,21.137,21.283,21.137,21.215,165,0
20150810,21.293,21.293,21.215,21.215,20,0
20150811,21.137,21.293,21.137,21.234,540,0
20150812,21.234,21.234,20.65,21.224,416,0
20150813,21.224,21.224,20.942,20.942,108,0
20150814,20.942,21.234,20.942,21.234,5461,0
20150817,21.293,21.293,21.293,21.293,5,0
20150818,21.263,21.263,19.734,21.195,3683,0
20150819,20.202,21.185,20.202,21.166,554,0
20150820,21.156,21.156,20.991,20.991,538,0
20150821,21.156,21.156,21.156,21.156,103,0
20150824,21.156,21.156,19.968,21.098,6102,0
20150825,20.835,21.039,20.835,21.03,3080,0
20150827,20.747,20.932,20.455,20.932,762,0
20150828,20.747,20.932,19.89,20.932,4294,0
20150831,19.87,21.03,19.87,21.03,3701,0
20150901,21.049,21.049,19.968,21.03,7470,0
20150902,21.02,21.127,20.455,21.127,11065,0
20150903,21.127,21.38,20.552,21.38,196666,0
20150907,21.361,21.361,21.361,21.361,62,0
20150908,20.942,21.205,20.942,21.205,141,0
20150909,21.224,21.224,21.215,21.215,1237,0
20150910,20.845,21.332,20.845,21.332,2204,0
20150911,21.302,21.302,21.283,21.283,934,0
20150914,21.273,21.273,21.234,21.254,296,0
20150915,21.224,21.224,20.017,20.163,1426,0
20150916,20.659,20.659,20.26,20.26,853,0
20150917,20.455,20.455,20.455,20.455,103,0
20150918,20.65,20.65,20.455,20.455,9,0
20150921,20.455,20.65,20.455,20.65,17718,0
20150922,20.65,20.971,20.65,20.932,41850,0
20150923,20.922,20.922,20.922,20.922,51,0
20150924,20.874,20.874,20.874,20.874,10,0
20150928,20.065,20.737,20.065,20.65,2367,0
20150929,20.65,20.65,20.65,20.65,407,0
20150930,19.87,21.195,19.87,21.195,7806,0
20151001,21.195,21.195,21.195,21.195,725,0
20151002,20.942,20.942,20.942,20.942,113,0
20151005,20.942,20.942,20.455,20.942,2923,0
20151006,21.137,21.137,21.127,21.127,802,0
20151007,21.127,21.127,20.455,21.127,35376,0
20151008,21.127,21.127,20.513,20.747,14837,0
20151009,21.127,21.127,20.942,20.942,570,0
20151012,20.942,20.942,20.465,20.942,20631,0
20151013,21.03,21.03,21.03,21.03,210,0
20151014,20.465,21.039,20.465,21.039,349,0
20151015,21.039,21.137,21.039,21.137,9257,0
20151016,21.039,21.166,21.039,21.166,308,0
20151019,21.195,21.195,21.195,21.195,5,0
20151020,21.195,21.195,21.195,21.195,84,0
20151021,21.185,21.185,21.185,21.185,422,0
20151022,21.185,21.185,20.455,21.137,6227,0
20151023,21.137,21.137,21.137,21.137,481,0
20151026,21.146,21.185,21.039,21.185,1963,0
20151027,21.137,21.234,21.039,21.234,6124,0
20151028,21.283,21.283,21.283,21.283,204,0
20151029,21.088,21.4,20.942,21.4,3586,0
20151030,21.234,21.916,21.234,21.916,5824,0
