Date,Open,High,Low,Close,Volume,OpenInt
20130628,7.3879,7.3969,6.9157,7.3969,32099,0
20130701,7.3969,7.3969,7.0315,7.0315,1081,0
20130702,7.1296,7.1296,7.1296,7.1296,112,0
20130703,7.1296,7.1296,6.88,6.88,1307,0
20130704,6.8711,6.8711,6.8711,6.8711,23,0
20130705,6.8622,6.8622,6.8622,6.8622,113,0
20130708,6.9514,7.0226,6.9514,6.9601,1446,0
20130709,6.9514,6.9514,6.8889,6.8889,190,0
20130710,7.0404,7.3078,7.0404,7.1296,2790,0
20130711,7.1384,7.174,7.1384,7.174,113,0
20130712,7.174,7.174,7.174,7.174,147,0
20130715,7.174,7.174,7.1296,7.1296,1435,0
20130716,7.1296,7.3078,7.1296,7.3078,3367,0
20130717,7.3523,7.3523,7.3078,7.3078,1371,0
20130718,7.3523,7.3523,7.2632,7.2632,1376,0
20130719,7.3523,7.3523,7.3523,7.3523,2,0
20130722,7.3523,7.3969,7.3523,7.3969,638,0
20130723,7.3523,7.3523,7.2097,7.3523,13964,0
20130724,7.0939,7.0939,7.0939,7.0939,169,0
20130725,7.1296,7.1296,7.1296,7.1296,2810,0
20130726,7.3523,7.3523,7.174,7.174,494,0
20130729,7.174,7.2187,7.174,7.2187,2,0
20130730,7.2187,7.2187,7.2187,7.2187,1,0
20130731,7.2187,7.2187,7.2187,7.2187,2,0
20130801,7.2187,7.2187,7.2187,7.2187,35,0
20130802,7.2187,7.2187,7.2187,7.2187,2,0
20130805,7.2632,7.2632,7.2632,7.2632,1,0
20130806,7.174,7.174,7.174,7.174,112,0
20130807,7.174,7.174,7.174,7.174,1,0
20130808,7.174,7.174,7.1296,7.1296,1797,0
20130809,7.174,7.174,7.174,7.174,1,0
20130812,7.174,7.174,7.0404,7.0404,7881,0
20130813,7.0404,7.0404,6.9067,6.9067,171,0
20130819,6.9067,6.9067,6.2383,6.4968,59529,0
20130820,6.4166,7.1206,6.4166,6.9601,42836,0
20130821,7.1117,7.1296,7.0583,7.1028,8873,0
20130822,7.192,7.2097,7.1028,7.1296,13107,0
20130823,7.1296,7.1296,6.8622,7.1296,13984,0
20130826,7.0671,7.174,6.9601,6.9601,4688,0
20130827,6.8622,7.0048,6.7909,6.9514,11877,0
20130828,6.9334,7.1028,6.9334,7.1028,1433,0
20130829,7.1028,7.1028,6.9514,7.0136,602,0
20130830,7.2097,7.2097,6.8622,6.8622,2690,0
20130902,6.9067,6.9067,6.9067,6.9067,3,0
20130903,6.9514,6.9514,6.9514,6.9514,4,0
20130904,6.9958,6.9958,6.7018,6.9869,652,0
20130906,6.7375,7.1296,6.7375,7.1296,7900,0
20130909,7.1296,7.1296,6.9514,6.9514,3369,0
20130910,7.085,7.085,7.0583,7.0583,292,0
20130912,6.7998,6.9067,6.7819,6.9067,406,0
20130913,6.9691,6.9691,6.6572,6.8978,2295,0
20130916,6.9067,6.9067,6.8978,6.8978,326,0
20130917,6.6572,6.8889,6.3274,6.7731,12697,0
20130918,6.7731,6.8176,6.7731,6.7819,51,0
20130919,7.0048,7.0136,6.9067,6.9067,1189,0
20130920,6.9067,7.0048,6.7731,7.0048,8348,0
20130923,6.9958,6.9958,6.9958,6.9958,32,0
20130924,6.9514,6.9869,6.7107,6.9869,1417,0
20130925,6.9514,6.9514,6.9157,6.9157,34,0
20130926,6.9514,6.9869,6.9514,6.9869,23,0
20130927,7.0226,7.0226,7.0226,7.0226,2,0
20130930,7.0136,7.1296,6.7107,7.1296,10364,0
20131001,7.1296,7.1296,7.1296,7.1296,168,0
20131003,6.8622,7.1206,6.8622,7.1206,1346,0
20131004,7.1206,7.1206,6.9514,7.1117,2611,0
20131007,7.1117,7.1117,7.1117,7.1117,186,0
20131008,7.1117,7.1117,7.1117,7.1117,19,0
20131009,7.1028,7.1206,7.1028,7.1117,745,0
20131010,7.1117,7.1117,6.9958,6.9958,1411,0
20131011,7.0404,7.0404,6.9958,7.0315,226,0
20131014,7.1206,7.1206,7.1206,7.1206,15,0
20131015,7.1206,7.1206,7.0048,7.1206,87,0
20131016,7.1206,7.1206,7.1117,7.1117,116,0
20131017,7.1117,7.3435,7.085,7.3435,83253,0
20131018,7.3969,8.1099,7.3523,8.0118,17842,0
20131021,8.0118,8.0118,7.7354,7.7979,4242,0
20131022,7.7979,7.7979,7.5751,7.789,2125,0
20131023,7.9138,7.9138,7.7354,7.7354,395,0
20131024,7.7444,7.7444,7.6642,7.6642,114,0
20131025,7.6642,7.6642,7.3702,7.486,12865,0
20131028,7.3345,7.5751,7.3345,7.486,11445,0
20131029,7.6108,7.6108,7.6108,7.6108,31,0
20131030,7.6108,7.6108,7.3078,7.3078,1443,0
20131031,7.3256,7.3256,7.3078,7.3078,236,0
20131104,7.3078,7.3078,7.3078,7.3078,13,0
20131105,7.2187,7.2989,7.2187,7.2989,364,0
20131106,7.2989,7.2989,7.1296,7.1296,434,0
20131107,7.1206,7.1206,6.7819,6.7819,2943,0
20131108,6.7819,6.7819,6.7819,6.7819,1,0
20131112,7.0226,7.0315,6.7819,6.7819,434,0
20131113,6.7819,6.7819,6.7819,6.7819,6,0
20131114,6.7819,6.7819,6.7819,6.7819,4,0
20131115,6.7819,6.9958,6.7819,6.9958,748,0
20131118,7.0048,7.0048,6.9958,6.9958,3424,0
20131119,6.9958,6.9958,6.8176,6.8176,926,0
20131120,6.8176,6.9514,6.7909,6.9514,2245,0
20131121,6.9514,6.9514,6.9514,6.9514,123,0
20131122,6.9958,6.9958,6.9958,6.9958,243,0
20131126,6.9958,6.9958,6.9958,6.9958,11,0
20131127,6.9958,6.9958,6.9958,6.9958,2,0
20131128,6.9958,7.085,6.7731,7.085,3852,0
20131129,6.3542,6.3542,6.3542,6.3542,3018,0
20131202,6.5859,7.1296,6.5859,6.9067,5598,0
20131203,6.9067,6.9067,6.5056,6.5056,1268,0
20131204,6.6839,6.6839,6.6839,6.6839,23,0
20131205,6.6839,6.9958,6.363,6.9958,4077,0
20131209,6.9958,7.2187,6.9958,6.9958,4406,0
20131210,7.0048,7.2187,7.0048,7.2187,66,0
20131211,7.0404,7.0404,6.9958,6.9958,1122,0
20131212,6.9958,6.9958,6.9958,6.9958,3403,0
20131213,6.9958,6.9958,6.9958,6.9958,40,0
20131216,6.9958,6.9958,6.9958,6.9958,25,0
20131217,7.2187,7.2187,6.9958,6.9958,808,0
20131218,6.9958,6.9958,6.9958,6.9958,69,0
20131219,7.1296,7.1296,7.1296,7.1296,34,0
20131220,7.1296,7.1296,7.1296,7.1296,4,0
20131223,7.2187,7.2187,7.2187,7.2187,1,0
20131227,7.2187,7.2187,7.2187,7.2187,2,0
20131230,6.9067,7.5662,6.9067,7.2454,3161,0
20140102,7.3702,7.3702,7.3702,7.3702,112,0
20140107,7.5662,7.5662,7.2722,7.2722,1040,0
20140108,7.1384,7.1384,7.1384,7.1384,673,0
20140109,7.2722,7.2722,7.2722,7.2722,267,0
20140113,7.5662,7.5662,7.5662,7.5662,112,0
20140114,7.5572,7.5572,7.5572,7.5572,192,0
20140115,7.2187,7.2187,7.2187,7.2187,1000,0
20140117,7.2187,7.2187,7.2187,7.2187,143,0
20140120,7.2275,7.2275,7.2275,7.2275,11,0
20140121,7.2275,7.2275,7.2275,7.2275,13,0
20140122,7.2275,7.2275,7.2187,7.2187,29,0
20140123,7.2187,7.2187,7.2187,7.2187,12,0
20140124,7.2187,7.2187,7.2187,7.2187,5,0
20140127,7.2275,7.2275,7.0315,7.0315,56,0
20140129,7.0315,7.0315,7.0315,7.0315,13,0
20140130,7.0315,7.0315,6.9601,6.9601,564,0
20140203,6.9781,6.9781,6.9781,6.9781,11,0
20140204,6.9514,6.9514,6.9514,6.9514,11,0
20140205,6.9514,6.9514,6.6928,6.9514,76,0
20140206,6.9514,6.9514,6.9514,6.9514,2,0
20140207,6.9514,6.9514,6.9514,6.9514,2,0
20140210,6.9514,6.9514,6.9514,6.9514,2,0
20140211,6.9514,6.9514,6.7731,6.7731,224420,0
20140212,6.7731,7.0226,6.7731,7.0226,236,0
20140217,7.1117,7.3969,6.7731,7.2187,217482,0
20140218,7.2275,7.2632,7.0404,7.2632,229558,0
20140219,7.2632,7.2632,7.2632,7.2632,282,0
20140220,7.4058,7.4147,7.1384,7.1384,118547,0
20140221,7.281,7.5216,7.281,7.5216,2054,0
20140224,7.5751,7.5751,7.486,7.486,113331,0
20140225,7.486,7.486,7.486,7.486,1,0
20140226,7.486,7.486,7.486,7.486,1,0
20140227,7.3256,7.3256,7.3256,7.3256,1039,0
20140228,7.2632,7.3078,7.2632,7.3078,113,0
20140303,7.174,7.174,7.174,7.174,1,0
20140304,7.0404,7.0404,6.9781,7.0404,58,0
20140305,6.9514,6.9514,6.9514,6.9514,1303,0
20140306,6.8622,6.8622,6.8622,6.8622,112,0
20140307,6.8176,6.8176,6.7731,6.7731,1516,0
20140310,6.7285,6.7285,6.7285,6.7285,147,0
20140311,6.6839,6.6839,6.6839,6.6839,17,0
20140312,6.7285,6.7285,6.6839,6.6839,54,0
20140313,6.6839,6.6839,6.6839,6.6839,1,0
20140318,6.4344,6.4344,6.4255,6.4255,769,0
20140319,6.4255,6.4344,6.4255,6.4344,41,0
20140320,6.372,6.372,6.372,6.372,236,0
20140321,6.372,6.372,6.372,6.372,263,0
20140324,6.372,6.372,6.372,6.372,1220,0
20140325,6.6305,6.6305,6.4166,6.4166,75,0
20140326,6.6305,6.9691,6.6216,6.6839,1477,0
20140327,6.6839,6.7731,6.6839,6.7552,266,0
20140328,6.7642,6.7642,6.6483,6.7642,190,0
20140331,6.7731,6.7731,6.7731,6.7731,2,0
20140401,6.7731,6.7731,6.7731,6.7731,4,0
20140402,6.7731,6.7731,6.7731,6.7731,17,0
20140403,6.7731,6.7731,6.7731,6.7731,4,0
20140404,6.7731,6.7731,6.7731,6.7731,7,0
20140407,6.7731,6.7731,6.7731,6.7731,173,0
20140408,6.7731,6.7731,6.7731,6.7731,13,0
20140409,6.6839,6.6839,6.4968,6.6839,23608,0
20140414,6.4612,6.4612,6.4612,6.4612,38,0
20140415,6.4077,6.4077,6.4077,6.4077,281,0
20140417,6.3453,6.3453,6.3453,6.3453,315,0
20140422,6.3898,6.3898,6.0957,6.2383,2549,0
20140423,6.265,6.5146,6.265,6.5146,234,0
20140424,6.5146,6.5146,6.2829,6.4968,957,0
20140425,6.4789,6.4789,6.4166,6.4166,12,0
20140428,6.4968,6.4968,6.4968,6.4968,134,0
20140429,6.5056,6.5056,6.4879,6.4879,4,0
20140430,6.4968,6.4968,6.4968,6.4968,2,0
20140502,6.5056,6.5056,6.5056,6.5056,7,0
20140506,6.5056,6.5056,6.47,6.47,12,0
20140507,6.4968,6.4968,6.4968,6.4968,11,0
20140508,6.4879,6.4879,6.4879,6.4879,6,0
20140509,6.4879,6.4879,6.4879,6.4879,19,0
20140512,6.5056,6.5056,6.4879,6.4879,200,0
20140513,6.6169,6.6169,6.6169,6.6169,191,0
20140514,6.6261,6.7274,6.6261,6.7274,2,0
20140515,6.7183,6.7183,6.7183,6.7183,2,0
20140516,6.7183,6.7183,6.7183,6.7183,2,0
20140519,6.7183,6.7183,6.7183,6.7183,1,0
20140520,6.7183,6.7183,6.7183,6.7183,6,0
20140521,6.7274,6.7274,6.451,6.451,2608,0
20140528,6.451,6.451,6.1469,6.4326,6118,0
20140602,6.451,6.451,6.4326,6.451,1454,0
20140606,6.4602,6.4602,6.4602,6.4602,2,0
20140609,6.4602,6.4602,6.4602,6.4602,54,0
20140610,6.4602,6.4602,6.4602,6.4602,4,0
20140611,6.4602,6.4602,6.451,6.4602,1055,0
20140612,6.6354,6.6354,6.6354,6.6354,109,0
20140613,6.451,6.451,6.451,6.451,33,0
20140616,6.451,6.451,6.451,6.451,362,0
20140617,6.6354,6.6354,6.451,6.451,114,0
20140618,6.4417,6.4417,6.4417,6.4417,60,0
20140620,6.451,6.451,6.4417,6.4417,126,0
20140623,6.451,6.451,6.4233,6.4233,248,0
20140624,6.451,6.451,6.3404,6.3404,1432,0
20140625,6.3312,6.3312,6.0455,6.0455,719,0
20140626,6.1745,6.1745,6.1745,6.1745,17,0
20140627,6.1745,6.1745,5.8888,6.1745,1451,0
20140630,6.1838,6.451,6.1838,6.451,2344,0
20140701,6.1745,6.1745,6.1745,6.1745,1302,0
20140702,6.2667,6.2667,5.852,5.981,37181,0
20140707,5.8059,5.8059,5.8059,5.8059,76,0
20140708,5.8151,6.0823,5.8151,6.0823,680,0
20140710,6.1008,6.5801,6.1008,6.2667,2491,0
20140711,6.2759,6.3035,6.2759,6.3035,801,0
20140714,6.5708,6.5708,6.1469,6.2667,2387,0
20140715,6.0823,6.3864,6.0823,6.2667,2930,0
20140716,5.9718,6.2667,5.9073,6.2667,3438,0
20140717,6.1745,6.4786,6.1745,6.4786,1953,0
20140718,6.451,6.451,6.451,6.451,1085,0
20140721,6.4786,6.4786,6.4786,6.4786,120,0
20140723,6.1838,6.1838,6.1838,6.1838,1215,0
20140724,6.1653,6.3035,5.8797,6.1745,22524,0
20140725,6.1745,6.1745,5.9441,6.1745,3435,0
20140728,6.2206,6.2206,5.935,6.2206,3941,0
20140801,5.8335,5.8335,5.8335,5.8335,1,0
20140804,5.8335,5.8335,5.7691,5.7691,3868,0
20140805,5.7691,5.7782,5.5294,5.7691,7499,0
20140807,5.7782,5.7782,5.4372,5.7782,2766,0
20140808,5.7414,5.7414,5.7414,5.7414,11,0
20140811,5.7414,5.7414,5.7414,5.7414,3,0
20140813,5.7414,5.7414,5.7414,5.7414,217,0
20140814,5.7414,5.7414,5.4834,5.4834,1271,0
20140818,5.5571,6.0916,5.5571,6.0916,19588,0
20140819,6.0916,7.4186,6.0916,7.4186,316359,0
20140820,7.603,7.8241,7.2343,7.3726,119055,0
20140821,7.3726,7.3726,7.1421,7.3726,2133,0
20140822,7.3726,7.3726,7.3633,7.3726,20547,0
20140825,7.3726,7.3726,7.1421,7.3726,51366,0
20140826,7.3726,7.3726,7.1698,7.3633,23874,0
20140827,7.3633,7.3633,7.1421,7.3633,1098,0
20140828,7.3633,7.3633,7.1145,7.3357,8468,0
20140829,7.3265,7.3726,7.0132,7.3726,2182,0
20140901,7.3726,7.3726,6.9579,7.3542,12224,0
20140902,7.3633,7.3633,7.1883,7.3542,545,0
20140903,7.3542,7.3726,7.1883,7.3726,416111,0
20140904,7.4186,7.4186,7.1974,7.1974,24,0
20140905,7.1974,7.4186,7.1974,7.4186,274,0
20140908,7.4186,7.4186,7.4186,7.4186,1,0
20140909,7.1974,7.3726,7.1974,7.3726,114584,0
20140910,7.3726,7.3726,7.3633,7.3633,53,0
20140911,7.3726,7.3726,7.3633,7.3726,217971,0
20140912,7.3726,7.3726,7.3726,7.3726,2,0
20140915,7.3726,7.7412,7.3726,7.6122,269403,0
20140916,7.6306,7.6306,7.3726,7.5569,28806,0
20140917,7.6214,7.6214,7.5569,7.5569,50,0
20140918,7.5569,7.6214,7.3726,7.6214,134140,0
20140919,7.5753,7.8794,7.3173,7.3726,300974,0
20140922,7.3726,7.732,7.3357,7.7228,3247,0
20140923,7.7228,7.7228,7.4279,7.5108,25605,0
20140924,7.7412,7.7412,7.3542,7.3542,2095,0
20140925,7.3449,7.3449,7.0592,7.3357,3929,0
20140926,7.3542,7.3633,7.3542,7.3633,149,0
20140929,7.133,7.3633,7.0961,7.3633,853,0
20140930,7.3633,7.6399,7.3633,7.6399,1162,0
20141001,7.6306,7.6306,7.2804,7.603,356,0
20141002,7.6122,7.6122,7.2804,7.2804,1126,0
20141003,7.2712,7.603,6.9395,7.52,18077,0
20141006,7.52,7.8702,7.1514,7.603,4560,0
20141007,7.603,7.603,7.603,7.603,12,0
20141008,7.603,7.603,7.603,7.603,97,0
20141009,7.603,7.603,7.2804,7.2804,2772,0
20141010,7.308,7.474,7.308,7.474,3,0
20141013,7.474,7.474,7.3726,7.3726,221,0
20141014,7.474,7.474,6.7274,7.262,3763,0
20141015,7.179,7.179,7.179,7.179,125,0
20141016,7.1606,7.1606,7.1606,7.1606,97,0
20141017,7.1606,7.1606,7.1606,7.1606,63,0
20141020,7.1606,7.1606,7.1606,7.1606,1049,0
20141021,7.1606,7.1883,6.8657,7.0961,11962,0
20141022,7.1145,7.1145,7.0961,7.0961,6,0
20141023,7.2527,7.5477,7.0961,7.3542,3270,0
20141024,7.3449,7.3449,7.0039,7.0961,5880,0
20141027,7.0961,7.0961,6.9302,7.0961,3431,0
20141028,7.0961,7.0961,7.0868,7.0868,8,0
20141029,7.0868,7.0868,7.0868,7.0868,6,0
20141030,7.0868,7.0868,6.9302,7.0316,511,0
20141031,7.0408,7.0501,6.7274,7.0501,771,0
20141103,7.0961,7.133,6.7459,7.0685,2064,0
20141104,7.0961,7.2527,7.0961,7.2527,18047,0
20141105,7.262,7.262,7.0961,7.1421,55123,0
20141106,7.1883,7.5477,7.133,7.52,93019,0
20141107,7.5477,7.7412,7.4647,7.732,164166,0
20141110,7.474,7.6859,7.474,7.6306,2263,0
20141112,7.732,7.732,7.262,7.3726,2105,0
20141113,7.4186,7.4186,7.3726,7.3726,200752,0
20141114,7.4555,7.603,7.4371,7.4371,8753,0
20141117,7.4463,7.5937,7.3449,7.5569,7819,0
20141118,7.5937,7.5937,7.5477,7.5477,2651,0
20141119,7.5569,7.5569,7.5569,7.5569,8,0
20141120,7.5569,7.5569,7.3357,7.5569,2497,0
20141121,7.5569,7.6952,7.3449,7.649,1194,0
20141124,7.3449,7.7043,7.3449,7.649,2193,0
20141125,7.6859,7.7043,7.3449,7.7043,1415,0
20141126,7.7136,7.8057,7.6952,7.6952,4804,0
20141127,7.7136,7.8241,7.7136,7.8241,8126,0
20141128,7.8241,7.8241,7.5569,7.7136,10664,0
20141201,7.8241,7.8241,7.7136,7.7136,1092,0
20141202,7.8241,7.8241,7.5016,7.8149,116,0
20141203,7.8149,7.8149,7.5016,7.5016,1793,0
20141204,7.5108,7.7412,7.5108,7.7412,218,0
20141205,7.8149,7.8149,7.649,7.649,45988,0
20141208,7.7412,7.7412,7.649,7.7228,1240,0
20141209,7.6952,7.6952,7.5016,7.6767,2665,0
20141210,7.6859,7.6859,7.4647,7.649,8064,0
20141211,7.6859,7.6859,7.6214,7.6214,986,0
20141212,7.6767,7.6767,7.1974,7.5569,2639,0
20141215,7.5569,7.6859,7.4647,7.5569,2624,0
20141216,7.5569,7.5569,7.4647,7.4924,2092,0
20141218,7.4924,7.5016,7.4924,7.5016,2,0
20141219,7.4647,7.5016,7.1514,7.1514,66,0
20141222,7.1883,7.1883,7.1883,7.1883,542,0
20141223,7.4647,7.4647,7.4463,7.4463,23,0
20141229,7.4463,7.4463,7.4463,7.4463,217,0
20141230,7.4647,7.4647,7.4186,7.4647,119389,0
20150102,7.4831,7.4831,6.7551,6.7551,1953,0
20150105,6.7551,6.7551,6.6354,6.6354,2961,0
20150107,6.5524,6.5524,6.2022,6.5063,1110,0
20150108,6.3957,6.3957,6.3681,6.3681,431,0
20150109,6.3681,6.4049,6.1008,6.4049,482,0
20150112,6.3312,6.3312,6.3312,6.3312,15,0
20150113,6.3312,6.3773,6.3312,6.3773,211,0
20150114,6.3773,6.5524,6.3773,6.5524,537,0
20150115,6.5524,6.5524,6.5524,6.5524,807,0
20150116,6.5524,6.5524,6.3957,6.5432,268354,0
20150119,6.5616,6.5616,6.5339,6.5339,890,0
20150120,6.6722,6.6722,6.6722,6.6722,11,0
20150121,6.6722,6.6722,6.663,6.663,88,0
20150122,6.663,6.6722,6.5432,6.6722,271284,0
20150123,6.663,6.663,6.6169,6.6169,24,0
20150128,6.6722,6.6722,6.6354,6.6354,82,0
20150129,6.6354,6.6722,6.6354,6.6722,6,0
20150202,6.663,6.6722,6.663,6.6722,2,0
20150203,6.663,6.6722,6.451,6.451,3204,0
20150204,6.451,6.5801,6.451,6.5801,552,0
20150205,6.5801,6.5801,6.5801,6.5801,2,0
20150206,6.5801,6.5801,6.5801,6.5801,1,0
20150209,6.5801,6.5801,6.3588,6.5708,206,0
20150210,6.5432,6.5432,6.5339,6.5339,14,0
20150211,6.5339,6.5339,6.3588,6.3588,2259,0
20150212,6.3588,6.3588,6.1838,6.1838,231,0
20150216,6.1929,6.1929,6.1929,6.1929,111,0
20150217,6.1929,6.1929,6.1929,6.1929,33,0
20150218,6.1929,6.1929,6.1929,6.1929,16,0
20150219,6.1929,6.3773,6.1929,6.3773,535,0
20150220,6.3773,6.3773,6.1929,6.3773,18,0
20150223,6.3773,6.3773,6.0823,6.0823,69,0
20150227,6.0823,6.0823,5.9903,5.9903,704,0
20150302,5.8981,5.8981,5.8981,5.8981,2,0
20150303,5.8981,5.8981,5.8981,5.8981,55,0
20150304,5.7598,5.7598,5.6124,5.7045,596,0
20150305,5.7045,5.7045,5.5755,5.5755,1542,0
20150306,5.5755,5.7045,5.5755,5.7045,836,0
20150309,5.7045,5.7045,5.7045,5.7045,219,0
20150310,5.7045,5.7045,5.4465,5.4557,219,0
20150311,5.4557,5.4649,5.4557,5.4649,41,0
20150312,5.4649,5.4649,5.4649,5.4649,2,0
20150313,5.4649,5.4649,5.4649,5.4649,2,0
20150316,5.4925,5.5018,5.4925,5.5018,177,0
20150317,5.4925,5.5294,5.4649,5.5294,127,0
20150318,5.5202,5.5202,5.5202,5.5202,67,0
20150319,5.5202,5.7045,5.5202,5.7045,1017,0
20150320,5.7045,5.7045,5.5294,5.5294,54,0
20150323,5.5294,5.5294,5.5294,5.5294,33,0
20150324,5.5294,5.5294,5.5294,5.5294,6,0
20150325,5.5755,5.6124,5.5755,5.6124,2,0
20150326,5.7045,5.7045,5.64,5.64,108532,0
20150330,5.6216,5.6308,5.6216,5.6308,19,0
20150331,5.6308,5.64,5.6308,5.64,3,0
20150401,5.64,5.7138,5.64,5.7138,179045,0
20150402,5.7598,5.8151,5.7138,5.7138,89937,0
20150407,5.7138,5.8981,5.7138,5.8981,243671,0
20150408,5.8981,6.1285,5.8981,6.1285,1457,0
20150409,6.1192,6.1929,5.9441,6.1929,3035,0
20150410,6.1838,6.1929,6.1838,6.1929,3,0
20150413,6.1929,6.1929,5.9165,6.1745,1087,0
20150414,6.1929,6.1929,6.1929,6.1929,2,0
20150415,6.1929,6.1929,5.9994,6.0087,219,0
20150416,6.0087,6.0179,6.0087,6.0179,5,0
20150420,6.0959,6.2422,6.0959,6.2422,600,0
20150421,6.1934,6.1934,6.1934,6.1934,6,0
20150422,6.1349,6.2422,6.0471,6.0471,4747,0
20150424,6.0569,6.0959,6.0569,6.0959,4,0
20150427,6.0959,6.1252,6.0959,6.1252,2,0
20150428,6.1252,6.1252,6.1252,6.1252,1,0
20150429,6.1447,6.1447,6.1447,6.1447,1,0
20150430,6.2227,6.291,6.2227,6.291,1435,0
20150505,6.525,6.525,6.1349,6.2227,2794,0
20150506,6.2422,6.2422,6.2422,6.2422,297,0
20150507,6.2422,6.2422,6.2422,6.2422,127,0
20150511,6.2422,6.2422,6.0959,6.0959,73,0
20150512,6.0959,6.0959,6.0959,6.0959,2,0
20150513,6.0959,6.2422,6.0959,6.2422,1204,0
20150514,6.5348,6.5348,6.5348,6.5348,1456,0
20150515,6.5641,6.5641,6.486,6.486,22,0
20150518,6.486,6.486,6.486,6.486,414,0
20150519,6.4763,6.4763,6.4763,6.4763,1,0
20150520,6.6323,6.8274,6.3397,6.3397,4047,0
20150521,6.8372,6.8372,6.1447,6.1447,528,0
20150522,6.447,6.447,6.3885,6.3885,2,0
20150525,6.3885,6.3885,6.3787,6.3787,2,0
20150526,6.8176,6.8176,6.3787,6.3787,210,0
20150527,6.7299,6.7299,6.7299,6.7299,1,0
20150528,6.7299,6.7299,6.7299,6.7299,1,0
20150529,6.7201,6.7201,6.0471,6.1544,2038,0
20150601,6.7299,6.7299,6.1544,6.7299,84,0
20150602,6.7006,6.7006,5.9984,6.1544,299,0
20150603,6.6226,6.6226,6.2422,6.2422,2,0
20150605,6.2422,6.2422,6.2422,6.2422,1,0
20150608,6.2422,6.2422,6.2422,6.2422,1,0
20150609,6.2422,6.2422,6.2422,6.2422,1,0
20150610,6.3397,6.3397,6.3397,6.3397,1,0
20150611,6.3397,6.3397,6.3397,6.3397,1,0
20150612,6.2422,6.2519,5.9398,5.9691,544,0
20150615,6.2422,6.2422,6.0569,6.0569,313,0
20150616,6.2422,6.2422,6.0569,6.2324,210,0
20150617,6.2324,6.2324,6.2324,6.2324,205,0
20150618,6.2422,6.2422,6.2324,6.2324,209,0
20150619,6.2422,6.2422,6.2324,6.2324,7,0
20150622,6.2422,6.2422,6.2324,6.2324,2,0
20150623,6.2422,6.2422,6.2324,6.2324,2,0
20150624,6.2324,6.2324,6.2324,6.2324,5,0
20150625,6.2422,6.2422,6.2324,6.2324,242,0
20150626,6.2422,6.2422,6.2324,6.2324,2,0
20150629,6.2422,6.2422,6.2324,6.2324,2,0
20150630,6.3397,6.3397,6.2324,6.2324,118,0
20150701,6.33,6.33,6.33,6.33,1,0
20150702,6.33,6.33,5.9398,6.33,2554,0
20150703,6.3397,6.3397,6.0471,6.0471,2440,0
20150706,6.0471,6.0471,5.8521,5.8521,1989,0
20150707,5.8423,5.8423,5.5887,5.5887,1365,0
20150708,5.5985,5.5985,5.5887,5.5887,129,0
20150709,5.5887,5.6082,5.5887,5.6082,113,0
