Date,Open,High,Low,Close,Volume,OpenInt
20100617,1.5871,1.5871,1.5163,1.5163,730391,0
20100618,1.5292,1.5356,1.5163,1.5292,120313,0
20100621,1.5228,1.5228,1.4907,1.5228,159875,0
20100622,1.5228,1.5228,1.5036,1.5228,64779,0
20100623,1.5163,1.5163,1.5036,1.5036,84560,0
20100624,1.465,1.5099,1.465,1.5036,326060,0
20100625,1.4778,1.5421,1.4778,1.5356,544359,0
20100628,1.5228,1.5806,1.5163,1.5742,207943,0
20100629,1.5678,1.5742,1.5356,1.5742,249333,0
20100630,1.5742,1.5742,1.5292,1.5356,32678,0
20100701,1.5549,1.5678,1.5163,1.5421,65424,0
20100702,1.5613,1.5806,1.5421,1.5806,139963,0
20100705,1.5742,1.5742,1.5678,1.5742,3328,0
20100706,1.5678,1.5806,1.5356,1.5678,61903,0
20100707,1.5678,1.5678,1.5421,1.5613,13698,0
20100708,1.5678,1.6384,1.5678,1.6064,283869,0
20100709,1.6384,1.6963,1.6064,1.6384,61091,0
20100712,1.6513,1.6513,1.5613,1.5935,66641,0
20100713,1.6064,1.6064,1.5549,1.5742,163470,0
20100714,1.5742,1.6064,1.5742,1.6064,76748,0
20100715,1.6064,1.6064,1.5871,1.6064,3743,0
20100716,1.6064,1.6064,1.5678,1.6,91918,0
20100719,1.6,1.6,1.5742,1.5806,21272,0
20100720,1.5742,1.6064,1.5613,1.5806,20692,0
20100721,1.5935,1.6,1.5678,1.5935,34033,0
20100722,1.5742,1.5806,1.5678,1.5806,46225,0
20100723,1.5935,1.5935,1.5678,1.5806,52332,0
20100726,1.5871,1.5871,1.5613,1.5742,29522,0
20100727,1.5742,1.5806,1.5678,1.5806,70269,0
20100728,1.5613,1.5678,1.5421,1.5613,27389,0
20100729,1.5613,1.5678,1.5421,1.5678,2256,0
20100730,1.5742,1.5742,1.5228,1.5613,12224,0
20100802,1.5678,1.5806,1.5421,1.5806,57355,0
20100803,1.5806,1.5935,1.5806,1.5935,51422,0
20100804,1.5871,1.5935,1.5806,1.5935,32953,0
20100805,1.5613,1.5871,1.5613,1.5871,1791,0
20100806,1.5871,1.5871,1.5742,1.5806,11130,0
20100809,1.5871,1.5871,1.5613,1.5742,13158,0
20100810,1.5742,1.5742,1.5549,1.5678,2416,0
20100811,1.5742,1.5742,1.5421,1.5485,6568,0
20100812,1.5421,1.5485,1.5099,1.5485,21322,0
20100813,1.5421,1.5421,1.5099,1.5421,25504,0
20100816,1.5421,1.5421,1.5099,1.5163,42334,0
20100817,1.5421,1.5421,1.5163,1.5292,10310,0
20100818,1.5356,1.5485,1.5228,1.5292,11796,0
20100819,1.5356,1.5356,1.5099,1.5228,22883,0
20100820,1.5228,1.5228,1.4843,1.5228,45321,0
20100823,1.4971,1.5228,1.4971,1.5163,11301,0
20100824,1.5228,1.5228,1.4971,1.5163,6379,0
20100825,1.5163,1.5163,1.4971,1.5099,15456,0
20100826,1.5099,1.5099,1.4907,1.4971,18038,0
20100827,1.4907,1.5163,1.4715,1.4715,29212,0
20100830,1.4778,1.5421,1.4778,1.5421,65331,0
20100831,1.5549,1.5549,1.4778,1.4778,502870,0
20100901,1.4971,1.5036,1.4778,1.5036,31564,0
20100902,1.5163,1.6192,1.4971,1.6192,420052,0
20100903,1.6384,1.6384,1.5742,1.6192,203751,0
20100906,1.6064,1.6256,1.5935,1.6,69293,0
20100907,1.6192,1.754,1.6128,1.722,795529,0
20100908,1.7283,1.7412,1.6834,1.7156,837427,0
20100909,1.722,1.8377,1.6963,1.8313,428421,0
20100910,1.8313,1.8956,1.767,1.8313,532818,0
20100913,1.8633,1.8633,1.7926,1.8248,302185,0
20100914,1.812,1.812,1.7861,1.812,1237415,0
20100915,1.812,1.812,1.7799,1.7991,343707,0
20100916,1.7926,1.8183,1.7926,1.8183,107470,0
20100917,1.8313,1.8313,1.7926,1.812,323136,0
20100920,1.8248,1.8248,1.7926,1.8183,505498,0
20100921,1.8248,1.8568,1.8056,1.812,114740,0
20100922,1.7991,1.8248,1.7799,1.8183,236931,0
20100923,1.8313,1.8313,1.7861,1.7991,81916,0
20100924,1.7991,1.7991,1.6706,1.7926,289722,0
20100927,1.7926,1.7926,1.7734,1.7926,29563,0
20100928,1.7926,1.7926,1.7156,1.7799,67973,0
20100929,1.7799,1.7861,1.7477,1.7861,105298,0
20100930,1.7799,1.7799,1.7283,1.7799,139387,0
20101001,1.7799,1.812,1.7348,1.7991,260236,0
20101004,1.8313,1.8313,1.7991,1.812,66124,0
20101005,1.8248,1.8441,1.812,1.8377,99968,0
20101006,1.8377,1.8441,1.8056,1.8248,49735,0
20101007,1.8441,1.8441,1.812,1.8183,18207,0
20101008,1.8248,1.8313,1.8056,1.8313,42957,0
20101011,1.8377,1.8441,1.8313,1.8377,40816,0
20101012,1.8441,1.8441,1.8248,1.8313,8789,0
20101013,1.8313,1.8441,1.8056,1.8056,53708,0
20101014,1.8313,1.8313,1.8056,1.8248,11841,0
20101015,1.8248,1.8248,1.8056,1.8183,20171,0
20101018,1.7991,1.8183,1.7991,1.8056,31751,0
20101019,1.812,1.812,1.7926,1.7991,72100,0
20101020,1.767,1.7926,1.7477,1.7926,31812,0
20101021,1.767,1.7991,1.767,1.7926,67941,0
20101022,1.8056,1.8056,1.7861,1.8056,23531,0
20101025,1.767,1.8248,1.767,1.8248,43940,0
20101026,1.8248,1.8248,1.812,1.8183,18968,0
20101027,1.8248,2.0047,1.8183,2.0047,699867,0
20101028,2.0239,2.0497,1.9469,1.9469,342918,0
20101029,1.9405,2.0433,1.9277,2.0175,287664,0
20101102,2.0239,2.1075,2.0239,2.1075,346613,0
20101103,2.1654,2.1654,2.1268,2.1396,194099,0
20101104,2.1332,2.1332,2.0433,2.0882,150324,0
20101105,2.0882,2.0882,1.9533,2.0239,186527,0
20101108,2.1204,2.1204,2.0368,2.0433,191346,0
20101109,2.101,2.101,2.0433,2.0626,60968,0
20101110,2.0626,2.0946,2.0433,2.0753,55495,0
20101112,2.0753,2.0753,1.9983,2.0689,54956,0
20101115,2.0689,2.0689,2.0305,2.0368,31677,0
20101116,2.0817,2.0882,2.0433,2.0817,144313,0
20101117,2.0817,2.1461,2.0817,2.1204,181871,0
20101118,2.1461,2.1461,2.1268,2.1461,92740,0
20101119,2.1461,2.1461,2.1204,2.1332,60462,0
20101122,2.1461,2.1461,1.9469,1.9918,144292,0
20101123,2.0561,2.1075,2.0239,2.0433,86988,0
20101124,2.0561,2.101,2.0561,2.101,69128,0
20101125,2.101,2.1075,2.0689,2.101,29125,0
20101126,2.0882,2.0882,2.0561,2.0882,21313,0
20101129,2.0689,2.0882,2.0561,2.0753,31302,0
20101130,2.0561,2.101,2.0497,2.0882,85999,0
20101201,2.1396,2.2811,2.1396,2.2489,358003,0
20101202,2.2617,2.4866,2.2617,2.4415,383419,0
20101203,2.4994,2.5059,2.3838,2.4352,227420,0
20101206,2.4802,2.4866,2.4352,2.461,81149,0
20101207,2.461,2.4802,2.4159,2.4738,116781,0
20101208,2.4673,2.4738,2.448,2.4673,58228,0
20101209,2.461,2.4738,2.4415,2.4673,42777,0
20101210,2.448,2.461,2.4415,2.4545,85842,0
20101213,2.4545,2.4545,2.4352,2.4545,47142,0
20101214,2.448,2.4545,2.4415,2.4545,36678,0
20101215,2.448,2.6022,2.4224,2.5895,247245,0
20101216,2.6343,2.6987,2.6343,2.6793,328012,0
20101217,2.7308,2.7565,2.4866,2.5123,443465,0
20101220,2.4994,2.5508,2.2682,2.5059,503624,0
20101221,2.5443,2.6343,2.5123,2.5187,134350,0
20101222,2.5443,2.5443,2.3838,2.5059,211110,0
20101223,2.538,2.538,2.4415,2.4545,48725,0
20101227,2.448,2.5059,2.3903,2.5059,176132,0
20101228,2.5187,2.5443,2.4738,2.538,71174,0
20101229,2.5443,2.5765,2.5443,2.5701,52300,0
20101230,2.6087,2.6216,2.583,2.6087,21988,0
20101231,2.6216,2.6216,2.5637,2.5701,76301,0
20110103,2.6216,2.6216,2.538,2.5701,50604,0
20110104,2.6022,2.6022,2.538,2.5701,89170,0
20110105,2.5701,2.583,2.538,2.5701,92088,0
20110107,2.538,2.5895,2.538,2.5443,111293,0
20110110,2.5701,2.5765,2.538,2.5765,122524,0
20110111,2.5637,2.5765,2.538,2.5701,57031,0
20110112,2.5765,2.6022,2.5765,2.6022,112017,0
20110113,2.6537,2.6922,2.6022,2.6279,189392,0
20110114,2.6151,2.6537,2.5701,2.5959,167056,0
20110117,2.5895,2.5895,2.4931,2.5573,96684,0
20110118,2.5701,2.8208,2.5701,2.795,367736,0
20110119,2.8272,2.8336,2.6987,2.7243,219972,0
20110120,2.7116,2.7116,2.5701,2.6343,193765,0
20110121,2.6343,2.6793,2.5252,2.5443,516065,0
20110124,2.5959,2.5959,2.5187,2.5252,127089,0
20110125,2.5315,2.5701,2.4415,2.5573,119877,0
20110126,2.5959,2.66,2.5959,2.5959,434789,0
20110127,2.6343,2.6343,2.5959,2.6022,462459,0
20110128,2.6216,2.6216,2.5701,2.583,860201,0
20110131,2.5637,2.5701,2.448,2.5637,142974,0
20110201,2.5443,2.5701,2.5187,2.5443,108654,0
20110202,2.5637,2.5637,2.5252,2.5508,113751,0
20110203,2.5508,2.5508,2.5252,2.538,47731,0
20110204,2.538,2.5443,2.4545,2.4931,120354,0
20110207,2.4931,2.5059,2.461,2.4866,55990,0
20110208,2.4738,2.4931,2.4545,2.4931,39780,0
20110209,2.4802,2.5315,2.4545,2.5187,61827,0
20110210,2.5252,2.5252,2.4545,2.4545,60668,0
20110211,2.4545,2.5252,2.448,2.5252,54657,0
20110214,2.5252,2.5701,2.5252,2.538,50296,0
20110215,2.5508,2.5508,2.5059,2.5252,16026,0
20110216,2.5123,2.5187,2.4866,2.5059,29839,0
20110217,2.4738,2.5059,2.4738,2.4802,49531,0
20110218,2.4738,2.5059,2.461,2.4738,49689,0
20110221,2.4738,2.5508,2.461,2.5508,59291,0
20110222,2.5508,2.6343,2.5252,2.5508,149937,0
20110223,2.583,2.6665,2.5508,2.6216,280770,0
20110224,2.6537,2.6537,2.5637,2.5637,64582,0
20110225,2.5508,2.6022,2.5443,2.5959,34664,0
20110228,2.5701,2.6022,2.5443,2.5701,29141,0
20110301,2.5701,2.5895,2.5508,2.583,27297,0
20110302,2.5701,2.5701,2.4802,2.5059,110408,0
20110303,2.5315,2.5315,2.4802,2.5059,88359,0
20110304,2.5123,2.5187,2.4866,2.5123,87195,0
20110307,2.5059,2.5059,2.4673,2.4994,47412,0
20110308,2.5059,2.5059,2.4673,2.4866,33740,0
20110309,2.4738,2.4738,2.2552,2.371,305202,0
20110310,2.4095,2.4159,2.2811,2.3067,165918,0
20110311,2.3131,2.3388,2.1974,2.2552,119208,0
20110314,2.2552,2.2552,2.1718,2.1782,120292,0
20110315,2.1782,2.2038,2.0753,2.1974,223766,0
20110316,2.2103,2.3324,2.2103,2.2811,176263,0
20110317,2.3388,2.3388,2.3067,2.3388,71509,0
20110318,2.3452,2.3582,2.3194,2.3388,56810,0
20110321,2.3388,2.3388,2.2874,2.2874,41489,0
20110322,2.3131,2.3131,2.2425,2.2746,28897,0
20110323,2.3003,2.3003,2.2552,2.3003,21972,0
20110324,2.2938,2.3003,2.2617,2.2938,28901,0
20110325,2.2811,2.2938,2.2361,2.2746,27671,0
20110328,2.2552,2.2552,2.1718,2.1846,297149,0
20110329,2.2489,2.2682,2.1589,2.2167,326071,0
20110330,2.2489,2.2874,2.1782,2.1846,224626,0
20110331,2.2167,2.2167,2.1396,2.1396,186428,0
20110401,2.1782,2.1974,2.1525,2.191,43531,0
20110404,2.191,2.2361,2.1654,2.191,98243,0
20110405,2.2361,2.2361,2.1846,2.2167,60657,0
20110406,2.2296,2.2296,2.1846,2.2167,100780,0
20110407,2.2232,2.2232,2.1718,2.1846,120756,0
20110408,2.1846,2.2038,2.1139,2.1396,162298,0
20110411,2.1204,2.1396,2.0882,2.1075,126858,0
20110412,2.1204,2.1204,2.0882,2.1075,81148,0
20110413,2.1075,2.1461,2.0882,2.1396,39542,0
20110414,2.1396,2.1396,2.0753,2.1075,74458,0
20110415,2.1139,2.1139,2.0111,2.0753,109398,0
20110418,2.1268,2.2489,2.1268,2.1782,479079,0
20110419,2.2361,2.2938,2.1846,2.2489,454693,0
20110420,2.2617,2.3324,2.2617,2.3324,340647,0
20110421,2.3516,2.4095,2.3516,2.3773,398621,0
20110426,2.3903,2.3903,2.1846,2.3452,178763,0
20110427,2.3452,2.3773,2.2811,2.3773,156687,0
20110428,2.3838,2.4159,2.3582,2.4095,233892,0
20110429,2.4224,2.4352,2.4159,2.4352,277259,0
20110502,2.4352,2.4352,2.3452,2.3967,60075,0
20110504,2.3838,2.3838,2.3388,2.3773,56388,0
20110505,2.3773,2.3773,2.3452,2.3773,61615,0
20110506,2.371,2.3773,2.3131,2.3773,103395,0
20110509,2.3773,2.3838,2.3516,2.3773,54328,0
20110510,2.3646,2.3838,2.3516,2.3838,60315,0
20110511,2.3773,2.3773,2.3452,2.3582,93955,0
20110512,2.3452,2.3452,2.2425,2.3194,78874,0
20110513,2.2938,2.3194,2.2938,2.3131,67530,0
20110516,2.3324,2.3646,2.3194,2.3324,56698,0
20110517,2.3452,2.3452,2.2361,2.2746,38682,0
20110518,2.2746,2.3003,2.2361,2.2746,17040,0
20110519,2.3003,2.3582,2.2874,2.3388,49778,0
20110520,2.3452,2.3516,2.2361,2.3131,45365,0
20110523,2.3452,2.3452,2.2361,2.2811,7553,0
20110524,2.3067,2.3067,2.2167,2.2232,73009,0
20110525,2.2232,2.2232,2.1589,2.2232,51260,0
20110526,2.2361,2.2489,2.1974,2.2489,14327,0
20110527,2.2167,2.2489,2.2167,2.2296,16312,0
20110530,2.2489,2.2489,2.2361,2.2425,16710,0
20110531,2.2425,2.2617,2.2167,2.2552,17886,0
20110601,2.2682,2.2811,2.2232,2.2489,24304,0
20110602,2.2232,2.2552,2.1974,2.2489,15977,0
20110603,2.2617,2.2617,2.2167,2.2489,14420,0
20110606,2.2489,2.2489,2.1974,2.2103,21380,0
20110607,2.1974,2.2038,2.191,2.1974,15894,0
20110608,2.191,2.1974,2.0689,2.1332,89769,0
