Date,Open,High,Low,Close,Volume,OpenInt
20060921,10.714,11.318,10.677,10.862,909722,0
20060922,10.854,10.854,10.445,10.77,57119,0
20060925,10.668,10.983,10.668,10.983,135284,0
20060926,11.049,11.188,11.049,11.179,113044,0
20060927,11.225,11.225,10.862,11.096,74383,0
20060928,10.862,11.141,10.816,11.141,40353,0
20060929,11.169,11.169,10.956,11.141,38537,0
20061002,11.141,11.141,10.872,11.141,70489,0
20061003,11.058,11.141,11.058,11.133,22838,0
20061004,11.049,11.16,11.049,11.16,71488,0
20061005,11.141,11.216,11.141,11.188,115613,0
20061006,11.225,11.559,11.188,11.559,75634,0
20061009,11.559,11.633,11.512,11.633,21779,0
20061010,11.653,11.653,11.512,11.653,70571,0
20061011,11.699,11.792,11.671,11.699,43011,0
20061012,11.746,12.024,11.746,11.987,17728,0
20061013,12.07,12.117,11.894,11.996,122170,0
20061016,12.052,12.052,11.884,11.977,25152,0
20061017,11.605,11.699,11.448,11.522,28794,0
20061018,11.467,11.884,11.467,11.559,27208,0
20061019,11.512,11.708,11.512,11.559,14432,0
20061020,11.522,11.643,11.374,11.374,17540,0
20061023,11.42,11.512,11.42,11.512,7072,0
20061024,11.605,11.605,11.512,11.605,16658,0
20061025,11.512,11.588,11.383,11.467,11717,0
20061026,11.392,11.512,11.327,11.327,16266,0
20061027,11.327,11.327,11.16,11.281,8639,0
20061030,11.327,11.327,11.049,11.188,13760,0
20061031,11.327,11.475,11.133,11.188,2162,0
20061102,11.467,11.467,11.141,11.188,26172,0
20061103,11.457,11.457,11.151,11.151,13150,0
20061106,11.188,11.327,11.188,11.327,4776,0
20061107,11.708,12.535,11.708,12.535,223864,0
20061108,12.915,13.463,12.859,12.905,122468,0
20061109,13.37,13.37,12.627,12.766,25965,0
20061110,12.813,12.813,12.506,12.58,27002,0
20061113,12.608,12.617,12.209,12.349,10748,0
20061114,12.07,12.58,11.977,12.58,31333,0
20061115,12.627,12.627,12.201,12.201,23669,0
20061116,12.349,12.349,12.08,12.33,2279,0
20061117,12.255,12.255,12.08,12.08,8274,0
20061120,12.33,12.33,12.172,12.301,1296,0
20061121,12.247,12.887,12.247,12.813,49891,0
20061122,12.905,13.045,12.646,12.998,45763,0
20061123,12.998,13.202,12.998,13.185,24968,0
20061124,13.277,13.463,13.277,13.463,47406,0
20061127,13.463,13.648,13.463,13.602,26627,0
20061128,13.825,13.825,13.463,13.556,29949,0
20061129,13.694,14.02,13.694,13.973,23320,0
20061130,13.973,14.252,13.852,13.928,62925,0
20061201,14.159,14.159,13.797,14.159,37733,0
20061204,14.196,14.196,13.881,14.132,11893,0
20061205,14.577,15.32,14.577,15.04,87613,0
20061206,15.311,15.311,14.809,14.855,22614,0
20061207,14.726,15.598,14.726,15.598,70385,0
20061208,15.552,16.991,15.552,16.248,103011,0
20061211,16.341,17.966,16.341,17.911,71163,0
20061212,17.919,17.919,16.898,17.52,96237,0
20061213,17.436,17.436,16.703,16.805,23006,0
20061214,16.805,16.805,15.783,16.341,45521,0
20061215,16.238,16.248,14.855,16.248,49601,0
20061218,15.783,16.294,15.783,16.248,12929,0
20061219,16.666,16.703,15.552,15.783,41319,0
20061220,15.32,16.238,15.32,15.783,70990,0
20061221,15.515,15.783,15.087,15.283,4692,0
20061222,15.32,15.737,15.32,15.691,6659,0
20061227,15.7,16.063,15.691,15.877,6439,0
20061228,16.229,16.229,15.598,15.877,18064,0
20061229,15.783,15.97,15.32,15.877,5240,0
20070102,15.783,15.783,15.737,15.737,2071,0
20070103,15.783,15.783,15.05,15.691,12952,0
20070104,15.598,15.737,15.32,15.737,14097,0
20070105,15.227,15.737,15.134,15.32,44283,0
20070108,15.06,15.404,15.06,15.32,7645,0
20070109,15.32,15.719,15.32,15.719,27369,0
20070110,15.737,16.017,15.691,15.877,18142,0
20070111,15.877,16.526,15.783,16.517,68381,0
20070112,16.74,16.74,16.387,16.433,39802,0
20070115,16.693,16.703,16.433,16.564,17982,0
20070116,16.666,16.693,16.063,16.433,11475,0
20070117,16.155,16.526,16.155,16.526,16409,0
20070118,16.09,17.168,16.09,17.084,21983,0
20070119,17.176,17.176,16.713,16.713,6458,0
20070122,16.722,16.991,16.713,16.713,6434,0
20070123,16.666,17.149,16.201,17.149,23696,0
20070124,17.176,17.641,17.176,17.641,19491,0
20070125,18.244,18.383,17.641,17.641,7720,0
20070126,16.805,17.734,16.805,17.641,10163,0
20070129,17.641,17.641,17.464,17.641,21652,0
20070130,17.456,17.641,17.456,17.641,9219,0
20070131,17.734,17.919,17.641,17.919,8286,0
20070201,18.013,18.987,18.013,18.848,38759,0
20070202,18.94,19.405,18.291,19.033,11541,0
20070205,19.033,19.405,19.033,19.387,577792,0
20070206,19.498,19.498,19.033,19.405,4221,0
20070207,18.588,19.395,18.588,18.94,2869,0
20070208,18.588,18.885,18.291,18.383,18135,0
20070209,18.291,18.383,17.363,18.106,16342,0
20070212,17.641,18.198,17.539,18.106,65252,0
20070213,18.115,19.405,17.872,19.219,6690,0
20070214,19.887,19.887,19.08,19.311,19951,0
20070215,19.126,19.311,18.615,18.625,2874,0
20070216,18.568,18.829,18.383,18.568,6177,0
20070219,18.568,19.452,18.568,19.219,9469,0
20070220,19.395,19.395,19.219,19.228,2363,0
20070221,19.311,19.311,18.819,18.848,1976,0
20070222,18.568,18.94,18.476,18.94,5241,0
20070223,18.568,19.126,18.383,19.126,10962,0
20070226,18.94,19.033,18.94,19.033,1148,0
20070227,19.21,19.21,17.872,17.948,13889,0
20070228,17.456,17.827,16.898,17.641,14036,0
20070301,17.919,17.919,16.713,16.805,10668,0
20070302,17.176,17.176,16.536,17.074,3165,0
20070305,16.62,16.62,15.97,16.323,2900,0
20070306,16.155,17.176,16.155,17.176,14649,0
20070307,17.594,17.817,17.501,17.817,3778,0
20070308,18.013,18.374,18.013,18.356,3386,0
20070309,18.551,18.551,17.919,18.523,11123,0
20070312,18.476,18.987,18.476,18.94,15686,0
20070313,18.987,19.024,18.94,18.94,23352,0
20070314,18.291,18.755,18.003,18.755,4491,0
20070315,18.568,18.568,18.068,18.568,24025,0
20070316,18.568,18.568,18.106,18.568,12521,0
20070319,18.568,18.755,18.152,18.755,4146,0
20070320,18.568,18.755,18.568,18.755,15490,0
20070321,18.755,19.126,18.568,19.126,8630,0
20070322,19.238,19.962,19.238,19.869,41290,0
20070323,19.962,20.501,19.869,20.472,12654,0
20070326,20.519,20.844,20.241,20.472,14330,0
20070327,20.426,20.426,19.916,19.916,7062,0
20070328,19.962,19.962,19.311,19.452,4283,0
20070329,19.452,19.545,19.145,19.173,3989,0
20070330,19.219,20.426,19.182,20.426,7582,0
20070402,20.844,20.891,20.333,20.333,3973,0
20070403,20.426,20.891,20.426,20.798,10855,0
20070404,21.355,21.355,20.891,20.891,18472,0
20070405,20.984,21.355,20.519,21.355,8133,0
20070410,22.181,22.691,21.698,22.691,113201,0
20070411,22.747,22.747,22.097,22.468,7026,0
20070412,22.191,22.283,21.355,22.283,9174,0
20070413,21.875,22.191,21.875,22.051,33510,0
20070416,21.819,22.413,21.819,22.283,3251,0
20070417,22.274,22.274,21.819,22.097,4100,0
20070418,22.097,22.274,21.447,22.005,6881,0
20070419,22.255,22.255,21.549,22.237,231285,0
20070420,22.283,23.861,22.283,22.933,20634,0
20070423,23.351,23.397,22.664,22.839,6051,0
20070424,22.747,22.849,22.191,22.839,1849,0
20070425,22.283,22.747,21.912,22.747,3740,0
20070426,23.073,23.073,22.097,22.283,6764,0
20070427,22.283,22.283,22.274,22.283,4283,0
20070430,22.738,22.738,22.283,22.468,11846,0
20070502,22.839,22.839,22.292,22.468,5620,0
20070504,22.561,22.933,22.561,22.747,3387,0
20070507,23.017,23.026,22.561,23.026,108949,0
20070508,23.295,24.326,23.026,23.026,26465,0
20070509,23.397,23.676,22.468,23.211,225426,0
20070510,23.49,23.676,21.838,22.274,9164,0
20070511,21.355,22.747,19.507,22.747,16407,0
20070514,23.165,23.165,22.376,22.933,6503,0
20070515,22.561,22.654,22.199,22.654,3708,0
20070516,22.598,22.598,21.373,22.283,5622,0
20070517,22.747,22.933,22.191,22.747,6007,0
20070518,22.747,22.747,21.41,22.561,4757,0
20070521,22.468,22.933,22.468,22.589,1807,0
20070522,23.073,23.073,21.643,22.283,4314,0
20070523,22.005,22.005,21.188,21.912,113871,0
20070524,21.912,21.912,21.252,21.912,59023,0
20070525,22.005,22.005,21.271,21.355,25559,0
20070528,20.798,21.819,20.704,21.819,8683,0
20070529,21.995,22.283,21.819,22.283,2400,0
20070530,22.933,22.933,21.819,22.608,3655,0
20070531,22.654,22.97,22.561,22.97,163379,0
20070601,23.053,23.063,22.636,22.97,1992,0
20070604,23.053,23.053,22.246,22.832,2634,0
20070605,22.793,22.832,22.654,22.747,2723,0
20070606,22.654,22.747,22.013,22.552,2938,0
20070608,22.552,22.839,22.06,22.839,4725,0
20070611,23.026,23.026,22.292,22.839,3931,0
20070612,22.747,22.747,22.283,22.376,4546,0
20070613,22.468,22.468,21.689,22.367,2926,0
20070614,22.376,22.654,22.283,22.283,2004,0
20070615,22.654,22.654,22.023,22.097,779,0
20070618,22.097,22.376,21.875,22.33,1685,0
20070619,22.423,22.423,22.143,22.376,1857,0
20070620,22.423,22.654,22.423,22.645,5152,0
20070621,22.839,22.839,22.292,22.292,5691,0
20070622,22.376,23.211,22.376,23.211,117283,0
20070625,23.416,25.059,23.407,24.419,16157,0
20070626,25.069,25.069,24.697,24.79,14102,0
20070627,24.419,24.975,24.14,24.419,8003,0
20070628,24.604,24.604,23.695,24.01,4146,0
20070629,24.232,24.381,24.094,24.094,4625,0
20070702,24.14,24.14,22.311,22.33,4407,0
20070703,22.292,22.97,22.292,22.97,2710,0
20070704,23.676,23.676,23.073,23.119,2274,0
20070705,22.747,23.11,22.44,22.46,2026,0
20070706,22.46,22.747,22.46,22.561,1239,0
20070709,22.561,22.654,22.283,22.571,2130,0
20070710,22.292,22.747,21.41,21.41,3863,0
20070711,21.317,21.317,20.984,21.308,2028,0
20070712,21.355,21.363,20.612,20.704,2739,0
20070713,20.714,20.984,20.658,20.658,1270,0
20070716,20.102,20.426,19.971,20.352,1402,0
20070717,19.545,20.333,19.498,20.333,4155,0
20070718,20.333,20.333,19.498,20.054,3036,0
20070719,20.008,20.984,20.008,20.75,2603,0
20070720,20.984,21.355,20.426,20.75,4089,0
20070723,20.75,20.75,19.962,20.389,3009,0
20070724,20.519,20.519,19.962,20.426,108756,0
20070725,20.426,20.658,18.485,20.658,11060,0
20070726,20.696,20.696,19.488,19.488,3918,0
20070727,18.568,20.426,18.568,20.38,7429,0
20070730,21.252,21.262,20.825,21.262,3849,0
20070731,20.947,22.181,20.947,22.181,6606,0
20070801,22.143,22.237,20.993,22.237,35656,0
20070802,22.274,22.747,21.819,22.747,2225,0
20070803,23.193,23.203,22.283,22.283,3670,0
20070806,22.097,22.097,20.714,20.891,7761,0
20070807,20.426,21.355,19.033,21.355,79502,0
20070808,20.612,20.974,19.971,20.241,9314,0
20070809,19.683,20.426,19.311,20.426,3552,0
20070810,19.683,19.683,19.043,19.043,24389,0
20070813,19.043,19.498,18.568,19.498,7467,0
20070814,18.578,19.498,18.476,19.498,10212,0
20070816,19.015,19.015,17.557,18.568,88381,0
20070817,19.535,20.333,18.198,18.568,6195,0
20070820,19.452,19.953,19.182,19.944,2215,0
20070821,19.498,19.749,19.498,19.498,105680,0
20070822,20.037,20.426,19.776,20.426,2150,0
20070823,23.908,23.908,21.076,21.355,7466,0
20070824,21.355,21.912,20.984,21.726,2416,0
20070827,22.191,22.191,20.891,20.9,3356,0
20070828,21.355,21.355,20.937,21.355,970,0
20070829,20.426,21.355,20.241,20.426,3740,0
20070830,20.454,20.454,19.498,20.416,2031,0
20070831,20.519,21.355,20.501,21.122,3217,0
20070903,21.355,21.355,21.122,21.355,2892,0
20070904,21.355,21.855,21.355,21.855,560,0
20070905,21.466,22.181,21.355,21.634,679,0
20070906,22.005,22.005,21.169,21.624,108,0
20070907,21.624,21.624,19.962,19.962,1580,0
20070910,19.776,19.962,19.126,19.311,4532,0
20070911,19.311,20.416,19.311,20.408,1305,0
20070912,19.962,20.148,19.776,19.776,22461,0
20070913,20.231,20.231,19.581,19.916,2232,0
20070914,20.371,20.371,19.498,19.916,546,0
20070917,19.405,20.333,19.405,20.333,1267,0
20070918,20.426,22.191,20.333,22.191,6491,0
20070919,22.005,22.005,21.142,21.355,2430,0
20070920,21.726,22.729,21.726,22.636,7883,0
20070921,22.515,23.026,22.005,23.026,3951,0
20070924,22.376,23.211,22.376,23.211,2156,0
20070925,22.654,23.211,22.654,22.98,3297,0
20070926,22.98,22.98,22.097,22.097,44147,0
20070927,21.363,21.995,21.355,21.995,1006,0
20070928,21.912,22.283,21.912,22.283,593,0
20071001,21.921,22.311,21.634,22.311,1387,0
20071002,22.645,22.645,20.984,20.984,2134,0
20071003,20.426,20.984,20.426,20.984,1131,0
20071004,21.262,22.181,21.262,22.181,1106,0
