Date,Open,High,Low,Close,Volume,OpenInt
20070724,369,369,338,345,71204,0
20070725,329,337.4,320.1,337.4,5417,0
20070726,331,344.5,325,340,5640,0
20070727,324,335,324,328,334,0
20070730,322.5,329,320,321,1144,0
20070731,311,320,310,320,1291,0
20070801,302,319,301.5,309,167,0
20070802,303.1,310,299,300,2175,0
20070803,299.6,307.5,294,304,762,0
20070806,310,310,300,300,504,0
20070807,305.5,310,305,310,700,0
20070808,311,314,300,310,316,0
20070809,319.4,319.4,308,309.5,87,0
20070810,300,304.4,290,303,2164,0
20070813,300,313,290,313,2397,0
20070814,297.5,304.4,297,304.4,482,0
20070816,290,298,255,260,1296,0
20070817,255,265,247.4,265,321,0
20070820,269,269,257.4,262.6,47,0
20070821,262.6,262.6,250,256.5,1328,0
20070822,260.5,292,260.5,292,3512,0
20070823,294,294,281.3,290,190,0
20070824,293.9,293.9,280,289.9,60,0
20070827,295,299.5,290,296.5,272,0
20070828,303,303,290,290,86,0
20070829,285,295,275,290,118,0
20070830,298.5,299,276,288,169,0
20070831,299.9,299.9,286,297,41,0
20070903,299.9,300,290,300,787,0
20070904,304.5,304.5,300,300,103,0
20070905,300,300,281.1,297,613,0
20070906,301,301,291,300,297,0
20070907,304.7,304.7,290,300,92,0
20070910,294,303,294,300,576,0
20070911,291.1,308.5,291.1,300,69,0
20070912,291,309.5,291,309.5,2347,0
20070913,314.9,314.9,302,313,90,0
20070914,313,313,305,305,118,0
20070917,304.8,304.8,295,303,191,0
20070918,303,303,300,300.5,106,0
20070919,301.1,303,300.2,301,115,0
20070920,295.1,300.7,295.1,300.7,203,0
20070921,295.6,300.7,295.6,300,311,0
20070924,300,300,294.5,297.4,15,0
20070925,295.5,304.5,294.5,304.5,805,0
20070926,304.4,312,304.4,310,5589,0
20070927,312.3,315,307.1,310.2,184,0
20070928,310,310,300.5,309,131,0
20071001,301.1,301.1,297,300,40,0
20071002,300.2,304.9,297,304.9,221,0
20071003,296.1,301.7,296.1,301.7,2353,0
20071004,300,301,300,301,16,0
20071005,310,310,300,308.5,483,0
20071008,300,308.4,300,308.4,49,0
20071009,300.1,308.5,300.1,308.5,91,0
20071010,308.5,308.5,308.5,308.5,3,0
20071011,300.1,308.5,300.1,308.5,108,0
