Date,Open,High,Low,Close,Volume,OpenInt
20071119,6.4207,6.9729,6.4207,6.5776,117773,0
20071120,6.5834,6.6822,6.5079,6.6822,13674,0
20071121,6.7404,6.7404,6.63,6.6822,25361,0
20071122,6.6822,6.6822,6.3917,6.3917,1765,0
20071123,6.4499,6.7404,6.4499,6.7404,4141,0
20071126,6.9729,6.9729,6.7404,6.8566,11495,0
20071128,6.8856,6.9729,6.8856,6.9729,1748,0
20071129,7.031,7.031,7.031,7.031,18,0
20071203,6.5834,6.9729,6.4557,6.9729,343,0
20071205,7.4958,7.4958,7.4958,7.4958,4,0
20071206,7.031,7.031,7.031,7.031,1222,0
20071207,7.089,7.089,6.9148,6.9148,988,0
20071210,6.9729,7.031,6.9729,7.031,1942,0
20071211,6.7811,7.031,6.7811,7.031,980,0
20071212,6.967,7.147,6.9148,7.147,11025,0
20071213,7.1762,7.1762,7.1762,7.1762,2,0
20071214,7.1762,7.1762,7.1762,7.1762,18,0
20071217,7.2633,7.2633,7.089,7.2053,2001,0
20071219,7.2633,7.2633,7.089,7.2633,224,0
20071220,6.9729,7.2633,6.9729,6.9729,517,0
20071221,7.2342,7.2342,6.9729,7.2342,18071,0
20071227,7.0425,7.0425,7.031,7.031,863,0
20071228,6.7404,7.3796,6.7404,7.2633,7744,0
20080102,7.2633,7.2633,7.2633,7.2633,2684,0
20080103,7.2633,7.2633,7.0367,7.0367,879,0
20080104,7.0367,7.0367,7.0367,7.0367,861,0
20080107,6.9729,7.2053,6.9729,7.2053,122,0
20080108,7.2053,7.2923,7.089,7.2691,273759,0
20080109,6.9786,6.9786,6.9729,6.9729,9470,0
20080110,7.1995,7.1995,7.1995,7.1995,45,0
20080114,7.0135,7.2053,6.8566,7.2053,44212,0
20080116,6.8566,6.8566,6.6822,6.6822,75949,0
20080117,6.967,6.967,6.9148,6.9148,52232,0
20080121,7.2053,7.2053,7.2053,7.2053,23,0
20080122,6.9729,6.9729,6.3917,6.8623,94822,0
20080123,6.8856,7.089,6.8856,6.9729,54285,0
20080125,6.9729,7.031,6.9729,7.031,685,0
20080128,6.6822,7.147,6.6822,7.147,1875,0
20080129,7.2053,7.2633,7.2053,7.2633,1378,0
20080201,7.2342,7.2633,7.2342,7.2633,4107,0
20080204,7.147,7.4958,7.147,7.2633,10498,0
20080205,7.4145,7.4958,7.4145,7.4958,2,0
20080206,7.2633,7.2633,7.2633,7.2633,835,0
20080207,7.4958,7.5539,7.2633,7.2633,2770,0
20080208,7.548,7.5539,7.2633,7.5539,2755,0
20080213,7.5539,7.5539,7.5539,7.5539,24,0
20080214,7.5539,7.5539,7.5539,7.5539,387,0
20080215,7.5539,7.5539,7.5539,7.5539,2581,0
20080219,7.5539,7.5539,7.5539,7.5539,67,0
20080220,7.5539,7.6991,7.5539,7.6991,189846,0
20080221,7.6991,7.8444,7.6991,7.8444,4266,0
20080222,7.8444,8.1352,7.8444,7.8444,937,0
20080225,7.583,7.8386,7.5655,7.8386,1480,0
20080226,7.6991,7.7862,7.6991,7.6991,1246,0
20080227,7.8386,7.9897,7.6409,7.6409,13905,0
20080228,7.9605,7.9897,7.583,7.9897,1859,0
20080229,7.9897,8.1057,7.9605,7.9605,2257,0
20080303,8.0187,8.1057,7.8444,7.9605,839,0
20080304,8.0474,8.0474,7.6409,7.6409,1065,0
20080305,7.5539,7.5539,7.5539,7.5539,532,0
20080306,7.4376,8.013,7.4376,7.8153,682,0
20080307,7.4435,7.5539,7.2053,7.2053,1202,0
20080310,7.8444,7.8444,7.8444,7.8444,1,0
20080312,7.4958,7.9025,7.4958,7.9025,2450,0
20080313,7.8444,7.8444,7.7282,7.7282,236,0
20080317,7.5539,7.5539,7.5539,7.5539,414,0
20080320,7.0541,7.0541,7.0425,7.0425,638,0
20080325,7.0425,7.0425,7.0425,7.0425,517,0
20080326,7.0425,7.0425,7.0425,7.0425,85,0
20080327,7.0425,7.304,7.0425,7.2342,2132,0
20080328,7.362,7.362,7.362,7.362,517,0
20080331,7.1588,7.3562,7.1588,7.3562,1913,0
20080401,7.0658,7.3099,7.06,7.3099,517,0
20080402,7.397,7.4029,7.397,7.4029,343,0
20080403,7.0658,7.0658,7.06,7.06,276,0
20080404,7.147,7.2866,7.147,7.2633,687,0
20080408,7.3562,7.3562,7.3562,7.3562,83,0
20080409,7.2053,7.3216,7.2053,7.3216,575,0
20080410,7.2053,7.2923,7.2053,7.2923,861,0
20080411,7.0367,7.2923,7.0367,7.2923,774,0
20080415,7.089,7.3216,7.089,7.3216,1550,0
20080416,7.089,7.3216,7.089,7.3216,1378,0
20080417,7.089,7.3216,7.031,7.147,2084,0
20080418,7.1065,7.2633,7.031,7.2633,86565,0
20080421,7.031,7.2285,7.031,7.2285,915,0
20080422,7.2053,7.2053,7.2053,7.2053,1721,0
20080424,7.1936,7.1936,6.9148,6.9611,1464,0
20080428,6.9611,7.2923,6.8043,7.0774,34850,0
20080429,7.0774,7.0774,7.0774,7.0774,173,0
20080505,7.0483,7.0483,6.9729,7.0483,18671,0
20080506,6.9729,6.9729,6.9729,6.9729,306,0
20080507,7.3216,7.3216,6.9729,6.9729,15,0
20080508,7.031,7.031,7.031,7.031,517,0
20080509,7.031,7.3216,7.031,7.2633,250579,0
20080512,7.2633,7.5539,7.2633,7.5539,6201,0
20080513,7.548,7.612,7.548,7.612,8817,0
20080514,7.6701,7.6701,7.5539,7.5539,320,0
20080515,7.7108,7.7282,7.6235,7.6991,3090,0
20080519,7.6991,7.6991,7.6991,7.6991,781,0
20080520,7.7689,7.7862,7.5248,7.7282,6344,0
20080521,7.5539,7.6933,7.4435,7.5539,53695,0
20080523,7.3273,7.5539,7.3273,7.5539,826,0
20080526,7.4958,7.5248,7.4958,7.5248,1858,0
20080527,7.4376,7.548,7.4376,7.548,396,0
20080528,7.5539,7.5539,7.548,7.548,256,0
20080529,7.4376,7.4376,7.4376,7.4376,1685,0
20080530,7.5364,7.5364,7.5364,7.5364,340,0
20080602,7.3796,7.612,7.3796,7.612,10262,0
20080603,7.583,7.583,7.583,7.583,6883,0
20080604,7.583,7.583,7.583,7.583,132,0
20080606,7.4376,7.4376,7.4376,7.4376,1392,0
20080609,7.2633,7.3796,7.2633,7.3796,4615,0
20080610,7.4203,7.4203,6.9729,7.089,19449,0
20080611,7.147,7.2342,7.147,7.2342,2376,0
20080613,7.089,7.089,7.031,7.031,3375,0
20080616,6.9786,7.0076,6.9786,7.0076,6170,0
20080617,7.06,7.06,7.06,7.06,6,0
20080618,6.9729,6.9729,6.9729,6.9729,1637,0
20080624,6.9729,6.9729,6.6242,6.7869,1936,0
20080625,6.6242,6.6532,6.6242,6.6532,1894,0
20080701,6.4557,6.5661,6.2233,6.5661,1050,0
20080703,6.3917,6.4207,6.1302,6.1302,3444,0
20080704,5.8746,5.8746,5.8688,5.8688,1971,0
20080707,6.0431,6.0431,5.6945,5.6945,937,0
20080708,5.6945,5.6945,5.5201,5.5201,878,0
20080709,5.6363,5.9269,5.6363,5.9269,2581,0
20080710,5.9849,5.9849,5.9849,5.9849,53,0
20080711,5.8397,6.0431,5.8397,6.0431,687,0
20080714,6.0431,6.0431,6.0431,6.0431,1727,0
20080716,6.0431,6.0431,5.8688,5.8688,1764,0
20080717,5.8688,5.8688,5.8688,5.8688,6,0
20080718,5.8688,5.8978,5.8688,5.8978,18,0
20080723,5.9849,5.9849,5.9849,5.9849,257,0
20080728,5.8106,6.0431,5.8106,6.0431,1132,0
20080730,6.0431,6.0431,6.0431,6.0431,18,0
20080801,6.0431,6.0431,6.0431,6.0431,55,0
20080804,6.0431,6.0431,6.0431,6.0431,53,0
20080807,6.0373,6.5661,6.0373,6.5661,3475,0
20080808,6.5951,6.6532,6.5951,6.6532,2063,0
20080811,6.9437,6.9437,6.9437,6.9437,861,0
20080812,7.2633,7.2633,6.6881,7.2633,513,0
20080813,6.9729,7.089,6.9729,7.089,2410,0
20080814,7.147,7.147,7.147,7.147,2,0
20080818,7.2342,7.2342,7.2342,7.2342,36,0
20080819,7.2285,7.2285,7.2285,7.2285,18,0
20080820,7.0019,7.2342,7.0019,7.2053,2083,0
20080821,7.06,7.06,7.0019,7.06,1915,0
20080822,7.2342,7.2342,7.2342,7.2342,18,0
20080825,7.0019,7.2342,6.9729,7.1762,2840,0
20080826,7.1762,7.2342,7.1762,7.2342,28,0
20080827,7.2342,7.2342,7.2342,7.2342,18,0
20080828,7.2342,7.2342,7.2342,7.2342,18,0
20080829,7.2053,7.2342,7.2053,7.2342,343,0
20080901,7.031,7.1995,7.0019,7.1995,4157,0
20080902,7.1995,7.2053,7.1995,7.2053,5214,0
20080903,7.2053,7.2053,7.1995,7.2053,3449,0
20080904,7.2053,7.2053,7.2053,7.2053,18,0
20080905,7.2053,7.2053,7.0019,7.147,2603,0
20080908,7.147,7.147,7.147,7.147,191,0
20080909,6.8856,7.1646,6.3802,6.7985,1900038,0
20080910,7.147,7.147,7.147,7.147,18,0
20080911,6.7404,6.7404,6.7404,6.7404,2360,0
20080912,6.7404,6.7927,6.5661,6.7927,2245,0
20080915,6.1942,6.7694,6.1942,6.7694,2675,0
20080916,6.3917,6.5079,6.3917,6.5079,5592,0
20080917,6.3917,6.3917,6.3917,6.3917,36,0
20080918,6.3917,6.3917,6.1592,6.1592,3760,0
20080919,6.2233,6.3917,6.2233,6.3917,4133,0
20080922,6.386,6.386,6.386,6.386,18,0
20080923,6.3802,6.3917,6.3802,6.3917,609,0
20080925,6.2754,6.2754,6.1013,6.2754,2137,0
20080926,6.2754,6.2754,6.2754,6.2754,164,0
20080930,5.8397,6.0954,5.6945,5.6945,3700,0
20081001,5.7815,5.8688,5.5201,5.8106,2063,0
20081002,5.8978,5.8978,5.8978,5.8978,173,0
20081003,5.9269,5.9269,5.9269,5.9269,18,0
20081007,5.6363,5.6363,5.6073,5.6073,447,0
20081008,6.3046,6.3046,6.3046,6.3046,18,0
20081009,6.1883,6.1883,5.9269,5.9849,1908,0
20081010,5.6945,5.8106,5.6945,5.8106,1894,0
20081013,6.1013,6.1013,5.5318,5.8106,378,0
20081014,6.1013,6.1013,6.1013,6.1013,18,0
20081015,6.1013,6.1013,5.8397,5.8397,1973,0
20081016,5.8688,5.8978,5.5783,5.8978,43,0
20081017,6.1013,6.1013,5.5493,5.5493,9538,0
20081020,6.0431,6.0431,6.0431,6.0431,36,0
20081021,6.0895,6.0895,5.7235,6.0431,1773,0
20081022,5.5783,6.0895,5.5783,5.9733,522,0
20081023,5.5783,5.8688,5.5783,5.8688,1761,0
20081024,5.4911,5.4911,5.2819,5.2819,1722,0
20081027,4.8809,5.375,4.8809,4.8867,282,0
20081028,4.9972,4.9972,4.9972,4.9972,19430,0
20081029,5.2295,5.2295,4.9682,4.9682,38,0
20081030,5.2295,5.3167,5.2295,5.3167,206,0
20081031,5.2295,5.3167,4.8926,5.3167,807,0
20081103,5.5724,5.5724,5.2006,5.5724,1773,0
20081104,5.5201,5.5201,5.1715,5.1715,621,0
20081105,5.2006,5.5201,4.9972,5.1715,2086,0
20081106,4.8867,5.1715,4.8867,5.1715,1119,0
20081107,5.1134,5.1134,5.1134,5.1134,18,0
20081110,5.0553,5.1134,4.8286,5.1134,619,0
20081112,4.8809,5.2295,4.8809,5.2295,378,0
20081114,5.2295,5.2295,5.2295,5.2295,18,0
20081117,4.8867,5.2295,4.8809,5.2295,1913,0
20081118,4.8809,5.0494,4.8809,5.0494,1913,0
20081119,4.6602,5.0494,4.6602,5.0494,193,0
20081120,5.0029,5.0029,5.0029,5.0029,53,0
20081121,5.0029,5.0029,4.6485,4.6485,19,0
20081124,4.6485,5.0029,4.6485,5.0029,401,0
20081125,5.2295,5.34,5.2295,5.34,103,0
20081126,5.1425,5.1425,5.1134,5.1134,5505,0
20081127,5.1657,5.1657,5.1657,5.1657,2063,0
20081128,5.0553,5.0553,4.9392,4.9914,1948,0
20081201,4.7939,4.7939,4.7939,4.7939,1927,0
