Date,Open,High,Low,Close,Volume,OpenInt
20110811,11.314,13.985,11.314,13.916,48647,0
20110812,13.907,13.916,13.39,13.916,9108,0
20110816,13.573,13.916,13.573,13.916,1459,0
20110817,13.53,13.845,13.53,13.845,2371,0
20110818,13.573,13.825,13.53,13.825,2996,0
20110819,13.537,13.775,13.537,13.775,4407,0
20110822,13.635,13.635,13.635,13.635,2289,0
20110823,13.635,13.635,13.6,13.628,3575,0
20110824,13.6,13.712,13.6,13.712,10955,0
20110825,13.635,13.768,13.635,13.712,1222,0
20110826,13.614,13.74,13.614,13.74,1342,0
20110829,13.782,14.335,13.733,14.335,8063,0
20110830,13.916,14.335,13.916,14.335,1986,0
20110831,14.02,14.824,14.02,14.824,3618,0
20110901,13.811,15.173,13.811,15.173,3253,0
20110902,15.173,15.173,15.173,15.173,43,0
20110905,15.103,15.103,15.103,15.103,6,0
20110906,14.124,15.173,13.985,15.173,6052,0
20110909,14.684,15.103,14.272,15.103,870,0
20110912,14.684,15.167,14.166,15.167,1531,0
20110913,14.684,15.069,14.272,15.069,1196,0
20110914,14.272,15.069,14.272,15.069,643,0
20110915,14.286,15.069,14.286,15.069,2116,0
20110919,14.684,15.069,14.684,15.069,853,0
20110920,15.069,15.315,15.069,15.315,1052,0
20110921,14.691,15.173,14.691,15.173,831,0
20110922,14.551,14.551,14.509,14.509,2847,0
20110923,14.335,14.335,14.09,14.097,14315,0
20110926,13.992,14.544,13.985,14.195,9736,0
20110927,13.985,14.16,13.985,13.985,63476,0
20110928,14.614,14.614,13.985,14.509,29321,0
20110929,13.992,14.397,13.992,14.335,2463,0
20110930,13.982,13.982,13.952,13.952,61495,0
20111003,13.978,13.978,13.916,13.916,285,0
20111004,13.921,13.921,13.921,13.921,58,0
20111005,13.971,13.978,13.971,13.978,287,0
20111006,13.978,13.978,13.978,13.978,16,0
20111007,14.684,14.684,13.93,14.684,738,0
20111011,14.405,14.677,14.405,14.677,3432,0
20111012,14.006,14.65,14.006,14.65,2046,0
20111013,14.509,14.509,14.509,14.509,143,0
