Date,Open,High,Low,Close,Volume,OpenInt
19980602,13.91,13.91,13.91,13.91,440294,0
19980603,15.282,15.282,15.282,15.282,168788,0
19980604,16.655,16.655,16.655,16.655,499883,0
19980605,16.857,16.857,16.857,16.857,192127,0
19980608,16.787,16.787,16.787,16.787,108075,0
19980609,16.101,16.101,16.101,16.101,74651,0
19980610,14.8,14.8,14.8,14.8,149142,0
19980615,13.91,13.91,13.91,13.91,246588,0
19980616,14.393,14.393,14.393,14.393,203982,0
19980617,15.759,15.759,15.759,15.759,125519,0
19980618,16.031,16.031,16.031,16.031,108560,0
19980619,15.898,15.898,15.898,15.898,148484,0
19980622,16.311,16.311,16.311,16.311,212516,0
19980623,16.787,16.787,16.787,16.787,204190,0
19980624,16.787,16.787,16.787,16.787,72593,0
19980625,16.787,16.787,16.787,16.787,82889,0
19980626,17.333,17.333,17.333,17.333,301558,0
19980629,17.677,17.677,17.677,17.677,137213,0
19980630,17.817,17.817,17.817,17.817,122946,0
19980701,18.705,18.705,18.705,18.705,159600,0
19980702,19.049,19.049,19.049,19.049,135456,0
19980703,19.531,19.531,19.531,19.531,142420,0
19980706,20.211,20.211,20.211,20.211,162969,0
19980707,20.764,20.764,20.764,20.764,315243,0
19980708,20.554,20.554,20.554,20.554,98102,0
19980709,19.531,19.531,19.531,19.531,219042,0
19980710,19.531,19.531,19.531,19.531,95063,0
19980713,20.897,20.897,20.897,20.897,38996,0
19980714,22.472,22.472,22.472,22.472,194227,0
19980715,22.472,22.472,22.472,22.472,116975,0
19980716,22.268,22.268,22.268,22.268,74776,0
19980717,22.816,22.816,22.816,22.816,129666,0
19980720,22.268,23.844,22.268,23.641,114594,0
19980721,23.844,23.844,23.159,23.299,167432,0
19980722,22.816,22.816,22.268,22.472,141600,0
19980723,22.613,23.844,22.613,23.502,130093,0
19980724,22.955,23.641,22.955,23.299,121319,0
19980727,23.159,23.159,21.926,22.136,109153,0
19980728,22.268,22.268,21.583,21.794,155611,0
19980729,21.24,21.794,20.764,21.794,171805,0
19980730,21.926,22.472,21.583,21.794,84492,0
19980731,22.472,22.472,21.926,22.136,90759,0
