Date,Open,High,Low,Close,Volume,OpenInt
20061010,13.469,15.635,13.229,14.604,1512172,0
20061011,15.155,15.155,14.722,15.155,295775,0
20061012,15.155,15.155,14.672,14.818,30429,0
20061013,14.811,14.818,13.964,13.964,13198,0
20061016,13.621,14.625,13.621,14.432,72270,0
20061017,14.481,14.722,14.198,14.426,56910,0
20061018,14.432,14.769,14.248,14.749,25795,0
20061019,14.432,14.715,14.432,14.432,26440,0
20061020,14.384,14.625,14.288,14.625,22906,0
20061023,14.432,14.528,14.281,14.288,7793,0
20061024,14.254,14.254,14.095,14.122,48512,0
20061025,14.095,14.232,13.593,14.232,26460,0
20061026,14.192,14.432,14.192,14.432,106941,0
20061027,14.192,14.818,14.192,14.432,22906,0
20061030,14.192,14.432,14.192,14.432,10248,0
20061031,14.432,14.432,14.192,14.192,18812,0
20061102,14.192,14.481,14.192,14.481,1162,0
20061103,14.481,14.481,14.192,14.192,12201,0
20061106,14.192,14.577,14.192,14.57,3991,0
20061107,14.625,14.625,14.144,14.528,11744,0
20061108,14.625,14.913,14.577,14.913,14800,0
20061109,14.913,15.134,14.769,15.134,3449,0
20061110,15.134,15.299,14.144,14.913,24465,0
20061113,14.913,14.913,14.672,14.913,2431,0
20061114,14.865,14.865,14.446,14.818,437,0
20061115,15.01,15.155,14.672,15.155,47098,0
20061116,15.106,15.155,15.106,15.147,4655,0
20061117,15.106,15.106,15.106,15.106,28538,0
20061120,15.147,15.443,15.147,15.443,52484,0
20061121,15.443,15.903,15.347,15.725,224171,0
20061122,15.877,16.736,15.828,16.736,73642,0
20061123,16.839,16.839,16.358,16.791,2827,0
20061124,16.839,16.839,16.549,16.839,8524,0
20061127,16.791,17.918,16.694,17.918,5903,0
20061128,17.897,18.187,17.629,18.187,6464,0
20061129,18.042,18.042,17.801,17.801,9314,0
20061130,18.234,18.764,18.187,18.764,3036,0
20061201,19.101,19.727,19.101,19.727,105214,0
20061204,19.966,20.016,18.62,19.245,18852,0
20061205,18.86,19.823,18.579,19.823,3888,0
20061206,20.016,20.016,18.579,19.727,31719,0
20061207,19.727,19.727,19.245,19.492,44337,0
20061208,19.679,19.727,19.679,19.727,2993,0
20061211,19.727,19.727,19.245,19.245,997,0
20061212,19.239,19.486,19.197,19.486,84721,0
20061213,19.533,20.208,19.533,20.208,33341,0
20061214,20.208,21.556,20.208,21.171,8272,0
20061215,20.786,22.085,19.149,22.085,29432,0
20061218,22.47,24.154,21.652,22.855,23841,0
20061219,23.357,23.357,22.505,22.848,4033,0
20061220,23.336,23.336,21.604,22.566,8189,0
20061221,22.181,22.181,22.085,22.133,5966,0
20061222,20.689,21.604,20.689,20.93,12970,0
20061227,20.834,20.834,19.727,20.689,10664,0
20061228,21.171,21.171,20.063,20.689,17148,0
20061229,20.689,20.93,19.294,19.727,155495,0
20070102,19.727,19.966,19.362,19.727,2597,0
20070103,19.823,19.823,19.823,19.823,42381,0
20070104,19.96,19.96,19.96,19.96,62,0
20070105,19.492,19.679,19.389,19.389,22719,0
20070108,19.343,19.343,19.053,19.053,373,0
20070109,19.053,19.954,19.053,19.603,20972,0
20070110,19.603,20.125,19.603,20.125,437,0
20070111,19.727,20.146,19.727,20.112,30451,0
20070112,20.112,20.112,20.105,20.112,7067,0
