Date,Open,High,Low,Close,Volume,OpenInt
20060724,7.5383,7.5383,6.2919,6.4012,2232970,0
20060725,6.4832,6.7785,6.2919,6.5597,543317,0
20060726,6.6143,6.7511,6.538,6.6692,169048,0
20060727,6.6417,6.8877,6.6143,6.8605,253723,0
20060728,6.8877,6.8877,6.7237,6.8056,84313,0
20060731,6.8056,6.9151,6.8056,6.8877,192042,0
20060801,6.9424,6.9424,6.8331,6.8877,120263,0
20060802,6.8877,6.8877,6.7237,6.7511,45763,0
20060803,6.7785,6.8056,6.587,6.6143,92382,0
20060804,6.7511,6.7511,6.5597,6.7237,23413,0
20060807,6.7785,6.8877,6.6692,6.8877,110020,0
20060808,6.8877,7.1883,6.8331,7.079,181724,0
20060809,7.1065,7.3197,7.0519,7.2158,103743,0
20060810,7.161,7.2158,7.0246,7.0246,94803,0
20060811,7.079,7.2376,7.079,7.079,60422,0
20060814,7.1338,7.2923,7.1065,7.2376,23227,0
20060816,7.3197,7.347,7.2376,7.347,39604,0
20060817,7.3742,7.7023,7.3197,7.5654,190628,0
20060818,7.5932,7.5932,7.429,7.5654,78252,0
20060821,7.5383,7.5932,7.4837,7.5654,44215,0
20060822,7.5932,7.5932,7.3742,7.5654,54999,0
20060823,7.5654,7.6203,7.5109,7.6203,50801,0
20060824,7.6752,7.6752,7.2923,7.5654,36739,0
20060825,7.429,7.5654,7.429,7.5109,24203,0
20060828,7.4837,7.4837,7.3197,7.4016,24155,0
20060829,7.347,7.5932,7.2923,7.4837,37956,0
20060830,7.3197,7.4837,7.3197,7.3197,37224,0
20060831,7.3197,7.3197,7.161,7.161,64717,0
20060901,7.161,7.161,6.7511,7.0462,137719,0
20060904,7.0462,7.0462,6.6692,6.9096,52904,0
20060905,7.0519,7.2158,6.7785,6.9533,115562,0
20060906,7.0519,7.101,6.9424,7.0246,84636,0
20060907,7.0246,7.0847,6.9533,7.0298,8932,0
20060908,7.1065,7.1065,7.0298,7.0519,32909,0
20060911,7.079,7.101,6.9589,7.0519,15467,0
20060912,6.9698,6.9971,6.8605,6.9589,142272,0
20060913,6.9151,7.0409,6.773,6.9096,82754,0
20060914,7.3742,7.429,7.2212,7.2376,116943,0
20060915,7.2376,7.2376,7.0682,7.2376,23004,0
20060918,7.0847,7.1883,7.0847,7.1829,27979,0
20060919,7.161,7.2594,7.0954,7.2594,50613,0
20060920,7.3032,7.3032,7.1065,7.2376,21505,0
20060921,7.1119,7.2867,7.1119,7.2867,13782,0
20060922,7.2158,7.265,7.1065,7.265,9394,0
20060925,7.265,7.2867,7.161,7.2867,26332,0
20060926,7.2923,7.4071,7.2212,7.3197,57841,0
20060927,7.4837,7.4837,7.2376,7.2923,79669,0
20060928,7.265,7.3634,7.2158,7.3579,55288,0
20060929,7.4125,7.4125,7.3087,7.4016,13723,0
20061002,7.5273,8.0801,7.5273,7.9645,149163,0
20061003,8.1881,8.6204,7.9428,7.9695,98455,0
20061004,8.1613,8.287,8.0801,8.2208,68645,0
20061005,8.4076,8.7837,8.3749,8.7795,139518,0
20061006,8.8399,9.1071,8.8223,8.8399,208463,0
20061009,8.8884,8.9211,8.4076,8.7837,84183,0
20061010,8.7837,10.304,8.5224,10.304,170341,0
20061011,10.032,10.304,9.2218,9.2218,315452,0
20061012,9.724,9.834,9.4899,9.763,73348,0
20061013,10.032,10.085,9.709,9.735,85224,0
20061016,9.873,10.032,9.654,9.763,65840,0
20061017,9.763,9.763,9.595,9.595,24894,0
20061018,9.599,9.599,8.8399,9.2109,82324,0
20061019,9.2218,9.2218,8.8608,9.1674,50298,0
20061020,9.2218,9.2721,9.1121,9.1615,31681,0
20061023,9.544,9.648,9.2495,9.4631,73499,0
20061024,9.4631,9.4631,9.2218,9.314,51062,0
20061025,9.3257,9.3257,9.118,9.2109,42551,0
