Date,Open,High,Low,Close,Volume,OpenInt
20150527,19.2,20,18.4,19.35,62411,0
20150528,19.66,19.8,18.75,19.8,1895,0
20150529,19.79,21,18.45,20,4663,0
20150601,20.89,20.89,20.4,20.8,2698,0
20150602,20.9,20.9,20,20,929,0
20150603,20.9,20.9,20.9,20.9,200,0
20150605,20.9,20.9,20.4,20.4,125,0
20150608,20.4,20.4,20.02,20.02,180,0
20150610,19.2,20.1,19,20.1,120,0
20150612,20,20,20,20,183,0
20150616,19.84,19.84,19.84,19.84,50,0
20150617,19.78,19.79,19,19.77,707,0
20150619,19.4,19.4,19.4,19.4,73,0
20150622,19.02,19.02,19,19,708,0
20150623,19,19.22,19,19.22,265,0
20150624,18.01,19.23,18.01,19.23,92,0
20150625,19.4,19.5,19.3,19.3,90,0
20150626,19.58,19.58,19.58,19.58,200,0
20150629,19.49,19.49,19.49,19.49,69,0
20150630,18.66,19.98,15,19.98,2641,0
20150701,19.98,19.98,19.98,19.98,50,0
20150702,19.01,19.93,18.52,19.93,286,0
20150703,19.91,19.91,19.2,19.2,15,0
20150706,18.62,18.82,18.62,18.62,272,0
20150709,17.53,17.53,17.52,17.52,223,0
20150710,17.8,17.8,17.8,17.8,173,0
20150713,17.78,18.2,17.78,18.2,73,0
20150715,18.4,18.4,18.4,18.4,5,0
20150716,18.4,19.22,18.4,19.22,251,0
20150717,19.19,19.19,19.19,19.19,2,0
20150722,19.09,19.09,19.09,19.09,2,0
20150723,19.09,19.09,19.09,19.09,62,0
20150724,19.22,19.22,19.22,19.22,2,0
20150727,18.3,19.2,18.1,19.2,3156,0
20150728,19.21,19.21,17.92,19.21,44,0
20150729,19.2,19.2,19.2,19.2,1,0
20150730,19.2,19.21,19.2,19.2,226,0
20150731,19.2,19.2,19.2,19.2,79,0
20150803,19.22,19.22,19.22,19.22,53,0
20150804,19.22,19.22,19.22,19.22,1,0
20150805,19.22,19.22,19.22,19.22,1,0
20150806,18.5,18.5,18.5,18.5,150,0
20150807,18.5,19.17,18.5,19.17,393,0
20150810,19.22,19.22,19.22,19.22,1,0
20150811,19.22,20.72,19.22,20.72,252,0
20150814,20.5,20.5,20.5,20.5,15,0
20150817,20.49,20.49,20.49,20.49,6,0
20150820,19.5,19.89,18.5,19.89,237,0
20150821,19.89,19.89,19.89,19.89,1,0
20150824,19.7,19.7,19.4,19.69,58,0
20150825,19.68,19.78,19.68,19.78,41,0
20150826,19.71,19.71,18.54,18.84,237,0
20150827,19.2,19.2,19.2,19.2,371,0
20150828,19.3,19.3,19.2,19.2,1051,0
20150831,19.3,19.4,19.2,19.2,812,0
20150901,19.59,19.66,19.59,19.66,27,0
20150902,19.66,19.66,19.66,19.66,2,0
20150903,19.66,19.66,19.66,19.66,2,0
20150904,19.66,19.66,19.5,19.51,1007,0
20150907,19.77,19.77,19,19,195,0
20150908,19,19.4,19,19.4,293,0
20150909,19.42,20,19.42,19.5,5100,0
20150910,19.5,19.9,19.5,19.9,245,0
20150911,19.9,20.3,19.9,20.3,291,0
20150914,20.52,22.72,20.52,22.71,849,0
20150915,22.72,22.72,21.5,22.72,263,0
20150916,22.72,23.48,21.4,21.99,2721,0
20150917,21.99,21.99,21.52,21.99,30004,0
20150918,21.99,21.99,21.01,21.38,24678,0
20150921,21.38,21.59,21.05,21.58,1893,0
20150922,21.58,21.58,20.4,20.5,4351,0
20150923,20.95,20.95,20.6,20.75,4003,0
20150924,21,21.29,20.5,20.85,14166,0
20150925,20.85,22,20.5,22,42603,0
20150928,22.29,22.29,22,22,67118,0
20150929,22.29,23.66,22.2,23.5,13393,0
20150930,23.66,24.45,23.1,24.45,6617,0
20151001,24.36,24.36,24.36,24.36,2,0
20151002,24.5,25,24.3,24.3,6094,0
20151005,24.3,24.3,24.3,24.3,211,0
20151006,24.2,24.2,24.15,24.15,3579,0
20151007,24.2,24.2,24.2,24.2,2,0
20151008,24,24,23.7,23.99,10414,0
20151009,24.2,24.2,24.14,24.15,913,0
20151012,23.8,24.39,23.8,24.39,33686,0
20151013,24.45,24.45,24.45,24.45,2,0
20151014,24.43,24.43,24,24.38,1791,0
20151015,24.29,25.8,24.29,25.8,17139,0
20151016,26.02,27.7,25.8,26,3838,0
20151019,26,26,26,26,152,0
20151020,26,26,25.8,25.8,185,0
20151021,25.8,26.2,25.53,26.2,313,0
