Date,Open,High,Low,Close,Volume,OpenInt
19990420,37.345,37.345,34.502,35.248,286380,0
19990421,35.177,35.327,34.8,34.95,214584,0
19990422,35.177,37.345,35.177,36.748,207952,0
19990423,36.975,38.169,36.748,37.196,219703,0
19990426,37.046,37.274,36.677,36.677,120681,0
19990427,36.3,36.3,35.555,35.774,113333,0
19990428,35.555,35.555,34.431,34.581,68219,0
19990429,34.352,35.028,34.054,34.431,83934,0
19990430,34.352,34.95,34.352,34.729,68535,0
19990504,35.327,35.555,34.729,35.098,23379,0
19990505,34.879,34.879,34.203,34.431,67565,0
19990506,34.431,34.431,34.054,34.054,87066,0
19990507,34.054,34.431,33.677,33.976,93575,0
19990510,33.755,33.755,32.931,33.308,28874,0
19990511,32.782,32.782,32.106,32.483,125969,0
19990512,32.554,32.633,31.957,32.185,80871,0
19990513,32.256,32.931,32.256,32.931,39968,0
19990514,33.677,33.677,32.483,32.633,35921,0
19990517,32.404,32.483,32.106,32.334,90363,0
19990518,32.782,32.931,32.334,32.703,22639,0
19990519,32.703,32.703,32.404,32.633,47810,0
19990520,32.633,32.861,32.554,32.554,90540,0
19990521,33.009,33.755,33.009,33.528,76086,0
19990524,33.755,33.755,33.229,33.457,36757,0
19990525,32.861,33.08,32.554,32.931,46885,0
19990526,32.931,33.159,32.782,32.931,29875,0
19990527,32.861,32.861,32.554,32.554,25010,0
19990528,32.256,32.554,32.256,32.483,24695,0
19990531,32.256,32.334,32.106,32.256,14965,0
19990601,32.554,33.229,32.554,32.703,28802,0
19990602,32.931,33.457,32.931,33.08,18881,0
19990607,33.528,34.054,33.528,34.054,31088,0
19990608,34.133,34.133,33.826,33.905,49489,0
19990609,33.905,35.327,33.905,35.098,72589,0
19990610,34.879,35.405,34.651,34.651,39849,0
19990611,35.177,35.405,34.8,35.327,45088,0
19990614,35.177,35.177,34.581,34.8,17195,0
19990615,34.581,34.879,34.581,34.729,19184,0
19990616,34.581,34.581,34.431,34.431,15764,0
19990617,34.95,35.476,34.651,34.651,21376,0
19990618,35.177,35.177,34.581,34.581,22114,0
19990621,35.098,35.098,34.651,34.8,23807,0
19990622,35.098,36.3,35.098,35.923,139703,0
19990623,35.555,35.923,35.476,35.703,46675,0
19990624,35.923,35.923,35.555,35.774,40313,0
19990625,35.555,35.555,34.729,35.028,20993,0
19990628,35.028,35.028,33.976,34.95,25265,0
19990629,34.8,34.8,33.677,34.203,7085,0
19990630,34.502,34.502,33.755,33.905,10328,0
19990701,34.352,35.177,34.133,34.729,8689,0
19990702,36.151,36.3,35.248,35.327,67665,0
19990705,35.177,35.177,34.95,35.028,10954,0
19990706,35.177,35.248,35.028,35.098,20617,0
19990707,34.8,35.177,34.8,35.177,3765,0
19990708,34.879,35.177,34.8,34.8,6524,0
19990709,35.177,35.177,34.651,34.8,17170,0
19990712,35.098,35.098,34.581,35.028,17222,0
19990713,34.054,34.502,34.054,34.054,15280,0
19990714,34.431,34.651,34.431,34.651,18196,0
19990715,35.028,35.625,35.028,35.625,55885,0
19990716,35.555,35.923,35.177,35.555,114604,0
