Date,Open,High,Low,Close,Volume,OpenInt
20151005,23.98,23.98,22,22.89,5355,0
20151006,23,23,22.02,22.78,1039,0
20151007,22.5,22.7,22.36,22.36,437,0
20151008,22.4,22.4,22.4,22.4,740,0
20151009,22.26,23.6,22.12,23.6,2121,0
20151012,23.6,23.85,23.53,23.85,912,0
20151013,23.85,23.85,23.85,23.85,1264,0
20151014,23.5,23.5,23.5,23.5,176,0
20151015,23.5,23.5,22.32,23,127,0
20151016,22.4,23.02,22.4,23.02,264,0
20151019,22.45,22.45,22.4,22.4,816,0
20151020,22.4,22.4,22.32,22.32,413,0
20151021,21.34,21.8,21.3,21.5,1393,0
20151022,21.62,21.8,21,21.5,2978,0
20151023,21.8,21.8,21,21,1245,0
20151026,21,21,20.5,20.61,2298,0
20151027,20.62,21.17,20.62,21.01,896,0
20151028,22.8,23,21.2,21.2,325,0
20151029,21.5,21.5,20.65,20.65,1112,0
20151102,20.54,21,20.5,21,1862,0
20151103,21.2,22,20.81,22,892,0
20151104,22,22,22,22,100,0
20151105,22,22.3,22,22,114,0
20151106,23.1,23.39,23.1,23.1,342,0
20151109,23.1,23.8,23.1,23.77,1110,0
20151110,23.69,23.69,23.69,23.69,1000,0
20151112,23.59,23.59,23,23.2,838,0
20151113,23.2,23.2,23,23,582,0
20151116,23.15,23.59,23.15,23.4,2880,0
20151117,23.4,23.4,22.7,22.7,1584,0
20151118,23.1,23.19,23.1,23.16,1204,0
20151119,23.19,23.19,22.55,22.55,1138,0
20151120,22.56,22.56,22.5,22.5,263,0
20151123,22.55,22.55,21.5,21.5,1497,0
20151124,22,22.55,22,22.55,257,0
20151125,22.99,23.2,22.85,23.2,731,0
20151126,23.19,23.19,23,23,458,0
20151127,23,23,21.5,22,1096,0
20151130,22,22,22,22,836,0
20151201,21.5,21.5,21.5,21.5,55,0
20151202,21.48,21.48,21.48,21.48,1,0
20151203,21.38,21.4,19.5,21.4,748,0
20151204,21.4,21.4,21.3,21.3,22,0
20151207,20.15,21.3,20.15,21.3,248,0
20151208,20.3,21.3,20.16,21.3,158,0
20151209,20.16,20.21,20.15,20.15,947,0
20151210,20,20.05,18,19.06,3410,0
20151211,20.05,20.05,19.5,19.5,5332,0
20151214,18.9,19.4,18.15,19.4,438,0
20151215,18.2,18.87,18,18.8,761,0
20151216,19,19,19,19,317,0
20151217,18.51,19.4,18.51,19.4,6185,0
20151218,19,19,19,19,793,0
20151221,18.7,18.7,18.26,18.26,173,0
20151222,18.16,18.16,17.05,17.85,1574,0
20151223,17.85,17.85,17.2,17.85,5141,0
20151228,17.55,17.55,17.2,17.25,1494,0
20151229,17.2,18.48,17.2,18.48,2771,0
20160104,20.2,20.2,20.2,20.2,145,0
20160107,20,20,20,20,5,0
20160119,18.99,19.8,17.51,18.1,232,0
20160120,17.5,18.7,17.39,17.61,569,0
20160121,17.6,17.6,17.6,17.6,119,0
20160122,18,19.59,18,19.59,63,0
20160125,19.8,19.8,19.5,19.5,626,0
20160126,19.5,19.8,18,18.04,424,0
20160127,18.04,19.72,18.04,19.72,376,0
20160128,19,19,18.2,18.2,902,0
20160129,19.74,19.74,18,19.3,402,0
20160201,19.78,19.78,18.07,19.5,110,0
20160202,18.4,19.5,18.4,19.5,9,0
20160203,18.38,18.6,18,18.1,837,0
20160204,18.99,18.99,18.2,18.2,217,0
20160205,18.3,18.3,18.2,18.2,220,0
20160208,18.2,19.7,18.1,19.4,141,0
20160210,18.17,19.35,18.17,18.36,238,0
20160211,18.2,19.38,18.2,19.38,12,0
20160215,18.32,18.43,18.32,18.41,201,0
20160216,19,19.2,18.32,18.32,22,0
20160218,18.31,19.38,18.31,19.38,306,0
20160219,19.29,19.3,19.29,19.3,360,0
20160223,19.29,19.29,19.29,19.29,50,0
20160229,18.65,18.65,18.57,18.57,703,0
20160301,19.25,19.25,19,19.25,96,0
20160302,19.25,19.25,19.2,19.25,435,0
20160303,19.25,19.97,19,19.97,1908,0
20160304,20,20,19.48,19.5,489,0
20160307,19.5,19.5,19.01,19.49,121,0
20160308,19.5,20.58,19.47,20.58,1819,0
20160309,20.56,20.56,20.56,20.56,1,0
20160310,20.56,20.56,20.56,20.56,33,0
20160311,20.56,20.56,20.56,20.56,184,0
20160314,20.56,20.56,19.7,20.56,66,0
20160315,20.56,20.58,20.56,20.58,1046,0
20160316,21,21,21,21,1,0
20160317,21,21.3,20.57,21.3,729,0
20160318,21.3,21.3,21.3,21.3,5,0
20160321,21.3,21.3,20.01,20.99,156,0
20160322,20.9,20.9,20.9,20.9,1,0
20160323,20.9,20.9,20,20,961,0
20160324,19.03,19.98,19.03,19.98,342,0
20160329,20,20,20,20,10,0
20160330,19.98,19.98,19.98,19.98,177,0
20160331,20,20,19.9,19.9,180,0
20160401,19.9,19.9,19.9,19.9,70,0
20160404,21.49,21.49,19.6,19.6,682,0
20160405,20.1,20.1,20.1,20.1,1,0
20160406,20.1,20.47,20.09,20.47,1152,0
20160407,21.49,21.49,19.35,20,302,0
20160408,21.49,21.49,20.7,20.7,51,0
20160411,20.7,20.7,20.7,20.7,103,0
20160412,21,21,20.87,21,697,0
20160413,21.4,21.4,20.6,21.25,3138,0
20160414,21.25,21.25,21.25,21.25,1,0
20160415,21,21,20.5,20.5,201,0
20160418,20.5,20.5,20.5,20.5,316,0
20160419,20.4,21.4,20.4,20.8,2071,0
20160420,21.4,21.4,20.8,20.8,732,0
20160421,21.4,21.4,20.2,20.2,1577,0
20160422,21.3,21.3,21.3,21.3,1,0
20160425,21.4,21.4,20,20,936,0
20160426,20.97,20.97,20.97,20.97,1,0
20160427,20.97,20.97,20.9,20.9,52,0
20160428,20.97,20.97,20.97,20.97,2,0
20160429,20.97,20.97,20.97,20.97,2,0
20160502,21.26,21.26,20.9,21,1001,0
20160504,21.26,21.26,21.26,21.26,1,0
