Date,Open,High,Low,Close,Volume,OpenInt
20140711,9.37,9.55,9.37,9.5,445376,0
20140714,9.54,9.54,9.4,9.44,37452,0
20140715,9.44,9.44,8.81,9,110496,0
20140716,9,9,8.73,8.73,33501,0
20140717,8.8,9.36,8.77,9.34,96403,0
20140718,9.24,9.34,9.13,9.34,20213,0
20140721,9.13,9.3,9.13,9.2,11091,0
20140722,9.2,9.34,8.86,9.34,52844,0
20140723,9.34,9.34,9.13,9.3,14098,0
20140724,9.29,9.45,9.29,9.3,39444,0
20140725,9.01,9.42,9.01,9.36,40844,0
20140728,9.15,9.38,9.15,9.17,89676,0
20140729,9.18,9.3,9.14,9.3,31748,0
20140730,9.21,9.26,9.1,9.2,12554,0
20140731,9.15,9.15,8.96,9.08,30925,0
20140801,9.08,9.1,8.92,9.1,25511,0
20140804,9.06,9.06,8.9,8.97,13962,0
20140805,8.97,9.08,8.9,9.08,32756,0
20140806,8.95,9.07,8.53,8.97,4908,0
20140807,8.85,8.85,8.5,8.6,14676,0
20140808,8.61,8.75,8.6,8.75,450,0
20140811,8.75,8.95,8.69,8.95,1400,0
20140812,8.6,8.94,8.6,8.65,21283,0
20140813,8.8,8.89,8.57,8.57,14345,0
20140814,8.25,8.61,8.13,8.44,4236,0
20140818,8.5,8.61,8.5,8.5,4185,0
20140819,8.61,8.84,8.4,8.7,6809,0
20140820,9,9.15,8.61,9.08,294,0
20140821,8.51,9.07,8.51,8.99,702,0
20140822,8.81,8.99,8.54,8.98,1857,0
20140825,8.99,8.99,8.56,8.95,236,0
20140826,8.9,8.93,8.8,8.93,6110,0
20140827,8.71,8.93,8.5,8.69,6635,0
20140828,8.93,8.93,8.51,8.85,1302,0
20140829,8.51,8.88,8.51,8.83,1400,0
20140901,8.5,8.6,8.4,8.55,4103,0
20140902,8.5,8.75,8.42,8.49,5475,0
20140903,8.55,8.58,8.3,8.58,8984,0
20140904,8.41,8.89,8.41,8.89,3015,0
20140905,8.75,8.88,8.65,8.74,2417,0
20140908,8.74,8.87,8.7,8.8,8286,0
20140909,8.86,8.95,8.7,8.8,54782,0
20140910,8.75,8.95,8.75,8.95,2042,0
20140911,8.94,8.94,8.74,8.9,4403,0
20140912,8.89,8.89,8.8,8.89,3405,0
20140915,8.77,8.87,8.75,8.86,1959,0
20140916,8.8,8.85,8.71,8.85,30658,0
20140917,8.85,8.9,8.85,8.9,203,0
20140918,8.85,9.09,8.75,9.09,4505,0
20140919,9,9.12,8.8,9.12,932,0
20140922,9,9.2,9,9.19,667,0
20140923,9.18,9.19,9.02,9.19,744,0
20140924,9.19,9.19,8.87,9.18,1751,0
20140925,9.17,9.26,9,9.18,17573,0
20140926,9.29,9.29,9.05,9.2,858,0
20140929,9.23,9.25,9.23,9.24,327,0
20140930,9.24,9.28,9.08,9.19,52913,0
20141001,9.2,9.22,9.02,9.18,7144,0
20141002,9.15,9.29,9.01,9.28,863,0
20141003,9.29,9.29,9.28,9.28,1021,0
20141006,9.29,9.29,9.29,9.29,44,0
20141007,9.29,9.29,9.15,9.28,473,0
20141008,9.2,9.28,9.15,9.28,667,0
20141009,9.28,9.28,9.05,9.27,878,0
20141010,9.26,9.26,9.2,9.26,262,0
20141013,9.2,9.26,9.07,9.2,2301,0
20141014,9.25,9.25,9.1,9.18,3720,0
20141015,9.09,9.15,9.05,9.15,1049,0
20141016,9.24,9.24,9.14,9.15,1789,0
20141017,9.15,9.15,9.05,9.14,1140,0
20141020,9.1,9.2,9.1,9.17,30528,0
20141021,9.25,9.25,9.1,9.19,383,0
20141022,9.22,9.25,9.1,9.25,21111,0
20141023,9.25,9.26,9.1,9.26,9889,0
20141024,9.25,9.25,9.25,9.25,12,0
20141027,9.2,9.2,9.1,9.2,55502,0
20141028,9.24,9.26,9.24,9.26,1195,0
20141029,9.23,9.23,8.91,9.09,23831,0
20141030,9.26,9.26,8.95,9.01,24495,0
20141031,8.95,9.25,8.95,9.15,18321,0
20141103,9.13,9.13,9.13,9.13,10,0
20141104,9.13,9.24,8.95,9.23,3574,0
20141105,9.13,9.24,9.13,9.24,308,0
20141106,9,9.48,9,9.45,12024,0
20141107,9.48,9.48,9.48,9.48,15,0
20141110,9.35,9.45,9.35,9.44,771,0
20141112,9.4,9.44,9.4,9.4,1551,0
20141113,9.4,9.4,9.39,9.39,168,0
20141114,9.4,9.4,9.25,9.25,1618,0
20141117,9.39,9.39,9.09,9.2,571,0
20141118,9.36,9.37,9.25,9.37,124,0
20141119,9.25,9.37,9.25,9.35,381,0
20141120,9.35,9.35,9.2,9.29,46,0
20141121,9.3,9.3,9.07,9.07,1862,0
20141124,9.2,9.3,9.1,9.3,399,0
20141125,9.2,9.2,9.2,9.2,200,0
20141126,9.1,9.29,9,9,14659,0
20141127,9.1,9.36,9.01,9.36,2241,0
20141128,9.3,9.37,9.3,9.36,3460,0
20141201,9.35,9.35,9.13,9.2,43939,0
20141202,9.19,9.36,9.18,9.35,17364,0
20141203,9.35,9.35,9.25,9.29,5147,0
