Date,Open,High,Low,Close,Volume,OpenInt
20121214,48.521,50.396,48.521,49.662,3722524,0
20121217,48.969,50.152,48.969,49.948,253690,0
20121218,50.396,50.886,50.152,50.763,478372,0
20121219,50.886,51.008,50.763,50.926,192914,0
20121220,50.56,51.049,50.478,50.763,92960,0
20121221,50.804,50.886,50.56,50.763,152735,0
20121227,50.723,51.824,50.6,51.579,107912,0
20121228,51.538,51.783,50.763,51.09,30127,0
20130102,51.09,52.19,51.09,52.19,59228,0
20130103,51.783,53.006,51.62,52.924,113051,0
20130104,52.924,53.495,52.924,53.454,38521,0
20130107,53.454,53.821,53.454,53.74,94307,0
20130108,53.74,53.862,49.744,52.19,98220,0
20130109,52.19,52.598,51.09,52.598,44905,0
20130110,52.68,53.006,51.62,52.557,76608,0
20130111,52.19,52.272,51.416,52.272,27618,0
20130114,52.476,52.476,51.416,51.457,197486,0
20130115,51.375,51.375,50.56,50.967,184807,0
20130116,50.56,51.783,49.907,51.375,190895,0
20130117,51.049,52.557,51.049,52.354,129071,0
20130118,52.354,53.618,52.354,53.332,87648,0
20130121,54.311,56.676,54.311,56.676,269352,0
20130122,57.491,63.199,57.41,59.367,500023,0
20130123,61.161,61.976,59.937,61.038,913014,0
20130124,60.998,60.998,59.693,60.345,161419,0
20130125,60.345,61.568,59.937,60.753,102110,0
20130128,60.753,61.895,60.753,61.568,286398,0
20130129,61.732,61.813,61.242,61.487,120613,0
20130130,61.201,61.65,59.937,60.06,169654,0
20130131,59.937,60.223,57.491,58.47,336189,0
20130201,58.633,59.367,58.062,58.918,238472,0
20130204,60.549,60.549,59.163,59.611,135575,0
20130205,60.345,60.549,59.815,59.937,240889,0
20130206,60.182,60.304,59.122,59.326,224894,0
20130207,59.326,59.489,58.266,59.04,104143,0
20130208,58.714,59.53,58.714,59.489,35517,0
20130211,59.448,59.774,59.204,59.53,32495,0
20130212,59.937,59.937,59.204,59.367,42288,0
20130213,59.407,59.856,59.122,59.285,59906,0
20130214,59.122,59.937,59.04,59.937,9090,0
20130215,59.53,59.652,57.165,59.53,18650,0
20130218,59.367,59.367,57.654,57.736,152821,0
20130219,57.491,58.143,56.023,57.083,316036,0
20130220,57.165,58.225,57.165,58.021,31221,0
20130221,57.736,57.736,56.716,57.083,16704,0
20130222,57.083,57.491,56.349,57.083,19161,0
20130225,57.165,58.307,57.083,57.899,30556,0
20130226,57.083,57.858,56.798,57.491,63623,0
20130227,57.573,58.307,57.083,57.083,92772,0
20130228,58.184,58.184,57.165,57.654,40307,0
20130301,57.491,57.654,56.961,57.083,86083,0
20130304,57.899,57.94,56.716,57.246,54352,0
20130305,57.246,57.899,57.246,57.899,18735,0
20130306,57.491,57.776,56.839,57.776,36050,0
20130307,56.268,56.268,54.229,55.452,299656,0
20130308,55.534,57.573,55.493,57.043,307992,0
20130311,57.491,57.573,56.676,56.92,134116,0
20130312,56.961,57.002,55.86,56.512,23193,0
20130313,56.512,56.757,56.064,56.227,128495,0
20130314,56.105,57.083,55.901,56.798,299012,0
20130315,56.268,57.287,56.268,57.246,107748,0
20130318,57.043,57.043,55.779,57.002,26695,0
20130319,56.431,56.92,54.515,54.515,217479,0
20130320,54.148,56.105,54.148,55.779,236529,0
20130321,55.86,55.942,54.637,55.371,74645,0
20130322,54.637,56.186,54.311,54.637,105634,0
20130325,55.289,56.268,54.27,54.311,32054,0
20130326,54.311,55.371,53.903,54.229,22929,0
20130327,54.229,56.676,54.229,56.268,16251,0
20130328,55.86,56.676,54.8,56.676,12404,0
20130402,56.676,56.676,55.86,56.064,59302,0
20130403,56.105,56.594,56.064,56.594,125403,0
20130404,56.594,56.635,55.982,56.268,53326,0
20130405,56.186,56.879,56.105,56.879,23134,0
20130408,56.879,56.879,55.86,56.676,11670,0
20130409,56.023,56.431,55.738,55.86,36195,0
20130410,56.268,56.512,54.718,55.452,25532,0
20130411,55.289,55.942,54.718,55.86,22673,0
20130412,55.208,56.268,55.085,55.656,83192,0
20130415,56.431,56.431,54.963,55.461,17248,0
20130417,55.452,55.534,55.126,55.452,81067,0
20130418,55.452,55.779,54.066,54.392,141774,0
20130419,54.066,55.452,54.066,54.637,25873,0
20130422,54.229,54.718,53.944,54.637,24169,0
20130423,54.042,54.474,54.042,54.433,564058,0
20130424,54.637,54.718,54.474,54.718,9729,0
20130425,54.637,54.947,54.4,54.637,50589,0
20130426,54.229,55.779,54.229,55.289,102693,0
20130429,55.779,56.553,55.33,56.553,24857,0
20130430,56.676,57.899,55.942,57.899,79583,0
20130502,57.654,57.654,56.447,56.757,96387,0
20130506,57.083,57.083,56.708,56.831,8303,0
20130507,57.083,57.083,56.268,56.635,65771,0
20130508,57.067,57.067,56.268,56.667,11231,0
20130509,57.043,59.204,56.716,59.122,230592,0
20130510,58.388,60.427,58.225,60.304,149537,0
20130513,60.304,60.304,59.636,59.693,28697,0
20130514,59.53,60.304,59.204,60.06,67931,0
20130515,60.06,61.242,60.06,61.161,90125,0
20130516,62.62,65.238,62.62,65.238,358421,0
20130517,65.238,65.238,63.615,64.749,150283,0
20130520,64.178,67.032,64.031,65.483,213738,0
20130521,65.442,66.347,64.749,66.054,441617,0
20130522,65.727,68.5,65.646,68.5,279086,0
20130523,66.461,68.826,65.263,68.337,606484,0
20130524,68.337,68.582,67.685,67.685,335742,0
20130527,67.685,67.929,67.277,67.277,106868,0
20130528,67.285,68.5,67.195,68.5,523042,0
20130529,68.5,68.696,64.015,68.492,218561,0
20130531,68.5,69.234,67.782,68.337,2466899,0
20130603,68.5,68.5,66.16,67.994,504667,0
20130604,67.285,70.131,67.048,70.131,805105,0
20130605,69.315,72.904,69.315,72.17,290344,0
20130606,71.762,72.129,71.354,72.121,226818,0
20130607,72.113,72.17,71.476,71.762,156020,0
20130610,72.088,75.758,71.762,74.208,297412,0
20130611,74.535,74.861,72.757,73.801,332996,0
20130612,74.208,74.208,72.3,73.148,108925,0
20130613,73.05,73.05,70.221,70.661,89078,0
20130614,70.131,73.295,69.487,73.295,95266,0
20130617,74.208,74.208,72.993,73.629,169174,0
20130618,74.208,77.47,74.208,76.573,294969,0
20130619,76.655,79.656,76.165,76.655,146250,0
20130620,76.247,76.247,73.719,73.964,172025,0
20130621,73.483,75.024,71.778,73.393,298193,0
20130624,72.577,73.393,71.762,72.333,203262,0
20130625,72.333,72.496,71.044,71.118,75957,0
20130626,71.036,71.354,70.131,70.376,69802,0
20130627,70.539,70.539,66.257,69.307,313860,0
20130628,69.307,76.198,69.307,72.985,313876,0
20130701,73.393,73.393,73.067,73.393,221243,0
20130702,73.352,73.352,70.783,72.985,79544,0
