Date,Open,High,Low,Close,Volume,OpenInt
20050622,6.1776,6.1776,5.9514,6.0513,67733,0
20050623,5.9514,5.9847,5.7587,5.8519,32397,0
20050624,5.792,5.8185,5.7254,5.8185,4282,0
20050627,5.792,5.8519,5.792,5.8519,31020,0
20050628,5.9183,5.9183,5.9183,5.9183,20687,0
20050629,5.9514,5.9847,5.9514,5.9514,6866,0
20050630,5.8851,6.0181,5.8851,5.9183,9218,0
20050701,5.9183,6.1113,5.9183,6.1113,12908,0
20050704,6.0846,6.1113,6.0846,6.1113,7334,0
20050705,6.1113,6.2775,6.1113,6.2109,78883,0
20050706,6.1776,6.2441,6.1776,6.2109,53056,0
20050707,6.1113,6.2109,6.1113,6.2109,17586,0
20050708,6.2109,6.2441,6.2109,6.2109,70065,0
20050711,6.1113,6.1113,6.1113,6.1113,5176,0
20050712,6.1113,6.1776,6.1113,6.1113,6474,0
20050713,6.1776,6.1776,6.1113,6.1444,5025,0
20050714,6.1776,6.1776,6.1444,6.1776,44438,0
20050715,6.1776,6.2109,6.1776,6.2109,8075,0
20050718,6.2109,6.2109,6.1444,6.2109,57103,0
20050719,6.1444,6.2109,6.1113,6.1776,8797,0
20050720,6.2109,6.2441,6.1776,6.2109,12401,0
20050721,6.2109,6.2775,6.1113,6.2775,116813,0
20050722,6.2775,6.3107,6.2109,6.2109,19162,0
20050725,6.2441,6.2441,6.2441,6.2441,5391,0
20050726,6.2441,6.2441,6.2109,6.2109,56496,0
20050727,6.2109,6.3107,6.2109,6.3107,83713,0
20050728,6.2441,6.2441,6.2109,6.2109,19894,0
20050729,6.2775,6.2775,6.2441,6.2441,405,0
20050801,6.2775,6.2775,6.1444,6.2109,2877,0
20050802,6.1776,6.2441,6.1776,6.2441,846,0
20050803,6.2441,6.2775,6.1444,6.2775,2020,0
20050804,6.1444,6.2441,6.1444,6.2441,651,0
20050805,6.2109,6.2775,6.2109,6.2775,16153,0
20050808,6.2775,6.2775,6.2109,6.2775,1819,0
20050809,6.2109,6.2109,6.2109,6.2109,1294,0
20050810,6.2109,6.2109,6.2109,6.2109,1369,0
20050811,6.2109,6.2109,6.2109,6.2109,6453,0
20050812,6.2109,6.2109,6.2109,6.2109,51259,0
20050816,6.2109,6.2441,6.2109,6.2441,6268,0
20050817,6.2441,6.4036,6.2441,6.4036,113829,0
20050818,6.437,6.7295,6.437,6.5035,76310,0
20050819,6.6363,6.6963,6.5367,6.6697,10820,0
20050822,6.6697,7.2881,6.6697,7.2881,110647,0
20050823,7.2881,7.2881,6.9624,6.9889,26485,0
20050824,6.8958,6.9889,6.8626,6.8958,18401,0
20050825,6.8626,6.9889,6.8293,6.929,8522,0
20050826,6.8293,6.9624,6.8293,6.8626,5877,0
20050829,6.57,6.8958,6.57,6.8293,24371,0
20050830,6.8626,6.929,6.8293,6.8958,14770,0
20050831,6.8958,6.929,6.8293,6.8293,51353,0
20050901,6.8293,6.8626,6.6032,6.8626,70800,0
20050902,6.7295,6.8626,6.6963,6.6963,18363,0
20050905,6.6963,6.9624,6.6963,6.8958,92150,0
20050906,6.8958,6.8958,6.6697,6.6697,54806,0
20050907,6.8293,6.8958,6.6032,6.8626,35983,0
20050908,6.8958,6.9624,6.8293,6.8293,22166,0
20050909,6.8293,6.8958,6.796,6.796,4897,0
20050912,6.8293,6.9624,6.7295,6.8958,4533,0
20050913,6.8958,6.8958,6.8293,6.8626,8304,0
20050914,6.8293,6.8958,6.8293,6.8958,2644,0
20050915,6.7295,6.8958,6.7295,6.8958,11741,0
20050916,6.8958,6.8958,6.8626,6.8958,3400,0
20050919,6.8293,7.0222,6.8293,7.0222,77821,0
20050920,6.9889,6.9889,6.9624,6.9624,2168,0
20050921,6.8293,6.929,6.8293,6.929,3253,0
20050922,6.8293,6.8958,6.8293,6.8958,3182,0
20050923,6.8293,6.8958,6.6963,6.8293,208904,0
20050926,6.7628,6.8958,6.7628,6.8958,73056,0
20050927,6.8293,6.8293,6.6032,6.6697,100025,0
20050928,6.6963,6.6963,6.6363,6.6363,31713,0
20050929,6.6363,6.6363,6.57,6.57,1093,0
20050930,6.57,6.6032,6.5367,6.6032,2466,0
20051003,6.57,6.57,6.3771,6.57,161158,0
20051004,6.5035,6.5367,6.437,6.5035,13173,0
20051005,6.4702,6.5035,6.4702,6.5035,8697,0
20051006,6.437,6.437,6.437,6.437,1103,0
20051007,6.3771,6.4036,6.3771,6.3771,18136,0
20051010,6.3771,6.437,6.3771,6.437,17074,0
20051011,6.3437,6.437,6.3437,6.437,3975,0
20051012,6.437,6.437,6.3107,6.3107,405,0
20051013,6.3437,6.3437,6.3437,6.3437,557,0
20051014,6.3107,6.3771,6.3107,6.3771,925,0
20051017,6.1113,6.4036,6.1113,6.4036,766,0
20051019,5.9514,6.4036,5.9514,6.4036,3501,0
20051020,6.2109,6.4036,6.2109,6.4036,2396,0
20051021,6.1776,6.4036,6.1776,6.4036,2359,0
20051024,6.3771,6.4036,6.3771,6.4036,3043,0
20051025,6.3437,6.437,6.3437,6.437,7673,0
20051026,6.3771,6.4702,6.3437,6.4702,13255,0
20051028,6.3107,6.5035,6.3107,6.5035,2374,0
20051031,6.5035,6.8293,6.5035,6.5367,9834,0
20051102,6.5035,6.5367,6.5035,6.5367,658,0
20051103,6.57,6.57,6.57,6.57,1567,0
20051104,6.57,6.57,6.4036,6.57,1345,0
20051107,6.3771,6.5035,6.3771,6.5035,1293,0
20051108,6.5035,6.5035,6.3107,6.5035,623,0
20051109,6.5035,6.57,6.5035,6.57,877,0
20051110,6.5035,6.57,6.437,6.57,1078,0
20051114,6.5035,6.57,6.5035,6.57,9386,0
20051115,6.5035,6.5035,6.5035,6.5035,468,0
20051116,6.57,6.6363,6.5035,6.5035,20479,0
20051117,6.5035,6.796,6.5035,6.796,13421,0
20051118,6.7628,6.8293,6.6963,6.7628,74943,0
20051121,6.7295,6.7295,6.7295,6.7295,708,0
20051122,6.5367,6.8293,6.5367,6.7295,17391,0
20051123,6.7295,6.796,6.7295,6.796,2788,0
20051124,6.8293,6.8958,6.7295,6.7628,6317,0
20051125,6.7295,6.7295,6.6032,6.6363,5029,0
20051128,6.6697,6.796,6.5367,6.7628,1904,0
20051129,6.7628,6.8626,6.6032,6.8626,24099,0
20051130,6.8626,6.8626,6.8293,6.8293,265,0
20051201,6.6697,6.8626,6.6697,6.8626,50023,0
20051202,6.8626,6.8626,6.796,6.8293,2418,0
20051205,6.6697,6.796,6.6697,6.796,427,0
20051206,6.6363,6.796,6.6363,6.796,919,0
