Date,Open,High,Low,Close,Volume,OpenInt
19970908,52.202,52.202,52.202,52.202,158289,0
19970909,53.833,53.833,53.833,53.833,95406,0
19970910,55.464,55.464,55.464,55.464,46588,0
19970911,54.242,54.242,54.242,54.242,64315,0
19970912,53.426,53.426,53.426,53.426,41062,0
19970915,53.426,53.426,53.426,53.426,155024,0
19970916,55.873,55.873,55.873,55.873,39095,0
19970917,55.873,55.873,55.873,55.873,54129,0
19970918,56.281,56.281,56.281,56.281,54966,0
19970919,56.281,56.281,56.281,56.281,174592,0
19970922,57.097,57.097,57.097,57.097,43532,0
19970923,57.097,57.097,57.097,57.097,16508,0
19970924,55.464,55.464,55.464,55.464,13800,0
19970925,55.464,55.464,55.464,55.464,45342,0
19970926,55.873,55.873,55.873,55.873,102149,0
19970929,55.464,55.464,55.464,55.464,9356,0
19970930,56.281,56.281,56.281,56.281,34802,0
19971001,56.281,56.281,56.281,56.281,23914,0
19971002,57.097,57.097,57.097,57.097,11762,0
19971003,54.242,54.242,54.242,54.242,6426,0
19971006,54.649,54.649,54.649,54.649,32580,0
19971007,55.464,55.464,55.464,55.464,33642,0
19971008,56.688,56.688,56.688,56.688,29281,0
19971009,57.097,57.097,57.097,57.097,57013,0
19971010,57.504,57.504,57.504,57.504,61552,0
19971013,59.135,59.135,59.135,59.135,34144,0
19971014,61.99,61.99,61.99,61.99,37100,0
19971015,62.806,62.806,62.806,62.806,32511,0
19971016,62.806,62.806,62.806,62.806,75550,0
19971017,61.583,61.583,61.583,61.583,24631,0
19971020,61.99,61.99,61.99,61.99,78272,0
19971021,61.99,61.99,61.99,61.99,62015,0
19971022,62.806,62.806,62.806,62.806,28954,0
19971023,61.99,61.99,61.99,61.99,10460,0
19971024,59.543,59.543,59.543,59.543,14420,0
19971027,56.688,56.688,56.688,56.688,15466,0
19971028,51.388,51.388,51.388,51.388,0,0
19971029,56.281,56.281,56.281,56.281,57851,0
19971030,54.649,54.649,54.649,54.649,53585,0
19971031,53.426,53.426,53.426,53.426,13235,0
19971103,55.057,55.057,55.057,55.057,6092,0
19971104,56.281,56.281,56.281,56.281,20769,0
19971105,57.097,57.097,57.097,57.097,11818,0
19971106,55.873,55.873,55.873,55.873,9567,0
19971107,56.281,56.281,56.281,56.281,27456,0
19971112,55.464,55.464,55.464,55.464,83381,0
19971113,54.649,54.649,54.649,54.649,23692,0
19971114,53.833,53.833,53.833,53.833,19121,0
19971117,55.057,55.057,55.057,55.057,22795,0
19971118,55.873,55.873,55.873,55.873,29878,0
19971119,55.464,55.464,55.464,55.464,63422,0
19971120,55.464,55.464,55.464,55.464,29764,0
19971121,55.057,55.057,55.057,55.057,28777,0
19971124,53.833,53.833,53.833,53.833,10754,0
19971125,52.202,52.202,52.202,52.202,16350,0
19971126,52.609,52.609,52.609,52.609,6921,0
19971127,51.388,51.388,51.388,51.388,6394,0
19971128,50.571,50.571,50.571,50.571,5393,0
19971201,51.794,51.794,51.794,51.794,2784,0
19971202,51.794,51.794,51.794,51.794,44738,0
19971203,51.794,51.794,51.794,51.794,11327,0
19971204,50.164,50.164,50.164,50.164,26640,0
19971205,51.388,51.388,51.388,51.388,20565,0
