Date,Open,High,Low,Close,Volume,OpenInt
20140717,32.142,32.501,31.303,32.326,125520,0
20140718,32.372,32.556,32.233,32.556,23945,0
20140721,32.501,32.676,32.418,32.51,21470,0
20140722,32.602,32.602,32.05,32.05,12467,0
20140723,32.142,32.233,32.142,32.233,601,0
20140724,32.464,32.464,30.392,31.414,4745,0
20140725,31.506,31.681,31.506,31.681,3802,0
20140728,32.05,32.418,31.774,32.418,6497,0
20140729,32.418,32.418,32.233,32.4,2219,0
20140730,32.409,32.409,31.865,32.233,3192,0
20140731,32.004,32.28,32.004,32.233,35995,0
20140801,32.233,32.233,31.313,31.313,2965,0
20140804,31.681,32.233,31.313,31.313,6332,0
20140805,31.322,31.718,31.322,31.718,3096,0
20140806,31.709,32.215,31.322,32.215,1691,0
20140807,31.774,32.233,31.313,31.774,6081,0
20140808,31.774,32.05,31.433,32.05,1669,0
20140811,31.681,32.05,31.681,32.05,4431,0
20140812,32.05,32.095,31.782,32.05,9800,0
20140813,31.865,32.05,31.865,32.05,4045,0
20140814,31.497,32.05,31.423,32.04,4756,0
20140818,32.04,32.05,32.04,32.05,74222,0
20140819,32.05,32.05,31.506,32.05,8943,0
20140820,32.05,32.114,31.699,32.05,58542,0
20140821,32.225,33.45,32.059,33.293,133063,0
20140822,33.385,33.846,33.348,33.348,22683,0
20140825,33.569,33.569,33.044,33.155,4704,0
20140826,33.007,33.799,33.007,33.799,21374,0
20140827,33.827,34.813,33.827,34.711,42789,0
20140828,34.813,35.448,33.624,34.343,21447,0
20140829,34.325,35.273,33.892,34.721,17618,0
20140901,34.813,35.356,34.721,34.987,32489,0
20140902,35.273,36.378,34.987,36.378,83927,0
20140903,36.701,37.76,36.563,36.931,70292,0
20140904,36.931,36.931,36.194,36.746,27334,0
20140905,36.746,37.713,36.663,37.53,37556,0
20140908,37.207,37.511,37.207,37.483,15754,0
20140909,37.437,37.437,36.746,36.839,5464,0
20140910,36.655,36.655,36.102,36.378,10799,0
20140911,36.102,36.461,36.102,36.387,63007,0
20140912,36.425,37.437,36.415,37.437,8741,0
20140915,37.483,37.483,36.746,37.29,24748,0
20140916,37.29,37.29,36.793,36.912,13130,0
20140917,36.912,37.207,36.839,37.197,9703,0
20140918,37.197,37.299,37.032,37.097,14239,0
20140919,37.115,37.53,37.115,37.392,58317,0
20140922,37.392,37.76,37.392,37.557,9663,0
20140923,37.345,37.345,36.848,36.996,18449,0
20140924,36.996,36.996,36.884,36.884,6488,0
20140925,36.931,37.299,36.839,36.977,19035,0
20140926,36.884,36.931,36.839,36.921,7879,0
20140929,36.839,37.023,36.839,37.023,1886,0
20140930,36.848,37.483,36.839,37.483,8247,0
20141001,37.483,38.681,37.483,38.22,26307,0
20141002,38.22,38.45,37.788,38.359,19403,0
20141003,38.174,38.174,37.392,37.705,12427,0
20141006,37.916,37.916,37.53,37.64,32134,0
20141007,37.4,37.621,37.17,37.621,4402,0
20141008,37.161,37.483,37.023,37.483,5715,0
20141009,37.474,37.474,37.023,37.087,13527,0
20141010,36.959,37.392,36.194,37.161,27195,0
20141013,36.884,37.299,36.884,37.299,11974,0
20141014,37.299,37.392,37.078,37.189,8951,0
20141015,37.189,38.681,37.161,37.76,18408,0
20141016,37.76,38.497,37.309,38.202,18334,0
20141017,38.174,38.542,38.174,38.533,6076,0
20141020,38.533,39.141,38.533,39.049,10903,0
20141021,39.039,39.39,38.819,39.39,12745,0
20141022,39.417,40.062,39.344,40.062,24350,0
20141023,39.693,40.384,38.708,39.602,6968,0
20141024,39.592,39.915,39.574,39.915,2069,0
20141027,39.868,39.878,39.234,39.823,5842,0
20141028,39.786,39.786,39.242,39.768,1231,0
20141029,39.768,39.768,39.187,39.592,1633,0
20141030,39.583,39.749,38.45,39.602,20889,0
20141031,39.602,40.053,39.602,40.053,4369,0
20141103,40.154,40.615,40.016,40.522,41387,0
20141104,40.66,40.798,40.615,40.615,28735,0
20141105,40.66,40.707,40.339,40.514,2258,0
20141106,40.522,40.522,40.246,40.246,727,0
20141107,40.246,40.477,40.154,40.154,3019,0
20141110,40.228,40.264,40.154,40.154,380,0
20141112,40.292,40.292,39.805,40.062,1287,0
20141113,40.071,40.071,39.141,39.492,3973,0
20141114,39.482,39.482,38.542,38.773,4199,0
20141117,38.542,38.671,38.064,38.211,5165,0
20141118,38.165,38.165,37.392,37.76,16200,0
20141119,37.815,38.865,37.815,38.681,5163,0
20141120,39.141,39.141,38.478,38.681,2299,0
20141121,39.039,39.693,38.505,39.51,63964,0
20141124,39.602,39.602,39.169,39.5,995,0
20141125,39.482,39.492,39.224,39.492,1189,0
20141126,39.234,39.583,39.159,39.583,756,0
20141127,39.565,39.565,39.159,39.51,793,0
20141128,39.279,39.279,39.049,39.049,454,0
20141201,38.893,38.893,37.926,37.944,2805,0
20141202,37.953,38.681,37.299,38.681,9982,0
20141203,38.773,38.773,38.146,38.773,694,0
20141204,38.58,38.588,38.58,38.588,55,0
20141205,38.229,39.693,37.788,39.592,11368,0
20141208,39.592,39.602,38.681,39.602,3176,0
20141210,38.699,39.399,38.681,38.681,2154,0
20141211,37.87,39.372,37.76,38.588,5922,0
20141212,39.141,39.141,37.861,39.003,666,0
20141215,37.778,39.279,37.778,39.141,7080,0
20141216,38.229,39.372,38.229,39.372,14737,0
20141217,38.588,39.602,38.588,39.602,31649,0
20141218,39.234,40.062,39.234,40.062,18021,0
20141219,39.372,40.062,39.372,40.062,1160,0
20141222,40.053,40.292,39.602,40.154,7366,0
20141223,39.878,40.798,39.703,40.798,30519,0
20141229,40.946,40.983,40.522,40.983,14201,0
20141230,40.798,42.364,40.753,41.904,48390,0
20150102,42.346,42.825,41.314,41.83,820,0
20150105,41.259,41.259,40.522,40.937,1533,0
20150107,41.342,41.351,40.798,40.798,956,0
20150108,40.798,40.983,40.798,40.937,1851,0
20150109,40.937,40.983,39.721,40.698,3452,0
