Date,Open,High,Low,Close,Volume,OpenInt
20130808,3.4011,3.5184,3.323,3.4207,5249,0
20130809,3.4011,3.4011,3.1373,3.1373,677,0
20130813,3.2058,3.2058,3.1373,3.1373,1389,0
20130814,3.0395,3.0395,2.7366,3.0298,1355,0
20130816,2.9321,3.1275,2.7463,3.1275,1474,0
20130819,3.0395,3.0395,2.8342,2.8342,1769,0
20130820,2.8832,3.1275,2.8342,2.8832,4736,0
20130821,2.893,2.9125,2.8342,2.9125,2264,0
20130822,3.0982,3.1959,3.0982,3.1959,1819,0
20130823,3.1959,3.1959,3.1959,3.1959,103,0
20130826,3.1959,3.1959,3.0298,3.0298,1927,0
20130827,3.0298,3.0298,3.0298,3.0298,103,0
20130828,2.8539,3.0298,2.8539,3.0298,103,0
20130902,2.9809,2.9809,2.8342,2.8342,3421,0
20130903,2.8539,2.8539,2.8539,2.8539,19133,0
20130906,2.9809,2.9809,2.9809,2.9809,1244,0
20130909,2.9907,2.9907,2.9907,2.9907,503,0
20130911,2.9418,2.9418,2.9418,2.9418,205,0
20130919,3.0298,3.0298,3.0298,3.0298,895,0
20130923,3.0298,3.0298,3.0298,3.0298,205,0
20130926,3.0298,3.0298,3.0298,3.0298,327,0
20131001,2.8637,2.8637,2.8637,2.8637,297,0
20131009,3.02,3.02,3.02,3.02,153,0
20131010,3.0298,3.0298,2.8832,3.0298,307,0
20131022,2.9809,2.9809,2.9321,2.9321,184,0
20131023,2.8832,2.8832,2.8832,2.8832,103,0
20131025,2.8832,2.8832,2.8637,2.8637,744,0
20131030,2.8637,2.8637,2.8637,2.8637,50,0
20131031,3.0298,3.0298,3.0298,3.0298,61,0
20131104,3.0298,3.0298,3.0298,3.0298,50,0
20131105,2.9321,2.9321,2.9321,2.9321,512,0
20131107,2.9711,2.9711,2.9711,2.9711,103,0
20131108,2.9321,2.9321,2.9321,2.9321,153,0
20131113,2.9711,2.9711,2.9711,2.9711,50,0
20131115,2.9711,2.9711,2.9711,2.9711,1944,0
20131118,2.8832,2.8832,2.8832,2.8832,190,0
20131119,2.9711,3.0298,2.9711,3.0298,3603,0
20131120,3.0298,3.0298,2.9418,3.0298,4554,0
20131121,3.0298,3.0298,3.0298,3.0298,1084,0
20131122,2.9809,2.9809,2.8637,2.8637,5529,0
20131125,2.9515,3.0298,2.9515,3.0298,22449,0
20131126,3.0298,3.0298,2.9809,2.9809,4184,0
20131127,3.02,3.02,3.02,3.02,4121,0
20131129,3.02,3.0298,3.02,3.0298,1228,0
20131202,3.0298,3.0298,3.0298,3.0298,2076,0
20131203,3.0298,3.0298,3.0298,3.0298,15557,0
20131205,2.9907,2.9907,2.9907,2.9907,716,0
20131206,2.9907,2.9907,2.9907,2.9907,306,0
20131209,2.9907,2.9907,2.9321,2.9907,4963,0
20131210,2.9809,3.0298,2.9809,3.0103,7959,0
20131211,2.9809,2.9809,2.9809,2.9809,205,0
20131212,3.0298,3.0298,3.0298,3.0298,10231,0
20131213,2.9809,2.9809,2.9321,2.9321,7029,0
20131216,2.9418,2.9418,2.9418,2.9418,3203,0
20131219,2.9907,2.9907,2.9321,2.9321,5730,0
20131220,3.0103,3.0298,2.9515,2.9515,11733,0
20131223,3.0298,3.0298,3.0298,3.0298,1131,0
20131230,3.0298,3.0298,3.0298,3.0298,205,0
20140103,3.1373,3.1568,3.0298,3.0298,19799,0
20140107,3.0298,3.0298,3.0298,3.0298,1637,0
20140108,3.0298,3.0298,3.0298,3.0298,3407,0
20140109,3.0298,3.0298,3.0298,3.0298,13245,0
20140113,3.1764,3.4207,3.1764,3.411,1682,0
20140114,3.411,3.7921,3.411,3.7921,1214,0
20140115,3.7139,3.7628,3.6651,3.7628,6343,0
20140116,3.6357,3.7628,3.6163,3.7628,6223,0
20140117,3.7139,3.7139,3.7139,3.7139,1024,0
20140120,3.7139,3.7139,3.7139,3.7139,307,0
20140121,3.7139,3.8605,3.7139,3.8605,13711,0
20140122,3.7139,3.7139,3.7139,3.7139,615,0
20140124,3.7139,3.7628,3.6651,3.7139,1545,0
20140127,3.7139,3.7921,3.7139,3.7921,1131,0
20140128,3.7139,3.7139,3.7139,3.7139,1024,0
20140129,3.7139,3.7139,3.7139,3.7139,409,0
20140131,3.7139,3.7139,3.7139,3.7139,1534,0
20140203,3.6651,3.8117,3.6651,3.8117,5628,0
20140204,3.8117,3.8117,3.8117,3.8117,10,0
20140205,3.8605,3.8605,3.8605,3.8605,164,0
20140206,3.8508,3.9094,3.8117,3.8898,4459,0
20140207,3.8117,3.88,3.8117,3.88,1758,0
20140210,3.88,4.0071,3.88,3.9094,22271,0
20140211,3.9192,3.9583,3.9094,3.9583,30994,0
20140212,3.9583,3.9583,3.9485,3.9583,15934,0
20140213,3.9583,3.9583,3.9583,3.9583,4800,0
20140214,3.9485,3.9485,3.9192,3.9192,7938,0
20140217,3.9192,4.056,3.9094,4.056,180438,0
20140218,4.2025,4.2417,4.1537,4.1537,13307,0
20140219,4.0267,4.1537,3.9192,4.0364,10497,0
20140220,4.0071,4.144,3.9094,4.144,150668,0
20140221,4.0952,4.1049,4.0952,4.1049,6081,0
20140224,4.0853,4.2417,4.0853,4.2417,53188,0
20140225,4.1049,4.232,3.9876,4.1537,15171,0
20140226,3.9778,4.1537,3.9778,4.1537,1555,0
20140227,4.1244,4.1244,3.9876,4.0952,7796,0
20140228,4.0952,4.1146,3.9778,4.1049,7859,0
20140303,3.9778,3.9778,3.7041,3.8605,15809,0
20140304,3.8703,3.8898,3.626,3.88,13303,0
20140305,3.8117,3.9094,3.7628,3.8605,12877,0
20140306,3.7628,3.8605,3.6163,3.8605,45075,0
20140307,3.7139,3.8117,3.626,3.8117,34827,0
20140310,3.8117,3.8605,3.6163,3.7824,29966,0
20140311,3.6163,3.7824,3.4207,3.6163,23453,0
20140312,3.4402,3.4402,3.1177,3.2741,22624,0
20140313,3.1764,3.323,3.1275,3.1764,92356,0
20140314,3.1079,3.1079,2.6388,2.9027,61565,0
20140317,2.9613,3.4696,2.8539,3.4696,48906,0
20140318,3.1275,3.1275,3.1275,3.1275,3310,0
20140319,3.1275,3.1275,3.1275,3.1275,3444,0
20140321,3.1275,3.1275,3.1275,3.1275,205,0
20140324,3.1667,3.4402,3.1275,3.362,8212,0
20140325,3.1275,3.1275,3.1275,3.1275,5086,0
20140326,2.9613,3.1275,2.9613,3.0494,3595,0
20140327,3.0298,3.0298,3.0298,3.0298,2539,0
20140328,3.0298,3.1275,2.9321,3.1275,11388,0
20140331,3.1275,3.1275,3.1275,3.1275,22117,0
20140401,3.1471,3.3816,3.1275,3.2252,22522,0
20140402,3.2252,3.2741,3.1275,3.2741,37932,0
20140403,3.2252,3.2546,3.1764,3.2546,2763,0
20140404,3.2058,3.2058,3.2058,3.2058,19471,0
20140407,3.2058,3.2058,3.0786,3.1959,10706,0
20140408,3.1667,3.1667,3.1177,3.1568,9437,0
20140409,3.1275,3.1275,3.1275,3.1275,1494,0
20140410,3.1275,3.1275,3.1275,3.1275,2046,0
20140411,3.1275,3.2447,3.1275,3.2447,34304,0
20140414,3.323,3.323,3.2741,3.2741,7851,0
20140415,3.2741,3.2741,3.1275,3.2741,17689,0
20140417,3.2741,3.2741,3.2741,3.2741,561,0
20140423,3.1275,3.2741,3.1275,3.2546,2770,0
20140424,3.1275,3.2741,3.1275,3.2741,10424,0
20140425,3.1275,3.1764,3.1275,3.1764,972,0
20140428,3.1764,3.1862,3.1275,3.1862,1024,0
20140430,3.1275,3.1959,3.1275,3.1959,4139,0
20140505,3.1764,3.1959,3.1764,3.1959,817,0
20140506,3.1275,3.2058,2.9907,3.1959,399,0
20140507,3.0005,3.2058,2.9809,3.1471,18448,0
20140509,3.1471,3.1862,3.0884,3.1667,1157,0
20140513,3.0982,3.2058,3.0982,3.2058,10368,0
20140514,3.0786,3.1764,2.9321,3.0591,2513,0
20140515,3.0591,3.1764,2.8342,3.1568,2609,0
20140516,3.0591,3.2058,3.0494,3.1862,8042,0
20140519,3.1471,3.2058,3.1471,3.2058,4194,0
20140520,3.0982,3.1959,3.0982,3.1959,2020,0
20140522,3.1764,3.323,3.1764,3.323,8965,0
20140523,3.2155,3.7628,3.2155,3.7628,11590,0
20140526,3.7139,3.7139,3.6163,3.6163,814,0
20140527,3.5575,3.6651,3.5184,3.5184,2856,0
20140528,3.5184,3.6553,3.5184,3.6553,2711,0
20140530,3.6357,3.8117,3.6357,3.8117,7420,0
20140603,3.4011,3.5478,3.3035,3.5478,3281,0
20140605,3.4304,3.5283,3.4304,3.5283,3124,0
20140606,3.5283,3.7139,3.5184,3.7139,2689,0
20140609,3.6163,3.6163,3.4696,3.6163,1591,0
20140610,3.6651,3.6651,3.6651,3.6651,77,0
20140611,3.6553,3.88,3.6553,3.88,2174,0
20140612,3.88,3.88,3.6651,3.8019,824,0
20140613,3.6651,3.6651,3.6651,3.6651,25988,0
20140616,3.8019,3.8019,3.538,3.8019,939,0
20140620,3.6748,3.8019,3.6163,3.753,27458,0
20140623,3.6163,3.6163,3.6163,3.6163,4502,0
20140624,3.6651,3.7628,3.6651,3.6651,6547,0
20140625,3.5672,3.7628,3.5672,3.7628,2466,0
20140627,3.7628,3.88,3.7628,3.88,4093,0
20140630,3.8703,3.88,3.6163,3.88,8238,0
20140701,3.8996,3.8996,3.8996,3.8996,1126,0
20140702,3.7236,3.8703,3.7139,3.8703,1126,0
20140704,3.7139,3.8703,3.7139,3.8605,1310,0
20140707,3.8703,3.8703,3.8703,3.8703,1790,0
20140708,3.7915,3.8703,3.3483,3.8703,2539,0
20140710,3.7522,3.89,3.7423,3.89,1624,0
20140711,3.5453,3.8801,3.5453,3.8801,2741,0
20140715,3.8801,3.8801,3.7915,3.8801,5125,0
20140716,3.89,3.89,3.6438,3.89,1533,0
20140718,3.6438,3.8801,3.6438,3.8801,914,0
20140722,3.6044,3.8407,3.4468,3.8407,3858,0
20140725,3.5749,3.7915,3.565,3.7915,1016,0
20140728,3.565,3.8112,3.5453,3.8112,1823,0
20140729,3.6044,3.7817,3.3976,3.7817,2954,0
20140731,3.5354,3.693,3.5354,3.693,2559,0
20140801,3.6536,3.693,3.1612,3.5354,9179,0
20140804,3.3582,3.3582,3.3582,3.3582,1016,0
20140805,3.3483,3.4468,3.2893,3.4468,224,0
20140806,3.3483,3.437,3.1022,3.437,4468,0
20140807,3.2006,3.5551,3.1514,3.4272,1601,0
20140808,3.0233,3.5157,3.0233,3.5157,1004,0
20140812,3.0529,3.4862,3.0529,3.4862,2539,0
20140813,3.2499,3.4665,3.1514,3.4665,1041,0
20140818,3.437,3.4862,3.437,3.4862,610,0
20140819,3.2991,3.4468,3.2991,3.4468,2945,0
20140821,3.3188,3.437,3.2991,3.3976,3527,0
20140822,3.3188,3.4468,3.3188,3.4468,5032,0
20140825,3.4468,3.4468,3.437,3.437,965,0
20140828,3.3286,3.3483,3.3286,3.3483,1467,0
20140829,3.3483,3.437,3.2499,3.4272,5334,0
20140901,3.437,3.437,3.437,3.437,320,0
20140903,3.2597,3.437,3.2597,3.2597,5055,0
20140904,3.4272,3.4468,3.4272,3.4468,5078,0
20140905,3.2499,3.4468,3.2499,3.4468,2690,0
20140908,3.437,3.4468,3.437,3.4468,6092,0
20140909,3.4468,3.4468,3.4468,3.4468,51,0
20140910,3.4468,3.4468,3.4468,3.4468,4062,0
20140915,3.2597,3.4468,3.1514,3.4468,1218,0
20140917,3.3483,3.4468,3.3483,3.4468,955,0
20140918,3.3483,3.4468,3.2499,3.4468,3462,0
20140919,3.2597,3.2597,3.0529,3.2499,4618,0
20140922,3.2499,3.2991,3.0825,3.2991,698,0
20140924,3.2991,3.4468,3.2991,3.4468,1726,0
20140925,3.437,3.437,3.437,3.437,1016,0
20140929,3.4468,3.4468,3.437,3.4468,3911,0
20140930,3.4468,3.4468,3.2991,3.437,4468,0
20141006,3.437,3.437,3.437,3.437,3047,0
20141007,3.437,3.437,3.437,3.437,305,0
20141008,3.2991,3.4272,3.2499,3.4272,1101,0
20141010,3.4272,3.437,3.2499,3.4075,1977,0
20141015,3.3483,3.437,3.3483,3.437,3350,0
20141016,3.437,3.437,3.437,3.437,85,0
20141021,3.2499,3.437,3.2499,3.437,2016,0
20141029,3.2696,3.2696,3.2696,3.2696,228,0
20141030,3.2794,3.4173,3.2499,3.4173,1036,0
20141031,3.4173,3.437,3.4075,3.4272,1777,0
20141104,3.3877,3.3877,3.3877,3.3877,305,0
20141105,3.3877,3.3976,3.2499,3.3976,2021,0
20141106,3.3976,3.3976,3.3976,3.3976,203,0
20141107,3.3976,3.3976,3.2499,3.3778,4062,0
20141110,3.4272,3.4272,3.4272,3.4272,5,0
20141112,3.1612,3.4272,3.1612,3.4272,33,0
20141113,3.3483,3.3483,3.1514,3.3483,2041,0
20141114,3.3483,3.4272,3.1514,3.4272,2828,0
20141117,3.4272,3.4272,3.3976,3.3976,50,0
20141118,3.4272,3.4272,3.2006,3.3976,2041,0
20141119,3.3976,3.3976,3.2302,3.2302,8463,0
20141120,3.2302,3.2302,3.2006,3.2302,954,0
20141121,3.3778,3.3778,3.3778,3.3778,5,0
20141124,3.3778,3.3778,3.2991,3.2991,1901,0
20141125,3.3778,3.3778,3.1022,3.1022,5571,0
20141126,3.2204,3.2499,3.2204,3.2499,1016,0
20141127,3.1317,3.3483,3.1317,3.3483,2224,0
20141128,3.3483,3.3483,3.3483,3.3483,5,0
20141201,3.3385,3.3385,2.9544,3.1809,7282,0
20141202,3.2204,3.2499,2.9544,2.9544,5213,0
20141203,3.2006,3.2006,2.9938,2.9938,2048,0
20141204,3.2006,3.2499,2.9544,2.9544,2752,0
20141205,3.0923,3.2401,3.0135,3.1415,3345,0
20141208,3.1514,3.1514,3.1514,3.1514,10,0
20141209,3.1514,3.1514,2.9249,3.1415,518,0
20141210,3.1514,3.1514,3.1514,3.1514,5,0
20141211,3.1514,3.1514,3.1514,3.1514,10,0
20141215,2.9544,3.2006,2.9249,3.0529,5148,0
20141216,3.1514,3.1514,2.9249,3.0332,2820,0
20141217,3.1218,3.1218,2.8264,3.1022,1125,0
20141218,2.9544,2.9544,2.8461,2.8461,7660,0
20141219,2.8461,2.8461,2.7673,2.8362,1828,0
20141222,2.8559,2.9052,2.8559,2.9052,4834,0
20141223,2.9052,2.9052,2.9052,2.9052,10,0
20141230,2.9347,2.9446,2.9347,2.9446,741,0
20150102,3.0036,3.0036,3.0036,3.0036,305,0
20150105,3.0036,3.0036,3.0036,3.0036,617,0
20150107,3.0036,3.0036,2.8461,2.9938,808,0
20150108,2.9938,2.9938,2.9938,2.9938,10,0
20150109,2.9938,2.9938,2.9938,2.9938,102,0
20150112,2.9544,2.9544,2.8461,2.9544,2069,0
20150113,2.9544,2.9544,2.8165,2.9544,680,0
20150114,2.9544,2.9544,2.9544,2.9544,10,0
20150115,2.9544,2.9544,2.9544,2.9544,152,0
20150116,2.9544,2.9544,2.9544,2.9544,10,0
20150119,2.9544,2.9544,2.9544,2.9544,10,0
20150120,2.9544,2.9544,2.8067,2.9544,1086,0
20150121,2.9544,2.9544,2.8067,2.9544,3310,0
20150122,2.9544,2.9544,2.8067,2.8067,1640,0
20150123,2.8461,2.8559,2.8461,2.8461,1532,0
20150126,2.8461,2.8461,2.8461,2.8461,10,0
20150127,2.8461,2.8461,2.8362,2.8362,168,0
20150128,2.8461,2.8461,2.8461,2.8461,10,0
20150129,2.8461,2.8461,2.8461,2.8461,416,0
20150130,2.8461,2.8461,2.8461,2.8461,61,0
20150202,2.8559,2.8559,2.8559,2.8559,10,0
20150203,2.8067,2.8067,2.8067,2.8067,10,0
20150204,2.8067,2.8067,2.8067,2.8067,20,0
20150205,2.8067,2.8067,2.8067,2.8067,10,0
