Date,Open,High,Low,Close,Volume,OpenInt
20080509,2.212,2.4265,2.1093,2.1466,201749,0
20080512,2.1466,2.1466,2.1,2.1,16910,0
20080513,2.1186,2.1279,2.0627,2.0627,16801,0
20080514,2.0906,2.1466,2.0906,2.1466,21121,0
20080515,2.1466,2.212,2.1466,2.1839,22635,0
20080516,2.2212,2.2306,2.2026,2.2026,3472,0
20080519,2.1932,2.1932,2.1932,2.1932,8533,0
20080520,2.1932,2.1932,2.1932,2.1932,3642,0
20080521,2.1932,2.1932,2.1932,2.1932,9405,0
20080523,2.1932,2.1932,2.1652,2.1652,3268,0
20080526,2.2306,2.2306,2.1839,2.1932,4127,0
20080527,2.1932,2.1932,2.1932,2.1932,8572,0
20080528,2.1932,2.212,2.1932,2.2026,6252,0
20080529,2.2026,2.212,2.2026,2.2026,12080,0
20080530,2.1932,2.2026,2.1932,2.2026,10970,0
20080602,2.2026,2.2026,2.2026,2.2026,535,0
20080603,2.2026,2.2212,2.2026,2.2026,4087,0
20080604,2.2026,2.2026,2.1932,2.1932,19328,0
20080605,2.212,2.212,2.1932,2.212,8036,0
20080606,2.212,2.2212,2.1466,2.2212,6359,0
20080609,2.2399,2.2399,2.2399,2.2399,20,0
20080610,2.2493,2.2493,2.2493,2.2493,201,0
20080611,2.2493,2.2493,2.212,2.2212,1225,0
20080612,2.2212,2.2212,2.2212,2.2212,42,0
20080613,2.2306,2.2306,2.2306,2.2306,493,0
20080616,2.2306,2.2493,2.2306,2.2399,633,0
20080617,2.2399,2.2399,2.2306,2.2306,907,0
20080618,2.2306,2.2306,2.2306,2.2306,1032,0
20080619,2.212,2.212,2.212,2.212,5900,0
20080620,2.212,2.212,2.212,2.212,10,0
20080623,2.212,2.212,2.212,2.212,4396,0
20080624,2.212,2.212,2.212,2.212,225,0
20080625,2.212,2.212,2.212,2.212,10,0
20080626,2.212,2.212,2.212,2.212,1071,0
20080627,2.212,2.212,2.212,2.212,118,0
20080630,2.212,2.2493,2.212,2.2493,3519,0
20080701,2.2493,2.2586,2.2493,2.2586,4541,0
20080702,2.2773,2.3426,2.2773,2.3426,12506,0
20080703,2.3426,2.3426,2.2865,2.2865,1177,0
20080704,2.2865,2.2865,2.2212,2.2212,3750,0
20080708,2.2306,2.2306,2.212,2.212,4462,0
