Date,Open,High,Low,Close,Volume,OpenInt
20090525,6.4698,6.4698,5.9103,6.0006,244288,0
20090526,6.2261,6.2261,5.6215,5.7569,47707,0
20090527,5.766,5.766,5.3238,5.4141,38829,0
20090528,5.4231,5.4231,5.2245,5.2787,20359,0
20090529,5.2335,5.5945,5.0981,5.4412,35967,0
20090601,5.6306,5.6306,5.4141,5.5223,8772,0
20090602,5.4141,5.5855,5.3418,5.5674,24601,0
20090603,5.5494,5.5494,5.4141,5.4952,3774,0
20090604,5.4952,5.6215,5.4682,5.4682,6922,0
20090605,5.4682,5.5223,5.4412,5.5223,1470,0
20090608,5.5132,5.5494,5.4141,5.5223,6387,0
20090609,5.5223,5.5223,5.4321,5.5042,2027,0
20090610,5.5042,5.6125,5.5042,5.5494,7689,0
20090612,5.5403,5.6035,5.5313,5.5313,2636,0
20090615,5.4862,5.6396,5.4862,5.6396,1067,0
20090616,5.4862,5.5945,5.4592,5.5945,1950,0
20090617,5.5765,5.6035,5.5494,5.5494,7571,0
20090618,5.4862,5.5674,5.4862,5.5674,324,0
20090619,5.4862,5.5945,5.4772,5.5042,3281,0
20090622,5.4501,5.5494,5.3418,5.4141,11119,0
20090623,5.4141,5.4772,5.3418,5.4772,397,0
20090624,5.5494,5.5494,5.5403,5.5494,4434,0
20090625,5.5674,5.5674,5.4141,5.4141,2080,0
20090626,5.5223,5.5223,5.4141,5.4141,194,0
20090629,5.4772,5.4772,5.4772,5.4772,223,0
20090630,5.4321,5.4321,5.4321,5.4321,777,0
20090701,5.351,5.4682,5.2516,5.4141,4662,0
20090702,5.4682,5.5042,5.3238,5.3238,11840,0
20090703,5.396,5.396,5.396,5.396,332,0
20090706,5.4141,5.4141,5.4141,5.4141,1662,0
20090707,5.369,5.4141,5.369,5.4141,730,0
20090709,5.3058,5.405,5.2335,5.2335,9702,0
20090710,5.2335,5.405,5.2335,5.405,2530,0
20090713,5.405,5.405,5.2335,5.405,1401,0
20090715,5.405,5.405,5.1614,5.3238,1975,0
20090716,5.36,5.36,5.2787,5.36,3855,0
20090717,5.2877,5.405,5.2877,5.405,462,0
20090720,5.2426,5.2426,5.2426,5.2426,1448,0
20090721,5.3058,5.405,5.3058,5.3147,2796,0
20090722,5.3147,5.4952,5.3147,5.4952,462,0
20090723,5.4592,5.4772,5.4592,5.4592,2217,0
20090724,5.4952,5.5583,5.4592,5.4592,4062,0
20090727,5.4952,5.4952,5.378,5.378,2024,0
20090728,5.378,5.4231,5.378,5.4231,208,0
20090729,5.378,5.4141,5.369,5.378,1858,0
20090730,5.4501,5.4862,5.378,5.387,7379,0
20090731,5.4592,5.4592,5.396,5.4141,3353,0
20090803,5.4141,5.4592,5.396,5.4501,1264,0
20090804,5.4231,5.4412,5.4141,5.4231,5588,0
20090805,5.4231,5.4592,5.387,5.4412,9931,0
20090806,5.4412,5.4412,5.3329,5.4141,907,0
20090807,5.4682,5.4682,5.2335,5.4231,7303,0
20090810,5.405,5.405,5.2787,5.2787,1080,0
20090811,5.2967,5.2967,5.2787,5.2787,720,0
20090812,5.2426,5.7299,5.2335,5.6937,37891,0
20090813,5.748,5.9013,5.6937,5.8381,22036,0
20090814,5.8381,5.9464,5.784,5.9284,7853,0
20090817,5.8201,5.9464,5.5583,5.9284,15478,0
20090818,5.9464,6.2081,5.9464,6.181,23417,0
20090819,6.1901,6.4969,6.0096,6.4969,24073,0
20090820,6.3254,6.9841,6.3254,6.9841,15708,0
20090821,6.7134,7.1465,6.4066,7.1465,13590,0
20090824,7.2097,7.8684,7.0923,7.7601,27141,0
20090825,7.706,7.8413,7.2187,7.6699,25592,0
20090826,7.6247,7.6247,6.9932,7.5798,16518,0
20090827,7.5526,7.6247,7.318,7.5798,8624,0
20090828,7.5798,7.9405,7.5798,7.6699,16467,0
20090831,7.1285,7.3089,6.903,7.2187,18768,0
20090901,6.912,7.2187,6.7134,7.1826,8643,0
20090902,6.7224,6.7224,6.515,6.515,2712,0
20090903,6.4517,6.7585,6.0006,6.0006,14630,0
20090904,6.0096,6.6321,6.0096,6.6231,1280,0
20090907,6.6772,6.6772,6.3344,6.6772,390,0
20090908,6.587,6.587,6.136,6.4066,691,0
20090909,6.1991,6.4787,6.0457,6.4698,10485,0
20090910,6.2713,6.2713,6.0186,6.2713,2250,0
