Date,Open,High,Low,Close,Volume,OpenInt
20160606,2.41,2.41,2.37,2.38,10090,0
20160607,2.43,2.5,2.38,2.4,3095,0
20160608,2.5,2.5,2.41,2.49,915,0
20160609,2.59,2.6,2.43,2.43,36442,0
20160610,2.5,2.5,2.42,2.45,6275,0
20160613,2.45,2.66,2.45,2.53,22658,0
20160614,2.55,2.59,2.54,2.59,7206,0
20160615,2.8,2.8,2.62,2.64,13709,0
20160616,2.89,2.89,2.71,2.71,15377,0
20160617,2.71,2.77,2.64,2.77,4465,0
20160620,2.99,3.15,2.82,2.83,26265,0
20160621,2.99,2.99,2.82,2.94,8897,0
20160622,2.94,3.2,2.9,3.14,141909,0
20160623,3.18,3.38,2.99,3.05,243071,0
20160624,2.8,2.93,2.7,2.89,130388,0
20160627,2.98,2.99,2.89,2.98,75420,0
20160628,2.98,2.99,2.85,2.91,62996,0
20160629,3.19,3.19,2.95,3.11,64098,0
20160630,3.17,3.17,3.06,3.11,13412,0
20160701,3.15,3.15,3.01,3.09,6456,0
20160704,3.03,3.09,2.9,2.96,15014,0
20160705,3,3,2.91,2.95,4164,0
20160706,2.99,2.99,2.85,2.89,9595,0
20160707,2.93,2.93,2.81,2.88,10613,0
20160708,2.88,3,2.85,2.97,26872,0
20160711,2.97,3.14,2.97,3.13,591892,0
20160712,3.12,3.2,3.1,3.16,242837,0
20160713,3.18,3.3,3.12,3.3,318609,0
20160714,3.3,3.53,3.3,3.48,448253,0
20160715,3.49,3.5,3.38,3.41,106432,0
20160718,3.41,3.46,3.37,3.45,86881,0
20160719,3.46,3.46,3.38,3.38,84453,0
20160720,3.38,3.44,3.32,3.44,290703,0
20160721,3.4,3.43,3.3,3.37,118774,0
20160722,3.37,3.44,3.35,3.43,64125,0
20160725,3.41,3.42,3.35,3.42,80019,0
20160726,3.42,3.42,3.35,3.4,25871,0
20160727,3.4,3.4,3.35,3.39,243445,0
20160728,3.35,3.4,3.35,3.4,100881,0
20160729,3.4,3.52,3.36,3.5,499385,0
20160801,3.48,3.58,3.48,3.54,22802,0
20160802,3.55,3.57,3.5,3.54,48875,0
20160803,3.52,3.54,3.5,3.51,44956,0
20160804,3.55,3.57,3.51,3.57,23768,0
20160805,3.55,3.8,3.55,3.79,158106,0
20160808,3.85,3.85,3.73,3.75,41858,0
20160809,3.75,3.78,3.56,3.72,88207,0
20160810,3.72,3.75,3.69,3.74,57745,0
20160811,3.77,3.77,3.73,3.74,30607,0
20160812,3.75,3.75,3.7,3.73,104384,0
20160816,3.76,3.76,3.7,3.7,71185,0
20160817,3.75,3.75,3.57,3.63,116089,0
20160818,3.66,3.69,3.61,3.63,163001,0
20160819,3.63,3.69,3.61,3.63,17626,0
20160822,3.63,3.64,3.62,3.62,24009,0
20160823,3.64,3.65,3.6,3.62,51465,0
20160824,3.65,3.65,3.59,3.64,14188,0
20160825,3.64,3.64,3.48,3.59,41897,0
20160826,3.6,3.62,3.5,3.59,28697,0
20160829,3.57,3.6,3.51,3.56,86556,0
20160830,3.57,3.57,3.51,3.55,22530,0
20160831,3.6,3.6,3.52,3.57,55805,0
20160901,3.6,3.6,3.48,3.48,30239,0
20160902,3.44,3.57,3.43,3.57,44945,0
20160905,3.58,3.6,3.52,3.58,65957,0
20160906,3.59,3.74,3.57,3.74,14244,0
20160907,3.82,4.2,3.63,4.15,1358443,0
20160908,4.23,4.23,4.04,4.08,221512,0
20160909,4.06,4.2,4.02,4.03,331057,0
20160912,4.07,4.14,4.05,4.11,53812,0
20160913,4.12,4.29,4.12,4.25,356908,0
20160914,4.23,4.36,4.19,4.29,270928,0
20160915,4.34,4.42,4.32,4.32,189385,0
20160916,4.37,4.38,4.25,4.32,66142,0
20160919,4.32,4.35,4.25,4.3,37034,0
20160920,4.29,4.31,4.25,4.27,50511,0
20160921,4.28,4.28,4.24,4.25,51378,0
20160922,4.28,4.28,4.1,4.19,95657,0
20160923,4.22,4.28,4.15,4.27,129322,0
20160926,4.27,4.38,4.27,4.34,135923,0
20160927,4.38,4.38,4.28,4.36,26823,0
20160928,4.37,4.37,4.3,4.37,213007,0
20160929,4.37,4.37,4.3,4.35,149228,0
20160930,4.37,4.37,4.29,4.33,343916,0
20161003,4.33,4.4,4.3,4.39,34288,0
20161004,4.39,4.39,4.34,4.35,16306,0
20161005,4.35,4.35,4.3,4.3,36972,0
20161006,4.3,4.33,4.24,4.27,112513,0
20161007,4.31,4.31,4.27,4.28,47220,0
20161010,4.29,4.32,4.27,4.29,30754,0
20161011,4.3,4.3,4.18,4.18,173487,0
20161012,4.29,4.29,3.91,4.18,231208,0
20161013,4.24,4.34,4.19,4.29,282466,0
20161014,4.37,4.38,4.26,4.29,36797,0
20161017,4.28,4.28,4.23,4.26,75841,0
20161018,4.27,4.27,4.12,4.25,154825,0
20161019,4.22,4.25,4.14,4.2,51224,0
20161020,4.25,4.25,4.18,4.24,14313,0
20161021,4.2,4.26,4.15,4.17,39428,0
20161024,4.17,4.17,4.14,4.14,10751,0
20161025,4.13,4.18,4.11,4.17,105998,0
20161026,4.2,4.2,4.16,4.19,28948,0
20161027,4.24,4.24,4.15,4.23,97114,0
20161028,4.23,4.34,4.2,4.2,48462,0
20161031,4.27,4.34,4.2,4.34,126481,0
20161102,4.34,4.34,4.1,4.19,159179,0
20161103,4.19,4.23,4.07,4.1,39113,0
20161104,4.17,4.17,4.1,4.14,19613,0
20161107,4.22,4.22,4.1,4.16,17012,0
