Date,Open,High,Low,Close,Volume,OpenInt
19970424,1.8781,1.8781,1.8781,1.8781,1688330,0
19970425,1.8007,1.8007,1.8007,1.8007,793281,0
19970428,1.6376,1.6376,1.6376,1.6376,381681,0
19970429,1.5056,1.5056,1.5056,1.5056,1575225,0
19970430,1.591,1.591,1.591,1.591,668265,0
19970505,1.5754,1.5754,1.5754,1.5754,1299387,0
19970506,1.6765,1.6765,1.6765,1.6765,1581640,0
19970507,1.6686,1.6686,1.6686,1.6686,786273,0
19970508,1.7228,1.7228,1.7228,1.7228,699069,0
19970509,1.8159,1.8159,1.8159,1.8159,680576,0
19970512,1.8626,1.8626,1.8626,1.8626,941488,0
19970513,1.8703,1.8703,1.8703,1.8703,639800,0
19970514,1.754,1.754,1.754,1.754,334416,0
19970515,1.8159,1.8159,1.8159,1.8159,307882,0
19970516,1.8007,1.8007,1.8007,1.8007,251655,0
19970519,1.8317,1.8317,1.8317,1.8317,205865,0
19970520,1.8317,1.8317,1.8317,1.8317,124114,0
19970521,1.7774,1.7774,1.7774,1.7774,361359,0
19970522,1.754,1.754,1.754,1.754,399672,0
19970523,1.5754,1.5754,1.5754,1.5754,341804,0
19970526,1.591,1.591,1.591,1.591,294005,0
19970527,1.5522,1.5522,1.5522,1.5522,354929,0
19970528,1.5522,1.5522,1.5522,1.5522,283908,0
19970530,1.6297,1.6297,1.6297,1.6297,211851,0
19970602,1.5754,1.5754,1.5754,1.5754,113100,0
19970603,1.6066,1.6066,1.6066,1.6066,236670,0
19970604,1.5754,1.5754,1.5754,1.5754,330083,0
19970605,1.56,1.56,1.56,1.56,211453,0
19970606,1.591,1.591,1.591,1.591,92540,0
19970609,1.622,1.622,1.622,1.622,120714,0
19970610,1.5832,1.5832,1.5832,1.5832,268493,0
19970611,1.56,1.56,1.56,1.56,127927,0
19970612,1.6918,1.6918,1.6918,1.6918,384316,0
19970613,1.7307,1.7307,1.7307,1.7307,407964,0
19970616,1.6997,1.6997,1.6997,1.6997,140077,0
19970617,1.6765,1.6765,1.6765,1.6765,125460,0
19970618,1.6765,1.6765,1.6765,1.6765,475468,0
19970619,1.6997,1.6997,1.6997,1.6997,810295,0
19970620,1.754,1.754,1.754,1.754,372327,0
19970623,1.6997,1.6997,1.6997,1.6997,235089,0
19970624,1.6997,1.6997,1.6997,1.6997,450502,0
19970625,1.7774,1.7774,1.7774,1.7774,447489,0
19970626,1.754,1.754,1.754,1.754,940939,0
19970627,1.7774,1.7774,1.7774,1.7774,373537,0
19970630,1.7774,1.7774,1.7774,1.7774,263022,0
19970701,1.746,1.746,1.746,1.746,186193,0
19970702,1.746,1.746,1.746,1.746,143564,0
19970703,1.7619,1.7619,1.7619,1.7619,197368,0
19970704,1.8317,1.8317,1.8317,1.8317,287055,0
19970707,1.8317,1.8317,1.8317,1.8317,223899,0
19970708,1.8395,1.8395,1.8395,1.8395,72604,0
19970709,1.9093,1.9093,1.9093,1.9093,203486,0
19970710,1.9093,1.9093,1.9093,1.9093,842531,0
19970711,1.9016,1.9016,1.9016,1.9016,705573,0
19970714,1.8317,1.8317,1.8317,1.8317,190260,0
19970715,1.6918,1.6918,1.6918,1.6918,231257,0
19970716,1.746,1.746,1.746,1.746,242581,0
19970717,1.754,1.754,1.754,1.754,168768,0
19970718,1.8007,1.8007,1.8007,1.8007,367537,0
19970721,1.7774,1.7774,1.7774,1.7774,186045,0
19970722,1.7774,1.7774,1.7774,1.7774,70255,0
19970723,1.7849,1.7849,1.7849,1.7849,145751,0
19970724,1.7849,1.7849,1.7849,1.7849,191442,0
19970725,1.7849,1.7849,1.7849,1.7849,224521,0
19970728,1.746,1.746,1.746,1.746,112969,0
19970729,1.6997,1.6997,1.6997,1.6997,447545,0
19970730,1.754,1.754,1.754,1.754,121455,0
19970731,1.8084,1.8084,1.8084,1.8084,281114,0
19970801,1.8007,1.8007,1.8007,1.8007,303491,0
19970804,1.8549,1.8549,1.8549,1.8549,91153,0
19970805,1.9016,1.9016,1.9016,1.9016,155449,0
19970806,1.9402,1.9402,1.9402,1.9402,311992,0
19970807,1.9324,1.9324,1.9324,1.9324,245981,0
19970808,1.9867,1.9867,1.9867,1.9867,272398,0
19970811,2.1808,2.1808,2.1808,2.1808,937497,0
19970812,2.1577,2.1577,2.1577,2.1577,117388,0
19970813,2.111,2.111,2.111,2.111,102622,0
19970814,2.1032,2.1032,2.1032,2.1032,254687,0
19970818,2.111,2.111,2.111,2.111,156985,0
19970819,2.0567,2.0567,2.0567,2.0567,204193,0
19970820,2.0333,2.0333,2.0333,2.0333,64402,0
19970821,1.9558,1.9558,1.9558,1.9558,147393,0
19970822,1.9016,1.9016,1.9016,1.9016,298026,0
19970825,1.9016,1.9016,1.9016,1.9016,171041,0
19970826,1.8781,1.8781,1.8781,1.8781,217468,0
19970827,1.9324,1.9324,1.9324,1.9324,170083,0
19970828,1.9867,1.9867,1.9867,1.9867,262297,0
19970829,1.9635,1.9635,1.9635,1.9635,375964,0
19970901,1.9016,1.9016,1.9016,1.9016,41757,0
19970902,1.948,1.948,1.948,1.948,61695,0
19970903,2.0257,2.0257,2.0257,2.0257,187450,0
19970904,2.0567,2.0567,2.0567,2.0567,88049,0
19970905,2.0022,2.0022,2.0022,2.0022,129464,0
19970908,2.0798,2.0798,2.0798,2.0798,128180,0
19970909,2.1032,2.1032,2.1032,2.1032,273988,0
19970910,2.0798,2.0798,2.0798,2.0798,152270,0
19970911,2.0022,2.0022,2.0022,2.0022,120742,0
19970912,1.9946,1.9946,1.9946,1.9946,225582,0
19970915,2.0179,2.0179,2.0179,2.0179,70446,0
19970916,1.9635,1.9635,1.9635,1.9635,55356,0
19970917,1.9946,1.9946,1.9946,1.9946,99150,0
19970918,1.9324,1.9324,1.9324,1.9324,47753,0
19970919,1.9789,1.9789,1.9789,1.9789,37307,0
19970922,2.0489,2.0489,2.0489,2.0489,99831,0
19970923,1.8471,1.8471,1.8471,1.8471,420038,0
19970924,1.9402,1.9402,1.9402,1.9402,262847,0
19970925,1.9016,1.9016,1.9016,1.9016,75041,0
19970926,1.8549,1.8549,1.8549,1.8549,40926,0
19970929,1.8703,1.8703,1.8703,1.8703,43813,0
19970930,1.8781,1.8781,1.8781,1.8781,83528,0
19971001,1.8781,1.8781,1.8781,1.8781,140135,0
19971002,1.9016,1.9016,1.9016,1.9016,29266,0
19971003,1.9016,1.9016,1.9016,1.9016,117670,0
19971006,1.9016,1.9016,1.9016,1.9016,106037,0
19971007,1.8937,1.8937,1.8937,1.8937,47697,0
19971008,1.9093,1.9093,1.9093,1.9093,122607,0
19971009,1.9558,1.9558,1.9558,1.9558,86939,0
19971010,2.0022,2.0022,2.0022,2.0022,114698,0
19971013,2.0179,2.0179,2.0179,2.0179,86068,0
19971014,2.0567,2.0567,2.0567,2.0567,165839,0
19971015,2.0954,2.0954,2.0954,2.0954,217854,0
19971016,2.0722,2.0722,2.0722,2.0722,50150,0
19971017,2.0567,2.0567,2.0567,2.0567,88317,0
19971020,2.0489,2.0489,2.0489,2.0489,56314,0
19971021,2.1032,2.1032,2.1032,2.1032,49440,0
19971022,2.1032,2.1032,2.1032,2.1032,100715,0
19971023,2.0489,2.0489,2.0489,2.0489,62790,0
19971024,2.0257,2.0257,2.0257,2.0257,178891,0
19971027,1.9324,1.9324,1.9324,1.9324,137786,0
19971028,1.7385,1.7385,1.7385,1.7385,0,0
19971029,1.9093,1.9093,1.9093,1.9093,245317,0
19971030,1.8781,1.8781,1.8781,1.8781,118795,0
19971031,1.8858,1.8858,1.8858,1.8858,100097,0
19971103,1.9016,1.9016,1.9016,1.9016,212737,0
19971104,1.9016,1.9016,1.9016,1.9016,135319,0
19971105,1.9247,1.9247,1.9247,1.9247,39729,0
19971106,1.7928,1.7928,1.7928,1.7928,90989,0
19971107,1.7928,1.7928,1.7928,1.7928,87649,0
19971112,1.754,1.754,1.754,1.754,122813,0
19971113,1.746,1.746,1.746,1.746,156188,0
19971114,1.7619,1.7619,1.7619,1.7619,462591,0
19971117,1.7774,1.7774,1.7774,1.7774,302783,0
19971118,1.754,1.754,1.754,1.754,104320,0
19971119,1.7307,1.7307,1.7307,1.7307,84251,0
19971120,1.7307,1.7307,1.7307,1.7307,73947,0
19971121,1.7385,1.7385,1.7385,1.7385,184477,0
19971124,1.7228,1.7228,1.7228,1.7228,96843,0
19971125,1.6997,1.6997,1.6997,1.6997,64414,0
19971126,1.7228,1.7228,1.7228,1.7228,105712,0
19971127,1.5678,1.5678,1.5678,1.5678,61874,0
19971128,1.6376,1.6376,1.6376,1.6376,225421,0
19971201,1.6765,1.6765,1.6765,1.6765,210402,0
19971202,1.7074,1.7074,1.7074,1.7074,227813,0
19971203,1.7074,1.7074,1.7074,1.7074,98823,0
19971204,1.6997,1.6997,1.6997,1.6997,144954,0
19971205,1.754,1.754,1.754,1.754,185307,0
19971208,1.7307,1.7307,1.7307,1.7307,58325,0
19971209,1.6997,1.6997,1.6997,1.6997,45477,0
19971210,1.6066,1.6066,1.6066,1.6066,123051,0
19971211,1.5754,1.5754,1.5754,1.5754,196644,0
19971212,1.5754,1.5754,1.5754,1.5754,140992,0
19971215,1.591,1.591,1.591,1.591,123375,0
19971216,1.5987,1.5987,1.5987,1.5987,120420,0
19971217,1.6297,1.6297,1.6297,1.6297,311092,0
19971218,1.5522,1.5522,1.5522,1.5522,59094,0
19971219,1.4746,1.4746,1.4746,1.4746,61856,0
19971222,1.4358,1.4358,1.4358,1.4358,141198,0
19971223,1.4589,1.4589,1.4589,1.4589,108962,0
19971229,1.5135,1.5135,1.5135,1.5135,109379,0
19971230,1.6297,1.6297,1.6297,1.6297,117596,0
19971231,1.6297,1.6297,1.6297,1.6297,94596,0
19980105,1.6843,1.6843,1.6843,1.6843,58531,0
19980106,1.6531,1.6531,1.6531,1.6531,34308,0
19980107,1.5522,1.5522,1.5522,1.5522,65213,0
19980108,1.529,1.529,1.529,1.529,192091,0
19980109,1.5056,1.5056,1.5056,1.5056,223957,0
19980112,1.4047,1.4047,1.4047,1.4047,226999,0
19980113,1.4047,1.4047,1.4047,1.4047,121056,0
19980114,1.4514,1.4514,1.4514,1.4514,237631,0
19980115,1.4279,1.4279,1.4279,1.4279,13275,0
19980116,1.4047,1.4047,1.4047,1.4047,508901,0
19980119,1.4358,1.4358,1.4358,1.4358,146888,0
19980120,1.4047,1.4047,1.4047,1.4047,131223,0
19980121,1.3737,1.3737,1.3737,1.3737,94669,0
19980122,1.3349,1.3349,1.3349,1.3349,394691,0
19980123,1.3349,1.3349,1.3349,1.3349,1276848,0
19980126,1.3658,1.3658,1.3658,1.3658,131920,0
19980127,1.3504,1.3504,1.3504,1.3504,266407,0
19980128,1.3504,1.3504,1.3504,1.3504,162158,0
19980129,1.3814,1.3814,1.3814,1.3814,1692586,0
19980130,1.4202,1.4202,1.4202,1.4202,473220,0
19980202,1.4202,1.4202,1.4202,1.4202,949514,0
19980203,1.4202,1.4202,1.4202,1.4202,395164,0
19980204,1.4047,1.4047,1.4047,1.4047,1100676,0
19980205,1.4047,1.4047,1.4047,1.4047,797865,0
19980206,1.4358,1.4358,1.4358,1.4358,287899,0
19980209,1.5446,1.5446,1.5446,1.5446,716690,0
19980210,1.5446,1.5446,1.5446,1.5446,546353,0
19980211,1.5678,1.5678,1.5678,1.5678,279447,0
19980212,1.591,1.591,1.591,1.591,600644,0
19980213,1.529,1.529,1.529,1.529,447425,0
19980216,1.5056,1.5056,1.5056,1.5056,132436,0
19980217,1.529,1.529,1.529,1.529,417823,0
19980218,1.5522,1.5522,1.5522,1.5522,170569,0
19980219,1.6066,1.6066,1.6066,1.6066,356452,0
19980220,1.5754,1.5754,1.5754,1.5754,165456,0
19980223,1.5522,1.5522,1.5522,1.5522,392886,0
19980224,1.529,1.529,1.529,1.529,146505,0
19980225,1.4903,1.4903,1.4903,1.4903,372075,0
19980226,1.5056,1.5056,1.5056,1.5056,250725,0
19980227,1.5056,1.5056,1.5056,1.5056,141543,0
19980302,1.5056,1.5056,1.5056,1.5056,324880,0
19980303,1.529,1.529,1.529,1.529,1152423,0
