Date,Open,High,Low,Close,Volume,OpenInt
20160322,14.878,14.878,14.007,14.512,6511,0
20160323,14.606,14.606,13.248,14.325,7028,0
20160324,14.278,14.419,14.278,14.419,1856,0
20160329,14.138,14.147,14.044,14.147,1976,0
20160330,14.147,14.512,14.147,14.503,3718,0
20160331,14.054,14.447,14.054,14.447,23,0
20160401,14.372,14.372,14.372,14.372,112,0
20160404,14.372,14.372,14.372,14.372,175,0
20160405,14.372,14.372,14.278,14.278,1183,0
20160406,14.372,14.372,14.138,14.138,752,0
20160407,14.278,14.278,14.091,14.091,127,0
20160408,14.091,14.512,14.091,14.1,2506,0
20160411,14.494,14.494,14.494,14.494,1,0
20160412,14.1,14.391,14.091,14.391,358,0
20160413,14.363,14.363,14.1,14.363,281,0
20160414,14.232,14.325,14.232,14.325,860,0
20160415,14.044,14.288,13.951,14.288,1901,0
20160418,14.054,14.054,14.035,14.035,903,0
20160419,13.969,13.969,13.932,13.932,873,0
20160420,13.904,13.904,13.295,13.314,1698,0
20160421,13.576,13.67,13.576,13.576,739,0
20160422,13.576,13.951,13.576,13.951,117,0
20160425,13.67,13.67,13.305,13.305,1079,0
20160426,13.623,14.232,13.623,14.232,3113,0
20160427,14.232,14.7,14.232,14.241,8481,0
20160428,14.25,14.25,14.25,14.25,314,0
20160502,14.325,14.325,14.325,14.325,101,0
20160504,13.717,13.988,13.698,13.698,1246,0
20160506,13.857,14.503,13.857,13.951,1068,0
20160509,14.044,14.044,14.044,14.044,11,0
20160510,14.044,14.11,14.044,14.11,770,0
20160511,14.063,14.597,14.063,14.512,2987,0
20160512,14.55,14.55,14.325,14.447,2681,0
20160513,14.419,14.419,14.419,14.419,214,0
20160516,14.475,14.503,14.438,14.503,940,0
20160517,14.512,14.512,14.466,14.466,1670,0
20160518,14.419,14.419,14.419,14.419,64,0
20160519,14.325,14.512,14.325,14.512,11596,0
20160520,14.597,14.606,14.597,14.606,2986,0
20160523,14.419,14.419,14.325,14.325,694,0
20160524,14.512,14.606,14.512,14.522,1034,0
20160525,14.606,14.606,14.606,14.606,514,0
20160530,14.512,14.512,14.335,14.512,411,0
20160531,14.466,14.512,14.325,14.512,1728,0
20160601,14.335,14.335,14.082,14.082,999,0
20160602,14.054,14.606,14.044,14.606,3857,0
20160603,14.606,14.606,14.606,14.606,85,0
20160606,14.606,14.606,14.232,14.232,365,0
20160607,14.213,14.587,14.213,14.587,1111,0
20160608,14.185,14.325,14.185,14.325,1015,0
20160609,14.325,14.325,14.325,14.325,162,0
20160610,14.232,14.232,14.232,14.232,1068,0
20160614,14.241,14.241,14.054,14.054,449,0
20160615,14.054,14.054,14.044,14.044,420,0
20160616,13.951,13.951,13.763,13.763,216,0
20160620,13.763,13.773,13.763,13.763,536,0
20160621,13.3983,13.3983,13.3983,13.3983,43,0
20160622,13.7447,13.932,13.7447,13.932,237,0
20160624,13.3983,13.5668,12.6399,13.52,4523,0
20160627,14,14,13.9,14,1731,0
20160628,14,14,14,14,422,0
20160629,13.9,14.5,13.9,14.49,710,0
20160630,14.2,14.2,14.2,14.2,4,0
20160701,14.1,14.11,14.1,14.11,370,0
20160704,14.2,14.2,13.8,13.8,2208,0
20160705,13.9,13.9,13.35,13.35,271,0
20160706,13.3,13.32,13.3,13.3,1219,0
20160707,13.3,13.4,13.3,13.4,1611,0
20160712,13.49,13.5,13.49,13.5,431,0
20160713,13.4,13.4,13.4,13.4,56,0
20160714,13.21,13.21,13.21,13.21,72,0
20160715,13.55,13.55,13.55,13.55,75,0
20160718,13.55,13.55,13.32,13.32,403,0
20160719,13.3,13.3,13.26,13.26,1160,0
20160720,13.29,13.59,13.29,13.59,2310,0
20160721,13.59,13.59,13.21,13.24,152,0
20160722,13.77,13.8,13.77,13.8,794,0
20160725,14,14.5,13.51,14.5,1550,0
20160726,14.5,14.67,14.5,14.67,1041,0
20160727,14.7,14.7,14.67,14.67,100,0
20160728,14.5,14.5,14.5,14.5,100,0
20160729,14.49,14.95,14.49,14.95,377,0
20160801,14.44,14.44,14.44,14.44,100,0
20160804,14.85,14.85,14.85,14.85,25,0
20160808,14.45,14.45,14.45,14.45,305,0
20160809,14.49,14.49,14.49,14.49,100,0
20160810,14.49,14.49,14.44,14.44,200,0
20160811,14.5,14.5,14.5,14.5,190,0
20160812,14.55,14.99,14.55,14.99,850,0
20160816,14.52,14.99,14.44,14.99,205,0
20160817,14.45,14.99,14.45,14.99,25,0
20160818,14.99,14.99,14.99,14.99,150,0
20160824,14.8,14.8,14.41,14.75,671,0
20160829,14.4,14.7,14.4,14.7,230,0
20160830,14.46,14.46,14.4,14.4,674,0
20160831,14.7,15.07,14.5,14.95,7869,0
20160901,14.95,14.98,14.95,14.98,819,0
20160902,14.95,14.95,14.45,14.9,687,0
20160905,14.89,14.89,14.45,14.7,446,0
20160906,14.48,14.85,14.48,14.85,689,0
20160907,14.83,15,14.83,15,5075,0
20160908,14.99,15.2,14.9,15.2,37727,0
20160909,15.1,15.45,15,15.2,54838,0
20160912,14.85,14.85,14.7,14.7,17963,0
20160913,14.7,14.7,14.7,14.7,2189,0
20160914,14.56,14.56,14.56,14.56,20,0
20160915,14.57,15.35,14.56,15.29,9967,0
20160916,15.32,15.35,15.3,15.32,350,0
20160919,15.3,15.35,15.3,15.35,3289,0
20160920,15.2,15.35,15.01,15.1,296,0
20160921,15.12,15.4,15.12,15.35,3070,0
20160923,15.35,15.4,15.35,15.4,582,0
20160926,15.4,15.47,14.95,15.47,2526,0
20160927,15.16,15.47,15.15,15.47,83,0
20160928,15.15,15.47,15,15.46,77,0
20160929,15.4,15.6,15.4,15.6,18464,0
20160930,15.6,15.7,15.6,15.7,500,0
20161003,15.7,15.7,15.6,15.6,260,0
20161004,15.6,15.7,15.31,15.52,3162,0
20161006,15.4,15.52,15.4,15.52,200,0
20161007,15.52,15.6,15.52,15.6,380,0
20161010,15.6,15.66,15.25,15.43,12282,0
20161011,15.45,15.45,15.45,15.45,300,0
20161012,15.4,15.4,15.4,15.4,100,0
20161013,15.45,15.67,15.45,15.67,3659,0
20161014,15.5,15.5,15.5,15.5,50,0
20161017,15.3,15.66,15.3,15.5,554,0
20161018,15.5,15.5,15.5,15.5,5779,0
20161019,15.68,15.68,15.67,15.67,110,0
20161021,15.5,15.5,15.5,15.5,205,0
20161024,15.5,15.5,15.3,15.3,1166,0
20161025,15.63,15.63,15.63,15.63,160,0
20161027,15.3,15.5,15,15.24,855,0
20161028,15.25,15.25,15.25,15.25,2,0
20161031,15.25,15.48,15.25,15.48,2474,0
20161103,14.95,15.09,14.91,15.09,952,0
20161104,15.09,15.37,15.09,15.37,997,0
20161107,15,15,15,15,50,0
