Date,Open,High,Low,Close,Volume,OpenInt
20091028,11.951,14.379,11.951,12.768,9193,0
20091029,12.62,14.103,12.62,12.879,7505,0
20091030,13.732,13.732,12.99,13.057,9286,0
20091102,13.087,13.138,12.611,12.76,2688,0
20091103,12.611,12.768,12.211,12.611,1263,0
20091104,12.211,12.99,12.211,12.99,118,0
20091105,12.99,12.99,12.99,12.99,162,0
20091106,12.99,14.103,12.99,12.99,2474,0
20091109,12.99,13.286,12.99,12.99,1494,0
20091110,12.99,13.138,12.99,12.99,629,0
20091112,12.99,12.99,12.916,12.916,301,0
20091116,12.916,12.916,12.916,12.916,433,0
20091118,12.842,12.916,12.842,12.842,46,0
20091119,12.782,12.782,12.626,12.626,176,0
20091123,12.99,12.99,12.99,12.99,269,0
20091124,12.99,12.99,12.99,12.99,135,0
20091125,12.99,12.99,12.953,12.953,4,0
20091126,11.662,12.842,11.662,12.842,9863,0
20091203,11.581,12.611,11.581,12.611,3099,0
20091204,11.817,12.611,11.817,12.611,258,0
20091217,12.323,12.62,12.323,12.62,256,0
20091218,11.617,12.62,11.617,12.62,1290,0
20091221,12.62,12.62,12.62,12.62,585,0
20091228,12.62,12.62,12.62,12.62,594,0
20091229,12.62,12.62,12.62,12.62,42,0
20091231,12.62,12.62,12.62,12.62,1795,0
20100104,11.514,12.611,11.514,12.611,105,0
20100105,11.884,12.026,11.877,12.026,1266,0
20100106,12.026,12.026,12.026,12.026,338,0
20100107,12.248,12.248,12.026,12.241,302,0
20100108,11.877,11.988,11.877,11.988,405,0
20100112,11.514,11.869,11.505,11.855,14109,0
20100113,12.018,12.018,12.01,12.01,88,0
20100114,11.505,12.003,11.505,12.003,13513,0
20100115,11.877,11.877,11.877,11.877,132,0
20100122,11.105,11.877,11.105,11.877,163,0
20100126,11.869,11.869,11.869,11.869,66,0
20100202,10.993,11.862,10.993,11.862,202,0
20100205,11.016,11.016,11.007,11.007,342,0
20100216,10.993,10.993,10.993,10.993,111,0
20100222,10.391,10.615,10.391,10.615,201,0
20100226,10.986,11.001,10.986,11.001,266,0
20100302,11.061,11.061,11.061,11.061,95,0
20100304,11.135,11.135,11.135,11.135,53,0
20100310,11.135,11.135,11.135,11.135,1159,0
20100311,10.763,10.763,10.763,10.763,53,0
20100312,11.135,11.795,11.135,11.795,5714,0
20100315,11.877,11.877,11.877,11.877,548,0
20100317,12.472,12.611,12.396,12.396,475,0
20100318,12.611,12.62,12.582,12.582,3694,0
20100329,11.505,12.582,11.505,12.582,270,0
20100330,12.582,12.611,12.582,12.611,220,0
20100331,12.621,12.621,12.508,12.508,1320,0
20100401,12.539,12.544,12.539,12.544,2,0
20100406,12.508,12.508,12.174,12.248,689,0
20100412,11.877,12.211,11.766,12.026,865,0
20100413,11.142,11.581,11.135,11.223,799,0
20100414,12.248,12.248,12.248,12.248,135,0
20100415,11.847,11.877,11.142,11.795,1780,0
20100416,11.357,12.026,11.357,11.505,1486,0
20100419,11.684,11.684,11.505,11.505,7,0
20100420,11.505,11.795,11.505,11.542,677,0
20100421,11.55,11.721,11.505,11.505,686,0
20100423,11.509,11.509,10.795,11.284,999,0
20100426,11.284,11.284,11.284,11.284,169,0
20100427,11.284,11.284,11.135,11.135,501,0
20100428,11.068,11.068,11.061,11.061,734,0
20100429,11.135,11.135,11.061,11.061,138,0
20100430,11.208,11.208,11.058,11.058,77,0
20100504,11.061,11.061,10.986,10.986,166,0
20100505,11.239,11.239,11.239,11.239,4,0
20100506,11.239,11.239,11.239,11.239,2,0
20100507,10.875,11.128,10.875,11.128,142,0
20100510,11.2,11.2,10.837,10.949,944,0
20100511,10.837,10.837,10.243,10.243,4232,0
20100512,10.094,10.094,9.65,9.65,9702,0
20100513,9.65,9.65,8.7588,9.2796,86655,0
20100514,9.798,9.798,8.8183,8.8183,27979,0
20100517,8.9446,8.9446,8.5363,8.789,1791,0
20100518,8.9748,8.9748,8.1355,8.195,22576,0
20100519,8.195,8.195,7.475,7.475,8899,0
20100520,7.5714,7.5714,7.3117,7.423,5464,0
20100521,7.423,7.5566,7.423,7.5566,2794,0
20100524,7.5566,7.5566,7.3415,7.5493,2065,0
20100525,7.4899,7.4899,6.9778,7.3712,8933,0
20100526,7.4157,7.6235,7.2745,7.6235,1811,0
20100527,7.6382,7.6382,7.4675,7.6308,3630,0
20100528,7.6382,7.6382,7.475,7.5714,7208,0
20100531,7.5721,7.9703,7.5721,7.8426,3995,0
20100601,7.8982,7.8982,7.6457,7.7942,1727,0
20100602,7.7942,7.7942,7.757,7.757,3545,0
20100604,7.757,7.7942,7.7201,7.7201,1776,0
20100607,7.6382,7.6457,7.4972,7.4972,544,0
20100608,7.4157,7.4157,7.3488,7.3488,659,0
20100609,7.3415,7.3488,7.2745,7.3488,1456,0
20100610,7.3488,7.6457,7.3488,7.6457,1984,0
20100611,7.6457,7.6457,7.4304,7.4972,2676,0
20100614,7.6235,7.7942,7.4972,7.6457,1536,0
20100615,7.7201,7.7201,7.6457,7.6457,405,0
20100616,7.7223,7.7223,7.5721,7.6848,956,0
20100617,7.6247,7.6247,7.5346,7.6247,916,0
20100618,7.5346,7.5346,7.4069,7.5346,944,0
20100621,7.5344,7.5344,7.423,7.5344,1145,0
20100622,7.5346,7.5346,7.1289,7.2943,5144,0
20100623,7.2566,7.3469,6.9111,7.084,12469,0
20100624,7.084,7.084,6.7683,7.0312,3465,0
20100625,7.0237,7.1516,6.9336,7.1516,635,0
20100628,6.7909,6.9036,6.7459,6.8886,13995,0
20100629,7.1214,7.1214,6.8135,6.8209,1418,0
20100630,6.9566,6.9876,6.895,6.9876,3061,0
20100701,6.9111,6.9863,6.836,6.9863,128,0
20100702,6.9863,7.0462,6.9863,7.0462,211,0
20100705,6.836,7.0914,6.836,7.0914,135,0
20100706,6.8435,7.0613,6.7759,7.0613,919,0
20100707,7.0613,7.0613,7.0613,7.0613,92,0
20100708,7.0613,7.3542,7.0613,7.2866,4887,0
20100709,7.2866,7.3542,7.2866,7.3542,82,0
20100712,7.3542,7.3542,7.3542,7.3542,53,0
20100713,7.3542,7.3542,7.1439,7.3542,205,0
20100714,7.3619,7.3619,7.3244,7.3619,444,0
20100715,7.3619,7.437,7.2866,7.2866,604,0
20100716,7.2866,7.3093,7.1589,7.3093,360,0
20100719,7.0689,7.3167,7.0613,7.3167,213,0
20100720,7.3167,7.3167,7.0613,7.0613,457,0
20100721,7.3469,7.3469,7.2117,7.2117,160,0
20100722,7.2117,7.3394,7.1364,7.3394,576,0
20100723,7.3394,7.3692,7.1064,7.3692,1117,0
20100726,7.3542,8.0379,7.1364,7.6623,7370,0
20100727,7.7374,8.3083,7.6247,7.6247,111174,0
20100728,8.0379,8.0379,7.7374,7.7374,8806,0
20100729,7.9627,7.9627,7.8877,7.9553,6748,0
20100730,7.9627,7.9627,7.6998,7.9178,3321,0
20100802,8.0005,8.0379,7.8125,8.0379,3840,0
20100803,8.1131,8.1131,7.9178,8.0379,2019,0
20100804,8.0379,8.0379,7.7975,7.8877,817,0
20100805,7.7975,7.7975,7.4969,7.6023,49810,0
20100806,7.5946,7.7223,7.5946,7.7223,117,0
20100809,7.6023,7.775,7.5946,7.76,1315,0
20100810,7.7674,7.7674,7.437,7.6548,1584,0
20100811,7.73,7.73,7.422,7.5797,1450,0
20100812,7.4746,7.7149,7.4746,7.6247,696,0
20100813,7.5797,7.6623,7.5797,7.6623,431,0
20100816,7.6998,7.6998,7.6924,7.6998,253,0
20100817,7.6998,7.6998,7.6623,7.6623,66,0
20100818,7.467,7.4969,7.3017,7.4969,1843,0
20100819,7.3843,7.6998,7.3843,7.6998,1387,0
20100820,7.5196,7.6623,7.3993,7.5872,953,0
20100823,7.5797,7.6548,7.392,7.512,2005,0
20100824,7.512,7.512,7.3843,7.512,3957,0
20100825,7.6247,7.6247,7.6247,7.6247,1,0
20100826,7.5872,7.5872,7.5872,7.5872,20,0
20100827,7.3843,7.512,7.2117,7.512,5587,0
20100830,7.5797,7.6924,7.437,7.6623,2334,0
20100831,7.6623,7.6623,7.3318,7.6473,313,0
20100901,7.6623,7.6623,7.512,7.5872,2017,0
20100902,7.5872,7.8877,7.5872,7.7975,6657,0
20100903,7.8125,7.9627,7.7975,7.8801,6359,0
20100906,7.8877,7.9252,7.7074,7.8877,7501,0
20100907,8.0305,8.0305,7.9252,7.9252,758,0
20100908,7.6998,7.9703,7.6998,7.9703,826,0
20100909,7.9778,8.1131,7.9778,8.1131,8740,0
20100910,8.1131,8.2633,7.9928,7.9928,32639,0
20100913,8.1807,8.338,8.0455,8.338,3838,0
20100914,8.4135,8.639,8.338,8.639,7415,0
20100915,8.6539,8.9016,8.6539,8.7671,5517,0
20100916,8.8567,9.0141,8.714,8.962,5555,0
20100917,9.0141,9.0141,8.714,8.8495,3689,0
20100920,8.8265,9.0141,8.789,8.9318,4778,0
20100921,8.8495,8.8495,8.1581,8.3459,8590,0
20100922,8.5862,8.5862,8.2708,8.5564,1097,0
20100923,8.616,8.6837,8.3837,8.5942,9329,0
20100924,8.6766,8.7516,8.6011,8.6539,6313,0
20100927,8.6539,8.7516,8.6539,8.7442,412,0
20100928,8.4661,8.736,8.4661,8.5942,1370,0
20100929,8.5862,8.6837,8.5862,8.6617,3567,0
20100930,8.6617,8.6688,8.639,8.639,4398,0
20101001,8.639,8.6766,8.639,8.639,4844,0
20101004,8.639,8.736,8.639,8.736,1992,0
20101005,8.736,8.789,8.639,8.736,2356,0
20101006,8.789,8.789,8.6837,8.789,469,0
20101007,8.7817,8.7817,8.639,8.639,1309,0
20101008,8.789,8.789,8.639,8.639,2689,0
20101011,8.6468,8.7817,8.6468,8.7817,600,0
20101012,8.789,8.8193,8.6091,8.8193,997,0
20101013,8.8193,8.8193,8.6091,8.6091,871,0
20101014,8.624,8.7442,8.624,8.7442,149,0
20101015,8.6468,8.714,8.6091,8.714,788,0
20101018,8.6468,8.7744,8.6468,8.714,1018,0
20101019,8.7067,8.7067,8.6091,8.6688,6461,0
20101020,8.5793,8.6617,8.5793,8.6617,48,0
20101021,8.6617,8.6766,8.624,8.639,2093,0
20101022,8.639,8.6766,8.5713,8.5713,2708,0
20101025,8.6766,8.6766,8.5942,8.5942,180,0
20101026,8.4959,8.639,8.4959,8.639,3685,0
20101027,8.6837,8.6837,8.6319,8.639,1243,0
20101028,8.714,8.714,8.7067,8.7067,782,0
20101029,8.638,8.715,8.5688,8.715,2462,0
20101102,9.0141,9.1955,9.0141,9.142,8012,0
20101103,9.1573,9.1573,9.142,9.142,1529,0
20101104,9.1496,9.1496,9.1496,9.1496,283,0
20101105,9.0141,9.0141,8.8265,8.8265,1387,0
20101108,9.0077,9.0077,8.8495,8.8495,606,0
20101109,8.9766,9.1573,8.8723,9.0141,7851,0
20101110,9.0141,9.1573,8.9766,9.0904,2258,0
20101112,9.142,9.142,9.1276,9.1276,244,0
20101115,9.1276,9.1276,8.9766,9.0745,1398,0
20101116,9.0141,9.0904,9.0141,9.0141,1955,0
20101117,9.0141,9.0141,8.4135,8.639,2366,0
20101118,9.0516,9.0516,8.6766,8.6766,3848,0
20101119,8.7516,8.7516,8.7516,8.7516,345,0
20101122,8.94,8.94,8.7744,8.7744,1012,0
20101123,8.9016,8.9016,8.5942,8.5942,467,0
20101124,8.4135,8.4135,8.2633,8.4135,2018,0
20101125,8.3008,8.3008,8.2708,8.2708,1159,0
20101126,8.3008,8.3008,8.2633,8.3008,1643,0
20101129,8.2633,8.2708,8.2633,8.2633,1461,0
20101130,8.2633,8.338,8.2633,8.338,188,0
20101201,8.2633,8.338,8.2633,8.338,203,0
20101202,8.338,8.338,8.2633,8.2633,536,0
20101203,8.338,8.338,8.338,8.338,245,0
20101206,8.2633,8.2633,8.2258,8.2258,660,0
20101207,8.2258,8.94,8.2258,8.789,156,0
20101208,8.2331,8.5634,8.2331,8.5634,73,0
20101209,8.2331,8.2633,8.2331,8.2633,384,0
20101210,8.2633,8.2633,8.2633,8.2633,262,0
20101213,8.4889,8.4889,8.4135,8.4135,281,0
20101214,8.1881,8.4135,8.1881,8.4135,27582,0
20101215,8.1881,8.3757,8.1881,8.3757,348,0
20101216,8.3608,8.4512,8.3608,8.4512,154,0
20101217,8.1881,8.4135,8.1506,8.4135,1872,0
20101220,8.2031,8.2258,8.1957,8.2258,413,0
20101221,8.1881,8.2633,8.1881,8.1881,78429,0
20101222,8.2559,8.2559,8.2559,8.2559,200,0
20101223,8.2559,8.2633,8.1881,8.2633,6279,0
20101227,8.1881,8.338,8.1881,8.338,5457,0
20101228,8.3688,8.3688,8.2331,8.3008,5330,0
20101229,8.2986,8.2986,8.2986,8.2986,241,0
20101230,8.2986,8.4915,8.2602,8.4915,2880,0
20101231,8.4915,8.638,8.4915,8.638,830,0
20110103,8.3608,8.5634,8.3608,8.5634,33879,0
20110104,8.5634,8.5634,8.4284,8.4284,433,0
20110105,8.5265,8.5265,8.3986,8.3986,999,0
20110107,8.4065,8.5265,8.4065,8.5265,2032,0
20110111,8.5634,8.5634,8.5634,8.5634,719,0
20110112,8.5634,8.5634,8.3986,8.4065,879,0
20110113,8.5634,8.5634,8.5634,8.5634,200,0
20110114,8.4135,8.5634,8.4065,8.4512,53718,0
20110117,8.3008,8.3008,8.3008,8.3008,12,0
20110118,8.5793,8.6011,8.5793,8.6011,409,0
20110119,8.639,8.639,8.639,8.639,118,0
20110120,8.736,8.7516,8.736,8.7516,202,0
20110121,8.8641,8.8641,8.639,8.639,857,0
20110126,8.3539,8.3608,8.3539,8.3608,371,0
20110127,8.3539,8.3539,8.3539,8.3539,133,0
20110128,8.3539,8.3539,8.3539,8.3539,106,0
20110131,8.3529,8.3529,8.3371,8.3371,572,0
20110201,8.6468,8.6539,8.639,8.6539,388,0
20110202,8.6766,8.6766,8.6766,8.6766,382,0
20110203,8.6617,8.6688,8.6617,8.6688,241,0
20110204,8.4889,8.4889,8.4889,8.4889,399,0
20110207,8.5634,8.5634,8.5265,8.5265,227,0
20110208,8.6688,8.7067,8.6688,8.7067,137,0
20110209,8.5713,8.5713,8.4214,8.4214,445,0
20110210,8.3837,8.3837,8.3837,8.3837,91,0
20110211,8.4889,8.4889,8.481,8.4889,946,0
20110214,8.4889,8.4889,8.4889,8.4889,72,0
20110215,8.338,8.714,8.338,8.714,13545,0
20110216,8.714,8.8037,8.714,8.8037,2855,0
20110217,8.789,8.8265,8.7214,8.7214,1032,0
20110218,8.9318,9.0141,8.9318,9.0141,1112,0
20110221,9.0141,9.0904,9.0141,9.0904,868,0
20110222,8.9766,8.9766,8.5634,8.5634,316,0
20110223,8.7817,8.789,8.7817,8.789,267,0
20110224,8.4959,8.4959,8.4889,8.4889,399,0
