Date,Open,High,Low,Close,Volume,OpenInt
20130318,2.13,2.13,1.81,2,1513,0
20130319,1.7,1.7,1.58,1.58,1208,0
20130320,1.25,1.25,1.25,1.25,216,0
20130321,1.58,1.58,1.58,1.58,76,0
20130326,1.09,1.09,1.09,1.09,441,0
20130327,1.09,1.09,1.09,1.09,200,0
20130328,1,1,0.99,0.99,231,0
20130408,0.99,0.99,0.99,0.99,1482,0
20130606,0.9,1.07,0.9,1.07,3000,0
20130611,1.15,1.15,1.15,1.15,501,0
20130619,1.17,1.17,1.17,1.17,101,0
20130710,1.3,1.3,1.3,1.3,10,0
20130819,1.3,1.3,1.3,1.3,1,0
20130902,1.2,1.2,1.2,1.2,609,0
20130917,1.3,1.3,1.3,1.3,1159,0
20130918,1.6,1.6,1.6,1.6,950,0
20130919,2.13,2.13,2.13,2.13,1001,0
20130920,2.13,2.13,2.13,2.13,300,0
20130925,2,2,2,2,300,0
20131014,2.07,2.07,2.07,2.07,1450,0
20140107,2.01,2.01,2.01,2.01,1,0
20140108,2.09,2.09,2.09,2.09,1,0
20140930,2.1,2.1,2.1,2.1,800,0
20141001,2.5,2.5,2.5,2.5,800,0
20141010,2.15,2.15,2.15,2.15,25,0
20141013,2.15,2.15,2.15,2.15,775,0
20141016,2,2,2,2,1,0
20141027,2,2,2,2,799,0
20141223,2.15,2.15,2.15,2.15,35,0
20150107,2.02,2.02,2.02,2.02,35,0
20150128,2.17,2.17,2.17,2.17,10,0
20150204,2.02,2.02,2.02,2.02,10,0
20150330,2.17,2.17,2.17,2.17,10,0
20150427,2.2,2.2,2.2,2.2,10,0
20150430,2.05,2.05,2.05,2.05,8,0
20150507,2.05,2.05,2.05,2.05,2,0
20150826,2.05,2.05,2.05,2.05,100,0
20151005,2.1,2.1,2.1,2.1,470,0
20151006,2.16,2.16,2.16,2.16,245,0
20151007,2.19,2.21,2.19,2.21,1350,0
20151008,2.23,2.24,2.23,2.24,1363,0
20151009,2.26,2.28,2.26,2.28,2778,0
20151012,2.28,2.28,2.26,2.26,631,0
20151013,2.26,2.26,2.26,2.26,1000,0
20151014,2.26,2.26,2.24,2.24,611,0
20151015,2.27,2.3,2.27,2.3,1410,0
20151016,2.28,2.3,2.28,2.3,1501,0
20151019,2.26,2.28,2.26,2.28,1450,0
20151021,2.26,2.26,2.26,2.26,400,0
20151022,2.26,2.28,2.24,2.26,2051,0
20151023,2.28,2.28,2.28,2.28,2295,0
20151026,2.26,2.26,2.26,2.26,982,0
20151028,2.27,2.27,2.27,2.27,1000,0
20151029,2.26,2.26,2.26,2.26,1000,0
20151030,2.26,2.28,2.26,2.28,1582,0
20151103,2.32,2.32,2.3,2.3,2301,0
20151104,2.3,2.3,2.3,2.3,1906,0
20151105,2.3,2.32,2.3,2.32,2001,0
20151106,2.33,2.5,2.33,2.4,1012,0
20151109,2.35,2.35,2.33,2.35,1680,0
20151110,2.33,2.4,2.33,2.38,1788,0
20151112,2.38,2.38,2.37,2.37,1481,0
20151113,2.34,2.35,2.34,2.35,2476,0
20151117,2.36,2.37,2.36,2.37,1798,0
20151118,2.37,2.37,2.37,2.37,1480,0
20151119,2.34,2.38,2.34,2.38,2674,0
20151120,2.33,2.39,2.33,2.39,802,0
20151123,2.39,2.39,2.34,2.34,2269,0
20151124,2.33,2.45,2.33,2.45,2504,0
20151125,2.37,2.44,2.37,2.41,2604,0
20151126,2.4,2.4,2.32,2.34,4054,0
20151127,2.37,2.37,2.3,2.37,2755,0
20151130,2.36,2.38,2.34,2.34,4935,0
20151201,2.31,2.32,2.29,2.32,4922,0
20151202,2.34,2.36,2.32,2.35,4303,0
20151203,2.35,2.35,2.35,2.35,500,0
20151207,2.34,2.37,2.34,2.37,3001,0
20151208,2.37,2.39,2.36,2.39,3100,0
20151209,2.39,2.42,2.38,2.4,4601,0
20151210,2.42,2.42,2.41,2.41,3000,0
20151211,2.37,2.39,2.37,2.39,6216,0
20151214,2.4,2.41,2.39,2.41,2833,0
20151215,2.33,2.39,2.33,2.39,3501,0
20151216,2.37,2.37,2.37,2.37,1000,0
20151217,2.38,2.4,2.38,2.4,3201,0
20151218,2.39,2.4,2.39,2.4,2661,0
20151221,2.4,2.42,2.38,2.4,4219,0
20151222,2.39,2.41,2.38,2.39,4639,0
20151223,2.38,2.42,2.36,2.42,1725,0
20151228,2.38,2.38,2.37,2.37,1005,0
20151229,2.36,2.37,2.35,2.37,1010,0
20160104,2.35,2.4,2.34,2.39,4730,0
20160105,2.43,2.43,2.43,2.43,687,0
20160107,2.42,2.42,2.39,2.41,4342,0
20160108,2.39,2.39,2.38,2.38,2000,0
20160111,2.37,2.38,2.37,2.38,3011,0
20160112,2.39,2.39,2.39,2.39,1000,0
20160113,2.41,2.43,2.4,2.4,3322,0
20160114,2.37,2.39,2.37,2.39,2800,0
20160115,2.39,2.39,2.38,2.38,2123,0
20160118,2.4,2.4,2.39,2.4,3172,0
20160119,2.41,2.42,2.41,2.41,2501,0
20160120,2.39,2.44,2.39,2.43,3300,0
20160122,2.43,2.47,2.43,2.47,3284,0
20160127,2.48,2.48,2.48,2.48,540,0
20160202,2.48,2.48,2.48,2.48,460,0
20160205,2.46,2.46,2.46,2.46,1000,0
20160208,2.45,2.45,2.42,2.42,2143,0
20160209,2.49,2.49,2.42,2.45,2965,0
20160210,2.43,2.44,2.41,2.44,4000,0
20160211,2.46,2.46,2.46,2.46,1000,0
20160212,2.43,2.47,2.43,2.47,2507,0
20160215,2.49,2.5,2.47,2.47,1627,0
20160216,2.5,2.5,2.49,2.5,1905,0
20160217,2.51,2.51,2.51,2.51,889,0
20160218,2.47,2.47,2.45,2.47,2910,0
20160219,2.5,2.5,2.5,2.5,1017,0
20160222,2.48,2.48,2.48,2.48,1000,0
20160224,2.5,2.5,2.49,2.49,2421,0
20160229,2.47,2.5,2.47,2.5,1937,0
20160301,2.48,2.48,2.47,2.48,2230,0
20160303,2.48,2.51,2.48,2.51,2773,0
20160304,2.48,2.49,2.47,2.49,3204,0
20160307,2.48,2.48,2.48,2.48,936,0
20160308,2.5,2.5,2.47,2.5,2168,0
20160310,2.51,2.51,2.49,2.49,1743,0
20160311,2.49,2.49,2.48,2.48,2100,0
20160315,2.51,2.53,2.51,2.53,2459,0
20160316,2.54,2.54,2.48,2.53,2251,0
20160317,2.51,2.53,2.49,2.53,2642,0
20160321,2.55,2.55,2.54,2.54,1952,0
20160322,2.53,2.53,2.53,2.53,389,0
20160323,2.54,2.54,2.53,2.54,2251,0
20160324,2.53,2.53,2.53,2.53,77,0
20160329,2.53,2.55,2.53,2.54,3222,0
20160330,2.49,2.51,2.49,2.51,2329,0
20160331,2.53,2.53,2.53,2.53,1315,0
20160404,2.52,2.52,2.51,2.51,1815,0
20160405,2.54,2.55,2.53,2.53,2094,0
20160407,2.5,2.5,2.48,2.48,1916,0
20160408,2.48,2.48,2.46,2.48,1946,0
20160412,2.46,2.46,2.46,2.46,1000,0
20160413,2.42,2.42,2.42,2.42,1,0
20160414,2.46,2.5,2.46,2.5,2055,0
20160418,2.48,2.48,2.48,2.48,10,0
20160419,2.45,2.48,2.45,2.48,1958,0
20160420,2.5,2.5,2.5,2.5,963,0
20160425,2.46,2.46,2.45,2.45,1599,0
20160426,2.48,2.49,2.48,2.49,1451,0
20160428,2.49,2.5,2.49,2.5,1351,0
20160429,2.45,2.46,2.43,2.46,2305,0
20160504,2.45,2.45,2.45,2.45,943,0
20160506,2.45,2.45,2.45,2.45,629,0
20160509,2.43,2.45,2.42,2.45,2038,0
20160516,2.43,2.43,2.42,2.42,1954,0
20160517,2.42,2.45,2.42,2.45,3298,0
20160519,2.43,2.45,2.43,2.45,2514,0
20160520,2.45,2.46,2.45,2.46,1631,0
20160524,2.45,2.45,2.45,2.45,1,0
20160525,2.45,2.45,2.45,2.45,398,0
20160530,2.43,2.44,2.43,2.44,2360,0
20160531,2.42,2.46,2.42,2.46,1952,0
20160601,2.46,2.48,2.46,2.48,1052,0
20160606,2.5,2.51,2.5,2.51,693,0
20160608,2.42,2.45,2.4,2.45,1675,0
20160615,2.4,2.42,2.4,2.42,3855,0
20160616,2.42,2.43,2.42,2.43,1013,0
20160617,2.4,2.43,2.39,2.43,2054,0
20160620,2.42,2.43,2.42,2.43,1167,0
20160621,2.4,2.43,2.4,2.42,833,0
20160622,2.4,2.43,2.4,2.42,985,0
20160705,2.44,2.45,2.44,2.45,510,0
20160706,2.45,2.45,2.45,2.45,500,0
20160707,2.45,2.45,2.44,2.44,450,0
20160708,2.46,2.46,2.46,2.46,600,0
20160711,2.45,2.46,2.45,2.45,2438,0
20160712,2.45,2.45,2.45,2.45,592,0
20160718,2.46,2.46,2.46,2.46,1306,0
20160719,2.45,2.45,2.45,2.45,1999,0
20160722,2.46,2.46,2.46,2.46,1400,0
20160725,2.45,2.45,2.45,2.45,588,0
20160726,2.47,2.47,2.46,2.47,1597,0
20160728,2.46,2.46,2.46,2.46,581,0
20160801,2.47,2.47,2.45,2.45,1729,0
20160802,2.45,2.45,2.45,2.45,474,0
20160804,2.47,2.48,2.47,2.48,1476,0
20160809,2.42,2.45,2.42,2.45,1215,0
20160810,2.48,2.48,2.48,2.48,656,0
20160816,2.42,2.46,2.42,2.46,2223,0
20160817,2.48,2.48,2.45,2.45,1529,0
20160818,2.43,2.43,2.41,2.43,2778,0
20160819,2.43,2.43,2.43,2.43,879,0
20160823,2.43,2.43,2.43,2.43,500,0
20160829,2.43,2.43,2.43,2.43,800,0
20160830,2.43,2.43,2.43,2.43,5,0
20160901,2.43,2.43,2.43,2.43,100,0
20160907,2.41,2.43,2.41,2.43,1786,0
20160908,2.41,2.41,2.41,2.41,685,0
20160909,2.43,2.43,2.43,2.43,795,0
20160912,2.41,2.41,2.41,2.41,1620,0
20160913,2.4,2.43,2.39,2.43,2065,0
20160914,2.55,3.5,2.55,3.5,7297,0
20160915,3.4,3.5,3.4,3.48,2022,0
20160916,3.5,3.63,3.42,3.57,1718,0
20160919,3.56,3.66,3.55,3.66,1836,0
20160920,3.8,3.8,3.61,3.61,1860,0
20160921,3.61,3.7,3.61,3.7,633,0
20160926,3.6,3.65,3.6,3.65,1847,0
20160927,3.6,3.64,3.6,3.64,2680,0
20160928,3.61,3.64,3.6,3.64,844,0
20160930,3.75,3.75,3.63,3.7,1401,0
20161003,3.63,3.7,3.63,3.7,1780,0
20161004,3.63,3.63,3.62,3.62,1338,0
20161005,3.7,3.75,3.7,3.75,1579,0
20161006,3.65,3.65,3.65,3.65,87,0
20161007,3.65,3.65,3.65,3.65,1368,0
20161010,3.62,3.62,3.62,3.62,1650,0
20161012,3.65,3.7,3.65,3.7,1213,0
20161014,3.7,3.7,3.65,3.65,1211,0
20161017,3.65,3.65,3.65,3.65,500,0
20161018,3.63,3.63,3.63,3.63,1937,0
20161019,3.65,3.75,3.65,3.75,1277,0
20161021,3.75,3.75,3.65,3.68,1758,0
20161025,3.65,3.68,3.65,3.68,4683,0
20161026,3.65,3.76,3.63,3.76,1870,0
20161028,3.63,3.65,3.63,3.65,3627,0
20161031,3.63,3.66,3.58,3.66,3444,0
20161102,3.76,3.81,3.76,3.81,1521,0
20161103,3.92,3.92,3.78,3.78,1828,0
20161104,3.7,3.82,3.69,3.82,5940,0
20161107,3.65,3.7,3.65,3.7,2745,0
