Date,Open,High,Low,Close,Volume,OpenInt
20120528,2.0249,2.0249,1.5818,1.6582,127102,0
20120529,1.6582,1.7194,1.345,1.5283,21933,0
20120530,1.4519,1.4825,1.4138,1.4825,141251,0
20120531,1.4246,1.4485,1.2244,1.3365,358336,0
20120601,1.3679,1.3679,1.3068,1.3068,64391,0
20120604,1.2915,1.2915,1.1769,1.2684,245197,0
20120605,1.2244,1.2965,1.1445,1.1604,77379,0
20120606,1.1365,1.2244,1.1365,1.1845,35838,0
20120608,1.1539,1.1539,1.0699,1.0699,31799,0
20120611,1.0774,1.0774,1.0317,1.0699,417999,0
20120612,1.0699,1.0851,1.0317,1.0699,456438,0
20120613,1.0851,1.0851,1.0393,1.0622,68441,0
20120614,1.0699,1.0699,1.0393,1.0393,141724,0
20120615,1.0724,1.0884,1.0484,1.0884,123569,0
20120618,1.1081,1.1309,1.0928,1.1005,291097,0
20120619,1.1232,1.1232,1.1156,1.1156,31015,0
20120620,1.1463,1.1845,1.1463,1.1463,13455,0
20120621,1.1845,1.215,1.1845,1.1997,168867,0
20120622,1.2244,1.2244,1.1445,1.2165,417960,0
20120625,1.2531,1.2531,1.1539,1.1539,121845,0
20120626,1.1386,1.2379,1.1386,1.1463,62206,0
20120627,1.1285,1.1445,1.1044,1.1044,244189,0
20120628,1.1445,1.1764,1.1044,1.1764,12437,0
20120629,1.2084,1.2084,1.2084,1.2084,47791,0
20120703,1.1365,1.2165,1.1365,1.1445,2944,0
20120704,1.1445,1.1845,1.1445,1.1845,92417,0
20120705,1.1523,1.2244,1.1285,1.2005,457191,0
20120706,1.1925,1.2005,1.1845,1.1845,28544,0
20120709,1.2005,1.2005,1.1925,1.2005,3604,0
20120710,1.1925,1.1925,1.1204,1.1204,2601,0
20120711,1.1285,1.1604,1.1204,1.1523,8619,0
20120712,1.1523,1.1523,1.1285,1.1285,1502,0
20120713,1.1285,1.1285,1.1285,1.1285,2747,0
20120716,1.1285,1.1285,1.1285,1.1285,1123,0
20120717,1.1285,1.1285,1.0724,1.0724,394272,0
20120718,1.0884,1.0884,1.0884,1.0884,2000,0
20120719,1.0565,1.0565,1.0565,1.0565,1,0
20120720,1.0804,1.0804,1.0644,1.0644,32537,0
20120723,1.0565,1.0565,1.0565,1.0565,7211,0
20120724,1.0404,1.0964,1.0404,1.0964,181703,0
20120725,1.0565,1.0804,1.0565,1.0804,249910,0
20120726,1.1044,1.1044,1.0404,1.0804,10460,0
20120727,1.0884,1.1044,1.0884,1.1044,7747,0
20120730,1.1044,1.1044,1.1044,1.1044,20405,0
20120731,1.0804,1.1204,1.0804,1.1204,11439,0
20120801,1.0884,1.1365,1.0884,1.1365,243234,0
20120802,1.1445,1.2485,1.1445,1.2485,97919,0
20120803,1.2725,1.2725,1.2405,1.2565,1500,0
20120808,1.2324,1.2324,1.1604,1.2005,29593,0
20120809,1.2485,1.2485,1.2005,1.2005,137,0
20120810,1.1925,1.1925,1.1925,1.1925,1,0
20120813,1.1125,1.1125,1.1125,1.1125,276,0
20120814,1.1044,1.1925,1.1044,1.1925,500,0
20120816,1.1044,1.1845,1.1044,1.1845,7107,0
20120817,1.1204,1.1764,1.1204,1.1764,563,0
20120820,1.1044,1.1044,1.0644,1.0644,7247,0
20120821,1.0644,1.1604,1.0644,1.1604,89,0
20120822,1.1445,1.1445,1.1365,1.1365,14,0
20120823,1.1523,1.1523,1.1523,1.1523,63,0
20120824,1.1523,1.1523,1.1204,1.1523,6396,0
20120827,1.1523,1.1604,1.1523,1.1604,126,0
20120828,1.0804,1.1604,1.0804,1.1604,653,0
20120829,1.0804,1.1604,1.0804,1.1523,4309,0
20120831,1.1204,1.1204,1.1204,1.1204,63,0
20120903,1.0804,1.1125,1.0804,1.1125,10059,0
