Date,Open,High,Low,Close,Volume,OpenInt
20040109,1.4029,1.4886,1.3963,1.4556,8880364,0
20040112,1.449,1.449,1.3633,1.4029,700445,0
20040113,1.3963,1.4293,1.3699,1.4226,1115991,0
20040114,1.3963,1.4029,1.3832,1.3832,102076,0
20040115,1.3699,1.3897,1.3699,1.3897,146362,0
20040116,1.3897,1.3897,1.3436,1.3502,213263,0
20040119,1.3502,1.3502,1.2974,1.2974,368327,0
20040120,1.3041,1.3304,1.3041,1.3041,185878,0
20040121,1.3041,1.337,1.3041,1.3304,347400,0
20040122,1.3172,1.3436,1.3172,1.3436,66366,0
20040123,1.3502,1.4161,1.3436,1.3699,228265,0
20040126,1.3963,1.3963,1.3832,1.3897,67428,0
20040127,1.4095,1.4161,1.3567,1.3567,445579,0
20040128,1.3633,1.3633,1.3304,1.337,49526,0
20040129,1.3172,1.3304,1.3172,1.3238,175308,0
20040130,1.3172,1.337,1.3172,1.337,180734,0
20040202,1.3436,1.3502,1.337,1.3502,98180,0
20040203,1.3502,1.3633,1.337,1.337,63592,0
20040204,1.337,1.3567,1.3304,1.3567,79436,0
20040205,1.3699,1.3699,1.3172,1.3304,115519,0
20040206,1.3172,1.337,1.3172,1.3172,48622,0
20040209,1.3633,1.3633,1.337,1.3567,117672,0
20040210,1.3567,1.3699,1.3567,1.3699,133328,0
20040211,1.3502,1.3699,1.3502,1.3633,99550,0
20040212,1.3699,1.3699,1.3567,1.3633,14064,0
20040213,1.3633,1.3832,1.3502,1.3567,91815,0
20040216,1.337,1.3567,1.337,1.3567,7487,0
20040217,1.3633,1.3963,1.3633,1.3963,96869,0
20040218,1.3963,1.4161,1.3963,1.4161,164514,0
20040219,1.3963,1.4095,1.3832,1.3963,117204,0
20040220,1.3699,1.4293,1.3699,1.4293,108845,0
20040223,1.4095,1.449,1.4095,1.4293,74104,0
20040224,1.4358,1.449,1.4161,1.4424,312844,0
20040225,1.4424,1.5016,1.4424,1.5016,151510,0
20040226,1.495,1.6335,1.495,1.6136,477359,0
20040227,1.6269,1.6269,1.561,1.6269,327501,0
20040301,1.6531,1.6664,1.5543,1.6466,407343,0
20040302,1.6466,1.6466,1.6136,1.64,349895,0
20040303,1.6269,1.6335,1.6136,1.6136,80589,0
20040304,1.6005,1.6005,1.5741,1.5873,153600,0
20040305,1.5675,1.5873,1.5675,1.5807,219001,0
20040308,1.5807,1.5939,1.5214,1.5939,347368,0
20040309,1.5675,1.5807,1.5543,1.5543,22828,0
20040310,1.5214,1.5543,1.5214,1.5411,137850,0
20040311,1.5344,1.5344,1.5344,1.5344,112555,0
20040312,1.5148,1.5543,1.5148,1.5543,28535,0
20040315,1.5543,1.5543,1.4358,1.495,67710,0
20040316,1.4556,1.528,1.4556,1.5214,12912,0
20040317,1.528,1.5543,1.528,1.5543,52427,0
20040318,1.5675,1.5675,1.5344,1.5344,11478,0
20040319,1.5344,1.5344,1.4886,1.5082,42322,0
20040322,1.5214,1.528,1.5082,1.5082,43350,0
20040323,1.5016,1.5082,1.5016,1.5082,93252,0
20040324,1.5082,1.5082,1.4688,1.4886,16716,0
20040325,1.4688,1.5214,1.4688,1.5214,16840,0
20040326,1.5344,1.5344,1.4753,1.5344,19147,0
20040329,1.5344,1.5344,1.4886,1.5214,74477,0
20040330,1.4886,1.5214,1.4886,1.5082,27476,0
20040331,1.5082,1.5082,1.4753,1.4886,49401,0
20040401,1.4886,1.5016,1.4886,1.5016,7891,0
20040402,1.5082,1.5214,1.5082,1.5214,19492,0
20040405,1.495,1.5082,1.4886,1.4886,62719,0
20040406,1.495,1.5148,1.495,1.5148,48216,0
20040407,1.4886,1.5082,1.4886,1.5082,1374,0
20040408,1.5148,1.5148,1.4886,1.5082,98272,0
20040413,1.5344,1.5344,1.4886,1.5082,91442,0
20040414,1.5214,1.528,1.5214,1.528,5021,0
20040415,1.528,1.528,1.4886,1.528,16563,0
20040416,1.5214,1.528,1.5082,1.5148,30190,0
20040419,1.5214,1.5214,1.4886,1.5214,36146,0
20040420,1.5214,1.5214,1.4886,1.5148,44163,0
20040421,1.4688,1.5082,1.4688,1.5016,151541,0
20040422,1.4819,1.5214,1.4819,1.5082,183633,0
20040423,1.5214,1.5478,1.5214,1.5214,52955,0
20040426,1.528,1.5478,1.5016,1.5478,25573,0
20040427,1.5478,1.6005,1.5478,1.5939,73791,0
20040428,1.6005,1.6136,1.5807,1.5807,107194,0
20040429,1.5543,1.5543,1.4753,1.5214,16091,0
20040430,1.5214,1.5214,1.4753,1.495,97835,0
20040504,1.4753,1.5214,1.4753,1.495,91071,0
20040505,1.5082,1.5082,1.4819,1.4886,66648,0
20040506,1.4688,1.4886,1.4688,1.4886,121227,0
20040507,1.4886,1.4886,1.4688,1.4688,44846,0
20040510,1.4293,1.4753,1.4293,1.4622,33215,0
20040511,1.4886,1.4886,1.4293,1.4622,85018,0
20040512,1.4622,1.4622,1.4622,1.4622,3712,0
20040513,1.4622,1.4886,1.3107,1.4424,121943,0
20040514,1.4424,1.4753,1.4424,1.4622,8171,0
20040517,1.4622,1.4622,1.4622,1.4622,76661,0
20040518,1.4622,1.4886,1.4622,1.4886,15563,0
20040519,1.4819,1.4819,1.4819,1.4819,7077,0
20040520,1.4622,1.4622,1.4622,1.4622,19337,0
20040521,1.4424,1.4424,1.4424,1.4424,1403,0
20040524,1.4556,1.4622,1.4424,1.4622,376844,0
20040525,1.4622,1.4819,1.4622,1.4819,51023,0
20040526,1.5082,1.5148,1.4886,1.5148,18897,0
20040528,1.5016,1.5016,1.495,1.5016,23361,0
20040531,1.5016,1.5016,1.5016,1.5016,126,0
20040601,1.5016,1.5016,1.5016,1.5016,32528,0
20040602,1.4753,1.5082,1.4753,1.5082,16653,0
20040604,1.5214,1.5344,1.4622,1.495,2494,0
20040607,1.5214,1.528,1.5214,1.5214,65557,0
20040608,1.5214,1.5214,1.5214,1.5214,4147,0
20040609,1.5214,1.5214,1.4886,1.5214,100021,0
20040611,1.5214,1.5214,1.5148,1.5148,305950,0
20040615,1.495,1.495,1.495,1.495,249,0
20040616,1.5148,1.5148,1.495,1.495,10196,0
20040617,1.5082,1.5082,1.495,1.5082,6208,0
20040618,1.5082,1.5082,1.5082,1.5082,687,0
20040621,1.495,1.495,1.495,1.495,1028,0
20040622,1.4886,1.4886,1.4886,1.4886,811,0
20040623,1.5148,1.5148,1.4886,1.4886,55265,0
20040625,1.4886,1.4886,1.4886,1.4886,1277,0
20040628,1.4293,1.5214,1.4293,1.5214,7766,0
20040629,1.5148,1.5148,1.5148,1.5148,13098,0
20040630,1.4886,1.4886,1.4622,1.4688,17310,0
20040701,1.4622,1.4622,1.4622,1.4622,41230,0
20040702,1.4886,1.4886,1.4886,1.4886,8516,0
20040707,1.4886,1.4886,1.4424,1.4819,465102,0
20040708,1.4819,1.4819,1.4819,1.4819,9387,0
20040709,1.4819,1.4819,1.4622,1.4753,10041,0
20040712,1.4753,1.495,1.4753,1.4753,80465,0
20040713,1.4753,1.4753,1.4753,1.4753,20022,0
20040714,1.4622,1.4622,1.4424,1.4424,8109,0
20040715,1.4886,1.4886,1.4622,1.4622,16125,0
20040716,1.4293,1.4753,1.4293,1.4753,17091,0
20040720,1.4095,1.4622,1.4095,1.4622,4897,0
20040722,1.4358,1.4358,1.4095,1.4293,1130898,0
20040723,1.3963,1.4293,1.3567,1.4293,6923,0
20040726,1.4556,1.4886,1.3633,1.4886,7829,0
20040728,1.449,1.449,1.4424,1.4424,8859,0
20040730,1.4293,1.4753,1.3963,1.4753,32000,0
20040802,1.4095,1.4293,1.4095,1.4293,970186,0
20040803,1.4293,1.4293,1.4293,1.4293,5862,0
20040804,1.4293,1.4293,1.4293,1.4293,96619,0
20040805,1.4819,1.4819,1.4819,1.4819,34,0
20040806,1.4095,1.4753,1.3897,1.3897,12600,0
20040812,1.3897,1.3963,1.3897,1.3963,8826,0
20040816,1.3764,1.3832,1.3764,1.3832,780,0
20040817,1.3041,1.3832,1.3041,1.337,120165,0
20040818,1.3567,1.3567,1.3041,1.3502,130427,0
20040819,1.3699,1.3699,1.337,1.337,89790,0
20040820,1.337,1.337,1.337,1.337,135106,0
20040823,1.3633,1.3633,1.3502,1.3502,9450,0
20040824,1.3633,1.3633,1.3633,1.3633,6457,0
20040825,1.3832,1.3832,1.3633,1.3633,34308,0
20040826,1.4293,1.4293,1.4293,1.4293,34,0
20040827,1.3633,1.4095,1.337,1.4095,6737,0
20040830,1.4095,1.4095,1.3633,1.4095,5488,0
20040831,1.337,1.3502,1.337,1.3502,14471,0
20040901,1.3633,1.4095,1.3633,1.4095,2371,0
20040902,1.3963,1.3963,1.3832,1.3832,3898,0
20040903,1.3832,1.3832,1.3107,1.3107,5082,0
20040906,1.3832,1.3832,1.3107,1.3107,5082,0
20040907,1.3172,1.3172,1.3041,1.3041,19649,0
20040908,1.3502,1.3502,1.3502,1.3502,3214,0
20040909,1.337,1.3502,1.337,1.337,166855,0
20040910,1.3172,1.3172,1.3172,1.3172,14532,0
20040913,1.3238,1.337,1.3238,1.337,308633,0
20040914,1.337,1.337,1.3172,1.337,25794,0
20040915,1.3172,1.3172,1.3041,1.3172,8606,0
20040916,1.3041,1.3172,1.3041,1.3172,5925,0
20040917,1.3107,1.3107,1.3041,1.3041,6457,0
20040920,1.3041,1.3041,1.3041,1.3041,6236,0
20040921,1.3172,1.3172,1.3172,1.3172,22548,0
