Date,Open,High,Low,Close,Volume,OpenInt
20050110,11.029,11.642,10.548,10.679,276413,0
20050111,10.591,10.853,10.241,10.591,65896,0
20050112,10.241,10.635,10.022,10.503,47290,0
20050113,10.503,10.898,10.503,10.853,43701,0
20050114,10.853,11.029,10.548,11.029,22428,0
20050117,10.941,11.029,10.853,10.985,34601,0
20050118,10.985,11.379,10.941,11.204,41422,0
20050119,11.204,11.291,11.204,11.204,35043,0
20050120,11.204,11.204,11.204,11.204,25014,0
20050124,11.204,11.204,10.853,11.029,10137,0
20050125,10.591,11.029,10.591,11.029,988,0
20050126,10.853,10.941,10.853,10.941,13569,0
20050127,10.679,11.029,10.635,11.029,6162,0
20050128,10.766,11.029,10.766,11.029,17582,0
20050131,10.941,11.072,10.941,11.072,1379,0
20050201,10.853,11.204,10.853,11.204,5946,0
20050202,11.029,11.204,11.029,11.204,16183,0
20050203,11.072,11.204,11.072,11.204,16258,0
20050204,10.985,11.204,10.985,11.204,6146,0
20050207,11.204,11.204,11.16,11.204,11894,0
20050208,11.204,11.204,11.204,11.204,3427,0
20050209,11.204,11.204,11.204,11.204,39499,0
20050210,11.204,11.204,11.204,11.204,2974,0
20050211,11.247,11.247,11.247,11.247,6230,0
20050214,11.116,11.116,11.116,11.116,1766,0
20050215,11.16,11.204,11.16,11.204,291,0
20050216,11.204,11.379,11.204,11.379,18965,0
20050217,11.554,11.554,11.116,11.291,3005,0
20050218,11.072,11.379,11.029,11.379,914,0
20050221,11.116,11.116,11.116,11.116,145,0
20050222,11.116,11.116,11.116,11.116,2285,0
20050223,11.247,11.247,11.247,11.247,2285,0
20050224,11.029,11.291,10.81,11.291,7201,0
20050225,11.379,11.379,11.335,11.379,5712,0
20050228,11.116,11.379,10.941,11.379,8032,0
20050301,11.116,11.379,10.853,11.379,40877,0
20050302,11.423,11.423,11.379,11.379,5332,0
20050303,11.116,11.379,11.116,11.379,1952,0
20050304,11.247,11.466,11.247,11.466,174,0
20050307,11.379,11.379,11.379,11.379,11425,0
20050309,11.116,11.291,11.116,11.291,914,0
20050314,11.029,11.291,11.029,11.291,1428,0
20050316,11.072,11.116,10.503,11.116,3942,0
20050317,10.853,11.072,10.591,10.591,3249,0
20050321,10.679,10.679,10.679,10.679,1714,0
20050322,10.679,10.679,10.679,10.679,63,0
20050323,10.46,10.679,10.46,10.679,10966,0
20050324,10.46,10.679,10.46,10.679,11539,0
20050329,10.46,10.46,10.46,10.46,800,0
20050330,10.284,10.372,10.153,10.372,23046,0
20050331,10.416,10.503,10.416,10.503,949,0
20050405,10.284,10.284,10.284,10.284,800,0
20050411,10.065,10.065,9.847,10.065,1873,0
20050412,10.241,10.241,10.241,10.241,572,0
20050414,10.065,10.065,10.065,10.065,514,0
20050415,10.198,10.284,10.198,10.284,16073,0
20050418,10.241,10.241,9.847,9.847,1108,0
20050419,9.847,9.847,9.847,9.847,389,0
20050422,10.065,10.065,10.065,10.065,1943,0
20050426,9.847,9.847,9.803,9.847,29943,0
20050427,9.628,9.803,9.4532,9.672,7477,0
20050502,9.4532,9.4532,9.4532,9.4532,196,0
20050504,9.4532,9.4532,9.4532,9.4532,336,0
20050509,9.672,10.284,9.628,9.716,19290,0
20050510,9.716,9.847,9.672,9.847,1257,0
20050513,9.628,9.628,9.628,9.628,91,0
20050517,9.4098,9.4098,9.4098,9.4098,91,0
20050518,9.2344,9.541,9.191,9.3655,3537,0
20050519,9.541,9.541,9.541,9.541,57,0
20050520,9.3221,9.934,9.3221,9.584,2492,0
20050523,9.803,9.979,9.628,9.628,13085,0
20050525,9.803,9.803,9.584,9.584,206,0
20050527,9.803,9.803,9.803,9.803,5213,0
20050530,9.803,9.979,9.803,9.979,10857,0
20050531,9.979,10.329,9.979,10.329,653,0
20050603,10.198,10.198,10.11,10.11,1211,0
20050606,9.979,10.11,9.979,10.11,11613,0
20050607,9.979,10.11,9.979,10.11,2400,0
20050608,9.979,9.979,9.934,9.979,9197,0
20050610,9.979,10.198,9.979,10.198,5090,0
20050613,10.241,10.679,9.979,10.679,3859,0
20050614,9.979,10.153,9.979,10.153,583,0
20050616,9.979,9.979,9.934,9.934,1142,0
20050620,9.934,9.934,9.847,9.934,6970,0
