Date,Open,High,Low,Close,Volume,OpenInt
20081218,7.2355,7.2355,6.3453,6.3453,12355,0
20081219,6.3358,6.904,6.3263,6.904,13146,0
20081222,6.904,6.904,6.5821,6.6578,11895,0
20081223,6.62,6.62,6.62,6.62,217,0
20081229,6.6294,6.7809,6.6294,6.7715,3952,0
20081230,6.7809,6.8852,6.6294,6.7715,7853,0
20081231,6.8661,6.904,6.8094,6.8094,4910,0
20090105,7.4818,7.4818,6.6578,6.8188,2481,0
20090106,6.6673,7.245,6.6294,7.245,14008,0
20090107,7.1029,7.5764,6.9136,6.9136,45995,0
20090108,6.6767,6.7809,6.6578,6.7809,4312,0
20090112,6.7336,7.2166,6.7336,6.8094,1942,0
20090113,6.6483,7.1882,6.6483,7.1882,3462,0
20090114,7.1882,7.3776,6.8661,7.2829,17641,0
20090115,7.0082,7.0082,7.0082,7.0082,684,0
20090116,6.8378,7.1787,6.8378,6.9136,1265,0
20090119,7.3302,7.3302,7.3302,7.3302,1,0
20090120,6.8188,7.0461,6.6862,7.0461,928,0
20090121,7.0555,7.0555,6.7715,6.7715,317,0
20090122,6.724,6.9136,6.724,6.9136,383,0
20090123,7.0366,7.0366,6.6388,7.0082,372,0
20090126,7.0366,7.0366,6.5158,6.6104,3362,0
20090127,6.6104,6.6104,6.4684,6.5725,1207,0
20090128,6.6104,6.6104,6.6104,6.6104,10,0
20090129,6.5346,6.5346,6.5346,6.5346,1116,0
20090130,6.4589,6.4589,6.3832,6.44,2039,0
20090202,6.5346,6.5346,5.5971,5.957,7448,0
20090203,5.9664,5.9664,5.6823,5.6823,1090,0
20090204,5.6823,5.6823,5.3982,5.5119,2845,0
20090205,5.1141,5.5876,4.8299,5.4361,14900,0
20090206,5.4361,6.5252,5.4361,5.8055,4011,0
20090209,5.4929,5.8434,5.4929,5.8434,4023,0
20090210,5.9855,6.1843,5.6823,6.1843,11077,0
20090211,6.3263,6.5252,6.1558,6.1937,7768,0
20090212,6.3453,6.3453,6.3453,6.3453,340,0
20090213,6.3453,6.4116,6.3453,6.4116,462,0
20090216,6.2506,6.3453,5.6823,5.6823,3485,0
20090217,5.4929,5.4929,5.1331,5.1331,5502,0
20090218,5.0099,5.0099,4.9057,5.0004,4991,0
20090219,5.1235,5.1235,5.1047,5.1047,985,0
20090220,5.1047,5.1047,5.1047,5.1047,10,0
20090223,4.8774,5.0857,4.8774,5.0857,1362,0
20090224,5.1047,5.5876,4.6027,5.5876,17403,0
20090225,5.4361,6.0612,5.4361,5.6823,3045,0
20090226,5.7297,5.957,5.7297,5.957,7656,0
20090227,5.6823,5.8717,5.6823,5.8717,1455,0
20090302,5.7486,5.7486,5.7202,5.7202,668,0
20090303,5.4929,5.6065,5.3887,5.474,13125,0
20090304,5.3414,5.6729,5.3414,5.6729,919,0
20090305,5.7108,5.9192,5.5876,5.9192,2171,0
20090306,5.7771,5.9192,5.3982,5.9192,14577,0
20090309,5.5876,5.5876,5.5876,5.5876,1,0
20090310,5.5971,5.5971,5.5971,5.5971,401,0
20090311,5.5971,5.6823,5.5971,5.6823,6,0
20090312,5.5971,5.6823,5.5971,5.6823,654,0
20090313,5.5876,6.4305,5.5876,6.4305,6439,0
20090316,5.7959,6.2032,5.7959,6.0612,2163,0
20090317,6.4305,6.4305,6.2506,6.2506,400,0
20090318,6.4305,6.4305,6.3642,6.3926,1078,0
20090319,6.3737,6.5346,6.3737,6.5346,106,0
20090320,6.6104,6.6104,6.6104,6.6104,31,0
20090323,6.6767,7.0082,6.5821,7.0082,1433,0
20090324,7.0366,7.0745,7.0082,7.0082,923,0
20090325,7.1029,7.1029,6.9608,6.9608,352,0
20090326,7.2923,7.2923,7.2923,7.2923,2,0
20090327,7.2923,7.2923,7.1976,7.1976,55,0
20090330,7.1976,7.1976,7.1976,7.1976,2,0
20090331,7.1976,7.1976,7.1976,7.1976,2,0
20090401,7.1976,7.1976,6.8188,6.8188,2,0
20090402,6.9136,7.2923,6.9136,7.2923,383,0
20090403,7.1976,7.2923,6.9136,7.2923,2420,0
20090406,7.2923,7.4627,7.2923,7.3208,3975,0
20090407,7.387,7.4818,7.3681,7.387,3616,0
20090408,7.387,7.4818,7.3302,7.4818,6514,0
20090409,7.529,7.8605,7.4818,7.8605,9982,0
20090414,7.8605,7.8605,7.529,7.529,3955,0
20090415,7.4818,7.5669,7.4818,7.5669,3838,0
20090416,7.4155,7.8605,7.4155,7.8511,6744,0
20090417,7.6617,7.8605,7.6617,7.8605,311,0
20090420,7.8132,7.8132,7.387,7.4344,2687,0
20090421,7.4439,7.6711,7.4439,7.4818,706,0
20090422,7.4818,8.0973,7.4818,8.0973,7449,0
20090423,8.1447,8.6277,8.1447,8.5804,8396,0
20090424,8.7034,8.8834,8.5804,8.855,5464,0
20090427,8.9023,8.9023,8.1447,8.5708,2681,0
20090428,8.9402,11.734,8.9402,10.89,33783,0
20090429,12.199,12.199,10.89,11.335,46220,0
20090430,11.355,11.355,10.89,11.176,15690,0
20090504,11.355,11.355,10.986,11.176,9043,0
20090505,11.374,11.544,11.365,11.365,4252,0
20090506,11.365,11.365,11.318,11.318,3647,0
20090507,11.327,11.327,10.89,11.176,8939,0
20090508,10.9,11.061,10.9,11.025,8143,0
20090511,11.166,11.46,11.166,11.46,20263,0
20090512,11.46,11.724,11.365,11.365,2775,0
20090513,11.365,11.365,10.844,10.844,6496,0
20090514,10.797,10.797,10.797,10.797,105,0
20090515,10.9,10.9,10.511,10.511,3794,0
20090518,10.749,11.166,10.749,10.89,1770,0
20090519,11.176,11.213,11.176,11.176,1584,0
20090520,11.365,11.365,11.335,11.365,8708,0
20090521,11.081,11.45,10.9,11.44,28510,0
20090522,11.44,11.46,11.223,11.46,9467,0
20090525,11.592,11.592,11.365,11.46,2886,0
20090526,11.233,11.554,11.233,11.544,38347,0
20090527,11.573,11.573,11.384,11.384,1978,0
20090528,11.365,11.394,11.365,11.394,17442,0
20090529,11.478,11.507,11.411,11.507,1551,0
20090601,11.507,12.123,11.46,11.839,8223,0
20090602,12.094,12.179,11.839,11.839,4456,0
20090603,11.876,12.141,11.876,11.895,2550,0
20090604,11.981,12.169,11.932,12.169,1470,0
20090605,12.235,12.274,12.217,12.217,2442,0
20090608,12.217,12.311,12.123,12.311,1739,0
20090609,12.311,13.211,12.311,13.211,4254,0
20090610,13.259,13.732,13.259,13.714,4540,0
20090612,12.899,14.017,12.899,14.017,329,0
20090615,13.269,13.543,13.069,13.543,2838,0
20090616,13.543,13.543,13.069,13.543,1149,0
20090617,13.818,13.818,13.165,13.684,962,0
20090618,13.648,13.648,13.155,13.155,1779,0
20090619,12.88,12.88,12.217,12.444,4798,0
20090622,12.738,12.738,12.311,12.69,4855,0
20090623,11.839,12.596,11.839,12.311,1546,0
20090624,12.217,12.217,11.839,12.123,7991,0
20090625,12.123,12.406,12.123,12.123,1724,0
20090626,12.397,12.397,12.217,12.378,2680,0
20090629,12.397,12.397,12.075,12.075,2529,0
20090630,12.123,14.073,11.942,13.732,29102,0
20090701,13.259,14.007,13.259,14.007,4620,0
