Date,Open,High,Low,Close,Volume,OpenInt
20080630,16.342,16.342,13.862,13.862,60362,0
20080701,13.87,13.87,12.483,12.779,87179,0
20080702,12.822,13.801,12.822,13.367,3598,0
20080703,13.29,13.472,13.003,13.177,9672,0
20080704,13.437,13.437,13.012,13.012,9881,0
20080707,13.273,13.273,12.743,13.125,7812,0
20080708,12.959,12.959,12.24,12.562,19224,0
20080709,12.553,12.839,12.553,12.839,9342,0
20080710,12.839,12.952,12.553,12.665,9619,0
20080711,12.952,12.952,12.578,12.656,7804,0
20080714,12.943,13.046,12.578,12.917,1794,0
20080715,12.917,12.917,11.79,11.911,8255,0
20080716,11.356,11.435,11.053,11.435,14476,0
20080717,11.529,11.746,11.261,11.73,11723,0
20080718,11.825,12.137,11.269,12.137,17867,0
20080721,12.137,13.003,11.876,12.977,14896,0
20080722,12.959,12.968,12.656,12.952,15534,0
20080723,12.968,14.399,12.968,14.209,40315,0
20080724,14.217,14.477,13.862,13.958,16153,0
20080725,13.844,13.888,13.315,13.87,5452,0
20080728,14.634,14.634,13.74,14.035,11359,0
20080729,13.87,14.043,13.654,13.949,8994,0
20080730,13.74,14.165,13.74,14.027,9008,0
20080731,13.931,14.217,13.931,14.148,12093,0
20080801,14.122,14.217,13.87,13.879,13276,0
20080804,14.209,14.209,13.74,13.87,6508,0
20080805,13.87,13.87,13.498,13.836,15577,0
20080806,13.87,14.209,13.827,13.949,9032,0
20080807,14.043,14.173,14.035,14.157,18898,0
20080808,14.043,14.13,13.958,14.13,44106,0
20080811,14.2,14.235,14.027,14.052,9256,0
20080812,14.07,14.209,14.07,14.104,4242,0
20080813,14.209,15.111,14.209,14.989,87558,0
20080814,15.006,15.423,14.876,14.928,75755,0
20080818,14.902,14.902,14.217,14.339,8008,0
20080819,14.209,14.209,13.879,13.958,29867,0
20080820,13.87,14.383,13.783,13.801,14559,0
20080821,13.688,13.87,13.48,13.654,28693,0
20080822,13.897,13.897,13.61,13.696,35703,0
20080825,13.696,13.862,13.585,13.696,10238,0
20080826,13.696,13.827,13.61,13.61,92103,0
20080827,13.523,13.663,13.523,13.654,6597,0
20080828,13.619,13.619,13.264,13.437,21482,0
20080829,13.602,13.602,13.315,13.437,5215,0
20080901,13.516,13.516,13.021,13.393,13448,0
20080902,13.385,13.523,13.055,13.523,20615,0
20080903,13.775,13.862,13.523,13.819,15461,0
20080904,13.81,13.81,13.585,13.61,8034,0
20080905,13.61,13.61,13.203,13.264,15550,0
20080908,13.567,13.567,13.021,13.099,19806,0
20080909,13.099,13.264,12.656,13.177,11148,0
20080910,13.306,13.306,12.917,13.003,16498,0
20080911,13.09,13.142,12.873,13.046,2730,0
20080912,13.09,13.09,12.839,12.857,17927,0
20080915,12.83,12.83,12.137,12.146,18248,0
20080916,12.129,12.24,11.79,12.111,14520,0
20080917,12.18,12.18,11.876,11.963,19381,0
20080918,11.833,12.093,11.703,12.085,20483,0
20080919,12.309,12.7,12.309,12.648,125119,0
20080922,12.743,12.743,12.223,12.223,16080,0
20080923,12.223,12.223,11.79,12.18,20072,0
20080924,12.18,12.18,12.05,12.059,4749,0
20080925,12.18,12.18,12.05,12.137,4620,0
20080926,12.18,12.18,11.989,12.12,68841,0
20080929,12.18,12.18,11.721,11.721,39292,0
20080930,11.356,11.486,11.097,11.269,66505,0
20081001,11.269,11.764,11.269,11.66,13293,0
20081002,11.66,11.66,11.139,11.139,7908,0
20081003,11.269,11.269,10.446,10.637,33348,0
20081006,10.576,10.576,9.1025,9.3105,65705,0
20081007,9.2758,9.3801,8.3656,8.4089,141791,0
20081008,7.9755,8.2356,7.5507,8.1315,191968,0
20081009,8.175,8.4089,8.1315,8.1923,31882,0
20081010,7.7934,7.8455,7.5507,7.7588,60752,0
20081013,7.9321,8.1057,7.8195,8.0535,56449,0
20081014,8.4002,9.0591,8.4002,8.8164,320204,0
20081015,8.9811,8.9811,8.4697,8.539,37781,0
20081016,8.2442,8.4956,7.993,8.435,37169,0
20081017,8.5216,8.9117,8.3743,8.7123,33303,0
20081020,8.8857,8.9811,8.6344,8.9811,23575,0
20081021,9.0159,9.2152,8.8857,9.0159,14947,0
20081022,8.7123,8.9292,8.7123,8.7558,11412,0
20081023,9.0159,9.0159,8.6778,8.7558,26485,0
20081024,8.7297,8.7297,8.3656,8.7297,39256,0
20081027,8.6691,8.6691,8.3309,8.4956,15320,0
20081028,8.5824,8.7558,8.5043,8.6256,8726,0
20081029,8.7558,8.9725,8.7558,8.8424,37384,0
20081030,9.1891,9.1891,8.8424,9.1459,32615,0
20081031,9.1804,9.2758,8.8771,9.2758,20055,0
20081103,9.1633,9.51,9.1025,9.3712,30704,0
20081104,9.4924,9.788,9.3712,9.665,16611,0
20081105,9.918,9.918,9.4055,9.4489,12432,0
20081106,9.1025,9.2672,9.0159,9.1633,9269,0
20081107,8.7991,9.3623,8.7991,9.3105,7597,0
