Date,Open,High,Low,Close,Volume,OpenInt
20141217,1.4,1.4,1.06,1.22,573958,0
20141218,1.29,1.4,1.1,1.14,141088,0
20141219,1.09,1.12,0.99,1.01,39430,0
20141222,1.07,1.08,1,1.07,19042,0
20141223,1.14,1.14,1.03,1.11,3578,0
20141229,1.01,1.09,1,1.09,9313,0
20141230,1,1.12,1,1.12,6790,0
20150102,1.13,1.2,1.12,1.13,74190,0
20150105,1.16,1.18,1.14,1.15,5375,0
20150107,1.17,1.26,1.15,1.2,140047,0
20150108,1.2,1.29,1.2,1.25,66512,0
20150109,1.23,1.28,1.2,1.28,54921,0
20150112,1.28,1.83,1.28,1.75,144873,0
20150113,1.67,1.89,1.56,1.66,179007,0
20150114,1.69,1.77,1.45,1.56,74197,0
20150115,1.6,1.67,1.43,1.67,29351,0
20150116,1.67,1.69,1.51,1.65,62938,0
20150119,1.55,1.68,1.41,1.63,30218,0
20150120,1.62,1.62,1.46,1.58,20189,0
20150121,1.46,1.56,1.46,1.54,22492,0
20150122,1.51,1.54,1.49,1.49,11165,0
20150123,1.49,1.5,1.45,1.46,22388,0
20150126,1.47,1.49,1.18,1.31,45597,0
20150127,1.43,1.43,1.3,1.3,35834,0
20150128,1.38,1.42,1.29,1.34,23594,0
20150129,1.34,1.41,1.29,1.35,22575,0
20150130,1.35,1.35,1.23,1.28,53416,0
20150202,1.33,1.45,1.32,1.41,31026,0
20150203,1.44,1.44,1.31,1.31,8013,0
20150204,1.3,1.41,1.3,1.4,29589,0
20150205,1.4,1.42,1.35,1.42,13194,0
20150206,1.42,1.49,1.4,1.48,76421,0
20150209,1.46,1.48,1.43,1.47,19790,0
20150210,1.47,1.48,1.44,1.46,19200,0
20150211,1.46,1.46,1.32,1.4,50603,0
20150212,1.35,1.38,1.28,1.35,35700,0
20150213,1.28,1.34,1.26,1.34,29888,0
20150216,1.32,1.33,1.32,1.33,3080,0
20150217,1.3,1.37,1.29,1.35,9161,0
20150218,1.34,1.37,1.28,1.35,18663,0
20150219,1.34,1.34,1.29,1.34,2500,0
20150220,1.34,1.34,1.29,1.34,2931,0
20150223,1.35,1.35,1.31,1.34,4730,0
20150224,1.34,1.34,1.34,1.34,2718,0
20150225,1.34,1.4,1.34,1.4,10978,0
20150226,1.38,1.38,1.35,1.37,1320,0
20150227,1.36,1.37,1.32,1.37,7791,0
20150302,1.32,1.4,1.31,1.39,18356,0
20150303,1.38,1.42,1.38,1.41,30886,0
20150304,1.42,1.63,1.41,1.59,51417,0
20150305,1.57,1.6,1.54,1.58,9282,0
20150306,1.58,1.58,1.47,1.54,11550,0
20150309,1.5,1.53,1.5,1.53,1727,0
20150310,1.5,1.52,1.45,1.52,11924,0
20150311,1.45,1.5,1.45,1.5,3879,0
20150312,1.49,1.49,1.45,1.48,2797,0
20150313,1.48,1.48,1.43,1.44,6543,0
20150316,1.48,1.5,1.43,1.5,3545,0
20150317,1.49,1.5,1.45,1.45,39338,0
20150318,1.46,1.46,1.43,1.45,6113,0
20150319,1.43,1.47,1.42,1.45,3792,0
20150320,1.42,1.5,1.42,1.49,17770,0
20150323,1.49,1.5,1.48,1.5,17734,0
20150324,1.5,1.65,1.5,1.63,61126,0
20150325,1.6,1.77,1.56,1.72,37580,0
20150326,1.7,1.75,1.7,1.74,17053,0
20150327,1.72,1.75,1.71,1.72,19024,0
20150330,1.74,1.75,1.68,1.75,25066,0
20150331,1.74,2.08,1.74,2.05,97484,0
20150401,2.04,2.04,1.9,1.99,51568,0
20150402,1.95,1.95,1.88,1.9,26021,0
20150407,1.98,1.99,1.87,1.87,88802,0
20150408,1.84,1.89,1.8,1.89,18749,0
