Date,Open,High,Low,Close,Volume,OpenInt
20040302,20.791,21.088,20.081,20.142,160564,0
20040303,20.198,20.259,19.549,19.666,28724,0
20040304,19.315,19.549,18.839,19.315,26197,0
20040305,19.017,19.729,18.893,18.957,14773,0
20040308,18.659,18.839,18.363,18.424,17544,0
20040309,18.065,18.184,17.77,17.77,16685,0
20040310,17.77,18.363,17.77,18.363,5273,0
20040311,18.245,18.245,17.77,18.245,9982,0
20040312,18.065,18.363,17.949,18.184,14244,0
20040315,18.128,18.128,17.893,18.065,4056,0
20040316,17.893,18.065,17.651,18.065,2128,0
20040317,18.065,18.065,17.714,17.77,39075,0
20040318,17.77,17.77,17.355,17.473,9481,0
20040319,17.77,18.01,16.706,17.182,711149,0
20040322,17.12,17.3,16.941,17.058,5277,0
20040323,17.058,18.01,16.941,17.714,23554,0
20040324,17.534,17.534,17.237,17.355,6292,0
20040325,17.3,17.3,17.12,17.182,13944,0
20040326,17.182,17.182,16.886,16.886,20883,0
20040329,16.941,17.182,16.886,16.941,15165,0
20040330,17.355,17.355,16.823,16.823,21360,0
20040331,16.823,16.886,16.761,16.823,7716,0
20040401,16.886,16.886,16.823,16.886,2292,0
20040402,17.003,17.12,16.823,17.003,6921,0
20040405,16.886,16.886,16.471,16.589,26944,0
20040406,16.589,16.589,16.292,16.292,5354,0
20040407,16.292,16.292,16.112,16.175,3209,0
20040408,16.409,16.886,16.348,16.823,19561,0
20040413,17.058,17.058,16.886,17.058,10264,0
20040414,17.182,17.3,17.003,17.003,18167,0
20040415,17.003,17.003,16.761,17.003,1038,0
20040416,16.761,17.003,16.589,16.941,7346,0
20040419,16.589,16.589,16.292,16.292,10325,0
20040420,16.292,16.292,15.698,15.754,13306,0
20040421,15.698,16.292,15.698,16.175,8448,0
20040422,15.877,16.112,15.877,16.112,878,0
20040423,16.231,16.231,15.754,15.933,4842,0
20040426,15.933,15.933,15.877,15.933,924,0
20040427,15.637,15.995,15.637,15.698,3341,0
20040428,15.637,15.698,15.637,15.637,3009,0
20040429,15.463,15.933,15.402,15.933,2782,0
20040430,15.463,16.112,15.402,16.051,1895,0
20040504,16.051,16.051,15.637,15.933,381,0
20040505,15.995,15.995,15.463,15.877,1236,0
20040506,15.463,15.816,15.463,15.754,4840,0
20040507,15.698,15.698,15.284,15.581,3564,0
20040510,14.808,14.808,14.277,14.753,8064,0
20040511,14.808,15.105,13.035,14.16,14727,0
20040512,14.16,14.753,14.16,14.753,2236,0
20040513,14.16,14.215,13.684,14.097,4380,0
20040514,13.684,14.215,13.684,14.215,1088,0
20040517,13.684,13.863,13.567,13.623,6841,0
20040518,13.567,13.863,13.567,13.746,825,0
20040519,13.746,14.16,13.746,13.801,5485,0
20040520,13.863,13.863,13.505,13.684,1927,0
20040521,13.684,14.456,13.684,14.215,9979,0
20040524,14.215,14.333,14.215,14.333,104,0
