Date,Open,High,Low,Close,Volume,OpenInt
19950525,5.1406,5.1406,5.1406,5.1406,617624,0
19950526,5.1406,5.1406,5.1406,5.1406,483694,0
19950529,5.2489,5.2489,5.2489,5.2489,395128,0
19950530,4.7349,4.7349,4.7349,4.7349,301701,0
19950531,4.789,4.789,4.789,4.789,189082,0
19950601,4.3832,4.3832,4.3832,4.3832,75973,0
19950602,4.4372,4.4372,4.4372,4.4372,118770,0
19950605,4.7078,4.7078,4.7078,4.7078,58520,0
19950606,4.7078,4.7078,4.7078,4.7078,140830,0
19950607,4.789,4.789,4.789,4.789,148049,0
19950608,4.789,4.789,4.789,4.789,120173,0
19950609,4.7619,4.7619,4.7619,4.7619,81795,0
19950612,4.6267,4.6267,4.6267,4.6267,77269,0
19950613,4.6535,4.6535,4.6535,4.6535,71985,0
19950614,4.7619,4.7619,4.7619,4.7619,50085,0
19950616,4.6535,4.6535,4.6535,4.6535,49961,0
19950619,4.4913,4.4913,4.4913,4.4913,35514,0
19950620,4.5997,4.5997,4.5997,4.5997,54244,0
19950621,4.5997,4.5997,4.5997,4.5997,65223,0
19950622,4.5997,4.5997,4.5997,4.5997,89141,0
19950623,4.6535,4.6535,4.6535,4.6535,44696,0
19950626,4.8701,4.8701,4.8701,4.8701,204411,0
19950627,5.0325,5.0325,5.0325,5.0325,205170,0
19950628,4.8701,4.8701,4.8701,4.8701,97123,0
19950629,4.9784,4.9784,4.9784,4.9784,165819,0
19950630,5.0055,5.0055,5.0055,5.0055,101191,0
19950703,5.1406,5.1406,5.1406,5.1406,225457,0
19950704,5.0865,5.0865,5.0865,5.0865,176151,0
19950705,5.0325,5.0325,5.0325,5.0325,83161,0
19950706,5.0594,5.0594,5.0594,5.0594,66607,0
19950707,5.0055,5.0055,5.0055,5.0055,52244,0
19950710,5.0055,5.0055,5.0055,5.0055,25273,0
19950711,4.9784,4.9784,4.9784,4.9784,66288,0
19950712,4.9243,4.9243,4.9243,4.9243,50568,0
19950713,5.0325,5.0325,5.0325,5.0325,121211,0
19950714,5.0865,5.0865,5.0865,5.0865,46986,0
19950717,5.1949,5.1949,5.1949,5.1949,303479,0
19950718,5.5195,5.5195,5.5195,5.5195,432471,0
19950719,6.0606,6.0606,6.0606,6.0606,0,0
19950720,6.6558,6.6558,6.6558,6.6558,587381,0
19950721,6.9806,6.9806,6.9806,6.9806,621232,0
19950724,7.0346,7.0346,7.0346,7.0346,614249,0
19950725,7.7381,7.7381,7.7381,7.7381,395123,0
19950726,8.4956,8.4956,8.4956,8.4956,716426,0
19950727,9.1987,9.1987,9.1987,9.1987,501082,0
19950728,8.7122,8.7122,8.7122,8.7122,351983,0
19950731,7.8463,7.8463,7.8463,7.8463,351059,0
19950801,7.8463,7.8463,7.8463,7.8463,253560,0
19950802,7.8463,7.8463,7.8463,7.8463,260123,0
19950803,7.6839,7.6839,7.6839,7.6839,311689,0
19950804,7.8463,7.8463,7.8463,7.8463,191748,0
19950807,7.9004,7.9004,7.9004,7.9004,195371,0
19950808,7.7381,7.7381,7.7381,7.7381,137758,0
19950809,7.6299,7.6299,7.6299,7.6299,133489,0
19950810,8.0087,8.0087,8.0087,8.0087,201844,0
19950811,8.4956,8.4956,8.4956,8.4956,275495,0
19950816,8.6581,8.6581,8.6581,8.6581,298970,0
19950817,8.6581,8.6581,8.6581,8.6581,289039,0
19950818,8.3331,8.3331,8.3331,8.3331,209522,0
19950822,8.9288,8.9288,8.9288,8.9288,465361,0
19950823,8.9834,8.9834,8.9834,8.9834,299800,0
19950824,9.2533,9.2533,9.2533,9.2533,317295,0
19950825,10.173,10.173,10.173,10.173,357020,0
19950828,10.66,10.66,10.66,10.66,370868,0
19950829,10.552,10.552,10.552,10.552,352923,0
19950830,10.281,10.281,10.281,10.281,345430,0
19950831,10.227,10.227,10.227,10.227,324083,0
19950901,11.201,11.201,11.201,11.201,0,0
19950904,12.283,12.283,12.283,12.283,214965,0
19950905,13.474,13.474,13.474,13.474,792863,0
19950906,12.986,12.986,12.986,12.986,464273,0
19950907,13.8,13.8,13.8,13.8,300250,0
