Date,Open,High,Low,Close,Volume,OpenInt
19970630,18.115,18.115,18.115,18.115,1541016,0
19970701,18.405,18.405,18.405,18.405,2876313,0
19970702,19.123,19.123,19.123,19.123,2638608,0
19970703,19.357,19.357,19.357,19.357,1451074,0
19970704,19.741,19.741,19.741,19.741,556364,0
19970707,20.075,20.557,20.075,20.267,872727,0
19970708,20.743,20.743,20.315,20.6,914609,0
19970709,20.315,20.649,20.315,20.557,422035,0
19970710,20.075,20.457,20.075,20.124,587086,0
19970711,19.841,19.883,19.456,19.55,564345,0
19970714,19.598,19.598,19.024,19.215,1057762,0
19970715,19.123,19.357,19.123,19.315,1274883,0
19970716,19.265,19.456,19.265,19.357,661433,0
19970717,19.598,19.983,19.598,19.983,805635,0
19970718,19.841,19.883,19.598,19.598,788002,0
19970721,19.357,19.55,19.315,19.408,100568,0
19970722,19.357,19.408,19.315,19.408,731474,0
19970723,19.408,19.408,19.357,19.357,273769,0
19970724,19.598,19.598,19.357,19.357,466837,0
19970725,19.598,19.598,18.882,19.123,546467,0
19970728,19.123,19.357,19.123,19.166,314639,0
19970729,19.357,19.55,19.357,19.5,513792,0
19970730,19.408,19.55,19.408,19.55,171290,0
19970731,19.598,19.648,19.357,19.456,421002,0
19970801,19.357,19.598,19.357,19.357,190959,0
19970804,19.408,19.408,18.64,18.64,533730,0
19970805,19.215,19.456,19.215,19.456,355714,0
19970806,19.357,19.5,19.357,19.456,355148,0
19970807,19.598,21.033,19.598,21.033,909526,0
19970808,21.559,23.185,21.559,22.802,1066833,0
19970811,21.985,21.985,21.367,21.509,395676,0
19970812,21.509,22.227,21.509,21.749,577533,0
19970813,20.557,20.557,20.557,20.557,282132,0
19970814,20.409,20.409,20.174,20.174,288621,0
19970818,20.075,20.075,19.598,19.983,172916,0
19970819,20.124,20.457,20.124,20.457,150411,0
19970820,20.409,20.649,20.365,20.365,85464,0
19970821,20.557,20.557,20.365,20.409,249823,0
19970822,20.557,20.557,20.557,20.557,139387,0
19970825,20.557,20.557,20.457,20.457,61325,0
19970826,20.649,20.891,20.649,20.699,121190,0
19970827,21.033,21.509,20.891,20.934,129945,0
19970828,20.984,21.082,20.792,20.792,95375,0
19970829,20.934,20.934,20.557,20.649,104185,0
19970901,20.557,20.6,20.457,20.457,70364,0
19970902,21.033,21.559,21.033,21.316,433428,0
19970903,21.608,22.227,21.608,22.176,515179,0
19970904,21.559,21.799,21.509,21.749,292223,0
19970905,21.892,22.227,21.892,22.227,406213,0
19970908,22.134,22.609,21.985,22.561,336199,0
19970909,22.517,23.468,22.517,23.421,407050,0
19970910,23.421,23.71,23.185,23.421,709979,0
19970911,22.894,23.185,22.894,22.993,219025,0
19970912,22.561,22.561,22.325,22.325,152066,0
19970915,22.943,23.376,22.943,23.185,185304,0
