Date,Open,High,Low,Close,Volume,OpenInt
20160429,48,51.39,47.98,51.39,39638,0
20160502,51.9,53.39,50,51.98,6422,0
20160504,50.21,51.5,50,50.9,1565,0
20160505,51.01,51.2,50.23,51,5479,0
20160506,51,52,50.89,51.58,5389,0
20160509,51.5,51.58,51,51,5311,0
20160510,51.5,51.5,49.1,49.7,3270,0
20160511,50.9,51.2,50.85,51.2,1424,0
20160512,51.5,51.5,50.69,50.69,668,0
20160513,51,52.2,51,52.2,2142,0
20160516,52.2,52.2,51.11,52.2,357,0
20160517,52.2,52.2,51.8,51.8,219,0
20160518,52,52,51.8,51.8,214,0
20160519,52.2,52.98,51.15,51.15,98,0
20160520,51.79,51.79,50.05,51.15,75,0
20160523,51.25,51.26,51.25,51.26,50,0
20160524,51.26,51.26,51.26,51.26,43,0
20160525,51.78,51.78,50.75,51.68,769,0
20160527,51.68,51.68,51.68,51.68,30,0
20160530,51.67,51.68,51.67,51.68,40,0
20160531,51.65,51.68,51.39,51.4,3130,0
20160601,51.49,51.49,49.5,50.5,362,0
20160602,51,51,51,51,20,0
20160603,50.99,50.99,49.06,50.5,2851,0
20160606,51,51,50,50,100,0
20160607,50.85,51,49.1,50,89,0
20160608,51,51,49.13,50.01,282,0
20160609,50.5,50.5,49.5,50.5,307,0
20160610,50.99,50.99,49.15,50.98,1188,0
20160613,50.9,52.69,50.9,52.69,2644,0
20160614,51.9,52.5,50.25,52,8333,0
20160615,51.6,51.6,50.3,50.6,2350,0
20160616,51,51,50.99,50.99,15,0
20160617,50.98,50.98,50.69,50.85,3005,0
20160620,50.9,50.9,50.6,50.6,11,0
20160621,50.9,50.9,50.5,50.5,415,0
20160622,50.5,50.75,49.6,49.6,485,0
20160623,50,50.7,49.6,50.59,1238,0
20160624,49.62,50.59,47.35,50.49,1771,0
20160627,50.49,50.49,50,50,537,0
20160628,50.49,50.49,49.4,50,1372,0
20160629,50.38,51.69,49.6,51.69,2099,0
20160630,51.69,51.69,50.04,50.4,8148,0
20160701,51,51,49.2,50,127,0
20160704,49.97,50.55,49.97,50,154,0
20160705,49.98,49.98,49.98,49.98,1,0
20160706,49.98,49.98,49.98,49.98,30,0
20160707,49.95,49.95,49,49.95,110,0
20160708,49.95,49.95,48.2,48.2,2,0
20160711,49.95,50.2,48.36,49.88,748,0
20160712,49.85,49.85,49.85,49.85,5,0
20160713,49.82,49.82,48.5,48.92,230,0
20160714,48.49,48.5,47.5,48.5,441,0
20160715,48.3,48.3,48.22,48.25,72,0
20160718,48.98,49.5,48.6,49.5,57,0
20160719,49.5,49.5,48,49.5,931,0
20160720,49.6,49.6,49.6,49.6,5,0
20160721,49.5,49.6,49.01,49.6,43,0
20160722,49.6,49.6,49.6,49.6,3,0
20160725,49.6,49.6,49.6,49.6,1,0
20160726,49.6,49.85,48.6,49.84,2315,0
20160727,49.85,49.85,48.11,49.85,2071,0
20160728,49.85,49.85,49,49.84,8021,0
20160729,49.85,49.85,48.61,49.85,5159,0
20160801,49.84,49.85,48.31,49.85,1506,0
20160802,49.85,49.85,49.85,49.85,1,0
20160803,49.5,49.5,49.5,49.5,1,0
20160804,49.5,49.5,49.5,49.5,1,0
20160805,49.5,49.85,49.5,49.85,2001,0
20160808,49.85,49.85,48.6,49.85,13,0
20160809,49.85,49.85,49.85,49.85,5,0
20160810,48.61,49.85,48.5,49.85,3538,0
20160811,49.85,49.85,49.85,49.85,5,0
20160812,49.85,49.85,49,49.85,1506,0
20160816,49.85,49.85,49,49.72,1804,0
20160817,49.85,49.85,48.7,49,934,0
20160818,49.5,49.5,49,49.45,360,0
20160819,49,49.48,49,49,420,0
20160822,49.46,49.46,49.46,49.46,5,0
20160823,49.46,49.46,49.46,49.46,2,0
20160824,49.44,51.5,49.42,50,29641,0
20160825,50.9,50.9,50,50,51286,0
20160826,50.9,50.9,50.9,50.9,144,0
20160829,50.99,50.99,49.5,50,1490,0
20160830,50,50.7,50,50.7,19,0
20160831,50.6,53.54,50.6,52.5,11766,0
20160901,53.6,53.6,52,52,2490,0
20160902,52.8,52.8,51.5,52,1165,0
20160905,52.45,53.45,52.45,53,18910,0
20160906,53,53.1,53,53,10310,0
20160907,53.5,54,52.5,53.6,1701,0
20160908,54,54,53.89,53.89,10,0
20160909,53.9,53.9,53,53.48,157,0
20160912,52.22,53,52.22,53,43,0
20160913,53,55,53,55,21768,0
20160914,55,55.15,54.93,54.93,181,0
20160915,54.93,54.93,53.5,54.34,69,0
20160916,54.34,54.34,53.55,54.2,29,0
20160919,54.35,54.35,53.98,54,194,0
20160920,54,54,53.5,53.5,490,0
20160921,53.61,56.9,53.6,56.9,32013,0
20160922,57.5,60,57.5,58.58,701,0
20160923,58.99,58.99,56.5,57.9,163,0
20160926,58,58,57.99,57.99,8,0
20160927,58,58,57.99,57.99,26,0
20160928,56,58.2,56,58.2,9983,0
20160929,57.5,57.5,57,57.2,1154,0
20160930,56.81,57.5,56.52,57.5,5087,0
20161003,57.5,57.5,57.5,57.5,3,0
20161004,56.51,56.99,55.6,56.16,2169,0
20161005,57.5,57.5,55.9,56,327,0
20161006,56.99,56.99,56,56,335,0
20161007,56,56,52.45,56,3389,0
20161010,57,58,55.1,58,1752,0
20161011,57.9,57.9,57,57.6,570,0
20161012,57.6,57.9,57.6,57.9,309,0
20161013,57.9,58,56,57.8,236,0
20161014,58,58,56.01,57.94,24,0
20161017,57.95,57.95,57,57.89,107,0
20161018,58,58,57,57.65,351,0
20161019,57.7,57.7,56.02,57.7,231,0
20161020,57.7,57.7,56.2,57.58,315,0
20161021,58,58,57,57.88,62,0
20161024,57,57,56.15,57,959,0
20161025,56.9,57.5,56,57,1294,0
20161026,57,57,56.01,57,114,0
20161027,57.49,57.49,57,57,278,0
20161028,57,57,55,55.71,348,0
20161031,56.81,57,53.6,57,5860,0
20161102,57.5,57.5,55.1,57,297,0
20161103,57,57,53.1,56.8,802,0
20161104,56.8,56.8,54.3,54.51,1191,0
20161107,56.16,56.16,55,55,67,0
