Date,Open,High,Low,Close,Volume,OpenInt
20121220,14.88,14.88,12.1,14.87,7434,0
20121221,13.97,14,11.2,13.3,330,0
20121227,12,12.99,10.64,11.59,13349,0
20121228,11.5,11.5,10.64,11,533,0
20130102,11.5,11.5,10.01,10.7,218,0
20130103,10.7,10.7,10.01,10.01,83,0
20130104,10.01,10.6,10.01,10.6,47,0
20130107,10.4,10.4,10.4,10.4,10,0
20130108,10.4,11.5,10,11.4,1239,0
20130109,10.7,13,10.7,13,697,0
20130110,11.5,13.43,10.4,10.51,3032,0
20130111,10.79,10.79,10,10.64,529,0
20130114,10.64,10.75,10.64,10.75,40,0
20130115,10.75,12.3,10,11.2,933,0
20130116,11.01,12,11,11.1,285,0
20130117,11.1,11.1,10.33,11.1,163,0
20130118,10.75,10.75,10.1,10.4,1080,0
20130121,10.4,12.29,10.4,12,1017,0
20130122,12,12,10.7,10.7,258,0
20130123,10.75,10.75,10.7,10.7,120,0
20130124,10.8,10.8,10.8,10.8,10,0
20130125,10.8,12,10.8,11.82,302,0
20130128,10.8,10.8,10.69,10.8,6039,0
20130129,10.8,10.8,10.8,10.8,59,0
20130130,10.8,10.8,10.65,10.65,1193,0
20130131,10.65,10.8,10.65,10.8,306,0
20130201,10.8,10.8,10.7,10.8,245,0
20130204,10.8,10.8,10.2,10.79,791,0
20130205,10.79,11.61,10.78,11.61,3360,0
20130206,10.85,11.39,10.8,10.8,685,0
20130207,10.8,10.8,10.8,10.8,20,0
20130208,10.61,11,10.3,10.35,478,0
20130211,10.15,10.75,10.03,10.4,730,0
20130212,10.4,10.4,10.4,10.4,20,0
20130213,10.4,10.75,10.4,10.75,50,0
20130214,10.75,11.6,10.5,10.5,1677,0
20130215,10.4,10.4,10.4,10.4,20,0
20130218,10.4,10.74,10.4,10.74,1010,0
20130219,10.74,10.74,10.3,10.3,1105,0
20130220,10.3,10.3,10.3,10.3,145,0
20130221,10.3,10.75,10.05,10.47,306,0
