Date,Open,High,Low,Close,Volume,OpenInt
20100415,6.6379,6.6379,5.7686,5.7686,99073,0
20100416,6.0058,6.0058,5.5316,5.5316,90834,0
20100419,5.5316,5.5316,5.255,5.3022,7242,0
20100420,5.413,5.6027,5.413,5.4525,2969,0
20100421,5.4525,5.4999,5.4525,5.4999,2392,0
20100422,5.4525,5.4525,5.3419,5.4446,2342,0
20100423,5.413,5.5316,5.3498,5.5316,11135,0
20100426,5.4841,5.4841,5.4841,5.4841,462,0
20100427,5.413,5.413,4.9388,5.2629,51418,0
20100428,5.2629,5.2945,5.0654,5.2945,2571,0
20100429,5.3973,5.5235,5.3182,5.413,1980,0
20100430,5.492,5.6816,5.3419,5.492,13400,0
20100504,5.5316,5.5316,5.5316,5.5316,2,0
20100505,5.1761,5.5316,5.1522,5.4841,894,0
20100506,5.1522,5.4525,5.1522,5.4525,1259,0
20100507,5.1363,5.255,5.0574,5.255,1930,0
20100510,5.2866,5.2866,5.0732,5.0732,524,0
20100511,5.334,5.334,4.8205,5.0969,34623,0
20100512,5.1285,5.1285,4.8995,5.0496,7893,0
20100513,5.0969,5.1285,4.9388,5.0101,5015,0
20100514,5.3894,5.3894,5.0496,5.1363,10188,0
20100517,5.0574,5.2075,4.9784,5.0969,4177,0
20100518,5.1049,5.1049,5.0574,5.0574,402,0
20100519,4.9942,5.1128,4.7412,4.9546,8502,0
20100520,4.7492,4.931,4.6623,4.8205,2319,0
20100521,4.7492,4.9388,4.7492,4.9388,662,0
20100524,4.931,4.9388,4.931,4.9388,189,0
20100525,4.8995,4.8995,4.7412,4.7412,507,0
20100526,4.5833,4.9626,4.5833,4.9626,2748,0
20100527,4.9626,4.9626,4.9626,4.9626,380,0
20100528,4.8205,5.1761,4.8205,5.1761,11971,0
20100531,4.9784,4.9784,4.8205,4.8995,2490,0
20100601,5.0496,5.0496,4.9784,4.9784,180,0
20100602,4.7412,4.8916,4.7412,4.7809,10369,0
20100604,4.7809,4.7809,4.6623,4.7651,8254,0
20100607,4.5991,4.8205,4.5991,4.8205,4067,0
20100608,4.8205,4.8205,4.7412,4.7492,1963,0
20100609,4.8519,4.8519,4.8519,4.8519,2,0
20100610,4.8519,4.9626,4.7571,4.9388,38211,0
20100611,5.1128,5.2629,4.9863,5.168,27792,0
20100614,5.168,5.168,5.0732,5.1206,5593,0
20100615,5.1206,5.1206,4.9942,5.0574,10445,0
20100616,5.0574,5.1363,4.9784,4.9784,5371,0
20100617,5.0178,5.1285,5.0178,5.1285,466,0
20100618,5.089,5.089,4.9863,5.0811,2151,0
20100621,5.089,5.0969,4.9388,4.9388,2426,0
20100622,5.0416,5.1997,5.0257,5.1363,16469,0
20100623,5.1363,5.1363,5.0574,5.1363,16296,0
20100624,5.1761,5.1761,5.1363,5.1761,17269,0
