Date,Open,High,Low,Close,Volume,OpenInt
20110104,15.942,16.212,15.312,15.663,59510,0
20110105,15.645,15.645,15.041,15.303,6372,0
20110107,15.303,15.312,15.051,15.312,8930,0
20110110,15.312,15.312,14.411,15.258,4732,0
20110111,15.221,15.221,14.861,14.861,89711,0
20110112,15.213,15.213,14.861,14.861,2072,0
20110113,14.861,15.131,14.861,15.131,2570,0
20110114,15.104,15.131,14.861,15.131,2224,0
20110117,15.176,15.176,14.871,15.176,3815,0
20110118,15.176,15.284,14.952,15.284,1939,0
20110119,15.366,15.743,15.293,15.743,12066,0
20110120,15.743,15.743,15.42,15.618,4173,0
20110121,15.726,15.726,15.131,15.131,5136,0
20110124,15.131,15.141,14.915,14.952,2245,0
20110125,14.952,15.303,14.952,15.167,289,0
20110126,14.952,15.195,14.681,15.195,800,0
20110127,15.167,15.167,15.131,15.131,71,0
20110128,15.131,15.491,14.861,15.491,3996,0
20110131,15.663,15.672,15.321,15.672,3578,0
20110201,15.672,15.672,15.672,15.672,368,0
20110202,15.574,15.574,15.131,15.574,1943,0
20110203,15.574,15.574,15.574,15.574,163,0
20110204,15.581,15.762,15.536,15.762,3428,0
20110207,15.753,15.843,15.321,15.321,4664,0
20110208,15.268,15.851,15.131,15.851,6207,0
20110209,15.834,15.834,15.826,15.834,3333,0
20110210,15.807,15.826,15.275,15.762,8296,0
20110211,15.762,15.762,15.762,15.762,2,0
20110214,15.762,15.762,15.762,15.762,1,0
20110215,15.672,15.762,15.141,15.753,3599,0
20110216,15.743,15.743,15.321,15.321,3333,0
20110217,15.689,15.689,15.131,15.131,4000,0
20110218,15.536,15.536,14.959,14.959,161,0
20110221,15.293,15.581,14.959,15.086,4158,0
20110222,15.491,15.536,15.447,15.536,3775,0
20110223,15.491,15.536,15.221,15.221,3629,0
20110224,15.221,15.491,15.221,15.491,3686,0
20110225,15.482,15.491,15.482,15.491,1666,0
20110228,15.491,15.491,15.239,15.239,1799,0
20110301,15.474,15.536,15.239,15.239,2798,0
20110302,15.474,15.717,15.312,15.699,11436,0
20110303,15.717,15.717,15.699,15.717,9249,0
20110304,15.726,15.726,15.708,15.726,24152,0
20110307,15.743,15.942,15.743,15.762,9459,0
20110308,15.933,16.167,15.924,16.15,3749,0
20110309,16.15,16.257,16.15,16.212,26309,0
20110310,16.212,16.212,16.212,16.212,2903,0
20110311,15.851,16.212,15.851,16.212,3656,0
20110314,16.122,16.122,16.032,16.122,3386,0
20110315,16.122,16.122,15.762,15.942,4352,0
20110316,15.762,15.942,15.762,15.942,323,0
20110317,15.942,16.122,15.772,15.851,5532,0
20110318,16.122,16.122,15.807,15.942,5607,0
20110321,16.113,16.122,16.113,16.122,3331,0
20110322,16.032,16.032,16.032,16.032,3775,0
20110323,15.797,16.122,15.797,16.122,2765,0
20110324,15.816,16.122,15.816,16.122,7441,0
20110325,16.113,16.113,15.826,16.113,1202,0
20110328,16.113,16.122,15.772,16.113,157147,0
20110329,16.032,16.032,16.032,16.032,1,0
20110330,16.032,16.122,15.78,16.122,60266,0
20110331,16.122,16.122,15.772,16.122,70,0
20110401,15.851,16.041,15.851,16.005,760,0
20110404,16.005,16.005,15.762,15.762,1313,0
20110405,15.762,15.762,15.762,15.762,179,0
20110406,15.772,16.122,15.772,15.797,872,0
20110407,15.788,16.113,15.788,16.113,3719,0
20110408,16.122,16.122,15.816,15.816,386,0
20110411,15.816,15.816,15.788,15.788,2653,0
20110412,15.762,16.005,15.762,16.005,1365,0
20110413,16.032,16.032,15.762,15.762,3332,0
20110414,15.762,15.762,15.762,15.762,376,0
20110415,15.762,15.762,15.312,15.312,663,0
20110418,15.762,15.762,15.312,15.312,36,0
20110419,15.312,15.851,15.312,15.851,6940,0
20110420,15.851,16.032,15.851,16.032,7670,0
20110421,16.032,16.059,15.312,16.024,4940,0
20110426,16.014,16.014,15.942,15.942,88,0
20110427,15.545,16.024,15.545,16.024,588,0
20110428,15.59,15.987,15.59,15.987,15242,0
20110429,15.942,16.014,15.942,16.014,285,0
20110502,16.014,16.014,16.014,16.014,5,0
20110504,16.014,16.113,15.762,16.113,1114,0
20110505,15.995,15.995,15.995,15.995,10,0
