Date,Open,High,Low,Close,Volume,OpenInt
19970530,16.25,16.25,16.25,16.25,292432,0
19970602,14.625,14.625,14.625,14.625,85572,0
19970603,14.375,14.375,14.375,14.375,80312,0
19970604,13.5,13.5,13.5,13.5,101444,0
19970605,12.15,12.15,12.15,12.15,26380,0
19970606,11.225,11.225,11.225,11.225,205524,0
19970609,11.625,11.625,11.625,11.625,78752,0
19970610,11.5,11.5,11.5,11.5,114832,0
19970611,11.2,11.2,11.2,11.2,28572,0
19970612,11.025,11.025,11.025,11.025,46124,0
19970613,11.025,11.025,11.025,11.025,53972,0
19970616,11,11,11,11,41276,0
19970617,11.05,11.05,11.05,11.05,22516,0
19970618,11.25,11.25,11.25,11.25,14780,0
19970619,11.225,11.225,11.225,11.225,31448,0
19970620,11.275,11.275,11.275,11.275,25852,0
19970623,11.125,11.125,11.125,11.125,9976,0
19970624,10.75,10.75,10.75,10.75,11580,0
19970625,10.5,10.5,10.5,10.5,8096,0
19970626,10,10,10,10,20768,0
19970627,9.75,9.75,9.75,9.75,10000,0
19970630,10,10,10,10,24328,0
19970701,9.75,9.75,9.75,9.75,13076,0
19970702,9.575,9.575,9.575,9.575,26436,0
19970703,9.75,9.75,9.75,9.75,12232,0
19970704,8.775,8.775,8.775,8.775,64272,0
19970707,9.65,9.65,9.65,9.65,53004,0
19970708,9.875,9.875,9.875,9.875,48252,0
19970709,10.25,10.25,10.25,10.25,46928,0
19970710,10.75,10.75,10.75,10.75,25024,0
19970711,10.25,10.25,10.25,10.25,27024,0
19970714,9.5,9.5,9.5,9.5,12528,0
19970715,9.125,9.125,9.125,9.125,22796,0
19970716,9.375,9.375,9.375,9.375,26080,0
19970717,9.25,9.25,9.25,9.25,15996,0
19970718,9.125,9.125,9.125,9.125,10960,0
19970721,8.875,8.875,8.875,8.875,19212,0
19970722,9.05,9.05,9.05,9.05,20000,0
19970723,8.65,8.65,8.65,8.65,27572,0
19970724,8.5,8.5,8.5,8.5,8236,0
19970725,8.25,8.25,8.25,8.25,9092,0
19970728,7.825,7.825,7.825,7.825,10992,0
19970729,7.45,7.45,7.45,7.45,36980,0
19970730,7.5,7.5,7.5,7.5,65000,0
19970731,7.875,7.875,7.875,7.875,35176,0
19970801,7.45,7.45,7.45,7.45,11676,0
19970804,7.675,7.675,7.675,7.675,27752,0
19970805,7.1,7.1,7.1,7.1,21900,0
19970806,6.875,6.875,6.875,6.875,226836,0
19970807,7,7,7,7,270216,0
19970808,7.575,7.575,7.575,7.575,172936,0
19970811,8.325,8.325,8.325,8.325,180240,0
19970812,8.175,8.175,8.175,8.175,69916,0
19970813,8.5,8.5,8.5,8.5,61116,0
19970814,7.75,7.75,7.75,7.75,125420,0
19970818,7.1,7.1,7.1,7.1,90000,0
19970819,7,7,7,7,157072,0
19970820,7,7,7,7,76928,0
19970821,7.15,7.15,7.15,7.15,38320,0
19970822,6.825,6.825,6.825,6.825,20512,0
19970825,6.875,6.875,6.875,6.875,25308,0
19970826,6.8,6.8,6.8,6.8,20620,0
19970827,6.8,6.8,6.8,6.8,28904,0
19970828,6.85,6.85,6.85,6.85,47504,0
19970829,6.85,6.85,6.85,6.85,55156,0
19970901,6.975,6.975,6.975,6.975,17348,0
19970902,7,7,7,7,28484,0
19970903,7.025,7.025,7.025,7.025,76588,0
19970904,7,7,7,7,23964,0
19970905,6.85,6.85,6.85,6.85,10000,0
19970908,7.1,7.1,7.1,7.1,21760,0
19970909,7.125,7.125,7.125,7.125,96428,0
19970910,7.1,7.1,7.1,7.1,49528,0
19970911,6.975,6.975,6.975,6.975,42224,0
19970912,6.925,6.925,6.925,6.925,29108,0
19970915,6.875,6.875,6.875,6.875,43272,0
19970916,6.825,6.825,6.825,6.825,49064,0
19970917,7,7,7,7,113120,0
19970918,7.025,7.025,7.025,7.025,85388,0
19970919,7.05,7.05,7.05,7.05,123420,0
19970922,6.95,6.95,6.95,6.95,48824,0
19970923,6.875,6.875,6.875,6.875,21656,0
19970924,6.8,6.8,6.8,6.8,26116,0
19970925,6.55,6.55,6.55,6.55,19380,0
19970926,6.175,6.175,6.175,6.175,36980,0
19970929,6.25,6.25,6.25,6.25,95504,0
19970930,6.05,6.05,6.05,6.05,71804,0
19971001,5.875,5.875,5.875,5.875,44976,0
19971002,6,6,6,6,46312,0
19971003,5.875,5.875,5.875,5.875,31872,0
19971006,5.775,5.775,5.775,5.775,46432,0
19971007,5.675,5.675,5.675,5.675,7552,0
19971008,5.75,5.75,5.75,5.75,64800,0
19971009,5.875,5.875,5.875,5.875,38004,0
19971010,5.7,5.7,5.7,5.7,44220,0
19971013,5.625,5.625,5.625,5.625,41428,0
19971014,5.55,5.55,5.55,5.55,97888,0
19971015,5.75,5.75,5.75,5.75,131036,0
19971016,5.85,5.85,5.85,5.85,71864,0
19971017,5.825,5.825,5.825,5.825,64956,0
19971020,5.875,5.875,5.875,5.875,83352,0
19971021,5.8,5.8,5.8,5.8,49456,0
19971022,5.725,5.725,5.725,5.725,79608,0
19971023,5.6,5.6,5.6,5.6,51828,0
19971024,5.15,5.15,5.15,5.15,51624,0
19971027,4.975,4.975,4.975,4.975,91836,0
19971028,4.5,4.5,4.5,4.5,0,0
19971029,4.65,4.65,4.65,4.65,79956,0
19971030,4.3,4.3,4.3,4.3,72432,0
19971031,4.3,4.3,4.3,4.3,383740,0
19971103,4.375,4.375,4.375,4.375,329496,0
19971104,4.45,4.45,4.45,4.45,195636,0
19971105,4.525,4.525,4.525,4.525,215848,0
19971106,4.475,4.475,4.475,4.475,41700,0
19971107,4.425,4.425,4.425,4.425,239196,0
19971112,4,4,4,4,260768,0
19971113,4.025,4.025,4.025,4.025,95636,0
19971114,4.225,4.225,4.225,4.225,264916,0
19971117,4.525,4.525,4.525,4.525,280372,0
19971118,4.75,4.75,4.75,4.75,288220,0
19971119,4.475,4.475,4.475,4.475,209600,0
19971120,4.5,4.5,4.5,4.5,132108,0
19971121,4.75,4.75,4.75,4.75,151976,0
19971124,5,5,5,5,219744,0
19971125,4.975,4.975,4.975,4.975,192328,0
19971126,5.45,5.45,5.45,5.45,150840,0
19971127,5.75,5.75,5.75,5.75,252508,0
19971128,5.85,5.85,5.85,5.85,234816,0
19971201,5.85,5.85,5.85,5.85,259256,0
19971202,5.75,5.75,5.75,5.75,180540,0
19971203,5.325,5.325,5.325,5.325,136968,0
19971204,5.375,5.375,5.375,5.375,194036,0
19971205,5.35,5.35,5.35,5.35,132132,0
19971208,5.225,5.225,5.225,5.225,59196,0
19971209,4.975,4.975,4.975,4.975,81164,0
19971210,4.575,4.575,4.575,4.575,190184,0
19971211,4.375,4.375,4.375,4.375,117376,0
19971212,4.275,4.275,4.275,4.275,163724,0
19971215,4.375,4.375,4.375,4.375,72776,0
19971216,4.625,4.625,4.625,4.625,83852,0
19971217,4.475,4.475,4.475,4.475,82280,0
19971218,4.15,4.15,4.15,4.15,69656,0
19971219,3.925,3.925,3.925,3.925,88408,0
19971222,3.575,3.575,3.575,3.575,104192,0
19971223,3.725,3.725,3.725,3.725,93008,0
19971229,4.05,4.05,4.05,4.05,121884,0
19971230,4.125,4.125,4.125,4.125,109096,0
19971231,4.15,4.15,4.15,4.15,86072,0
19980105,4.225,4.225,4.225,4.225,87904,0
19980106,4.225,4.225,4.225,4.225,78608,0
19980107,3.825,3.825,3.825,3.825,91136,0
19980108,3.925,3.925,3.925,3.925,89860,0
19980109,3.8,3.8,3.8,3.8,87476,0
19980112,3.425,3.425,3.425,3.425,168584,0
19980113,3.525,3.525,3.525,3.525,127784,0
19980114,3.55,3.55,3.55,3.55,106688,0
19980115,3.2,3.2,3.2,3.2,50596,0
19980116,3.375,3.375,3.375,3.375,251940,0
19980119,3.625,3.625,3.625,3.625,170808,0
19980120,3.75,3.75,3.75,3.75,356552,0
19980121,4.1,4.1,4.1,4.1,118704,0
19980122,4.1,4.1,4.1,4.1,296324,0
19980123,4.375,4.375,4.375,4.375,125492,0
19980126,4.325,4.325,4.325,4.325,138796,0
19980127,4.25,4.25,4.25,4.25,97860,0
19980128,4.425,4.425,4.425,4.425,95052,0
19980129,4.65,4.65,4.65,4.65,97012,0
19980130,4.425,4.425,4.425,4.425,115352,0
19980202,4.675,4.675,4.675,4.675,202720,0
19980203,4.725,4.725,4.725,4.725,121776,0
19980204,4.525,4.525,4.525,4.525,84124,0
19980205,4.55,4.55,4.55,4.55,366856,0
19980206,4.625,4.625,4.625,4.625,120960,0
19980209,4.175,4.175,4.175,4.175,106500,0
19980210,4.275,4.275,4.275,4.275,257448,0
19980211,4.25,4.25,4.25,4.25,131240,0
19980212,4.225,4.225,4.225,4.225,50712,0
19980213,4.1,4.1,4.1,4.1,176988,0
19980216,4.05,4.05,4.05,4.05,104284,0
19980217,4.175,4.175,4.175,4.175,172200,0
19980218,4.25,4.25,4.25,4.25,133324,0
19980219,4.3,4.3,4.3,4.3,79924,0
19980220,4.125,4.125,4.125,4.125,58916,0
19980223,4.1,4.1,4.1,4.1,197312,0
19980224,4.125,4.125,4.125,4.125,151104,0
19980225,3.925,3.925,3.925,3.925,64352,0
19980226,4.05,4.05,4.05,4.05,77224,0
19980227,4.05,4.05,4.05,4.05,163664,0
19980302,4.225,4.225,4.225,4.225,87580,0
19980303,4.425,4.425,4.425,4.425,195940,0
19980304,4.25,4.25,4.25,4.25,132000,0
19980305,4.125,4.125,4.125,4.125,100920,0
19980306,4.25,4.25,4.25,4.25,85840,0
19980309,4.5,4.5,4.5,4.5,186216,0
19980310,4.65,4.65,4.65,4.65,324448,0
19980311,4.75,4.75,4.75,4.75,326972,0
19980312,4.75,4.75,4.75,4.75,286976,0
19980313,5.05,5.05,5.05,5.05,217960,0
19980316,5.4,5.4,5.4,5.4,241880,0
19980317,5.525,5.525,5.525,5.525,324084,0
19980318,5.375,5.375,5.375,5.375,269744,0
19980319,5.375,5.375,5.375,5.375,198400,0
19980320,5.125,5.125,5.125,5.125,197380,0
19980323,5.1,5.1,5.1,5.1,121432,0
19980324,5,5,5,5,144140,0
19980325,4.975,4.975,4.975,4.975,139824,0
19980326,5.1,5.1,5.1,5.1,115020,0
19980327,4.85,4.85,4.85,4.85,83172,0
19980330,4.65,4.65,4.65,4.65,164516,0
19980331,4.65,4.65,4.65,4.65,230496,0
19980401,4.7,4.7,4.7,4.7,108640,0
19980402,4.65,4.65,4.65,4.65,71400,0
19980406,4.725,4.725,4.725,4.725,82576,0
19980407,4.925,4.925,4.925,4.925,90336,0
19980408,4.775,4.775,4.775,4.775,90952,0
19980409,4.775,4.775,4.775,4.775,121800,0
19980414,5.1,5.1,5.1,5.1,93268,0
19980415,5.175,5.175,5.175,5.175,91352,0
19980416,5,5,5,5,54924,0
19980417,4.825,4.825,4.825,4.825,163084,0
19980420,4.875,4.875,4.875,4.875,57648,0
19980421,4.7,4.7,4.7,4.7,33516,0
19980422,4.75,4.75,4.75,4.75,214780,0
19980423,4.75,4.75,4.75,4.75,96052,0
19980424,4.825,4.825,4.825,4.825,101016,0
19980427,4.95,4.95,4.95,4.95,73412,0
19980428,4.75,4.75,4.75,4.75,85180,0
19980429,4.725,4.725,4.725,4.725,102248,0
19980430,4.9,4.9,4.9,4.9,150124,0
19980504,5.125,5.125,5.125,5.125,182736,0
19980505,5.125,5.125,5.125,5.125,151420,0
19980506,4.95,4.95,4.95,4.95,76076,0
19980507,4.85,4.85,4.85,4.85,145980,0
19980508,4.85,4.85,4.85,4.85,132356,0
19980511,4.975,4.975,4.975,4.975,96616,0
19980512,4.9,4.9,4.9,4.9,87832,0
19980513,4.85,4.85,4.85,4.85,188624,0
19980514,4.125,4.125,4.125,4.125,90992,0
19980515,4.1,4.1,4.1,4.1,113712,0
19980518,4,4,4,4,77648,0
19980519,3.6,3.6,3.6,3.6,129012,0
19980520,3.6,3.6,3.6,3.6,270248,0
19980521,3.8,3.8,3.8,3.8,151624,0
19980522,3.725,3.725,3.725,3.725,57640,0
19980525,3.65,3.65,3.65,3.65,89408,0
19980526,3.575,3.575,3.575,3.575,86828,0
19980527,3.325,3.325,3.325,3.325,72236,0
19980528,3.225,3.225,3.225,3.225,155068,0
19980529,3.325,3.325,3.325,3.325,83288,0
19980601,3.125,3.125,3.125,3.125,99908,0
19980602,2.95,2.95,2.95,2.95,123104,0
19980603,3.225,3.225,3.225,3.225,143604,0
19980604,3.2,3.2,3.2,3.2,102400,0
19980605,3.225,3.225,3.225,3.225,80640,0
19980608,3.275,3.275,3.275,3.275,82144,0
19980609,2.95,2.95,2.95,2.95,52212,0
19980610,2.9,2.9,2.9,2.9,120336,0
19980615,2.625,2.625,2.625,2.625,130404,0
19980616,2.625,2.625,2.625,2.625,97940,0
19980617,2.875,2.875,2.875,2.875,42576,0
19980618,3.125,3.125,3.125,3.125,149392,0
19980619,2.825,2.825,2.825,2.825,238200,0
19980622,2.875,2.875,2.875,2.875,157700,0
19980623,2.975,2.975,2.975,2.975,74300,0
19980624,2.8,2.8,2.8,2.8,19008,0
19980625,2.8,2.8,2.8,2.8,43796,0
19980626,2.95,2.95,2.95,2.95,93376,0
19980629,2.95,2.95,2.95,2.95,76572,0
19980630,3.025,3.025,3.025,3.025,41152,0
19980701,3.15,3.15,3.15,3.15,76044,0
19980702,3.125,3.125,3.125,3.125,73048,0
19980703,3,3,3,3,63648,0
19980706,3.05,3.05,3.05,3.05,75264,0
19980707,3,3,3,3,99528,0
19980708,3.05,3.05,3.05,3.05,104876,0
19980709,3.075,3.075,3.075,3.075,150656,0
19980710,3.1,3.1,3.1,3.1,47320,0
19980713,3.3,3.3,3.3,3.3,75332,0
19980714,3.425,3.425,3.425,3.425,86760,0
19980715,3.5,3.5,3.5,3.5,172276,0
19980716,3.5,3.5,3.5,3.5,127800,0
19980717,3.575,3.575,3.575,3.575,111624,0
19980720,3.5,3.5,3.5,3.5,40192,0
19980721,3.15,3.15,3.15,3.15,25028,0
19980722,2.85,2.85,2.85,2.85,56200,0
19980723,2.625,2.625,2.625,2.625,119184,0
19980724,2.775,2.775,2.775,2.775,118744,0
19980727,2.675,2.675,2.675,2.675,86088,0
19980728,2.75,2.75,2.75,2.75,95900,0
19980729,2.775,2.775,2.775,2.775,51208,0
19980730,2.725,2.725,2.725,2.725,76748,0
19980731,2.825,2.825,2.825,2.825,49300,0
19980803,2.75,2.75,2.75,2.75,73704,0
19980804,2.85,2.85,2.85,2.85,141844,0
19980805,3.125,3.125,3.125,3.125,0,0
19980806,3.425,3.425,3.425,3.425,0,0
19980807,3.75,3.75,3.75,3.75,1045664,0
19980810,3.475,3.475,3.475,3.475,303208,0
19980811,3.225,3.225,3.225,3.225,248284,0
19980812,3.225,3.225,3.225,3.225,184132,0
19980813,3.1,3.1,3.1,3.1,124792,0
19980814,3.275,3.275,3.275,3.275,164644,0
19980817,3.175,3.175,3.175,3.175,120016,0
19980818,3.3,3.3,3.3,3.3,146064,0
19980819,3.45,3.45,3.45,3.45,64136,0
19980820,3.375,3.375,3.375,3.375,102280,0
19980821,3.2,3.2,3.2,3.2,103120,0
19980824,3.175,3.175,3.175,3.175,74180,0
19980825,3.25,3.25,3.25,3.25,44184,0
19980826,3.375,3.375,3.375,3.375,80104,0
19980827,3.65,3.65,3.65,3.65,257048,0
19980828,3.3,3.3,3.3,3.3,77660,0
19980831,3.2,3.2,3.2,3.2,175932,0
19980901,2.9,2.9,2.9,2.9,47560,0
19980902,2.625,2.625,2.625,2.625,548776,0
19980903,2.525,2.525,2.525,2.525,188572,0
19980904,2.275,2.275,2.275,2.275,181056,0
19980907,2.225,2.225,2.225,2.225,323936,0
19980908,2.25,2.25,2.25,2.25,349152,0
19980909,2.3,2.3,2.3,2.3,463140,0
19980910,2.25,2.25,2.25,2.25,225512,0
19980911,2.125,2.125,2.125,2.125,312500,0
19980914,2.3375,2.3375,2.3375,2.3375,0,0
19980915,2.55,2.55,2.55,2.55,174576,0
19980916,2.725,2.725,2.725,2.725,693272,0
19980917,2.5,2.5,2.5,2.5,164108,0
19980918,2.275,2.275,2.275,2.275,239104,0
19980921,2.2,2.2,2.2,2.2,140528,0
19980922,2.275,2.275,2.275,2.275,79928,0
19980923,2.275,2.275,2.275,2.275,81604,0
19980924,2.375,2.375,2.375,2.375,128640,0
19980925,2.2,2.2,2.2,2.2,58380,0
19980928,2.25,2.25,2.25,2.25,30060,0
19980929,2.125,2.125,2.125,2.125,64136,0
19980930,2.075,2.075,2.075,2.075,128288,0
19981001,1.8875,1.8875,1.8875,1.8875,85240,0
19981002,1.7,1.7,1.7,1.7,191968,0
19981005,1.7,1.7,1.7,1.7,324188,0
19981006,1.625,1.625,1.625,1.625,97200,0
19981007,1.7,1.7,1.7,1.7,99308,0
19981008,1.625,1.625,1.625,1.625,100560,0
19981009,1.7875,1.7875,1.7875,1.7875,347976,0
19981012,1.7,1.7,1.7,1.7,177144,0
19981013,1.7125,1.7125,1.7125,1.7125,76316,0
19981014,1.625,1.625,1.625,1.625,63280,0
19981015,1.65,1.65,1.65,1.65,90224,0
19981016,1.75,1.75,1.75,1.75,48328,0
19981019,1.7,1.7,1.7,1.7,73024,0
19981020,1.675,1.675,1.675,1.675,111272,0
19981021,1.725,1.725,1.725,1.725,55204,0
19981022,1.6875,1.6875,1.6875,1.6875,42236,0
19981023,1.75,1.75,1.75,1.75,218192,0
19981026,1.7375,1.7375,1.7375,1.7375,73276,0
19981027,1.6875,1.6875,1.6875,1.6875,111380,0
19981028,1.625,1.625,1.625,1.625,173396,0
19981029,1.575,1.575,1.575,1.575,112136,0
19981030,1.725,1.725,1.725,1.725,286364,0
19981102,1.8375,1.8375,1.8375,1.8375,104760,0
19981103,1.8,1.8,1.8,1.8,155096,0
19981104,1.85,1.85,1.85,1.85,179804,0
19981105,1.7875,1.7875,1.7875,1.7875,227736,0
19981106,1.7625,1.7625,1.7625,1.7625,75388,0
19981109,1.775,1.775,1.775,1.775,46704,0
19981110,1.75,1.75,1.75,1.75,131480,0
19981112,1.75,1.75,1.75,1.75,47988,0
19981113,1.8,1.8,1.8,1.8,120400,0
19981116,1.95,1.95,1.95,1.95,265788,0
19981117,1.95,1.95,1.95,1.95,161200,0
19981118,1.9,1.9,1.9,1.9,62864,0
19981119,1.8,1.8,1.8,1.8,66392,0
19981120,1.7625,1.7625,1.7625,1.7625,119544,0
19981123,1.8,1.8,1.8,1.8,65156,0
19981124,1.8,1.8,1.8,1.8,84476,0
19981125,1.775,1.775,1.775,1.775,114124,0
19981126,1.775,1.775,1.775,1.775,49076,0
19981127,1.8,1.8,1.8,1.8,136256,0
19981130,1.775,1.775,1.775,1.775,72176,0
19981201,1.7625,1.7625,1.7625,1.7625,61964,0
19981202,1.7875,1.7875,1.7875,1.7875,72328,0
19981203,1.8875,1.8875,1.8875,1.8875,212100,0
19981204,1.95,1.95,1.95,1.95,367444,0
19981207,2,2,2,2,254648,0
19981208,1.95,1.95,1.95,1.95,93536,0
19981209,1.875,1.875,1.875,1.875,73208,0
19981210,1.85,1.85,1.85,1.85,153784,0
19981211,1.8,1.8,1.8,1.8,93208,0
19981214,1.775,1.775,1.775,1.775,44692,0
19981215,1.7625,1.7625,1.7625,1.7625,106904,0
19981216,1.7625,1.7625,1.7625,1.7625,423948,0
19981217,1.8375,1.8375,1.8375,1.8375,101952,0
19981218,1.775,1.775,1.775,1.775,68096,0
19981221,1.75,1.75,1.75,1.75,77764,0
19981222,1.725,1.725,1.725,1.725,82756,0
19981223,1.75,1.75,1.75,1.75,63708,0
19981228,1.775,1.775,1.775,1.775,40108,0
19981229,1.8,1.8,1.8,1.8,89932,0
19981230,1.725,1.725,1.725,1.725,47632,0
19981231,1.75,1.75,1.75,1.75,42912,0
19990104,1.7625,1.7625,1.7625,1.7625,117072,0
19990105,1.7875,1.7875,1.7875,1.7875,76380,0
19990106,1.7875,1.7875,1.7875,1.7875,89744,0
19990107,1.9375,1.9375,1.9375,1.9375,228996,0
19990108,1.9125,1.9125,1.9125,1.9125,106192,0
19990111,1.975,1.975,1.975,1.975,252372,0
19990112,1.975,1.975,1.975,1.975,266360,0
19990113,1.9,1.9,1.9,1.9,120288,0
19990114,1.8,1.8,1.8,1.8,184768,0
19990115,1.75,1.75,1.75,1.75,95660,0
19990118,1.8,1.8,1.8,1.8,46212,0
19990119,1.8125,1.8125,1.8125,1.8125,110716,0
19990120,1.8125,1.8125,1.8125,1.8125,153012,0
19990121,1.7625,1.7625,1.7625,1.7625,68068,0
19990122,1.725,1.725,1.725,1.725,91468,0
19990125,1.625,1.625,1.625,1.625,61948,0
19990126,1.675,1.675,1.675,1.675,45368,0
19990127,1.6875,1.6875,1.6875,1.6875,93596,0
19990128,1.6875,1.6875,1.6875,1.6875,216404,0
19990129,1.7375,1.7375,1.7375,1.7375,107788,0
