Date,Open,High,Low,Close,Volume,OpenInt
19930622,5.7807,5.7807,5.7807,5.7807,1063240,0
19930624,5.2788,5.2788,5.2788,5.2788,942490,0
19930628,5.2788,5.2788,5.2788,5.2788,448107,0
19930629,5.5863,5.5863,5.5863,5.5863,363091,0
19930701,5.7807,5.7807,5.7807,5.7807,587616,0
19930705,6.0479,6.0479,6.0479,6.0479,380874,0
19930706,6.0802,6.0802,6.0802,6.0802,266123,0
19930708,5.473,5.473,5.473,5.473,288892,0
19930712,5.5863,5.5863,5.5863,5.5863,136088,0
19930713,5.5458,5.5458,5.5458,5.5458,173785,0
19930715,5.473,5.473,5.473,5.473,314821,0
19930719,5.473,5.473,5.473,5.473,268520,0
19930720,5.3921,5.3921,5.3921,5.3921,328794,0
19930722,5.5135,5.5135,5.5135,5.5135,380200,0
19930726,5.5135,5.5135,5.5135,5.5135,246729,0
19930727,5.4325,5.4325,5.4325,5.4325,188435,0
19930729,5.5135,5.5135,5.5135,5.5135,247910,0
19930802,5.5863,5.5863,5.5863,5.5863,200097,0
19930803,5.5863,5.5863,5.5863,5.5863,213062,0
19930805,5.5458,5.5458,5.5458,5.5458,221232,0
19930809,6.0802,6.0802,6.0802,6.0802,576658,0
19930810,6.6955,6.6955,6.6955,6.6955,0,0
19930812,7.3837,7.3837,7.3837,7.3837,0,0
19930816,8.0719,8.0719,8.0719,8.0719,704932,0
19930817,8.882,8.882,8.882,8.882,888534,0
19930819,9.723,9.723,9.723,9.723,601927,0
19930823,10.598,10.598,10.598,10.598,0,0
19930824,11.594,11.594,11.594,11.594,258300,0
19930826,12.785,12.785,12.785,12.785,535976,0
19930830,11.521,11.521,11.521,11.521,519899,0
19930831,10.411,10.411,10.411,10.411,597512,0
19930902,11.367,11.367,11.367,11.367,366136,0
19930906,12.436,12.436,12.436,12.436,822295,0
19930907,11.173,11.173,11.173,11.173,773765,0
19930909,10.712,10.712,10.712,10.712,358496,0
19930913,10.598,10.598,10.598,10.598,208844,0
19930914,10.712,10.712,10.712,10.712,229088,0
19930916,11.059,11.059,11.059,11.059,375820,0
19930920,9.95,9.95,9.95,9.95,287193,0
19930921,8.9542,8.9542,8.9542,8.9542,236538,0
19930923,8.0719,8.0719,8.0719,8.0719,287334,0
19930927,7.4241,7.4241,7.4241,7.4241,458463,0
19930928,8.1529,8.1529,8.1529,8.1529,0,0
