Date,Open,High,Low,Close,Volume,OpenInt
20040526,21.394,22.174,21.296,21.88,526637,0
20040527,22.076,22.563,22.076,22.368,222758,0
20040528,22.368,22.467,22.076,22.368,53479,0
20040531,22.368,22.467,22.174,22.368,22640,0
20040601,22.368,22.368,22.076,22.368,13490,0
20040602,22.271,22.368,22.271,22.368,19228,0
20040603,22.368,22.368,22.174,22.174,7885,0
20040604,22.368,22.368,22.174,22.368,36725,0
20040607,22.368,22.759,22.368,22.759,53267,0
20040608,22.759,23.626,22.759,23.431,36373,0
20040609,23.528,24.309,23.333,24.309,36790,0
20040611,24.21,26.258,24.21,25.575,49894,0
20040614,25.575,25.575,24.016,24.99,23373,0
20040615,24.796,24.892,24.309,24.502,7628,0
20040616,24.309,24.99,24.309,24.698,9370,0
20040617,24.698,24.892,23.821,23.821,27875,0
20040618,24.113,24.309,23.821,23.821,9542,0
20040621,23.626,24.6,23.626,24.21,19232,0
20040622,24.406,24.502,24.21,24.21,6814,0
20040623,24.6,24.892,24.406,24.406,19692,0
20040624,24.796,24.796,24.406,24.502,7647,0
20040625,24.6,24.892,24.309,24.892,9770,0
20040628,25.089,26.744,25.089,26.55,33597,0
20040629,26.842,26.94,26.063,26.258,7656,0
20040630,26.648,26.648,26.063,26.063,10668,0
20040701,26.063,26.159,25.575,25.964,2182,0
20040702,25.77,25.964,25.38,25.77,11895,0
20040705,25.964,26.258,25.868,26.159,4449,0
20040706,25.964,26.258,25.77,26.159,4294,0
20040707,26.159,26.55,25.868,26.452,7084,0
20040708,26.258,27.71,26.258,27.514,15310,0
20040709,27.71,28.685,27.514,28.685,19023,0
20040712,28.685,29.755,28.685,28.781,49371,0
20040713,28.781,29.172,28.489,29.074,24342,0
20040714,28.685,30.926,28.685,30.633,60520,0
20040715,30.633,31.794,30.049,30.536,44852,0
20040716,30.926,31.502,29.562,31.209,50222,0
20040719,31.598,33.937,31.598,32.67,44512,0
20040720,33.255,33.255,31.024,32.476,60891,0
20040721,32.476,32.574,31.598,31.988,106098,0
20040722,32.085,32.085,31.696,31.988,24539,0
20040723,31.988,33.548,31.696,33.255,25312,0
20040726,33.45,33.548,31.988,32.184,30569,0
20040727,32.476,32.963,31.209,31.892,19577,0
20040728,32.768,32.768,30.732,31.121,18647,0
20040729,30.732,31.404,30.146,30.536,19709,0
20040730,30.536,31.121,30.438,31.121,5421,0
20040802,31.209,32.085,31.209,31.794,14434,0
20040803,31.794,32.085,31.696,31.988,16027,0
20040804,31.892,32.378,31.794,32.281,23452,0
20040805,32.574,32.574,31.892,31.892,9596,0
20040806,31.598,31.988,30.633,30.633,12907,0
20040809,30.633,31.598,28.976,29.659,13888,0
20040810,29.659,30.536,29.366,30.146,18330,0
20040811,29.755,30.146,29.755,29.755,21770,0
20040812,29.659,30.049,29.659,29.755,3424,0
20040813,29.755,29.952,29.659,29.952,2542,0
20040816,30.245,30.245,30.049,30.049,1980,0
20040817,29.952,30.536,29.854,30.146,4058,0
20040818,30.146,30.732,30.146,30.732,4091,0
20040819,31.024,31.024,30.341,30.341,3367,0
20040820,30.049,30.438,29.464,29.854,6401,0
20040823,29.854,30.438,29.755,30.341,18798,0
20040824,30.633,32.085,30.633,32.085,22005,0
20040825,32.085,32.184,31.404,31.794,14299,0
20040826,32.085,32.085,31.209,31.209,9982,0
20040827,32.085,32.085,31.598,31.892,1109,0
20040830,31.892,31.892,31.024,31.024,1690,0
20040831,30.828,31.121,30.828,30.926,17663,0
20040901,31.121,31.598,30.926,31.598,10075,0
20040902,31.502,32.085,30.828,31.892,19863,0
20040903,32.085,32.184,31.598,31.988,4620,0
20040906,32.085,32.085,31.598,31.794,1814,0
20040907,31.209,31.988,31.209,31.794,5541,0
20040908,31.696,33.743,31.598,33.353,39246,0
20040909,33.158,35.01,32.768,35.01,46755,0
20040910,35.877,36.462,35.292,35.292,52905,0
20040913,35.975,36.755,35.585,36.365,18712,0
20040914,36.95,37.632,36.17,36.17,27471,0
20040915,36.17,36.17,35.292,35.877,8352,0
20040916,35.682,35.877,35.585,35.78,4709,0
20040917,35.585,35.682,35.01,35.39,9569,0
20040920,35.01,35.682,34.62,35.488,2606,0
20040921,35.585,35.585,35.204,35.39,1368,0
20040922,35.204,35.877,35.01,35.204,5016,0
20040923,35.01,36.851,35.01,36.072,22868,0
20040924,36.17,37.34,35.975,35.975,19154,0
20040927,36.17,36.17,35.682,35.682,4792,0
20040928,35.292,35.682,35.292,35.682,4295,0
20040929,35.39,35.975,35.39,35.975,9297,0
20040930,35.877,35.975,35.585,35.585,4914,0
20041001,35.488,35.877,35.39,35.877,3274,0
20041004,36.462,37.047,35.975,36.17,15418,0
20041005,36.462,36.462,35.975,35.975,7629,0
20041006,35.975,35.975,35.682,35.877,5196,0
20041007,35.78,35.78,34.911,35.488,13348,0
20041008,35.01,35.39,34.717,35.39,6097,0
20041011,35.01,35.488,34.911,35.108,3652,0
20041012,34.717,34.717,34.036,34.133,14907,0
20041013,33.548,34.036,33.45,33.743,12077,0
20041014,33.937,34.717,33.937,34.328,16462,0
20041015,34.717,34.717,34.328,34.328,129900,0
20041018,34.523,34.523,34.229,34.229,42614,0
20041019,34.133,34.133,33.158,33.158,8530,0
20041020,33.158,33.158,32.085,32.866,23170,0
20041021,32.085,33.45,32.085,33.45,6826,0
20041022,33.937,34.62,33.937,34.328,2397,0
20041025,32.768,34.036,32.768,33.548,4841,0
20041026,33.45,34.911,33.158,34.911,10581,0
20041027,34.816,35.78,34.717,35.488,34600,0
20041028,36.559,37.34,36.559,37.047,41660,0
20041029,38.119,38.119,37.533,38.119,678348,0
20041102,38.314,38.314,37.241,37.632,23075,0
20041103,37.924,37.924,37.047,37.437,4483,0
20041104,37.34,37.437,37.047,37.34,5947,0
