Date,Open,High,Low,Close,Volume,OpenInt
20041202,8.3025,8.4243,8.0936,8.1807,306865,0
20041203,8.1807,8.1807,7.763,8.0501,57988,0
20041206,8.0154,8.0154,7.8065,7.8934,29696,0
20041207,7.8065,7.8065,7.5192,7.7281,27401,0
20041208,7.7281,7.7281,7.4757,7.6847,14079,0
20041209,7.7281,7.7281,7.5627,7.7281,13388,0
20041210,7.7281,7.7281,7.6412,7.6847,5912,0
20041213,7.763,7.763,7.4757,7.4757,5470,0
20041214,7.5627,7.6412,7.5192,7.6412,13164,0
20041215,7.6847,7.6847,7.5192,7.5627,10271,0
20041216,7.4757,7.8065,7.4757,7.8065,21780,0
20041217,7.6412,7.9283,7.6412,7.8065,16999,0
20041220,7.8065,7.8065,7.6412,7.6847,4308,0
20041221,7.7281,7.7281,7.6847,7.6847,5768,0
20041222,7.6412,7.6412,7.5192,7.6412,2520,0
20041223,7.7281,7.7281,7.6064,7.6847,3246,0
20041224,7.6847,7.763,7.6847,7.763,4945,0
20041227,7.7281,7.8499,7.7281,7.8499,11737,0
20041228,7.6847,7.8065,7.6847,7.8065,13558,0
20041229,7.763,7.8065,7.763,7.8065,18959,0
20041230,7.7281,7.8499,7.7281,7.8499,37149,0
20041231,7.6412,7.8499,7.6412,7.8499,40046,0
20050103,7.8065,7.8499,7.763,7.8499,7961,0
20050104,7.8499,7.8499,7.8065,7.8065,4736,0
20050105,7.763,7.763,7.5192,7.5627,3498,0
20050106,7.5627,7.6064,7.5627,7.5627,11735,0
20050107,7.5627,7.7281,7.5627,7.5627,4139,0
20050110,7.5627,7.5627,7.5192,7.5192,925,0
20050111,7.5192,7.5192,7.3974,7.3974,118479,0
20050112,7.3539,7.4409,7.3539,7.4409,4374,0
20050113,7.3104,7.5192,7.3104,7.5192,7798,0
20050114,7.3974,7.5627,7.3974,7.5627,5647,0
20050117,7.3974,7.5627,7.3974,7.5627,8995,0
20050118,7.5192,7.6064,7.3974,7.6064,21680,0
20050119,7.5627,7.6064,7.5627,7.6064,7634,0
20050120,7.3974,7.6412,7.3974,7.6412,2027,0
20050121,7.4409,7.4409,7.3104,7.3104,851,0
20050124,7.3974,7.3974,7.3104,7.3974,2133,0
20050125,7.3539,7.3539,7.3539,7.3539,1238,0
20050126,7.4757,7.6064,7.3539,7.4757,2748,0
20050127,7.3539,7.4757,7.3539,7.4757,5926,0
20050128,7.3539,7.6412,7.3539,7.5627,14122,0
20050131,7.5627,7.5627,7.3974,7.5627,14551,0
20050201,7.3974,7.7281,7.3974,7.7281,11190,0
20050202,7.6412,7.7281,7.6412,7.7281,58492,0
20050203,7.5192,7.7281,7.5192,7.7281,6858,0
20050204,7.7281,7.7281,7.5192,7.7281,4002,0
20050207,7.5192,7.8065,7.5192,7.8065,17269,0
20050208,7.8065,7.8065,7.6064,7.8065,3390,0
20050209,7.6064,7.8065,7.6064,7.8065,7704,0
20050210,7.6064,7.8065,7.6064,7.8065,60777,0
20050211,7.8065,7.8934,7.8065,7.8934,20806,0
20050214,7.8499,7.8499,7.6847,7.8065,2056,0
20050215,7.763,7.763,7.6847,7.763,6769,0
20050216,7.6064,7.8499,7.6064,7.8499,5535,0
20050217,7.8065,7.9283,7.8065,7.9283,54184,0
20050218,7.8499,7.9283,7.8065,7.9283,264644,0
20050221,7.9283,7.9283,7.6064,7.8065,300665,0
20050222,7.8934,8.1372,7.8065,8.0501,216762,0
20050223,8.0154,8.5462,8.0154,8.5462,241096,0
20050224,8.6333,8.6333,8.3808,8.5462,33656,0
20050225,8.4243,9.0422,8.4243,9.0422,224988,0
20050228,8.9987,8.9987,8.6333,8.8769,293499,0
20050301,8.9203,9.2077,8.7549,9.0422,135534,0
20050302,8.9203,8.9987,8.7549,8.8769,129471,0
20050303,8.8769,9.0422,8.8769,8.9987,29370,0
20050304,8.9987,8.9987,8.7898,8.7898,5543,0
20050307,8.7898,9.1205,8.7115,9.0422,39739,0
20050308,9.0422,9.2077,8.8769,8.9987,99994,0
20050309,8.9987,8.9987,8.7898,8.9553,45632,0
20050310,8.8769,8.9553,8.7549,8.9553,277177,0
20050311,8.9553,8.9553,8.7549,8.8769,7794,0
20050314,8.7898,8.7898,8.7115,8.7549,20564,0
20050315,8.7115,8.7898,8.668,8.7898,23743,0
20050316,8.7898,8.7898,8.668,8.7898,97218,0
20050317,8.7898,8.7898,8.2155,8.6333,39476,0
20050318,8.7549,8.9987,8.7549,8.9987,249241,0
20050321,9.2077,9.53,9.2077,9.3298,341573,0
20050322,9.4945,9.782,9.4085,9.66,165174,0
20050323,9.739,10.434,9.574,10.314,299410,0
20050324,10.269,10.479,9.947,10.112,215558,0
20050329,10.112,10.235,9.905,10.191,10319,0
20050330,10.191,10.191,9.947,10.07,22634,0
20050331,10.149,10.356,10.149,10.356,186002,0
20050401,10.644,10.765,10.557,10.687,33880,0
20050404,10.765,11.174,10.599,11.096,164540,0
20050405,11.34,11.426,11.052,11.052,51955,0
20050406,11.052,11.096,10.809,10.809,21623,0
20050407,11.009,11.592,11.009,11.505,268092,0
20050411,11.879,12.619,11.749,11.749,338045,0
20050412,11.792,12.035,11.34,11.505,247909,0
20050413,11.548,12.08,11.548,11.67,94968,0
20050414,11.592,11.67,11.261,11.296,98609,0
20050415,11.261,11.426,11.174,11.34,41443,0
20050418,11.139,11.749,10.887,11.749,71253,0
20050419,11.914,12.123,11.792,11.914,70607,0
20050420,11.914,12.08,11.505,11.749,41525,0
20050421,11.592,11.836,11.261,11.505,102727,0
20050422,11.749,11.749,11.174,11.462,68178,0
20050425,11.174,11.462,11.174,11.462,25429,0
20050426,11.505,11.505,11.218,11.261,32556,0
20050427,11.174,11.383,11.139,11.218,93179,0
20050428,11.174,11.296,11.096,11.261,15018,0
20050429,11.34,11.383,11.34,11.383,4544,0
20050502,11.426,11.792,11.34,11.749,13201,0
20050504,11.749,12.08,11.67,11.879,46382,0
20050505,11.836,12.035,11.836,11.879,22272,0
20050506,12.002,12.035,11.836,11.914,14207,0
20050509,12.08,12.366,12.035,12.08,291300,0
20050510,12.245,12.245,11.879,12.002,24777,0
20050511,12.002,12.002,11.749,11.836,8518,0
20050512,11.836,12.123,11.714,11.749,20482,0
20050513,11.67,11.67,11.548,11.627,9477,0
20050516,11.792,12.002,11.714,11.879,40100,0
20050517,11.749,11.914,11.462,11.505,33014,0
20050518,11.548,11.67,11.34,11.505,54076,0
20050519,11.505,11.592,11.505,11.592,29206,0
20050520,11.592,11.914,11.592,11.792,67142,0
20050523,11.836,11.958,11.505,11.592,35014,0
20050524,11.548,11.714,11.505,11.714,98200,0
20050525,11.627,11.749,11.592,11.714,16976,0
20050527,11.627,11.749,11.548,11.714,17104,0
20050530,11.67,11.836,11.627,11.836,8514,0
20050531,11.749,11.792,11.714,11.792,16769,0
20050601,11.749,11.792,11.714,11.749,72140,0
20050602,11.714,11.714,11.462,11.505,26941,0
20050603,11.548,11.548,11.505,11.548,40274,0
20050606,11.505,11.67,11.505,11.592,14122,0
20050607,11.627,11.627,11.462,11.548,28282,0
20050608,11.548,11.592,11.505,11.548,98170,0
20050609,11.505,11.592,11.462,11.592,67292,0
20050610,11.592,11.592,11.505,11.592,12281,0
20050613,11.505,11.714,11.462,11.67,16033,0
20050614,11.505,11.505,11.462,11.505,21925,0
20050615,11.462,11.548,11.462,11.505,13427,0
20050616,11.462,11.462,11.096,11.174,109638,0
20050617,11.174,11.426,11.174,11.426,19942,0
20050620,11.383,11.383,11.296,11.383,29409,0
20050621,11.261,11.383,11.096,11.383,43947,0
20050622,11.34,11.383,11.261,11.383,23020,0
20050623,11.426,11.714,11.34,11.714,17635,0
20050624,11.627,11.792,11.426,11.627,42848,0
20050627,11.627,11.627,11.462,11.548,8665,0
20050628,11.548,11.627,11.548,11.548,1744,0
20050629,11.548,11.627,11.505,11.592,71933,0
20050630,11.548,11.548,11.505,11.548,5610,0
20050701,11.505,11.592,11.426,11.592,12824,0
20050704,11.505,11.592,11.505,11.592,8034,0
20050705,11.592,11.592,11.592,11.592,6344,0
20050706,11.548,11.714,11.548,11.714,183808,0
20050707,11.714,11.714,11.592,11.627,15735,0
20050708,11.505,11.792,11.505,11.792,41717,0
20050711,11.749,11.749,11.592,11.592,15199,0
20050712,11.714,11.749,11.505,11.749,199236,0
20050713,11.792,12.454,11.749,12.288,94713,0
20050714,12.333,12.619,12.167,12.454,202727,0
20050715,12.619,12.619,12.489,12.489,337276,0
20050718,12.489,13.106,12.489,12.907,40746,0
20050719,12.907,13.071,12.776,12.907,24327,0
20050720,12.907,13.315,12.907,13.229,205080,0
20050721,13.559,13.559,13.229,13.229,37335,0
20050722,13.229,13.229,12.907,13.028,34000,0
20050725,13.028,13.315,13.028,13.272,37063,0
20050726,13.315,13.933,13.272,13.802,200656,0
20050727,13.89,14.708,13.89,14.542,143683,0
20050728,14.752,14.752,14.298,14.542,72768,0
