Date,Open,High,Low,Close,Volume,OpenInt
20141028,14.2,14.385,13.828,14.145,52067,0
20141029,14.153,14.284,14.107,14.274,12217,0
20141030,14.274,14.943,14.274,14.943,19221,0
20141031,15.073,15.592,15.073,15.583,20426,0
20141103,15.657,16.233,15.592,15.769,18178,0
20141104,16.038,16.038,15.24,15.24,8195,0
20141105,15.24,15.545,15.24,15.48,1836,0
20141106,15.453,15.453,15.221,15.453,2680,0
20141107,15.407,15.777,14.961,15.777,13576,0
20141110,15.732,16.177,15.37,16.056,2283,0
20141112,15.954,16.381,15.954,16.381,3213,0
20141113,16.502,17.161,16.502,17.077,2691,0
20141114,17.319,17.634,16.994,17.541,6383,0
20141117,17.727,18.562,17.727,18.098,10613,0
20141118,18.284,18.284,17.913,18.125,1971,0
20141119,17.643,17.755,17.263,17.634,4087,0
20141120,17.634,17.634,17.448,17.634,3119,0
20141121,17.458,17.634,17.458,17.634,2756,0
20141124,17.634,18.005,17.17,17.82,5958,0
20141125,17.625,17.625,17.17,17.448,1826,0
20141126,17.625,17.634,17.448,17.448,2491,0
20141127,18.098,18.098,17.82,17.996,249,0
20141128,17.82,18.098,17.81,17.81,74,0
20141201,17.634,17.634,17.634,17.634,539,0
20141202,17.634,17.727,17.634,17.727,242,0
20141203,17.17,17.634,17.077,17.616,1926,0
20141204,17.625,17.625,17.448,17.448,577,0
20141205,17.448,17.541,16.103,16.567,4645,0
20141208,16.613,17.17,16.613,16.984,1002,0
20141209,17.031,17.263,16.706,17.263,830,0
20141210,17.263,17.263,16.706,17.077,1392,0
20141211,17.077,17.077,16.241,16.762,2468,0
20141212,16.706,16.706,16.241,16.678,1615,0
20141215,16.882,16.882,16.882,16.882,5,0
20141216,16.428,16.428,15.973,16.428,4632,0
20141217,16.418,16.418,15.248,16.241,5335,0
20141218,16.371,16.371,15.313,15.313,1794,0
20141219,15.332,17.067,15.332,17.067,3704,0
20141222,16.975,16.975,16.241,16.882,293,0
20141223,16.835,16.835,16.241,16.687,252,0
20141229,16.687,16.687,16.241,16.52,123,0
20141230,16.511,16.511,16.511,16.511,22,0
20150102,16.706,16.706,16.706,16.706,32,0
20150105,16.697,16.975,16.241,16.603,189,0
20150107,16.706,16.706,16.706,16.706,5,0
20150108,16.687,16.938,16.613,16.706,1228,0
20150109,16.706,16.975,16.149,16.149,1704,0
20150112,16.149,16.52,16.103,16.52,1787,0
20150113,16.697,16.706,16.613,16.697,394,0
20150114,16.558,16.558,16.241,16.241,52,0
20150115,15.824,16.567,15.313,16.371,1494,0
20150116,16.371,16.511,16.371,16.511,168,0
20150119,16.613,16.613,16.567,16.567,70,0
20150120,16.502,16.52,16.502,16.52,10,0
20150121,16.418,16.418,15.964,16.381,7582,0
20150122,16.335,16.335,15.777,15.777,259,0
20150123,15.777,15.777,14.989,15.128,9387,0
20150126,15.453,15.453,14.664,15.11,11314,0
20150127,15.268,15.268,15.035,15.035,140,0
20150128,15.175,15.313,14.989,15.295,3373,0
20150129,15.175,15.313,15.175,15.313,372,0
20150130,15.36,15.592,15.128,15.407,3640,0
20150202,15.574,15.574,14.617,15.36,991,0
20150203,15.378,15.378,14.849,15.23,404,0
20150204,15.277,15.277,14.784,14.784,1340,0
20150205,14.849,15.128,14.701,14.701,6028,0
20150206,14.701,15.954,14.664,15.407,6771,0
20150209,16.335,16.335,15.045,15.592,3106,0
20150210,15.332,15.639,14.849,15.203,6222,0
20150211,14.859,15.026,14.711,14.711,4980,0
20150212,14.943,14.943,14.098,14.247,3368,0
20150213,14.385,14.664,14.385,14.664,1315,0
20150216,14.692,14.692,14.293,14.664,516,0
20150217,14.664,14.664,14.219,14.219,1274,0
20150218,14.385,14.664,14.385,14.664,1838,0
20150219,14.692,15.62,14.692,15.313,1885,0
20150220,15.313,15.685,15.313,15.313,1994,0
20150223,14.868,15.277,14.859,15.268,965,0
20150224,15.268,15.268,14.849,14.849,4030,0
20150225,14.943,14.943,14.664,14.674,2841,0
20150226,14.943,14.943,14.711,14.943,1069,0
20150227,14.943,15.592,14.664,14.664,14023,0
20150302,14.664,15.128,14.479,15.081,4845,0
20150303,14.849,15.128,14.849,14.849,2838,0
20150304,14.682,14.849,14.479,14.701,2637,0
20150305,14.849,15.026,14.849,15.026,3586,0
20150306,15.277,15.277,15.035,15.165,3036,0
20150309,15.23,15.277,14.849,14.849,3014,0
20150311,15.035,15.035,14.849,14.849,546,0
20150312,14.432,14.849,14.432,14.849,86,0
20150313,14.571,14.581,14.571,14.571,6199,0
20150316,14.943,14.943,14.581,14.581,16,0
20150317,14.849,14.849,14.849,14.849,27,0
20150318,14.989,15.313,14.989,15.313,701,0
20150319,15.268,15.926,15.268,15.926,3913,0
20150320,15.926,18.005,15.926,17.588,40260,0
20150323,17.634,17.634,16.734,17.588,8294,0
20150324,17.588,17.588,16.845,16.975,4779,0
20150325,16.938,17.077,16.938,16.984,986,0
20150326,16.892,17.17,16.613,16.966,6203,0
20150327,16.984,17.179,16.752,16.845,13051,0
20150330,16.845,17.151,16.845,17.151,995,0
20150331,17.161,17.161,16.706,16.706,5705,0
20150401,16.882,16.882,16.241,16.511,4000,0
20150402,16.493,16.493,15.5,15.907,5856,0
20150407,15.991,16.418,15.991,16.233,7982,0
20150408,16.233,16.697,16.233,16.363,12074,0
20150409,16.595,16.595,16.168,16.168,4884,0
20150410,16.168,16.418,16.074,16.409,1202,0
20150413,16.103,16.288,16.084,16.177,1466,0
20150414,16.177,16.186,16.158,16.158,350,0
20150415,16.139,16.139,15.787,16.103,2568,0
20150416,16.056,16.056,15.917,15.917,3114,0
20150417,15.917,16.428,15.917,16.428,966,0
20150420,16.418,16.418,16.066,16.335,3719,0
20150421,16.678,16.678,16.038,16.511,1269,0
20150422,16.511,16.511,16.084,16.326,1180,0
20150423,16.409,16.409,16.4,16.4,386,0
20150424,16.344,16.344,16.241,16.316,884,0
20150427,16.363,16.363,15.777,16.149,4669,0
20150428,16.288,16.288,15.777,15.982,1543,0
20150429,16.158,16.158,15.777,15.777,2044,0
20150430,15.777,16.047,15.62,16.047,2144,0
20150504,16.149,16.149,15.944,15.944,275,0
20150505,15.944,16.084,15.944,16.056,1660,0
