Date,Open,High,Low,Close,Volume,OpenInt
19990223,3.2605,3.2605,3.2605,3.2605,2195633,0
19990224,3.3128,3.3128,3.3128,3.3128,2549394,0
19990225,3.3912,3.3912,3.3912,3.3912,1301256,0
19990226,3.3651,3.3651,3.3651,3.3651,1296621,0
19990301,3.3976,3.3976,3.3976,3.3976,1082226,0
19990302,3.4369,3.4369,3.4369,3.4369,2163591,0
19990303,3.4042,3.4042,3.4042,3.4042,1382873,0
19990304,3.3584,3.3584,3.3584,3.3584,1315301,0
19990305,3.3063,3.3063,3.3063,3.3063,1311865,0
19990308,3.3063,3.3063,3.3063,3.3063,635454,0
19990309,3.2866,3.2866,3.2866,3.2866,639528,0
19990310,3.3584,3.3584,3.3584,3.3584,676975,0
19990311,3.548,3.548,3.548,3.548,2844765,0
19990312,3.6394,3.6394,3.6394,3.6394,4038235,0
19990315,3.7505,3.7505,3.7505,3.7505,2898400,0
19990316,3.829,3.829,3.829,3.829,3733498,0
19990317,3.7766,3.7766,3.7766,3.7766,2659718,0
19990318,3.5806,3.5806,3.5806,3.5806,2338327,0
19990319,3.7179,3.7179,3.7179,3.7179,1888484,0
19990322,3.6722,3.6722,3.6722,3.6722,2095596,0
19990323,3.5873,3.5873,3.5873,3.5873,1334020,0
19990324,3.45,3.45,3.45,3.45,1027222,0
19990325,3.5153,3.5153,3.5153,3.5153,1670044,0
19990326,3.4107,3.4107,3.4107,3.4107,1937481,0
19990329,3.3063,3.3063,3.3063,3.3063,322075,0
19990330,3.5806,3.5806,3.5806,3.5806,1730749,0
19990331,3.6394,3.6394,3.6394,3.6394,2156036,0
19990401,3.5873,3.5873,3.5873,3.5873,1172209,0
19990402,3.6264,3.6264,3.6264,3.6264,5124,0
19990406,3.6852,3.6852,3.6852,3.6852,1203696,0
19990407,3.6852,3.6852,3.6852,3.6852,816203,0
19990408,3.7505,3.7505,3.7505,3.7505,1873331,0
19990409,3.8028,3.8028,3.8028,3.8028,3788568,0
19990412,3.7047,3.7047,3.7047,3.7047,732419,0
19990413,3.633,3.633,3.633,3.633,1638591,0
19990414,3.6461,3.6461,3.6461,3.6461,504910,0
19990415,3.6394,3.6394,3.6394,3.6394,1324286,0
19990416,3.6067,3.6067,3.6067,3.6067,1145973,0
19990419,3.659,3.659,3.659,3.659,1511858,0
19990420,3.5806,3.5806,3.5806,3.5806,499896,0
19990421,3.5676,3.5676,3.5676,3.5676,683655,0
19990422,3.5676,3.5676,3.5676,3.5676,1325738,0
19990423,3.5544,3.5544,3.5544,3.5544,1670636,0
19990426,3.5937,3.5937,3.5937,3.5937,1789393,0
19990427,3.6852,3.6852,3.6852,3.6852,1951861,0
19990428,3.6916,3.6916,3.6916,3.6916,1814126,0
19990429,3.6787,3.6787,3.6787,3.6787,1700420,0
19990430,3.6526,3.6526,3.6526,3.6526,2363747,0
19990503,3.7766,3.7766,3.7766,3.7766,1394389,0
19990504,3.8485,3.8485,3.8485,3.8485,2733447,0
19990505,3.9532,3.9532,3.9532,3.9532,2069597,0
19990506,4.2406,4.2406,4.2406,4.2406,2867615,0
19990507,4.3648,4.3648,4.3648,4.3648,4742640,0
19990510,4.5084,4.5084,4.5084,4.5084,3416600,0
19990511,5.1097,5.1097,5.1097,5.1097,7885125,0
19990512,5.175,5.175,5.175,5.175,15388043,0
19990513,4.9659,4.9659,4.9659,4.9659,9762207,0
19990514,4.9398,4.9398,4.9398,4.9398,3410445,0
19990517,4.7437,4.7437,4.7437,4.7437,1205144,0
19990518,4.7502,4.7502,4.7502,4.7502,1958787,0
19990519,5.0442,5.0442,5.0442,5.0442,3236933,0
19990520,4.992,4.992,4.992,4.992,6475682,0
19990521,5.2206,5.2206,5.2206,5.2206,4881138,0
19990524,5.4168,5.4168,5.4168,5.4168,3826011,0
19990525,5.678,5.678,5.678,5.678,4166898,0
19990526,5.6128,5.6128,5.6128,5.6128,6076228,0
19990527,5.2795,5.2795,5.2795,5.2795,3618073,0
19990528,5.3121,5.3121,5.3121,5.3121,3431066,0
19990531,5.384,5.384,5.384,5.384,1401489,0
19990601,5.384,5.384,5.384,5.384,1387941,0
19990602,5.3774,5.3774,5.3774,5.3774,679094,0
19990603,5.3187,5.3187,5.3187,5.3187,1278351,0
19990604,5.2795,5.2795,5.2795,5.2795,231801,0
19990607,5.273,5.273,5.273,5.273,230170,0
19990608,5.2991,5.2991,5.2991,5.2991,294360,0
19990609,5.273,5.273,5.273,5.273,1057364,0
19990610,5.1292,5.1292,5.1292,5.1292,716976,0
19990611,5.0311,5.0311,5.0311,5.0311,770014,0
19990614,5.077,5.077,5.077,5.077,286031,0
19990615,5.1552,5.1552,5.1552,5.1552,1745435,0
19990616,5.3057,5.3057,5.3057,5.3057,1915878,0
19990617,5.3382,5.3382,5.3382,5.3382,1035895,0
19990618,5.286,5.286,5.286,5.286,673700,0
19990621,5.3709,5.3709,5.3709,5.3709,856759,0
19990622,5.3057,5.3057,5.3057,5.3057,635289,0
19990623,5.2206,5.2206,5.2206,5.2206,966394,0
19990624,5.2338,5.2338,5.2338,5.2338,281178,0
19990625,5.2664,5.2664,5.2664,5.2664,277091,0
19990628,5.273,5.273,5.273,5.273,358127,0
19990629,5.2469,5.2469,5.2469,5.2469,566098,0
19990630,5.2469,5.2469,5.2469,5.2469,358932,0
19990701,5.2076,5.2076,5.2076,5.2076,771134,0
19990702,5.175,5.175,5.175,5.175,923760,0
19990707,5.1619,5.1619,5.1619,5.1619,747780,0
19990708,5.0965,5.0965,5.0965,5.0965,599246,0
19990709,4.979,4.979,4.979,4.979,869184,0
19990712,5.005,5.005,5.005,5.005,640935,0
19990713,4.809,4.809,4.809,4.809,1292634,0
19990714,4.8482,4.8482,4.8482,4.8482,706541,0
19990715,4.8613,4.8613,4.8613,4.8613,599248,0
19990716,4.7894,4.7894,4.7894,4.7894,397189,0
19990719,4.9004,4.9004,4.9004,4.9004,470743,0
19990720,4.992,4.992,4.992,4.992,836022,0
19990721,5.005,5.005,5.005,5.005,294537,0
19990722,5.286,5.286,5.286,5.286,2312249,0
19990723,5.482,5.482,5.482,5.482,2517686,0
19990726,5.456,5.456,5.456,5.456,4045568,0
19990727,5.4102,5.4102,5.4102,5.4102,3685735,0
19990728,5.3774,5.3774,5.3774,5.3774,1550272,0
19990729,5.3907,5.3907,5.3907,5.3907,836251,0
19990730,5.5343,5.5343,5.5343,5.5343,1346371,0
19990802,5.5474,5.5474,5.5474,5.5474,1469104,0
19990803,5.9852,5.9852,5.9852,5.9852,2717087,0
19990804,6.4295,6.4295,6.4295,6.4295,3692737,0
19990805,6.2988,6.2988,6.2988,6.2988,3411409,0
19990806,6.0831,6.0831,6.0831,6.0831,3804218,0
19990809,6.0441,6.0441,6.0441,6.0441,3132828,0
19990810,5.9787,5.9787,5.9787,5.9787,2605678,0
19990811,5.959,5.959,5.959,5.959,424600,0
19990812,5.9264,5.9264,5.9264,5.9264,942270,0
19990813,5.8938,5.8938,5.8938,5.8938,343524,0
19990816,5.6716,5.6716,5.6716,5.6716,2896809,0
19990817,5.678,5.678,5.678,5.678,318907,0
19990818,5.6716,5.6716,5.6716,5.6716,362983,0
19990819,5.6584,5.6584,5.6584,5.6584,1090650,0
19990820,5.7696,5.7696,5.7696,5.7696,1461643,0
19990823,5.678,5.678,5.678,5.678,2931674,0
19990824,5.5081,5.5081,5.5081,5.5081,2453972,0
19990825,5.7042,5.7042,5.7042,5.7042,2481550,0
19990826,5.6716,5.6716,5.6716,5.6716,1232182,0
19990827,5.6977,5.6977,5.6977,5.6977,440854,0
19990830,5.7304,5.7304,5.7304,5.7304,660012,0
19990831,5.678,5.678,5.678,5.678,1742760,0
19990901,5.7239,5.7239,5.7239,5.7239,166466,0
19990902,5.8414,5.8414,5.8414,5.8414,1029768,0
19990903,5.9133,5.9133,5.9133,5.9133,883791,0
19990906,5.9199,5.9199,5.9199,5.9199,284091,0
19990907,6.0375,6.0375,6.0375,6.0375,1490604,0
19990908,6.0767,6.0767,6.0767,6.0767,896087,0
19990909,6.0309,6.0309,6.0309,6.0309,958496,0
19990910,5.959,5.959,5.959,5.959,1067465,0
19990913,5.9394,5.9394,5.9394,5.9394,1599757,0
19990914,6.1354,6.1354,6.1354,6.1354,1635997,0
19990915,6.1877,6.1877,6.1877,6.1877,1124151,0
19990916,6.1877,6.1877,6.1877,6.1877,1155330,0
19990917,6.2726,6.2726,6.2726,6.2726,1231563,0
19990920,6.4359,6.4359,6.4359,6.4359,1861957,0
19990921,6.4687,6.4687,6.4687,6.4687,1119526,0
19990922,6.5862,6.5862,6.5862,6.5862,2236563,0
19990923,6.606,6.606,6.606,6.606,2177140,0
19990924,6.5601,6.5601,6.5601,6.5601,2103654,0
19990927,6.7888,6.7888,6.7888,6.7888,2257813,0
19990928,7.0634,7.0634,7.0634,7.0634,3930862,0
19990929,7.1743,7.1743,7.1743,7.1743,3161315,0
19990930,7.4356,7.4356,7.4356,7.4356,1514866,0
19991001,7.2396,7.2396,7.2396,7.2396,2180999,0
19991004,7.1482,7.1482,7.1482,7.1482,1246736,0
19991005,6.8672,6.8672,6.8672,6.8672,1209837,0
19991006,7.0698,7.0698,7.0698,7.0698,1365074,0
19991007,7.109,7.109,7.109,7.109,1909025,0
19991008,7.1679,7.1679,7.1679,7.1679,1266195,0
19991011,7.0502,7.0502,7.0502,7.0502,1458730,0
19991012,7.0829,7.0829,7.0829,7.0829,800259,0
19991013,7.0045,7.0045,7.0045,7.0045,1633095,0
19991014,7.0959,7.0959,7.0959,7.0959,781326,0
19991015,7.0568,7.0568,7.0568,7.0568,2528170,0
19991018,7.0371,7.0371,7.0371,7.0371,776207,0
19991019,7.2005,7.2005,7.2005,7.2005,599704,0
19991020,7.1482,7.1482,7.1482,7.1482,801265,0
19991021,7.1482,7.1482,7.1482,7.1482,849894,0
19991022,7.194,7.194,7.194,7.194,1554426,0
19991025,7.1155,7.1155,7.1155,7.1155,562436,0
19991026,7.122,7.122,7.122,7.122,329001,0
19991027,7.2201,7.2201,7.2201,7.2201,898953,0
19991029,7.194,7.194,7.194,7.194,1844529,0
19991101,7.1155,7.1155,7.1155,7.1155,2372069,0
19991102,7.1875,7.1875,7.1875,7.1875,846590,0
19991103,7.2658,7.2658,7.2658,7.2658,1096562,0
19991104,7.3377,7.3377,7.3377,7.3377,800448,0
19991105,7.3639,7.3639,7.3639,7.3639,193081,0
19991108,7.1482,7.1482,7.1482,7.1482,420211,0
19991109,7.3836,7.3836,7.3836,7.3836,2942413,0
19991110,7.403,7.403,7.403,7.403,2072422,0
19991111,7.501,7.501,7.501,7.501,1661144,0
19991112,7.4161,7.4161,7.4161,7.4161,583307,0
19991115,7.39,7.39,7.39,7.39,351668,0
19991116,7.3377,7.3377,7.3377,7.3377,891671,0
19991117,7.3049,7.3049,7.3049,7.3049,1011013,0
19991118,7.2332,7.2332,7.2332,7.2332,1340510,0
19991119,7.2005,7.2005,7.2005,7.2005,1580901,0
19991122,7.1351,7.1351,7.1351,7.1351,755103,0
19991123,6.8999,6.8999,6.8999,6.8999,1287078,0
19991124,6.7955,6.7955,6.7955,6.7955,2342142,0
19991125,6.8737,6.8737,6.8737,6.8737,816136,0
