Date,Open,High,Low,Close,Volume,OpenInt
20091222,4.18,4.38,4.1,4.24,46320,0
20091223,4.1,4.1,3.8,3.8,13680,0
20091228,3.6,3.6,3.26,3.32,15960,0
20091229,3.4,3.54,3.4,3.48,10280,0
20091230,3.54,3.86,3.5,3.86,2720,0
20091231,3.8,4,3.74,4,2280,0
20100104,4.06,4.1,3.68,3.98,4080,0
20100105,3.96,3.96,3.66,3.66,1560,0
20100106,3.92,3.92,3.88,3.9,1280,0
20100107,3.88,3.88,3.56,3.6,2920,0
20100108,3.8,3.84,3.74,3.82,1120,0
20100111,3.8,3.82,3.8,3.82,1440,0
20100112,3.9,3.9,3.64,3.64,1200,0
20100113,3.8,3.8,3.72,3.72,840,0
20100114,3.64,3.7,3.64,3.7,1520,0
20100115,3.66,3.8,3.66,3.8,360,0
20100118,3.94,3.94,3.7,3.7,800,0
20100119,3.66,3.66,3.66,3.66,680,0
20100121,3.6,3.6,3.5,3.5,2000,0
20100122,3.66,3.68,3.66,3.66,3040,0
20100125,3.46,3.6,3.44,3.6,760,0
20100126,3.6,3.7,3.5,3.7,12800,0
20100127,3.58,3.78,3.58,3.7,3040,0
20100128,3.48,3.5,3.48,3.5,400,0
20100129,3.52,3.52,3.52,3.52,120,0
20100201,3.52,3.78,3.52,3.78,3600,0
20100202,3.78,3.78,3.52,3.52,3000,0
20100204,3.52,3.58,3.52,3.52,920,0
20100205,3.46,3.46,3.36,3.4,4280,0
20100208,3.7,3.7,3.36,3.36,200,0
20100209,3.44,3.44,3.42,3.42,320,0
20100210,3.68,3.68,3.38,3.4,1640,0
20100211,3.38,3.42,3.38,3.42,120,0
20100212,3.38,3.38,3.36,3.36,1600,0
20100215,3.36,3.4,3.16,3.2,11920,0
20100216,3.2,3.4,3.2,3.4,1120,0
20100217,3.38,3.4,3.2,3.2,20680,0
20100218,3.2,3.38,3.2,3.24,2800,0
20100219,3.38,3.5,3.36,3.5,8280,0
20100222,3.6,3.66,3.42,3.42,1440,0
20100223,3.6,4.14,3.6,4.1,27880,0
20100224,4.1,4.1,3.68,3.68,21840,0
20100225,3.68,3.96,3.68,3.86,1840,0
20100301,3.62,3.86,3.62,3.86,160,0
20100302,3.8,3.98,3.8,3.96,15000,0
20100303,3.82,3.96,3.8,3.94,11600,0
20100304,3.96,4.14,3.96,4.14,3520,0
20100305,4.04,4.24,4.02,4.1,7080,0
20100308,4.2,4.2,4.1,4.1,11960,0
20100309,4.1,4.2,4.1,4.1,4000,0
20100310,4.2,4.2,4.1,4.1,3120,0
20100311,4.1,4.1,4.1,4.1,8000,0
20100312,3.84,4.12,3.84,4.1,3320,0
20100315,3.9,4.08,3.84,4,11520,0
20100316,3.98,4.06,3.98,4.06,11800,0
20100317,3.98,4,3.9,3.92,28360,0
20100318,4,4,4,4,120,0
20100319,3.86,3.86,3.82,3.86,15000,0
20100323,3.96,3.96,3.72,3.72,840,0
20100324,3.6,3.68,3.42,3.48,3440,0
20100325,3.8,3.8,3.42,3.56,11880,0
20100326,3.9,4,3.6,3.6,960,0
20100329,3.92,3.92,3.6,3.6,0,0
20100330,3.9,3.92,3.7,3.88,560,0
20100331,3.88,3.88,3.74,3.82,400,0
20100401,3.74,3.74,3.7,3.7,800,0
20100406,3.76,3.9,3.76,3.82,240,0
20100407,3.6,3.6,3.6,3.6,0,0
20100408,3.9,3.9,3.62,3.62,0,0
20100409,3.78,3.78,3.66,3.66,120,0
20100412,3.88,3.88,3.88,3.88,40,0
20100413,3.9,3.9,3.86,3.88,2840,0
20100414,3.92,3.92,3.7,3.9,1080,0
20100415,3.9,3.96,3.9,3.96,5000,0
20100416,3.8,3.8,3.8,3.8,200,0
20100419,3.7,3.94,3.7,3.92,600,0
20100420,3.7,3.9,3.7,3.7,240,0
20100421,3.9,3.9,3.72,3.72,1200,0
20100422,3.7,3.8,3.7,3.7,2360,0
20100423,3.7,3.7,3.4,3.62,1160,0
20100426,3.64,3.7,3.6,3.7,3720,0
20100427,3.8,3.8,3.48,3.6,3720,0
20100428,3.5,3.5,3.5,3.5,120,0
20100429,3.6,3.6,3.56,3.56,1440,0
20100504,3.56,3.56,3.24,3.32,2400,0
20100505,3.78,3.78,3.36,3.78,400,0
20100506,3.78,3.78,3.78,3.78,0,0
20100507,3.68,3.68,3.44,3.44,360,0
20100510,3.76,3.76,3.76,3.76,120,0
20100511,3.74,3.74,3.74,3.74,40,0
