Date,Open,High,Low,Close,Volume,OpenInt
20050210,21.455,21.742,20.29,20.366,1928362,0
20050211,20.585,20.585,20.222,20.509,202791,0
20050214,20.433,20.796,20.366,20.653,146876,0
20050215,20.729,20.796,20.653,20.729,50718,0
20050216,20.729,21.016,20.653,20.948,240154,0
20050217,20.948,20.948,20.653,20.872,111563,0
20050218,20.729,20.872,20.433,20.872,94323,0
20050221,20.509,21.016,20.29,20.872,169835,0
20050222,20.796,21.16,20.585,21.092,127135,0
20050223,20.872,21.599,20.872,21.599,172678,0
20050224,21.666,22.612,21.666,22.535,479633,0
20050225,22.831,23.043,22.468,22.688,339798,0
20050228,22.899,23.043,22.468,22.468,134464,0
20050301,22.105,22.535,21.962,22.468,63916,0
20050302,22.468,22.535,22.325,22.468,269866,0
20050303,22.392,22.688,22.392,22.468,41053,0
20050304,22.468,22.468,21.886,22.105,28825,0
20050307,21.962,22.173,21.455,21.886,51181,0
20050308,21.742,21.886,21.455,21.886,70633,0
20050309,21.886,21.886,21.599,21.666,51998,0
20050310,21.666,21.666,21.16,21.379,79704,0
20050311,21.455,21.455,20.948,21.16,73322,0
20050314,21.16,21.303,20.872,21.092,30590,0
20050315,21.016,21.235,20.796,21.235,15853,0
20050316,21.16,21.523,20.948,21.235,55490,0
20050317,21.016,21.16,20.872,21.016,26552,0
20050318,21.016,21.16,21.016,21.016,42167,0
20050321,21.016,21.235,21.016,21.016,24577,0
20050322,21.016,21.016,20.796,20.872,43627,0
20050323,20.796,20.872,20.653,20.729,70861,0
20050324,20.653,20.729,20.509,20.729,141714,0
20050329,20.653,20.653,20.366,20.509,4504,0
20050330,20.509,20.948,20.509,20.948,8251,0
20050331,21.016,21.016,20.796,20.872,11239,0
20050401,20.729,20.872,20.585,20.872,66848,0
20050404,20.872,20.872,20.653,20.653,76996,0
20050405,20.585,20.948,20.585,20.948,5217,0
20050406,20.948,21.092,20.729,21.092,4593,0
20050407,21.016,21.16,20.729,21.016,5069,0
20050411,20.653,21.016,20.653,20.872,6148,0
20050412,21.016,21.016,20.653,20.653,13454,0
20050413,20.585,21.016,20.585,20.796,10839,0
20050414,20.653,21.016,20.653,21.016,13605,0
20050415,20.796,21.092,20.729,21.016,11885,0
20050418,20.653,20.948,20.29,20.948,30936,0
20050419,20.653,20.653,20.366,20.433,2000,0
20050420,20.433,20.653,20.003,20.222,15518,0
20050421,20.29,20.29,19.564,19.564,5473,0
20050422,19.64,19.64,18.913,19.209,7418,0
20050425,18.846,18.846,18.044,18.34,53468,0
20050426,18.407,18.483,17.757,18.044,12679,0
20050427,18.12,18.12,17.318,17.318,29955,0
20050428,17.25,17.393,16.524,17.393,36421,0
20050429,17.393,18.264,17.25,18.12,33198,0
20050502,18.483,18.627,18.34,18.627,3739,0
20050504,18.77,18.77,18.34,18.483,6947,0
20050505,18.264,18.407,17.825,18.34,6744,0
20050506,17.901,18.264,17.901,18.12,5563,0
20050509,18.34,18.34,18.12,18.264,17756,0
20050510,18.407,18.407,18.044,18.12,12202,0
20050511,17.977,18.12,17.977,18.12,9594,0
20050512,18.044,18.188,17.977,18.12,8023,0
20050513,18.044,18.12,17.901,18.12,4284,0
20050516,18.12,18.264,17.757,18.044,11770,0
20050517,18.044,18.188,18.044,18.188,13794,0
20050518,18.044,18.12,17.977,18.12,4832,0
20050519,18.12,18.264,17.757,18.264,6794,0
20050520,18.188,18.264,18.12,18.188,29940,0
20050523,18.12,18.188,17.977,18.12,11208,0
20050524,18.12,18.407,18.12,18.12,14417,0
20050525,18.188,18.694,18.188,18.483,33373,0
20050527,18.627,18.77,18.34,18.483,5412,0
20050530,18.12,18.407,18.12,18.188,5109,0
20050531,18.34,18.913,18.34,18.846,15512,0
20050601,18.913,19.421,18.846,19.209,157498,0
20050602,19.277,19.277,18.989,19.133,29926,0
20050603,19.277,19.277,19.133,19.133,14957,0
20050606,19.133,19.209,18.77,18.846,27120,0
20050607,19.133,19.133,18.846,19.058,7393,0
20050608,18.913,19.058,18.694,18.77,14865,0
20050609,18.989,19.058,18.627,18.846,12671,0
20050610,18.846,18.846,18.694,18.846,13279,0
20050613,18.846,18.913,18.55,18.846,27340,0
20050614,18.846,18.989,18.77,18.913,60898,0
20050615,18.913,19.64,18.913,19.564,439934,0
20050616,19.927,20.003,19.209,19.497,38231,0
20050617,19.564,19.64,19.564,19.64,13992,0
20050620,19.716,19.716,19.277,19.564,9699,0
20050621,19.564,19.784,19.421,19.784,20673,0
20050622,19.716,19.86,19.564,19.564,19823,0
20050623,19.716,19.716,19.421,19.716,13491,0
20050624,19.716,19.716,19.497,19.716,45257,0
20050627,19.564,19.564,19.421,19.564,4181,0
20050628,19.497,19.564,19.421,19.421,3517,0
20050629,19.421,19.421,19.058,19.277,16871,0
20050630,19.209,19.716,19.209,19.716,41733,0
20050701,19.716,19.784,19.564,19.716,75457,0
20050704,19.716,19.927,19.716,19.86,16342,0
20050705,19.927,19.927,19.564,19.716,73629,0
20050706,19.564,19.716,19.421,19.716,8372,0
20050707,19.784,19.86,19.421,19.64,26739,0
20050708,19.64,19.716,19.564,19.716,10038,0
20050711,19.64,19.64,19.421,19.497,6660,0
20050712,19.277,19.64,19.209,19.64,6843,0
20050713,19.784,19.784,19.716,19.784,7579,0
20050714,19.784,19.784,19.564,19.784,7058,0
