Date,Open,High,Low,Close,Volume,OpenInt
20161017,19.28,20.75,18.52,19.44,1780905,0
20161018,19.39,19.47,18.65,19,223982,0
20161019,19,19.04,18.6,18.94,350758,0
20161020,18.9,19.23,18.71,19.11,804613,0
20161021,19.15,19.72,19.15,19.5,155658,0
20161024,19.65,20.3,19.55,19.8,297887,0
20161025,20.2,20.2,19.49,19.57,56192,0
20161026,19.57,19.6,19.35,19.35,27631,0
20161027,19.4,19.6,19.35,19.35,27527,0
20161028,19.41,19.48,18.97,19.1,29494,0
20161031,19.1,19.33,18.95,19.1,31564,0
20161102,19.1,19.1,18.35,18.36,65194,0
20161103,18.49,18.75,17.55,17.7,146600,0
20161104,17.49,18.99,17.24,18.25,106631,0
20161107,18.49,18.98,18.49,18.82,30060,0
