Date,Open,High,Low,Close,Volume,OpenInt
20040701,3.5097,3.7239,3.5097,3.571,3588285,0
20040702,3.571,3.8768,3.5403,3.8156,1002338,0
20040705,3.9686,3.9686,3.6626,3.6626,395712,0
20040706,3.6933,3.6933,3.571,3.6016,250303,0
20040707,3.571,3.6626,3.571,3.6626,214921,0
20040708,3.6933,3.6933,3.6321,3.6933,107970,0
20040709,3.6933,3.938,3.6933,3.8768,406138,0
20040712,3.9992,4.3586,3.9686,4.1444,783482,0
20040713,4.2362,4.3278,4.0603,4.1444,466524,0
20040714,4.2055,4.2055,4.0908,4.1749,130742,0
20040715,4.2362,4.4809,4.2055,4.4809,919188,0
20040716,4.5725,4.6949,4.4502,4.4809,621769,0
20040719,4.5725,4.5725,4.4196,4.5114,249176,0
20040720,4.5114,4.5114,4.2667,4.3586,275495,0
20040721,4.3586,4.4502,4.1749,4.2667,236067,0
20040722,4.2362,4.3586,4.1749,4.3586,116326,0
20040723,4.3586,4.4196,4.2667,4.2667,211635,0
20040726,4.2667,4.3891,4.2055,4.2055,184660,0
20040727,4.2055,4.2362,4.1138,4.2055,58166,0
20040728,4.2362,4.2973,4.1138,4.1138,155011,0
20040729,4.1138,4.1138,4.0603,4.0908,42149,0
20040730,4.0603,4.1138,3.938,3.938,111552,0
20040802,3.8768,3.938,3.6626,3.8463,212804,0
20040803,3.8463,4.0297,3.8463,3.9992,55848,0
20040804,3.9992,4.0297,3.9074,3.9992,40147,0
20040805,3.9992,4.0908,3.9686,3.9992,101359,0
20040806,4.0297,4.2362,3.9992,4.1138,161835,0
20040809,4.1138,4.1138,3.938,4.0297,81433,0
20040810,4.0297,4.2055,4.0297,4.0908,145081,0
20040811,4.0908,4.1444,3.938,3.9992,132062,0
20040812,3.9992,4.0297,3.9074,4.0297,37112,0
20040813,4.0908,4.0908,3.9686,3.9992,39993,0
20040816,4.0297,4.0297,3.938,3.9686,35661,0
20040817,3.9992,3.9992,3.8768,3.938,58733,0
20040818,3.938,3.938,3.8156,3.8463,74214,0
20040819,3.8463,3.938,3.8463,3.8463,80118,0
20040820,3.8768,3.9074,3.8463,3.8463,50080,0
20040823,3.8768,3.938,3.8768,3.8768,30402,0
20040824,3.9074,4.0908,3.8768,4.0297,62124,0
20040825,4.0908,4.0908,3.938,3.9992,146370,0
20040826,3.9992,3.9992,3.938,3.9992,19703,0
20040827,3.9686,4.0603,3.9686,3.9992,85161,0
20040830,4.0908,4.0908,3.938,3.9686,60820,0
20040831,4.0297,4.0297,3.938,3.9686,56261,0
20040901,3.938,3.938,3.8463,3.938,103304,0
20040902,3.9074,3.9074,3.8463,3.9074,79034,0
20040903,3.8768,3.9074,3.8768,3.8768,50669,0
20040906,3.8768,3.9074,3.8463,3.8768,105833,0
20040907,3.9074,3.9074,3.8463,3.8463,87827,0
20040908,3.8768,4.0297,3.8463,3.9686,578889,0
20040909,3.9686,3.9686,3.9074,3.938,82121,0
20040910,3.9074,3.938,3.8768,3.938,47472,0
20040913,3.9686,3.9686,3.9074,3.9074,39492,0
20040914,3.938,3.938,3.8463,3.9074,58423,0
20040915,3.938,3.938,3.8768,3.938,27816,0
20040916,3.9074,3.9074,3.8463,3.9074,39966,0
20040917,3.8768,3.9992,3.8463,3.9992,353720,0
20040920,4.0908,4.1138,3.9992,4.0908,297033,0
20040921,4.1138,4.1138,4.0297,4.0603,125556,0
20040922,4.0603,4.0603,4.0297,4.0603,35855,0
20040923,4.0603,4.3586,4.0297,4.2362,1102284,0
20040924,4.2362,4.2973,4.1444,4.2055,213641,0
20040927,4.2362,4.2667,4.1749,4.2055,239970,0
20040928,4.1749,4.2362,4.1138,4.1444,99250,0
20040929,4.1749,4.1749,4.0603,4.0908,76203,0
20040930,4.0908,4.2362,4.0603,4.1749,515670,0
20041001,4.2055,4.2362,4.1138,4.1138,229244,0
20041004,4.2055,4.2973,4.1138,4.2362,703000,0
20041005,4.2362,4.2973,4.1138,4.2055,212603,0
20041006,4.2362,4.2362,4.1138,4.1444,159646,0
20041007,4.2055,4.2362,4.0908,4.0908,328492,0
20041008,4.0908,4.0908,3.9686,4.0297,280861,0
20041011,4.0603,4.3278,4.0297,4.3278,527581,0
20041012,4.3278,4.3278,4.1749,4.1749,230138,0
20041013,4.2667,4.3586,4.2055,4.2973,453119,0
20041014,4.3278,4.3278,4.2055,4.2362,165178,0
20041015,4.2055,4.2667,4.2055,4.2667,134699,0
20041018,4.2667,4.2667,4.2055,4.2362,123410,0
20041019,4.2055,4.2362,4.1138,4.1749,192126,0
20041020,4.0908,4.1444,4.0603,4.1138,171288,0
20041021,4.1138,4.1444,4.0603,4.1444,46841,0
20041022,4.1444,4.1444,4.0297,4.0297,176951,0
20041025,3.938,4.0908,3.938,4.0297,319266,0
20041026,4.0603,4.1138,4.0603,4.1138,70816,0
20041027,4.1138,4.1138,4.0603,4.1138,51791,0
20041028,4.1138,4.2362,4.1138,4.1749,238801,0
20041029,4.2055,4.4196,4.1749,4.3891,472086,0
20041102,4.4196,4.5114,4.3586,4.3586,350188,0
20041103,4.4502,4.4809,4.2973,4.3586,378486,0
20041104,4.3278,4.5114,4.3278,4.4196,1449943,0
20041105,4.4502,4.6644,4.4502,4.6338,1023675,0
20041108,4.6949,4.8172,4.4809,4.5114,667551,0
20041109,4.6032,4.6644,4.5114,4.6644,1100563,0
20041110,4.6644,4.6644,4.5114,4.6338,631311,0
20041112,4.6338,4.6338,4.5725,4.6032,221786,0
20041115,4.542,4.6032,4.5114,4.5725,273432,0
20041116,4.5725,4.5725,4.5114,4.542,220728,0
20041117,4.5725,4.5725,4.4502,4.5114,519647,0
20041118,4.4809,4.4809,4.4196,4.4196,303314,0
20041119,4.4502,4.542,4.4502,4.4809,326254,0
20041122,4.5114,4.6032,4.5114,4.5114,322370,0
20041123,4.542,4.542,4.4502,4.4809,364600,0
20041124,4.4809,4.4809,4.3891,4.4196,307846,0
20041125,4.4502,4.4809,4.3891,4.4809,163410,0
20041126,4.5114,4.542,4.4196,4.542,97711,0
20041129,4.542,4.542,4.4502,4.4502,271759,0
20041130,4.4196,4.4809,4.3891,4.4502,54279,0
20041201,4.4196,4.4502,4.3891,4.4502,98610,0
20041202,4.4502,4.4809,4.3891,4.4809,510183,0
20041203,4.4809,4.5114,4.4502,4.5114,300420,0
20041206,4.5114,4.5114,4.4502,4.4809,214119,0
20041207,4.4502,4.4809,4.3891,4.4196,108181,0
20041208,4.4196,4.4809,4.3891,4.4809,129813,0
20041209,4.4809,4.4809,4.1749,4.2973,717179,0
20041210,4.2055,4.2667,4.1444,4.2362,287805,0
20041213,4.2362,4.3586,4.2362,4.2973,604285,0
20041214,4.3586,4.3891,4.2973,4.3278,249604,0
20041215,4.3278,4.3278,4.2667,4.3278,88353,0
20041216,4.2973,4.3586,4.2973,4.3278,48030,0
20041217,4.3278,4.3586,4.2973,4.3278,143962,0
20041220,4.3891,4.4809,4.3586,4.4809,382957,0
20041221,4.4196,4.4809,4.3891,4.4809,56349,0
20041222,4.4502,4.4809,4.4196,4.4502,32933,0
20041223,4.4196,4.6032,4.4196,4.6032,514905,0
20041224,4.6032,4.6032,4.5725,4.5725,57130,0
20041227,4.5725,4.6032,4.542,4.5725,100394,0
20041228,4.6032,4.6032,4.4502,4.4502,74830,0
20041229,4.5114,4.542,4.4809,4.5114,97270,0
20041230,4.5114,4.542,4.4809,4.5114,155852,0
20041231,4.542,4.542,4.5114,4.5114,123341,0
20050103,4.5114,4.542,4.4809,4.5114,126863,0
20050104,4.4809,4.4809,4.4196,4.4809,96405,0
20050105,4.4196,4.4196,4.3891,4.3891,84983,0
20050106,4.4502,4.4502,4.2973,4.4196,108014,0
20050107,4.4196,4.4196,4.3278,4.3891,65727,0
20050110,4.4196,4.4196,4.3278,4.3891,186468,0
20050111,4.4196,4.4196,4.3278,4.3891,32910,0
20050112,4.3586,4.3891,4.3278,4.3891,62504,0
20050113,4.3891,4.3891,4.3278,4.3891,56419,0
20050114,4.3891,4.4196,4.2973,4.3278,42167,0
20050117,4.3278,4.3278,4.1749,4.2973,104400,0
20050118,4.2362,4.2362,4.0908,4.0908,120318,0
20050119,4.0603,4.2055,4.0297,4.1138,196116,0
20050120,4.1138,4.1444,3.938,4.0908,427093,0
20050121,4.1138,4.1138,4.0297,4.0908,168313,0
20050124,4.0908,4.0908,4.0297,4.0908,76507,0
20050125,4.0603,4.0603,3.9992,4.0603,69349,0
20050126,4.0603,4.2362,4.0603,4.1444,135417,0
20050127,4.2055,4.2055,4.1138,4.2055,77738,0
20050128,4.2055,4.2055,4.0908,4.1444,106453,0
20050131,4.1444,4.1444,4.0297,4.1138,116188,0
20050201,4.1138,4.1444,4.0908,4.1138,170854,0
20050202,4.1444,4.1444,4.0297,4.0603,114675,0
20050203,4.0297,4.1138,4.0297,4.0908,146758,0
20050204,4.0908,4.1138,4.0297,4.0908,111984,0
20050207,4.1138,4.1444,3.9686,4.0297,131530,0
20050208,4.1138,4.1138,4.0603,4.0908,355138,0
20050209,4.1138,4.3278,4.0908,4.2362,444721,0
20050210,4.3278,4.3586,4.2362,4.2362,167643,0
20050211,4.2362,4.2667,4.2055,4.2362,747526,0
20050214,4.2667,4.4809,4.2667,4.3586,270477,0
20050215,4.3586,4.3891,4.3278,4.3586,182044,0
20050216,4.3891,4.3891,4.2973,4.3278,74534,0
20050217,4.2973,4.3586,4.2055,4.2667,131244,0
20050218,4.3278,4.3278,4.2362,4.2973,81715,0
20050221,4.2973,4.3586,4.2667,4.2667,72231,0
20050222,4.2667,4.2973,4.2362,4.2667,60082,0
20050223,4.2973,4.2973,4.2055,4.2667,203025,0
20050224,4.2362,4.2667,4.2055,4.2055,67230,0
20050225,4.2362,4.2362,4.1749,4.2362,121902,0
20050228,4.2055,4.2362,4.1749,4.2362,109275,0
20050301,4.2362,4.2362,4.1138,4.1749,55696,0
20050302,4.2055,4.2055,4.1138,4.1138,16607,0
20050303,4.1749,4.1749,4.0908,4.1444,245853,0
20050304,4.1749,4.2055,4.0908,4.2055,109732,0
20050307,4.2055,4.2362,4.1444,4.1749,51527,0
20050308,4.1138,4.1749,4.0908,4.0908,73229,0
20050309,4.0908,4.1138,4.0908,4.1138,124928,0
20050310,4.0908,4.1444,4.0908,4.1138,70432,0
20050311,4.0908,4.1138,4.0297,4.0908,180650,0
20050314,4.0603,4.0603,3.9074,3.938,53499,0
20050315,3.9686,3.9686,3.8463,3.9686,414113,0
20050316,3.938,3.938,3.8463,3.938,28519,0
20050317,3.9074,3.9074,3.7544,3.8156,84966,0
20050318,3.8768,3.9074,3.6933,3.785,92941,0
20050321,3.785,3.8156,3.7239,3.7544,74389,0
20050322,3.8156,3.8768,3.785,3.785,76580,0
20050323,3.785,3.8463,3.785,3.8463,20770,0
20050324,3.8463,3.9074,3.785,3.8463,52372,0
20050329,3.8768,3.938,3.8768,3.9074,3956,0
20050330,3.938,3.938,3.8768,3.9074,53779,0
20050331,3.9074,3.9074,3.8156,3.8768,28241,0
20050401,3.8768,3.8768,3.8156,3.8463,24349,0
20050404,3.8463,3.8463,3.7544,3.7544,48387,0
20050405,3.785,3.8463,3.7544,3.8463,18374,0
20050406,3.9074,3.9992,3.8463,3.8768,177702,0
20050407,3.938,3.938,3.8156,3.8463,134613,0
20050411,3.8463,3.8463,3.7544,3.8463,17807,0
20050412,3.785,3.8156,3.7544,3.8156,23688,0
20050413,3.7544,3.7544,3.6321,3.6626,165377,0
20050414,3.6933,3.6933,3.5097,3.6626,490437,0
20050415,3.6016,3.6626,3.6016,3.6626,70287,0
20050418,3.571,3.571,3.418,3.4792,118790,0
20050419,3.418,3.4486,3.3033,3.418,208789,0
20050420,3.5097,3.571,3.3874,3.418,43374,0
20050421,3.418,3.4486,3.3874,3.418,20183,0
20050422,3.4486,3.5403,3.4486,3.5097,34772,0
20050425,3.5403,3.571,3.4486,3.4792,28108,0
20050426,3.4792,3.4792,3.3874,3.3874,80525,0
20050427,3.418,3.4486,3.3644,3.3874,41387,0
20050428,3.3874,3.418,3.3874,3.418,47382,0
20050429,3.418,3.5403,3.3874,3.4792,22622,0
20050502,3.4792,3.5097,3.4486,3.5097,6195,0
20050504,3.5097,3.5097,3.418,3.4792,74250,0
20050505,3.5403,3.5403,3.4792,3.4792,353539,0
20050506,3.4792,3.571,3.4792,3.571,96023,0
20050509,3.6016,3.6321,3.5403,3.6321,29161,0
20050510,3.6321,3.6321,3.5097,3.5403,121017,0
20050511,3.5097,3.571,3.5097,3.5403,22266,0
20050512,3.6321,3.6626,3.6016,3.6016,197957,0
20050513,3.5403,3.5403,3.418,3.4486,110011,0
20050516,3.4486,3.4486,3.3874,3.418,111509,0
20050517,3.3874,3.4486,3.3874,3.4486,125471,0
20050518,3.4486,3.5097,3.3874,3.4792,39931,0
20050519,3.5097,3.6321,3.5097,3.571,28061,0
20050520,3.6016,3.6626,3.6016,3.6321,83105,0
20050523,3.6933,3.6933,3.6016,3.6016,40671,0
20050524,3.571,3.6626,3.571,3.6626,21081,0
20050525,3.6321,3.7544,3.6321,3.6933,95078,0
20050527,3.7239,3.7239,3.6626,3.7239,9167,0
20050530,3.7239,3.7239,3.6626,3.6933,36015,0
20050531,3.7239,3.7239,3.6626,3.6933,46415,0
20050601,3.6933,3.6933,3.6321,3.6933,35451,0
20050602,3.6626,3.7239,3.6626,3.6933,14765,0
20050603,3.6626,3.7239,3.6626,3.7239,30805,0
20050606,3.7239,3.7544,3.6933,3.7544,15771,0
20050607,3.6933,3.7544,3.6626,3.7544,6852,0
20050608,3.7239,3.7239,3.6626,3.6933,116195,0
20050609,3.6321,3.6626,3.6321,3.6321,44091,0
20050610,3.6933,3.6933,3.6321,3.6626,906528,0
