Date,Open,High,Low,Close,Volume,OpenInt
19950517,1.1029,1.1029,1.1029,1.1029,1926673,0
19950518,1.0931,1.0931,1.0931,1.0931,1226314,0
19950519,1.0294,1.0294,1.0294,1.0294,892262,0
19950522,0.9265,0.9265,0.9265,0.9265,719962,0
19950523,0.9068,0.9068,0.9068,0.9068,927922,0
19950524,1,1,1,1,482994,0
19950525,1.098,1.098,1.098,1.098,1434845,0
19950526,1.0686,1.0686,1.0686,1.0686,576916,0
19950529,1.1029,1.1029,1.1029,1.1029,594338,0
19950530,0.9951,0.9951,0.9951,0.9951,512533,0
19950531,1.0049,1.0049,1.0049,1.0049,327912,0
19950601,0.9951,0.9951,0.9951,0.9951,303493,0
19950602,0.9804,0.9804,0.9804,0.9804,532445,0
19950605,1.0294,1.0294,1.0294,1.0294,414327,0
19950606,1.0294,1.0294,1.0294,1.0294,825227,0
19950607,1.0539,1.0539,1.0539,1.0539,570715,0
19950608,1.0588,1.0588,1.0588,1.0588,434911,0
19950609,1.0294,1.0294,1.0294,1.0294,272016,0
19950612,1.0147,1.0147,1.0147,1.0147,183295,0
19950613,1.0098,1.0098,1.0098,1.0098,229257,0
19950614,1,1,1,1,168505,0
19950616,0.9705,0.9705,0.9705,0.9705,357533,0
19950619,0.9534,0.9534,0.9534,0.9534,185111,0
19950620,0.9583,0.9583,0.9583,0.9583,121055,0
19950621,0.9779,0.9779,0.9779,0.9779,308817,0
19950622,0.9804,0.9804,0.9804,0.9804,248393,0
19950623,0.9951,0.9951,0.9951,0.9951,276871,0
19950626,1.0294,1.0294,1.0294,1.0294,471162,0
19950627,1.0294,1.0294,1.0294,1.0294,471162,0
19950628,0.9853,0.9853,0.9853,0.9853,152226,0
19950629,1,1,1,1,260020,0
19950630,1.0049,1.0049,1.0049,1.0049,274179,0
19950703,1.0245,1.0245,1.0245,1.0245,306981,0
19950704,1,1,1,1,283521,0
19950705,0.9779,0.9779,0.9779,0.9779,271485,0
19950706,0.9804,0.9804,0.9804,0.9804,184621,0
19950707,0.9804,0.9804,0.9804,0.9804,133621,0
19950710,0.9902,0.9902,0.9902,0.9902,137354,0
19950711,0.9755,0.9755,0.9755,0.9755,104041,0
19950712,0.9608,0.9608,0.9608,0.9608,138436,0
19950713,0.9682,0.9682,0.9682,0.9682,277851,0
19950714,0.9755,0.9755,0.9755,0.9755,243456,0
19950717,0.9853,0.9853,0.9853,0.9853,116730,0
19950718,1.0294,1.0294,1.0294,1.0294,894710,0
19950719,1.0049,1.0049,1.0049,1.0049,502537,0
19950720,0.9951,0.9951,0.9951,0.9951,259286,0
19950721,0.9902,0.9902,0.9902,0.9902,163120,0
19950724,0.9902,0.9902,0.9902,0.9902,454985,0
19950725,0.9705,0.9705,0.9705,0.9705,146310,0
19950726,0.9853,0.9853,0.9853,0.9853,172034,0
19950727,0.9853,0.9853,0.9853,0.9853,89332,0
19950728,0.9853,0.9853,0.9853,0.9853,408493,0
19950731,0.9755,0.9755,0.9755,0.9755,105061,0
19950801,0.9705,0.9705,0.9705,0.9705,37087,0
19950802,0.9804,0.9804,0.9804,0.9804,132111,0
19950803,0.9559,0.9559,0.9559,0.9559,663250,0
19950804,0.9608,0.9608,0.9608,0.9608,204531,0
19950807,0.9608,0.9608,0.9608,0.9608,62955,0
19950808,0.9437,0.9437,0.9437,0.9437,16443,0
19950809,0.9437,0.9437,0.9437,0.9437,135130,0
19950810,0.9559,0.9559,0.9559,0.9559,135988,0
19950811,0.9705,0.9705,0.9705,0.9705,138069,0
19950816,0.9804,0.9804,0.9804,0.9804,180051,0
19950817,0.9559,0.9559,0.9559,0.9559,52837,0
19950818,0.951,0.951,0.951,0.951,21013,0
19950821,0.946,0.946,0.946,0.946,96697,0
