Date,Open,High,Low,Close,Volume,OpenInt
20131213,6.35,6.35,5.45,5.57,535378,0
20131216,5.75,5.75,5.42,5.45,185185,0
20131217,5.46,5.5,5.06,5.16,271767,0
20131218,5.11,5.3,5.11,5.27,22818,0
20131219,5.27,5.27,4.96,4.98,91260,0
20131220,4.82,5.3,4.68,5.3,279988,0
20131223,5.45,5.53,5.34,5.5,51088,0
20131227,5.49,5.74,5.49,5.74,20003,0
20131230,5.66,5.9,5.61,5.74,96982,0
20140102,5.74,5.9,5.74,5.8,10166,0
20140103,5.76,5.8,5.65,5.8,27147,0
20140107,5.45,5.83,5.4,5.4,280453,0
20140108,5.45,5.5,5.3,5.3,22494,0
20140109,5.22,5.22,5.13,5.22,1980,0
20140110,5.37,5.37,5.13,5.2,805,0
20140113,5.14,5.3,5.14,5.3,4860,0
20140114,5.2,5.2,5.2,5.2,734,0
20140115,5.18,5.3,5.16,5.3,36912,0
20140116,5.25,5.59,5.22,5.59,11010,0
20140117,5.5,5.57,5.5,5.57,2289,0
20140120,5.26,5.38,5.26,5.27,2207,0
20140121,5.39,5.61,5.39,5.6,12721,0
20140122,5.72,5.87,5.72,5.75,18429,0
20140123,5.77,5.84,5.61,5.61,4540,0
20140124,5.7,5.7,5.6,5.6,3353,0
20140127,5.6,5.71,5.51,5.71,5266,0
20140128,5.71,5.77,5.65,5.7,80691,0
20140129,5.62,5.92,5.62,5.75,31534,0
20140130,5.75,5.75,5.52,5.6,8671,0
20140131,5.49,5.7,5.49,5.6,24223,0
20140203,5.6,5.79,5.6,5.66,5318,0
20140204,5.66,5.66,5.61,5.66,1901,0
20140205,5.67,5.73,5.6,5.73,13148,0
20140206,5.75,5.79,5.67,5.73,4243,0
20140207,5.75,6.19,5.72,6.07,119628,0
20140210,6.07,6.27,5.95,6,25763,0
20140211,6,6.03,5.9,6,23449,0
20140212,6,6.35,5.9,6.3,42957,0
20140213,6.33,6.33,6.11,6.2,15143,0
20140214,6.2,6.33,6.14,6.2,11247,0
20140217,6.38,6.38,5.85,5.94,16193,0
