Date,Open,High,Low,Close,Volume,OpenInt
20151116,6.6098,6.7049,6.6098,6.7049,301,0
20151120,6.8191,6.8191,6.8191,6.8191,21,0
20151123,6.9427,6.9427,6.9427,6.9427,5,0
20151124,7.0378,7.6085,6.9427,6.9427,41,0
20151125,6.8001,7.4182,6.8001,7.2756,73,0
20151126,6.8952,6.8952,6.8952,6.8952,7,0
20151127,7.2756,7.8462,7.2756,7.8462,80,0
20151130,7.1424,7.3707,6.8476,6.8476,260,0
20151201,6.8476,6.8476,6.8476,6.8476,9,0
20151209,6.8476,6.8476,6.8476,6.8476,53,0
20151210,6.8476,6.8476,6.8476,6.8476,25,0
20160107,7.0854,7.0854,7.0854,7.0854,421,0
20160108,7.0949,7.6085,7.0949,7.6085,1262,0
20160111,7.6085,7.6085,7.6085,7.6085,210,0
20160112,7.6085,7.6085,7.6085,7.6085,422,0
20160203,7.228,7.228,7.228,7.228,1,0
20160216,7.19,7.19,6.8476,6.8476,210,0
20160308,6.6574,6.6574,6.6574,6.6574,1,0
20160413,6.8857,6.8857,6.8857,6.8857,168,0
20160414,6.8857,7.3897,6.8857,7.3897,751,0
20160415,7.6085,8.5595,7.6085,8.5595,463,0
20160418,9.4155,10.462,9.4155,10.462,163,0
20160419,10.462,10.956,8.8924,10.462,658,0
20160420,11.413,12.459,9.511,10.271,1751,0
20160425,9.406,9.406,9.406,9.406,93,0
20160426,9.3679,10.053,9.3679,10.053,116,0
20160428,7.9033,7.9033,7.9033,7.9033,172,0
20160429,8.5595,8.5595,7.9033,8.5595,124,0
20160502,9.035,10.005,9.035,10.005,42,0
20160504,10.005,10.005,10.005,10.005,21,0
20160505,10.462,11.413,10.462,10.462,741,0
20160506,9.511,10.462,9.511,10.462,326,0
20160510,9.0445,9.0445,9.0445,9.0445,11,0
20160511,8.55,8.55,8.55,8.55,11,0
20160517,8.55,8.55,8.55,8.55,1,0
20160518,8.55,8.55,7.7226,8.55,13,0
20160519,8.55,8.55,7.7131,7.7131,32,0
20160520,8.084,8.084,8.084,8.084,70,0
20160523,8.55,8.55,8.55,8.55,11,0
20160530,8.98,8.98,8.98,8.98,1,0
20160601,8.96,8.96,8.96,8.96,12,0
20160602,8.97,8.97,8.97,8.97,1,0
20160606,8.08,8.08,8.08,8.08,25,0
20160607,7.28,7.28,6.21,6.22,15084,0
20160608,6.49,6.51,6.22,6.51,39,0
20160609,6.53,7.17,6.53,7.17,1302,0
20160610,7.51,7.77,7.22,7.25,18595,0
20160613,7.7,8.06,7.2,7.2,10420,0
20160614,7.38,7.4,7.38,7.4,215,0
20160615,7.53,7.54,7.3,7.3,407,0
20160616,7.73,7.73,7.21,7.21,12047,0
20160617,7.7,7.7,7.4,7.4,1509,0
20160620,7.7,7.7,7.38,7.38,2491,0
20160621,7.4,7.5,7.23,7.4,7071,0
20160622,7.32,7.45,7.32,7.45,6397,0
20160623,7.45,7.52,7.38,7.52,7887,0
20160624,7.57,7.57,7.22,7.22,4500,0
20160627,7.22,7.3,7.22,7.28,3690,0
20160628,7.25,7.77,7.02,7.35,12069,0
20160629,7.7,7.7,7.5,7.7,4222,0
20160630,7.7,8,7.62,8,5900,0
20160701,8,8,7.21,7.21,5435,0
20160704,7.69,7.69,7.69,7.69,50,0
20160705,6.5,6.5,6.5,6.5,75,0
20160706,7.65,7.65,7.65,7.65,1000,0
20160707,7.6,7.6,7.58,7.58,502,0
20160708,7.57,7.57,7.48,7.48,1604,0
20160711,7.58,7.58,7.58,7.58,1058,0
20160712,7.71,7.71,7.71,7.71,1060,0
20160713,7.86,7.86,7.86,7.86,1080,0
20160714,7.9,7.9,7.9,7.9,800,0
20160715,8,8,8,8,100,0
20160718,8,8,8,8,115,0
20160719,8.12,8.12,8.12,8.12,509,0
20160720,8,8,8,8,10,0
20160803,7.38,7.46,7.38,7.46,7109,0
20160804,7.42,7.49,7.42,7.49,6510,0
20160805,7.44,7.74,7.44,7.74,4889,0
20160808,7.7,7.8,7.7,7.8,2465,0
20160809,7.8,8,7.8,7.99,2206,0
20160810,7.9,8,7.9,8,4300,0
20160811,8,8.2,8,8.18,3123,0
20160812,8.18,8.29,8.05,8.29,4703,0
20160816,8.35,8.36,8.29,8.29,3878,0
20160817,8.32,8.32,8,8,7606,0
20160818,8,8.24,8,8.24,1924,0
20160819,8.23,8.25,8.02,8.25,5700,0
20160822,8.22,8.32,8.09,8.25,4104,0
20160823,8.24,8.24,7.96,8.24,5296,0
20160824,8.25,8.25,8,8.15,10556,0
20160825,8.08,8.1,7.93,8.1,5238,0
20160826,7.62,7.62,7.47,7.47,1569,0
20160829,7.84,8,7.84,8,5740,0
20160830,8.1,8.15,8,8.15,9757,0
20160831,8.1,8.22,8,8.22,9602,0
20160901,8.2,8.25,8.1,8.25,6956,0
20160902,8.25,8.36,8.18,8.32,10702,0
20160905,8.3,8.35,7.98,8.35,13597,0
20160906,8.35,8.35,8.18,8.28,5414,0
20160907,8.28,8.33,8.1,8.33,5121,0
20160908,8.28,8.3,8.18,8.3,5911,0
20160909,8.35,8.35,8.26,8.35,8029,0
20160912,8.28,8.32,8,8.32,9646,0
20160913,8.3,8.3,8.2,8.3,6158,0
20160914,8.35,8.35,8.2,8.3,11034,0
20160915,8.26,8.35,8.18,8.35,4741,0
20160916,8.16,8.35,8,8.3,10397,0
20160919,8.3,8.36,8.22,8.36,4729,0
20160920,8.35,8.45,8.26,8.45,3785,0
20160921,8.45,8.5,8.32,8.5,4974,0
20160922,8.36,8.5,8.25,8.5,5694,0
20160923,8.5,8.7,8.3,8.5,12748,0
20160926,8.42,8.7,8.3,8.7,2945,0
20160927,8.15,8.7,8.15,8.7,3902,0
20160928,8.46,8.7,8.3,8.7,4086,0
20160929,8.48,8.7,8.36,8.7,5020,0
20160930,8.49,8.5,8.3,8.5,6990,0
20161003,8.19,8.58,8,8.58,13057,0
20161004,8.5,8.65,8.36,8.65,7379,0
20161005,8.6,8.64,8.18,8.57,15698,0
20161006,8.5,8.57,8.2,8.22,9838,0
20161007,8.52,8.52,8.29,8.46,9037,0
20161010,8.45,8.52,8.2,8.52,5421,0
20161011,8.44,8.44,8.2,8.4,7578,0
20161012,8.54,8.55,8.32,8.55,9100,0
20161013,8.54,8.65,8.36,8.65,10037,0
20161014,8.62,8.62,8.3,8.54,10021,0
20161017,8.15,8.54,8.15,8.54,7384,0
20161018,8.5,8.53,8.32,8.53,8432,0
20161019,8.54,8.7,8.4,8.7,9130,0
20161020,8.36,8.76,8.31,8.76,8145,0
20161021,8.69,8.89,8.52,8.89,7522,0
20161024,8.89,9,8.68,8.9,5746,0
20161025,8.9,9,8.6,9,9556,0
20161026,9,9.3,8.71,9.3,6578,0
20161027,9.4,9.68,9,9.68,7690,0
20161028,9.65,10,9.5,10,7536,0
20161102,9.5,9.5,9.5,9.5,590,0
20161103,9.5,9.5,9.5,9.5,5200,0
20161104,9.5,9.5,9.5,9.5,4050,0
20161107,9.5,9.5,9.5,9.5,50,0
