Date,Open,High,Low,Close,Volume,OpenInt
19941124,7.5815,7.5815,7.5815,7.5815,132471,0
19941125,7.5815,7.5815,7.5815,7.5815,269526,0
19941128,8.3309,8.3309,8.3309,8.3309,0,0
19941129,9.134,9.134,9.134,9.134,192621,0
19941130,9.998,9.998,9.998,9.998,184744,0
19941201,10.971,10.971,10.971,10.971,115801,0
19941202,11.146,11.146,11.146,11.146,244826,0
19941205,10.343,10.343,10.343,10.343,191328,0
19941206,10.626,10.626,10.626,10.626,169580,0
19941207,10.167,10.167,10.167,10.167,209655,0
19941208,9.1949,9.1949,9.1949,9.1949,471937,0
19941209,9.4782,9.4782,9.4782,9.4782,96782,0
19941212,10.397,10.397,10.397,10.397,162774,0
19941213,10.052,10.052,10.052,10.052,109340,0
19941214,9.54,9.54,9.54,9.54,51512,0
19941215,9.655,9.655,9.655,9.655,47061,0
19941216,10.283,10.283,10.283,10.283,64073,0
19941219,10.283,10.283,10.283,10.283,65004,0
19941220,9.884,9.884,9.884,9.884,35769,0
19941221,9.998,9.998,9.998,9.998,23952,0
19941222,10.052,10.052,10.052,10.052,37051,0
19941223,10.228,10.228,10.228,10.228,41045,0
19941227,10.228,10.228,10.228,10.228,47222,0
19941228,9.823,9.823,9.823,9.823,26009,0
19941229,10.052,10.052,10.052,10.052,36015,0
19950102,10.626,10.626,10.626,10.626,76920,0
19950103,10.917,10.917,10.917,10.917,108978,0
19950104,10.626,10.626,10.626,10.626,46764,0
19950105,10.626,10.626,10.626,10.626,37542,0
19950106,10.114,10.114,10.114,10.114,60131,0
19950109,10.343,10.343,10.343,10.343,39118,0
19950110,10.343,10.343,10.343,10.343,54295,0
19950111,10.283,10.283,10.283,10.283,66224,0
19950112,9.998,9.998,9.998,9.998,40416,0
19950113,10.343,10.343,10.343,10.343,36651,0
19950116,10.573,10.573,10.573,10.573,105814,0
19950117,10.343,10.343,10.343,10.343,66050,0
19950118,10.283,10.283,10.283,10.283,71328,0
19950119,10.283,10.283,10.283,10.283,14440,0
19950120,10.167,10.167,10.167,10.167,34224,0
19950123,9.823,9.823,9.823,9.823,66420,0
19950124,9.769,9.769,9.769,9.769,100450,0
19950125,9.769,9.769,9.769,9.769,30206,0
19950126,9.4256,9.4256,9.4256,9.4256,57955,0
19950127,8.959,8.959,8.959,8.959,20754,0
19950130,8.959,8.959,8.959,8.959,38496,0
19950131,8.5599,8.5599,8.5599,8.5599,36858,0
19950201,9.1949,9.1949,9.1949,9.1949,56574,0
19950202,8.959,8.959,8.959,8.959,61260,0
19950203,8.6146,8.6146,8.6146,8.6146,88428,0
19950206,9.2492,9.2492,9.2492,9.2492,13569,0
19950207,9.769,9.769,9.769,9.769,65533,0
19950208,9.769,9.769,9.769,9.769,141611,0
19950209,9.823,9.823,9.823,9.823,63316,0
19950210,9.769,9.769,9.769,9.769,96404,0
19950213,9.4782,9.4782,9.4782,9.4782,20943,0
19950214,9.769,9.769,9.769,9.769,49762,0
19950215,9.769,9.769,9.769,9.769,44899,0
19950216,9.769,9.769,9.769,9.769,34709,0
19950217,10.283,10.283,10.283,10.283,115677,0
19950220,10.228,10.228,10.228,10.228,124589,0
19950221,10.343,10.343,10.343,10.343,183935,0
19950222,9.998,9.998,9.998,9.998,126150,0
19950223,10.343,10.343,10.343,10.343,121124,0
19950224,10.917,10.917,10.917,10.917,146675,0
19950227,10.283,10.283,10.283,10.283,70308,0
19950228,10.114,10.114,10.114,10.114,22005,0
19950301,10.114,10.114,10.114,10.114,15774,0
19950302,10.343,10.343,10.343,10.343,33846,0
19950303,10.626,10.626,10.626,10.626,64078,0
19950306,10.626,10.626,10.626,10.626,22017,0
19950307,10.626,10.626,10.626,10.626,42999,0
19950308,10.626,10.626,10.626,10.626,25826,0
19950309,10.687,10.687,10.687,10.687,24142,0
19950310,10.626,10.626,10.626,10.626,74146,0
19950313,10.573,10.573,10.573,10.573,105486,0
19950314,10.626,10.626,10.626,10.626,46623,0
