Date,Open,High,Low,Close,Volume,OpenInt
20050621,14.938,15.002,14.502,14.755,220623,0
20050622,14.629,14.693,14.502,14.629,19194,0
20050623,14.629,14.693,14.566,14.629,22990,0
20050624,14.13,14.566,14.13,14.377,8772,0
20050627,14.313,14.629,14.313,14.629,10909,0
20050628,14.502,14.693,14.502,14.693,26685,0
20050629,14.502,14.693,14.502,14.566,4028,0
20050630,14.693,14.755,14.693,14.693,5767,0
20050701,14.44,14.693,14.44,14.693,988,0
20050704,14.502,14.755,14.502,14.755,7751,0
20050705,14.693,14.819,14.693,14.819,10439,0
20050706,14.819,14.819,14.693,14.693,2735,0
20050707,14.693,14.693,13.568,14.693,7236,0
20050708,14.377,14.693,14.377,14.693,450,0
20050711,14.377,14.755,14.377,14.755,6215,0
20050712,14.377,14.693,14.377,14.693,3292,0
20050713,14.819,14.819,14.819,14.819,10635,0
20050714,14.755,14.819,14.693,14.693,10473,0
20050715,14.693,14.693,14.693,14.693,87,0
20050718,14.377,14.377,14.377,14.377,1173,0
20050719,14.377,14.502,14.377,14.502,80156,0
20050720,14.629,14.629,14.377,14.629,81579,0
20050721,14.377,14.693,14.377,14.377,3283,0
20050725,14.256,14.313,14.256,14.313,1574,0
20050726,14.502,14.502,14.44,14.502,41269,0
20050727,14.693,14.693,14.256,14.256,1673,0
20050728,14.256,14.377,14.256,14.377,1723,0
20050729,14.377,14.377,14.377,14.377,320,0
20050801,14.256,14.256,14.256,14.256,137,0
20050802,14.256,14.44,13.378,14.44,3675,0
20050803,14.44,14.44,14.44,14.44,1568,0
20050804,14.502,14.629,14.502,14.629,1702,0
20050805,14.13,14.938,14.13,14.938,19375,0
20050808,14.938,15.501,14.938,15.002,27845,0
20050809,15.064,15.444,14.938,15.444,10876,0
20050810,15.255,15.317,15.128,15.128,4178,0
20050811,15.002,15.002,15.002,15.002,118,0
20050812,14.875,15.002,14.875,15.002,758,0
20050816,15.002,15.255,14.755,15.255,6460,0
20050817,15.255,15.943,15.255,15.627,17600,0
20050818,15.627,15.691,15.381,15.564,2521,0
20050819,15.564,15.691,15.255,15.317,3788,0
20050822,15.501,15.501,15.191,15.501,9430,0
20050823,14.755,15.317,14.755,15.317,7036,0
20050824,15.002,15.317,15.002,15.317,3038,0
20050825,15.128,15.444,15.128,15.444,4559,0
20050826,15.191,15.444,15.191,15.444,6137,0
20050829,15.128,15.317,15.128,15.128,3487,0
20050830,15.191,15.817,15.191,15.753,40166,0
20050831,15.753,16.069,15.627,15.943,20958,0
20050901,16.189,16.189,15.627,15.627,6489,0
20050902,15.879,15.879,15.627,15.627,2166,0
