Date,Open,High,Low,Close,Volume,OpenInt
20090918,9.702,10.525,9.3709,9.712,217076,0
20090921,9.832,10.267,9.545,9.675,52107,0
20090922,9.602,9.777,9.3244,9.694,41289,0
20090923,9.685,9.685,9.4727,9.675,19786,0
20090924,9.51,9.565,9.3797,9.4999,8134,0
20090925,9.4999,9.4999,9.094,9.2323,19792,0
20090928,9.2226,9.2226,9.0009,9.094,7167,0
20090929,8.8167,9.0563,8.8167,9.0479,9250,0
20090930,8.937,9.0291,8.8167,8.8628,9623,0
20091001,8.9925,9.0009,8.8721,9.0009,2823,0
20091002,8.9925,8.9925,8.6781,8.9925,3901,0
20091005,8.909,8.9548,8.7428,8.9548,435,0
20091006,8.7797,8.9276,8.7705,8.9276,591,0
20091007,8.9548,8.9548,8.7797,8.9548,5717,0
20091008,8.9548,8.9548,8.7428,8.8444,2587,0
20091009,8.8444,8.983,8.8167,8.8259,9377,0
20091012,8.8536,8.8997,8.6967,8.8628,5111,0
20091013,8.6689,8.8259,8.6689,8.7244,9859,0
20091014,8.7705,8.7705,8.632,8.7244,3505,0
20091015,8.7244,8.8352,8.7244,8.7244,1728,0
20091016,8.7244,8.7613,8.5859,8.7613,4715,0
20091019,8.5121,8.7151,8.5121,8.549,5062,0
20091020,8.6781,8.6781,8.4197,8.5397,6806,0
20091021,8.4936,8.5397,8.3181,8.5397,3951,0
20091022,8.3458,8.5305,8.3458,8.5305,1974,0
20091023,8.5397,8.7151,8.4936,8.7151,3893,0
20091026,8.5121,8.7059,8.4936,8.6967,2162,0
20091027,8.6597,8.6967,8.4012,8.4012,111,0
20091028,8.7151,8.7151,8.4936,8.6689,2262,0
20091029,8.6689,8.6967,8.6597,8.6967,5272,0
20091030,8.6781,8.7244,8.5397,8.5397,3264,0
20091102,8.5028,8.7705,8.5028,8.7613,324,0
20091103,8.7613,8.7613,8.5397,8.7151,3014,0
20091104,8.7151,8.7151,8.6412,8.6781,1000,0
20091105,8.7428,9.2226,8.6597,9.2129,8825,0
20091106,9.2129,9.2129,8.9736,9.0479,3334,0
20091109,9.0657,9.3981,9.0657,9.3709,6760,0
20091110,9.4175,9.583,9.3244,9.583,9337,0
20091112,9.583,9.583,9.4175,9.565,2205,0
20091113,9.583,9.583,9.4349,9.528,7772,0
20091116,9.583,9.583,9.2226,9.51,5333,0
20091117,9.51,9.583,8.9548,9.0479,11438,0
20091118,9.186,9.3157,9.0009,9.094,4366,0
20091119,9.094,9.186,8.9548,9.0479,4399,0
20091120,9.3157,9.3157,8.9548,9.2323,2315,0
20091123,9.2323,9.4175,8.9548,9.4175,4045,0
20091124,9.3709,9.3709,9.0479,9.3709,1497,0
20091125,9.3612,9.3612,9.2323,9.3244,791,0
20091126,9.3244,9.3244,9.0479,9.2691,1451,0
20091127,8.9548,9.306,8.9548,9.14,1693,0
20091130,9.2779,9.2779,8.9736,9.1212,262,0
20091201,9.2226,9.4175,8.789,9.3797,11129,0
20091202,9.3709,9.3709,8.9548,9.0385,9352,0
20091203,9.0385,9.14,8.9464,9.1118,1270,0
20091204,8.8628,9.1118,8.8628,9.0846,1706,0
20091207,8.8813,9.0291,8.8628,8.8721,3627,0
20091208,8.8536,8.9464,8.6135,8.8075,3802,0
20091209,8.7983,8.8075,8.632,8.632,2715,0
20091210,8.752,8.7705,8.752,8.7613,2762,0
20091211,8.4936,8.752,8.4936,8.752,5087,0
20091215,9.0009,9.0009,8.549,8.9548,569,0
20091217,8.7613,8.7613,8.5859,8.752,1408,0
20091218,8.5859,8.7428,8.4936,8.7428,900,0
20091221,8.7428,9.602,8.7428,8.9548,2481,0
20091222,8.7151,8.9548,8.4105,8.8444,968,0
20091223,8.9548,8.9548,8.4936,8.7428,1769,0
20091228,8.7151,8.7244,8.6228,8.6781,7836,0
20091229,8.7705,8.7705,8.475,8.6781,728,0
20091230,8.6781,8.7705,8.5859,8.7428,1739,0
20091231,8.7428,8.7428,8.7428,8.7428,1148,0
20100104,8.5859,8.7428,8.5859,8.7336,1584,0
20100105,8.7244,8.7244,8.5397,8.6967,1842,0
20100106,8.7613,8.7613,8.4936,8.6781,171,0
20100107,8.752,8.752,8.3181,8.355,2019,0
20100108,8.7797,8.7797,8.4936,8.7428,1439,0
20100111,8.7705,8.7705,8.7613,8.7613,173,0
20100112,8.4474,8.7705,8.4289,8.7428,820,0
20100113,8.5028,8.7151,8.4936,8.6781,1559,0
20100114,8.7151,8.7151,8.4936,8.6597,368,0
20100115,8.7151,8.7151,8.5028,8.632,836,0
20100118,8.632,8.632,8.632,8.632,228,0
20100119,8.6228,8.6228,8.6228,8.6228,55,0
20100120,8.6043,8.6043,8.6043,8.6043,108,0
20100121,8.5028,8.6043,8.4936,8.6043,206,0
20100122,8.5397,8.632,8.4012,8.4936,1733,0
20100125,8.309,8.632,8.1982,8.4566,1402,0
20100126,8.309,8.5766,8.2166,8.4474,1051,0
20100127,8.5674,8.9548,8.5582,8.7705,23957,0
20100128,8.909,8.937,8.6874,8.7705,3324,0
20100129,8.7705,9.094,8.7705,8.937,9317,0
20100201,9.1034,9.1034,8.8167,8.909,1738,0
20100202,8.8167,8.9548,8.8167,8.9548,769,0
20100203,8.983,9.2779,8.983,9.0657,9242,0
20100204,9.0751,9.3244,9.0751,9.2323,28407,0
20100205,9.1587,9.2323,8.7705,9.2323,17934,0
20100208,9.186,9.4999,9.186,9.3157,10307,0
20100209,9.3981,9.4078,9.0751,9.3244,2483,0
20100210,9.3894,9.3981,9.2323,9.2323,2327,0
20100211,9.0846,9.787,8.8628,9.767,163762,0
20100212,9.777,9.777,9.2876,9.638,2556,0
20100215,9.638,9.74,9.602,9.702,6537,0
20100216,9.777,9.777,9.647,9.767,3079,0
20100217,9.694,10.062,9.694,10.062,65795,0
20100218,10.062,10.091,9.925,10.072,2861,0
20100219,10.11,10.127,9.943,10.127,10938,0
20100222,10.155,10.414,9.97,10.294,5663,0
20100223,10.339,10.339,10.082,10.082,1743,0
20100224,10.11,10.424,10.11,10.359,4722,0
20100225,10.359,10.359,10.155,10.331,4097,0
20100226,10.359,10.608,10.359,10.608,9772,0
20100301,11.061,11.494,11.033,11.337,8164,0
20100302,11.078,11.254,10.941,11.218,5917,0
20100303,11.3,11.3,11.014,11.078,904,0
20100304,11.078,11.817,11.078,11.678,25658,0
20100305,11.678,11.91,11.678,11.891,17587,0
20100308,12.002,13.386,12.002,13.248,29700,0
20100309,13.341,13.664,12.315,13.109,13631,0
20100310,13.378,13.378,13.091,13.378,8199,0
20100311,13.294,13.368,12.934,13.276,5976,0
20100312,13.358,13.645,13.211,13.35,10089,0
20100315,13.433,13.553,12.62,12.721,8299,0
20100316,13.184,13.276,12.649,13.054,11982,0
20100317,13.286,13.331,13.109,13.313,4654,0
20100318,13.201,13.201,12.759,13.017,3032,0
20100319,13.201,13.201,12.713,13.036,2520,0
20100322,13.201,13.201,12.557,12.649,4207,0
20100323,12.786,12.972,12.509,12.509,15520,0
20100324,12.649,12.74,12.103,12.186,17237,0
20100325,12.186,12.371,12.103,12.371,6161,0
20100326,12.371,12.371,12.168,12.178,3418,0
20100329,12.113,12.352,11.956,12.325,4906,0
20100330,12.5,13.017,12.233,12.694,9571,0
20100331,13.017,13.027,12.574,12.832,10796,0
20100401,12.832,13.479,12.464,13.479,10852,0
20100406,13.479,13.571,13.044,13.201,3689,0
20100407,13.294,13.294,12.925,12.925,3933,0
20100408,12.925,12.925,12.694,12.769,1483,0
20100409,12.74,13.1,12.74,13.1,4690,0
20100412,12.344,13.341,12.344,13.341,2000,0
20100413,13.341,13.341,13.201,13.294,4031,0
20100414,13.017,13.064,13.017,13.064,2066,0
20100415,12.925,13.201,12.925,13.201,741,0
20100416,13.109,13.109,12.464,13.109,824,0
20100419,12.472,13.082,12.472,12.87,1148,0
20100420,12.87,12.925,12.759,12.916,4336,0
20100421,12.759,12.769,12.629,12.649,2729,0
20100422,12.925,12.925,12.74,12.74,3112,0
20100423,12.62,12.649,12.62,12.649,319,0
20100426,12.832,12.907,12.371,12.74,1974,0
