Date,Open,High,Low,Close,Volume,OpenInt
20061024,88.91,95.381,78.688,82.779,938428,0
20061025,87.215,87.754,83.46,86.529,169133,0
20061026,88.164,88.164,82.438,82.438,82913,0
20061027,82.438,83.46,81.757,82.779,75253,0
20061030,84.074,84.074,79.029,80.734,37997,0
20061031,81.621,81.825,80.392,81.757,24615,0
20061102,82.029,82.029,81.075,81.415,71237,0
20061103,81.757,81.757,80.938,81.279,11644,0
20061106,81.757,83.802,80.392,82.438,17618,0
20061107,84.483,86.94,82.438,86.803,55639,0
20061108,87.215,87.215,84.483,87.215,15093,0
20061109,86.529,87.145,85.844,85.844,11191,0
20061110,85.844,85.844,84.687,85.305,7327,0
20061113,85.844,85.844,84.483,84.483,22575,0
20061114,84.142,84.824,82.438,83.802,28277,0
20061115,85.096,85.096,81.825,82.574,14881,0
20061116,83.051,85.096,83.051,83.802,51149,0
20061117,83.937,84.824,83.257,83.802,40815,0
20061120,83.802,84.483,83.257,84.142,22336,0
20061121,84.483,85.639,84.142,85.165,30278,0
20061122,85.165,86.46,85.165,86.186,68923,0
20061123,86.46,86.46,85.844,86.186,19659,0
20061124,86.186,87.891,85.844,87.479,47873,0
20061127,87.891,91.976,87.891,91.564,103636,0
20061128,89.72,91.77,88.773,91.77,38209,0
20061129,91.636,94.022,90.615,93.881,45380,0
20061130,94.022,94.969,92.863,93.544,27870,0
20061201,94.022,95.316,92.934,95.034,42173,0
20061204,95.381,100.15,94.575,98.925,41478,0
20061205,100.22,100.49,99.469,100.15,43669,0
20061206,100.28,100.83,97.772,98.447,134673,0
20061207,98.447,100.49,98.447,100.15,17837,0
20061208,100.76,100.76,98.85,99.62,23835,0
20061211,100.03,100.03,98.109,98.306,17405,0
20061212,98.794,98.794,97.087,97.697,91536,0
20061213,97.294,98.109,96.412,96.412,19519,0
20061214,96.534,97.978,92.863,95.381,29918,0
20061215,94.022,96.741,91.286,96.741,48829,0
20061218,96.741,98.044,94.706,97.978,35159,0
20061219,97.772,98.044,96.066,97.772,78240,0
20061220,96.741,98.794,94.762,96.066,49367,0
20061221,94.369,95.381,94.369,94.762,17353,0
20061222,94.762,95.381,94.087,94.706,43556,0
20061227,94.706,96.675,94.706,96.066,16445,0
20061228,96.066,96.741,94.706,96.741,27845,0
20061229,94.228,102.2,94.228,102.2,67266,0
20070102,100.83,101.45,100.15,100.15,19381,0
20070103,100.69,100.69,97.087,98.25,30542,0
20070104,98.109,98.109,95.728,96.412,24308,0
20070105,97.087,101.85,96.741,100.08,91237,0
20070108,100.15,101.72,97.434,101.72,20906,0
20070109,101.17,104.92,100.15,104.24,70804,0
20070110,104.92,105.61,103.28,104.92,14387,0
20070111,103.9,107.31,103.9,107.1,25534,0
20070112,108.33,108.67,106.01,106.56,44480,0
