Date,Open,High,Low,Close,Volume,OpenInt
20071204,2.9187,3.562,2.7531,3.3952,57792,0
20071205,3.9194,3.9194,3.0974,3.2762,15863,0
20071206,3.0974,3.2725,2.9784,3.1569,7208,0
20071207,3.1569,3.2165,2.877,3.0379,16323,0
20071210,3.0379,3.0379,2.8829,2.8829,9271,0
20071211,2.8711,2.9902,2.8711,2.8829,4656,0
20071212,2.8711,2.8829,2.7401,2.7996,7681,0
20071213,2.8567,2.8591,2.746,2.746,3198,0
20071214,2.9664,2.9664,2.9664,2.9664,75,0
20071217,3.1569,3.1569,2.8937,2.8937,3497,0
20071219,2.9426,2.9426,2.9426,2.9426,75,0
20071220,2.9485,2.9521,2.9485,2.9521,1729,0
20071221,3.1273,3.4548,3.1273,3.3345,9104,0
20071227,3.2165,3.3357,3.2165,3.3357,3065,0
20071228,3.2189,3.5728,3.2189,3.5728,939,0
20080102,3.5143,3.5143,3.5143,3.5143,2518,0
20080103,3.5132,3.5132,3.5132,3.5132,167,0
20080104,3.5132,3.5143,3.5132,3.5143,853,0
20080107,3.3477,3.3477,3.0414,3.0414,8816,0
20080108,3.0188,3.0188,3.0188,3.0188,2518,0
20080109,2.8711,2.9176,2.8711,2.9176,2685,0
20080110,2.9176,2.9176,2.9176,2.9176,40,0
20080111,2.8591,2.8591,2.8591,2.8591,415,0
20080114,2.8591,2.8591,2.8579,2.8591,3532,0
20080115,2.8591,2.8591,2.7996,2.7996,1694,0
20080117,2.8591,2.8591,2.8591,2.8591,40,0
20080118,2.8591,2.8591,2.8591,2.8591,40,0
20080121,2.8591,2.8591,2.7401,2.7401,4512,0
20080122,2.7401,2.7401,2.7401,2.7401,40,0
20080123,2.7519,2.7519,2.7519,2.7519,12,0
20080124,3.574,4.1696,2.9784,3.3357,30930,0
20080125,3.3715,3.3715,3.0974,3.0974,5036,0
20080128,3.0379,3.0974,3.0379,3.0379,3561,0
20080129,3.1569,3.1569,3.1212,3.1212,4183,0
20080130,3.2165,3.2774,3.1332,3.1332,1498,0
20080131,3.2762,3.2762,3.1569,3.1569,2737,0
20080201,3.0141,3.0141,3.0141,3.0141,12,0
20080204,3.1569,3.1569,3.1569,3.1569,1567,0
20080205,3.1545,3.1545,3.1545,3.1545,12,0
20080206,3.1545,3.1545,3.0068,3.0068,2524,0
20080207,2.9784,2.9784,2.9784,2.9784,2518,0
20080208,2.8829,2.8829,2.8829,2.8829,5203,0
20080211,2.8829,2.8829,2.8829,2.8829,3941,0
20080212,2.7519,2.7638,2.746,2.7472,2063,0
20080213,2.8591,2.8591,2.746,2.746,2950,0
20080214,2.7519,2.7519,2.7519,2.7519,472,0
