Date,Open,High,Low,Close,Volume,OpenInt
20101027,6.0775,6.0775,5.6927,5.8611,109471,0
20101028,5.8691,5.8691,5.372,5.3799,55290,0
20101029,5.3817,5.456,4.8947,5.4476,131829,0
20101102,5.452,5.452,5.3559,5.4441,29302,0
20101103,5.3078,5.4121,5.1474,5.1474,4430,0
20101104,5.4121,5.4121,5.2115,5.404,1684,0
20101105,5.2115,5.404,5.1394,5.3318,2931,0
20101108,5.2596,5.3399,5.2115,5.3399,7249,0
20101109,5.3399,5.372,5.0913,5.2838,7068,0
20101110,5.2115,5.2917,5.1314,5.2838,2620,0
20101112,5.1394,5.2838,5.1314,5.2838,1608,0
20101115,5.1394,5.2838,5.1394,5.2516,325,0
20101116,5.1474,5.1634,5.0513,5.1314,5238,0
20101117,5.1314,5.1314,4.9711,4.9711,3316,0
20101118,4.9311,4.9311,4.7065,4.9149,26988,0
20101119,4.9149,5.0513,4.9149,5.0513,13402,0
20101122,4.8749,5.0431,4.8428,4.8428,4678,0
20101123,4.9711,4.9711,4.7626,4.9629,6575,0
20101124,4.9711,4.9952,4.8909,4.9952,17468,0
20101125,4.8909,4.955,4.7706,4.8027,8051,0
20101126,4.8027,4.8909,4.7465,4.8667,10503,0
20101129,4.8587,4.8587,4.8587,4.8587,1935,0
20101130,4.8027,4.8508,4.6905,4.8508,6989,0
20101201,4.8508,4.8508,4.8508,4.8508,3484,0
20101202,4.8106,4.8106,4.8027,4.8027,787,0
20101203,4.8106,4.8106,4.49,4.8106,17860,0
20101206,4.8106,4.8106,4.6583,4.7305,6167,0
20101207,4.8106,4.8106,4.7385,4.8106,3740,0
20101208,4.7065,4.9391,4.6664,4.9391,16035,0
20101209,4.9229,5.1314,4.9229,5.1314,6742,0
20101210,5.1314,5.1314,4.9629,4.9711,5760,0
20101213,4.8909,4.9711,4.8268,4.9711,4987,0
20101214,4.9711,5.1875,4.9311,5.1875,5625,0
20101215,5.0592,5.1716,4.9711,5.1716,7716,0
20101216,5.2036,5.3238,5.1553,5.3238,2047,0
20101217,5.2195,5.364,5.1716,5.364,6192,0
20101220,5.0993,5.1314,4.8909,5.0592,7220,0
20101221,5.0112,5.0112,4.8667,4.8909,3370,0
20101222,4.8508,5.1314,4.8508,5.0513,4992,0
20101223,5.1314,5.1716,5.1314,5.1716,1059,0
20101227,5.0271,5.1474,4.9791,5.1394,6959,0
20101228,5.1314,5.1394,4.9069,4.9391,6991,0
20101229,5.1153,5.2838,4.9391,5.1955,11187,0
20101230,5.1314,5.2917,5.1314,5.2917,11063,0
20101231,5.2495,5.2992,5.1423,5.2908,10471,0
20110103,5.1394,5.1394,5.0513,5.0513,1800,0
20110104,5.0513,5.0513,5.0513,5.0513,2131,0
20110105,5.0513,5.0513,5.0191,5.0513,17060,0
20110107,5.1314,5.1314,5.0913,5.0913,311,0
