Date,Open,High,Low,Close,Volume,OpenInt
19930422,3.5488,3.5488,3.5488,3.5488,21917,0
19930429,3.8915,3.8915,3.8915,3.8915,14950,0
19930506,4.2612,4.2612,4.2612,4.2612,27097,0
19930513,4.6041,4.6041,4.6041,4.6041,53954,0
19930520,4.9803,4.9803,4.9803,4.9803,18851,0
19930527,4.4831,4.4831,4.4831,4.4831,16507,0
19930603,4.0461,4.0461,4.0461,4.0461,7851,0
19930609,3.6429,3.6429,3.6429,3.6429,4699,0
19930617,3.9858,3.9858,3.9858,3.9858,20274,0
19930624,3.6092,3.6092,3.6092,3.6092,8701,0
19930701,3.7303,3.7303,3.7303,3.7303,37012,0
19930708,4.1066,4.1066,4.1066,4.1066,50061,0
19930715,4.5099,4.5099,4.5099,4.5099,67361,0
19930722,4.9469,4.9469,4.9469,4.9469,0,0
19930729,5.4106,5.4106,5.4106,5.4106,0,0
19930805,8.6499,8.6499,8.6499,8.6499,34976,0
19930812,9.4561,9.4561,9.4561,9.4561,109531,0
19930819,10.391,10.391,10.391,10.391,212194,0
19930826,11.386,11.386,11.386,11.386,173817,0
19930902,12.508,12.508,12.508,12.508,0,0
19930907,13.752,13.752,13.752,13.752,0,0
19930909,15.123,15.123,15.123,15.123,45939,0
19930914,16.615,16.615,16.615,16.615,0,0
19930916,24.889,24.889,24.889,24.889,98836,0
19930921,22.402,22.402,22.402,22.402,59355,0
19930923,20.163,20.163,20.163,20.163,40188,0
19930928,18.167,18.167,18.167,18.167,162485,0
19930930,19.915,19.915,19.915,19.915,89454,0
19931005,20.721,20.721,20.721,20.721,67780,0
19931007,20.472,20.472,20.472,20.472,41311,0
19931012,22.463,22.463,22.463,22.463,71327,0
19931014,23.524,23.524,23.524,23.524,49633,0
19931019,24.889,24.889,24.889,24.889,72428,0
19931021,23.894,23.894,23.894,23.894,50946,0
19931026,21.529,21.529,21.529,21.529,31953,0
19931028,23.645,23.645,23.645,23.645,63965,0
19931102,24.579,24.579,24.579,24.579,30937,0
19931104,24.889,24.889,24.889,24.889,64352,0
19931109,24.27,24.27,24.27,24.27,113739,0
19931110,24.889,24.889,24.889,24.889,58142,0
19931116,27.382,27.382,27.382,27.382,106138,0
19931118,25.514,25.514,25.514,25.514,40065,0
19931123,25.204,25.204,25.204,25.204,23568,0
19931125,22.711,22.711,22.711,22.711,36666,0
19931130,24.955,24.955,24.955,24.955,90043,0
19931202,25.514,25.514,25.514,25.514,34386,0
19931207,27.067,27.067,27.067,27.067,66211,0
19931209,26.757,26.757,26.757,26.757,28010,0
19931214,27.631,27.631,27.631,27.631,55841,0
19931216,29.808,29.808,29.808,29.808,82043,0
19931221,30.924,30.924,30.924,30.924,69803,0
19931223,33.915,33.915,33.915,33.915,106629,0
19931228,35.159,35.159,35.159,35.159,62852,0
19931230,34.849,34.849,34.849,34.849,31719,0
19940103,36.092,36.092,36.092,36.092,17410,0
19940104,34.224,34.224,34.224,34.224,16036,0
19940106,34.224,34.224,34.224,34.224,32733,0
19940110,37.646,37.646,37.646,37.646,97598,0
19940111,41.382,41.382,41.382,41.382,43925,0
19940113,45.429,45.429,45.429,45.429,0,0
19940117,49.784,49.784,49.784,49.784,0,0
19940118,54.758,54.758,54.758,54.758,103929,0
19940120,60.047,60.047,60.047,60.047,75569,0
19940124,65.962,65.962,65.962,65.962,101286,0
19940125,72.494,72.494,72.494,72.494,61422,0
19940127,79.652,79.652,79.652,79.652,103643,0
