Date,Open,High,Low,Close,Volume,OpenInt
20060612,3.6929,3.8753,3.5562,3.6473,1316833,0
20060613,3.5288,3.6656,3.3282,3.6656,226309,0
20060614,3.6382,3.6564,3.6017,3.6473,54127,0
20060616,3.7841,3.7841,3.6564,3.6656,151554,0
20060619,3.6656,3.6656,3.5014,3.6473,39315,0
20060620,3.6473,3.6473,3.6017,3.6382,18712,0
20060621,3.6108,3.629,3.5562,3.62,24275,0
20060622,3.6382,3.6382,3.4923,3.4923,23492,0
20060623,3.5105,3.6017,3.3829,3.4103,19538,0
20060626,3.4011,3.4376,3.3829,3.4376,8926,0
20060627,3.4649,3.5105,3.4376,3.4376,24360,0
20060628,3.4649,3.5562,3.3737,3.5562,27040,0
20060629,3.6017,3.6382,3.5562,3.6017,28889,0
20060630,3.629,3.6473,3.5744,3.6017,25031,0
20060703,3.6017,3.6017,3.5653,3.6017,4964,0
20060704,3.6017,3.6382,3.6017,3.6382,31112,0
20060705,3.6473,3.7112,3.6473,3.6839,62997,0
20060706,3.6929,3.702,3.6382,3.702,27898,0
20060707,3.6656,3.6839,3.6473,3.6839,13106,0
20060710,3.6473,3.6839,3.6473,3.6656,24395,0
20060711,3.6656,3.6929,3.6564,3.6656,20414,0
20060712,3.702,3.702,3.6473,3.6473,16930,0
20060713,3.6473,3.6747,3.6382,3.6747,9182,0
20060714,3.6473,3.6747,3.6108,3.6747,16635,0
20060717,3.6473,3.6839,3.6473,3.6747,78307,0
20060718,3.6747,3.6747,3.6747,3.6747,109,0
20060719,3.6656,3.702,3.6473,3.702,9600,0
20060720,3.6839,3.6839,3.5835,3.6747,3841,0
20060721,3.6929,3.6929,3.6382,3.6382,1824,0
20060724,3.6017,3.6747,3.5653,3.6656,2096,0
20060725,3.6839,3.6839,3.629,3.629,9891,0
20060726,3.6108,3.6839,3.5562,3.6747,66161,0
20060727,3.6473,3.6473,3.5562,3.6473,3071,0
20060728,3.6473,3.6473,3.5744,3.6382,1724,0
20060731,3.6564,3.6656,3.6382,3.6564,42582,0
20060801,3.6839,3.8297,3.6747,3.6929,112226,0
20060802,3.6473,3.7112,3.5744,3.6839,14101,0
20060803,3.7202,3.9665,3.7202,3.8753,181947,0
20060804,3.9665,4.3221,3.9665,4.3221,145059,0
20060807,4.3677,4.3677,4.1671,4.3221,60030,0
20060808,4.3313,4.3677,4.2765,4.3129,48474,0
20060809,4.2491,4.8327,4.1944,4.6504,166435,0
20060810,4.6048,4.6959,4.5136,4.6504,62963,0
20060811,4.7871,4.9695,4.5136,4.8327,113818,0
20060814,4.8784,4.9239,4.6048,4.8327,61127,0
20060816,4.8327,4.8327,4.7416,4.8327,13483,0
20060817,4.8327,4.9239,4.7416,4.8784,28787,0
20060818,4.8784,4.9695,4.7416,4.8784,261487,0
20060821,4.7871,4.8784,4.7416,4.8784,28453,0
20060822,4.9239,5.0607,4.8327,4.9695,43909,0
20060823,5.0151,5.1062,4.9695,5.1062,25854,0
20060824,5.1062,5.1062,4.7416,4.9239,47343,0
20060825,4.7871,5.0151,4.7416,4.9695,36229,0
20060828,4.9695,5.0151,4.8327,5.0151,18911,0
20060829,5.0151,5.471,4.9239,5.3798,82392,0
20060830,5.3798,6.3372,5.3798,5.9269,73588,0
20060831,6.1092,6.2916,5.7901,5.9269,52725,0
20060901,5.9269,5.9451,5.6625,5.781,26375,0
20060904,5.8084,5.9543,5.6442,5.7171,21598,0
20060905,5.7446,5.8995,5.7446,5.8449,23106,0
20060906,5.9087,6.1002,5.9087,5.9361,154171,0
20060907,5.9725,6.0911,5.8358,6.018,30162,0
20060908,6.1184,6.1548,5.8449,5.9361,32040,0
20060911,5.7627,5.9087,5.7627,5.8449,29475,0
20060912,5.9907,5.9907,5.6533,5.7446,21675,0
20060913,5.5804,5.6533,5.5804,5.6533,14216,0
20060914,5.6533,5.7536,5.6533,5.7536,13656,0
20060915,5.699,5.699,5.5713,5.5713,11992,0
20060918,5.5713,5.7446,5.3433,5.3616,39149,0
20060919,5.3433,5.3524,5.0242,5.0515,41283,0
20060920,5.0515,5.1519,5.0515,5.0971,25529,0
20060921,5.0971,5.3798,5.0971,5.2887,14984,0
20060922,5.2887,5.2887,5.1883,5.2887,12208,0
20060925,5.2887,5.471,5.1062,5.2887,32529,0
20060926,5.5986,5.5986,5.2887,5.544,36321,0
20060927,5.6533,5.6533,5.3889,5.4618,17190,0
20060928,5.471,5.6351,5.471,5.5804,10905,0
20060929,5.5895,5.5895,5.4801,5.4801,10060,0
20061002,5.4801,5.5986,5.4801,5.5348,4369,0
20061003,5.5348,5.5348,5.3068,5.5074,5981,0
20061004,5.3068,5.5257,5.3068,5.5257,6273,0
20061005,5.471,5.5166,5.3342,5.5074,17392,0
20061006,5.471,5.471,5.3342,5.4618,15322,0
20061009,5.4618,5.4801,5.3342,5.4618,12480,0
20061010,5.3889,5.471,5.3342,5.4618,6834,0
20061011,5.4528,6.1092,5.4528,5.9999,101884,0
