Date,Open,High,Low,Close,Volume,OpenInt
20111215,2.8788,2.9781,2.7299,2.9781,6795,0
20111216,3.1766,3.1766,2.9781,3.1766,3397,0
20111219,3.0277,3.0774,2.9285,3.0774,2015,0
20111220,3.0476,3.0476,3.0377,3.0377,1320,0
20111221,3.0277,3.0277,2.8788,2.9781,5167,0
20111222,3.1171,3.1171,3.1171,3.1171,302,0
20111223,3.127,3.127,3.0277,3.0277,2518,0
20111227,3.0774,3.127,3.0774,3.127,1007,0
20111228,3.127,3.127,3.0774,3.0774,2015,0
20111229,3.0277,3.0277,2.8788,2.8788,3022,0
20111230,2.8788,3.1965,2.6009,3.1965,33026,0
20120102,3.4745,3.4745,3.4745,3.4745,10,0
20120103,3.7226,3.7226,3.1766,3.1766,1118,0
20120104,3.1766,3.1766,3.1766,3.1766,1224,0
20120105,2.8788,2.8788,2.8788,2.8788,504,0
20120109,2.7299,2.8788,2.7299,2.8788,1015,0
20120206,2.4818,2.7299,2.4818,2.7299,6649,0
20120207,2.6902,2.8689,2.6505,2.72,3626,0
20120208,2.6505,2.72,2.4917,2.5612,5862,0
20120209,2.3825,2.7597,2.3328,2.4818,6633,0
20120210,2.3626,2.3626,2.3527,2.3527,1989,0
20120213,2.3825,2.3825,2.3825,2.3825,907,0
20120214,2.1839,2.3527,2.1839,2.3428,3224,0
20120220,2.174,2.2733,2.174,2.2733,820,0
20120221,2.0946,2.2634,2.0946,2.2634,1932,0
20120223,2.2534,2.2534,2.2534,2.2534,504,0
20120302,2.2435,2.3229,2.2435,2.3229,222,0
20120305,2.3229,2.4619,2.3229,2.4619,3589,0
20120306,2.4222,2.4222,2.4222,2.4222,30,0
20120308,2.4123,2.6307,2.4123,2.4818,2960,0
20120312,2.7498,2.7498,2.72,2.7498,2851,0
20120313,2.7994,2.9781,2.7994,2.9781,1063,0
20120314,2.4818,2.5413,2.4818,2.5413,524,0
20120315,2.4818,2.9682,2.4818,2.8788,6477,0
20120316,2.8788,2.8788,2.7696,2.7696,1522,0
20120320,2.442,2.5314,2.442,2.5314,409,0
20120326,2.581,2.581,2.5314,2.5314,2807,0
20120328,2.1641,2.1641,2.1641,2.1641,33,0
20120329,2.3726,2.3726,2.3726,2.3726,504,0
20120330,2.5314,2.6505,2.5314,2.6505,537,0
20120402,2.6803,2.7796,2.6307,2.7796,774,0
20120403,2.5314,2.581,2.5314,2.581,594,0
20120417,2.5314,2.5314,2.5314,2.5314,997,0
20120426,2.7796,2.7796,2.7796,2.7796,50,0
20120502,2.5314,2.8788,2.5314,2.8788,1008,0
20120510,2.5413,2.6307,2.452,2.452,604,0
20120511,2.4818,2.4818,2.3726,2.3726,1007,0
20120514,2.3825,2.3825,2.3825,2.3825,985,0
20120517,2.3825,2.3825,2.3825,2.3825,151,0
20120524,2.3825,2.581,2.3825,2.581,614,0
20120525,2.3428,2.3428,2.3428,2.3428,745,0
20120531,2.4818,2.5711,2.4818,2.5711,489,0
20120601,2.5314,2.5314,2.5314,2.5314,524,0
20120629,2.2832,2.581,2.2832,2.581,1484,0
20120821,2.581,2.581,2.581,2.581,50,0
20120928,1.9854,2.2336,1.9854,2.2336,55404,0
20121001,1.9854,1.9854,1.9854,1.9854,101,0
20121003,2.2336,2.2336,2.2336,2.2336,151,0
20121005,2.2336,2.2336,2.2336,2.2336,217,0
20121012,2.2336,2.2336,2.2336,2.2336,252,0
20121022,2.2336,2.2336,2.2336,2.2336,222,0
20121227,2.2137,2.2137,2.2137,2.2137,151,0
20121228,2.2236,2.2832,2.2137,2.2832,51879,0
20130125,2.2931,2.2931,2.2931,2.2931,257,0
20130213,2.1343,2.1343,2.1343,2.1343,907,0
20130220,2.1343,2.1343,2.1343,2.1343,1108,0
20130305,2.1343,2.1343,2.1343,2.1343,151,0
20130322,1.9358,1.9358,1.9358,1.9358,603,0
20130404,2.1145,2.1244,1.9358,2.1244,84,0
20130405,2.2832,2.2832,2.2832,2.2832,20,0
20130531,2.3031,2.3031,2.3031,2.3031,252,0
20130604,2.4818,2.4818,2.4818,2.4818,2,0
20130701,1.9358,1.9358,1.9358,1.9358,606,0
20130723,1.9358,1.9358,1.9358,1.9358,200,0
20130731,2.4818,2.4818,2.4818,2.4818,604,0
20130812,2.4818,2.4818,2.4818,2.4818,50,0
20130827,2.2435,2.2435,2.2435,2.2435,50,0
20130828,2.5413,2.5512,2.5413,2.5413,625,0
20130902,2.4818,2.4818,2.4818,2.4818,3,0
20130927,2.4718,2.4818,2.4718,2.4818,151,0
20131112,2.4818,2.4818,2.4818,2.4818,8,0
20131218,2.4818,2.4818,2.4818,2.4818,1,0
20131230,2.4818,2.4818,2.4818,2.4818,3022,0
20140107,2.4818,2.4818,2.4818,2.4818,393,0
20140121,2.4818,2.4818,2.3825,2.3825,669,0
20140124,1.9358,1.9358,1.9358,1.9358,1,0
20140204,2.1343,2.1343,2.1343,2.1343,252,0
20140218,2.1839,2.1839,2.1839,2.1839,183,0
20140226,2.2236,2.2236,2.2236,2.2236,12,0
20140303,2.0847,2.0847,2.0847,2.0847,319,0
20140304,2.0847,2.0847,2.0847,2.0847,201,0
20140311,2.0847,2.0847,2.0847,2.0847,176,0
20140317,2.0847,2.0847,2.0847,2.0847,705,0
20140320,2.0847,2.0847,2.0847,2.0847,302,0
20140331,2.4818,2.4818,2.4818,2.4818,121,0
20140401,2.4818,2.4818,2.4818,2.4818,242,0
20140515,2.0847,2.0847,2.0847,2.0847,1007,0
20140516,2.2435,2.2435,2.2435,2.2435,242,0
20140519,2.1442,2.1442,2.1442,2.1442,5,0
20140521,2.0847,2.0847,2.0847,2.0847,2251,0
20140523,2.0847,2.0847,2.0847,2.0847,393,0
20140620,1.9358,1.9358,1.9358,1.9358,24,0
20140626,2.0549,2.2832,2.0549,2.2832,408,0
