Date,Open,High,Low,Close,Volume,OpenInt
19960209,17.749,17.749,17.749,17.749,527989,0
19960212,19.515,19.515,19.515,19.515,524867,0
19960213,21.048,21.048,21.048,21.048,526203,0
19960214,20.434,20.434,20.434,20.434,204631,0
19960215,18.894,18.894,18.894,18.894,116416,0
19960216,18.515,18.515,18.515,18.515,71407,0
19960219,18.822,18.822,18.822,18.822,147308,0
19960220,18.822,18.822,18.822,18.822,96352,0
19960221,18.515,18.515,18.515,18.515,40755,0
19960222,18.894,18.894,18.894,18.894,45746,0
19960223,18.822,18.822,18.822,18.822,83070,0
19960226,18.741,18.741,18.741,18.741,52123,0
19960227,18.822,18.822,18.822,18.822,47792,0
19960228,17.975,17.975,17.975,17.975,26563,0
19960229,18.822,18.822,18.822,18.822,140717,0
19960301,18.894,18.894,18.894,18.894,69954,0
19960304,20.281,20.281,20.281,20.281,134189,0
19960305,20.668,20.668,20.668,20.668,130559,0
19960306,20.587,20.587,20.587,20.587,68923,0
19960307,20.822,20.822,20.822,20.822,131422,0
19960308,20.741,20.741,20.741,20.741,61615,0
19960311,20.129,20.129,20.129,20.129,72811,0
19960312,19.822,19.822,19.822,19.822,70484,0
19960313,19.129,19.129,19.129,19.129,35367,0
19960314,18.435,18.435,18.435,18.435,26741,0
19960315,18.362,18.362,18.362,18.362,66447,0
19960318,18.822,18.822,18.822,18.822,96407,0
19960319,19.668,19.668,19.668,19.668,95825,0
19960320,18.588,18.588,18.588,18.588,32623,0
19960321,18.822,18.822,18.822,18.822,62350,0
19960322,18.435,18.435,18.435,18.435,60423,0
19960325,17.749,17.749,17.749,17.749,30657,0
19960326,17.749,17.749,17.749,17.749,28993,0
19960327,18.209,18.209,18.209,18.209,22162,0
19960328,17.749,17.749,17.749,17.749,79145,0
19960329,17.749,17.749,17.749,17.749,49674,0
19960401,17.975,17.975,17.975,17.975,15437,0
19960402,17.902,17.902,17.902,17.902,41483,0
19960403,17.902,17.902,17.902,17.902,35950,0
19960404,18.128,18.128,18.128,18.128,9954,0
19960405,18.822,18.822,18.822,18.822,54141,0
19960409,19.209,19.209,19.209,19.209,41708,0
19960410,19.741,19.741,19.741,19.741,44826,0
19960411,19.822,19.822,19.822,19.822,36477,0
19960412,19.975,19.975,19.975,19.975,47338,0
19960415,20.355,20.355,20.355,20.355,38659,0
19960416,20.822,20.822,20.822,20.822,105220,0
19960417,21.588,21.588,21.588,21.588,83154,0
19960418,22.281,22.281,22.281,22.281,200758,0
19960419,23.435,23.435,23.435,23.435,108640,0
19960422,25.353,25.353,25.353,25.353,76957,0
19960423,26.12,26.12,26.12,26.12,89646,0
19960424,25.353,25.353,25.353,25.353,58499,0
19960425,26.12,26.12,26.12,26.12,52240,0
19960426,25.733,25.733,25.733,25.733,54089,0
