Date,Open,High,Low,Close,Volume,OpenInt
20070411,12.795,16.409,12.795,15.862,1438049,0
20070412,15.545,15.545,13.782,14.458,262845,0
20070413,14.479,15.602,13.808,15.161,180320,0
20070416,15.291,15.55,14.822,15.083,68972,0
20070417,15.083,15.083,14.77,15.083,141760,0
20070418,14.666,15.3,14.229,15.083,126770,0
20070419,15.077,15.395,14.63,15.395,90718,0
20070420,15.291,18.463,15.244,18.463,78538,0
20070423,19.14,20.543,18.358,19.243,114238,0
20070424,20.44,20.44,18.514,19.227,162383,0
20070425,20.179,20.179,18.203,19.243,64131,0
20070426,19.243,19.263,18.504,18.978,31135,0
20070427,18.802,18.802,17.267,18.375,29047,0
20070430,18.203,18.203,17.755,18.161,6241,0
20070502,18.176,18.984,18.052,18.984,167137,0
20070504,19.504,19.504,18.984,19.061,21327,0
20070507,19.035,19.035,18.255,18.463,55846,0
20070508,18.151,18.723,17.734,18.192,131423,0
20070509,17.734,18.619,17.734,18.619,38272,0
20070510,18.619,18.619,16.903,17.449,38996,0
20070511,16.46,17.631,16.383,17.631,26970,0
20070514,18.13,18.39,17.215,18.39,16546,0
20070515,18.412,18.412,17.475,17.552,32194,0
20070516,17.558,19.243,17.552,19.087,261570,0
20070517,19.071,19.243,18.468,18.984,49877,0
20070518,18.951,19.763,18.255,19.763,65484,0
20070521,19.976,20.21,19.53,20.1,27498,0
20070522,20.507,21.303,19.773,20.465,29384,0
20070523,20.543,20.933,19.352,20.013,35916,0
20070524,20.024,20.227,19.504,20.013,15313,0
20070525,19.399,20.543,19.399,20.273,31874,0
20070528,19.53,20.491,19.53,20.491,24607,0
20070529,20.518,21.318,20.283,20.907,49129,0
20070530,20.543,20.96,20.283,20.933,30960,0
20070531,20.804,21.063,20.543,20.751,69653,0
20070601,20.543,20.804,20.283,20.804,24374,0
20070604,20.851,21.006,20.393,20.944,12780,0
20070605,20.944,20.944,20.543,20.797,4970,0
20070606,20.793,20.804,19.815,20.595,57146,0
20070608,19.763,20.804,19.763,20.804,49364,0
20070611,20.804,20.804,20.336,20.695,11412,0
20070612,20.688,20.751,20.361,20.595,18121,0
20070613,20.569,22.364,20.569,22.311,218264,0
20070614,22.624,25.744,22.624,24.912,210969,0
20070615,25.484,26.759,25.432,26.004,266546,0
20070618,26.732,26.732,25.536,26.265,103076,0
20070619,25.542,26.239,25.495,26.004,192375,0
20070620,26.108,29.592,25.484,27.564,1167412,0
20070621,27.981,28.345,26.55,26.785,55491,0
20070622,27.044,28.501,26.888,28.084,64108,0
20070625,27.149,28.059,26.577,28.059,79240,0
20070626,27.564,27.772,26.785,27.772,23086,0
20070627,27.772,29.098,27.617,28.423,92833,0
20070628,28.865,29.098,28.865,29.072,22607,0
20070629,29.072,29.072,28.033,28.033,18044,0
20070702,28.137,28.605,25.484,28.605,65523,0
20070703,29.567,29.567,27.617,27.72,27099,0
20070704,27.617,27.981,26.654,27.981,28877,0
20070705,27.825,28.345,27.305,27.825,22508,0
20070706,27.825,28.474,27.044,28.474,24351,0
20070709,27.825,28.605,27.435,28.345,22446,0
20070710,28.084,28.084,27.044,27.044,16636,0
20070711,26.785,27.018,26.004,26.705,20566,0
20070712,27.044,27.044,25.484,26.523,26413,0
20070713,26.732,27.044,26.057,26.16,8349,0
20070716,25.953,28.059,25.329,28.059,50351,0
20070717,26.523,27.981,26.523,27.825,9164,0
20070718,26.993,27.46,26.523,27.044,8786,0
20070719,27.096,27.357,26.265,26.523,78401,0
20070720,26.577,27.2,26.317,26.732,27272,0
20070723,26.993,27.331,26.265,27.044,5677,0
20070724,26.368,27.617,26.265,27.253,31781,0
20070725,26.577,27.46,26.004,27.46,23797,0
20070726,27.408,27.538,25.744,25.744,20759,0
20070727,24.393,25.38,22.988,25.38,78406,0
20070730,24.964,25.588,24.045,25.588,54102,0
20070731,25.484,26.523,25.432,26.523,39120,0
20070801,25.588,25.744,24.757,24.964,68349,0
20070802,25.021,25.224,24.575,24.964,25209,0
20070803,24.704,24.704,23.664,24.647,13969,0
20070806,23.914,24.106,23.248,24.106,23689,0
20070807,23.924,24.339,22.91,23.403,14411,0
20070808,23.638,23.742,21.583,22.754,31435,0
20070809,22,22.338,20.804,22.338,47342,0
20070810,20.855,21.838,19.372,21.838,82509,0
20070813,21.272,21.843,20.647,21.215,50477,0
20070814,21.208,21.818,20.413,21.739,24746,0
20070816,20.797,20.797,18.697,20.283,60953,0
20070817,21.063,21.115,19.295,21.059,36861,0
20070820,21.947,22.884,21.324,21.843,34639,0
20070821,21.843,21.843,20.595,21.843,16377,0
20070822,22.208,23.352,21.063,23.352,24713,0
20070823,23.872,23.872,22.65,23.039,31105,0
20070824,22.442,22.884,22.052,22.884,22396,0
20070827,22.884,22.884,22.478,22.832,20034,0
20070828,22.779,23.144,22.208,23.144,10491,0
20070829,22.364,23.664,22.364,23.664,13421,0
20070830,23.612,23.924,22.546,23.196,42109,0
20070831,23.482,23.482,23.045,23.456,6410,0
20070903,23.914,23.914,23.403,23.659,4693,0
20070904,23.768,23.924,23.248,23.866,21203,0
20070905,23.456,23.456,22.889,23.19,16713,0
20070906,23.144,23.394,22.484,23.243,10110,0
20070907,23.243,23.243,22.624,23.19,6956,0
20070910,22.467,22.779,21.063,22.779,13638,0
20070911,22.364,23.092,22.364,23.092,15399,0
20070912,23.144,23.3,22.467,22.467,2513,0
20070913,22.369,23.092,22.369,23.092,2736,0
20070914,22.863,23.144,22.624,23.139,2953,0
20070917,23.139,23.139,22.889,23.134,13130,0
20070918,23.134,23.248,22.779,23.248,8940,0
20070919,23.3,23.3,22.779,23.29,14324,0
20070920,23.243,23.403,23.039,23.403,4167,0
20070921,23.144,23.149,22.842,23.086,8756,0
20070924,22.629,22.722,22.321,22.364,9132,0
20070925,22.416,22.416,21.921,22.248,5506,0
20070926,21.957,22.248,21.454,21.843,9715,0
20070927,21.739,22.416,21.09,21.536,9224,0
20070928,21.843,21.843,20.44,20.44,19793,0
20071001,20.289,20.434,19.347,19.763,17978,0
20071002,19.425,19.425,18.915,19.243,17175,0
20071003,19.243,20.173,18.852,19.763,13919,0
20071004,20.163,20.163,19.67,19.763,15899,0
20071005,20.127,20.283,19.789,20.283,8068,0
20071008,20.336,20.543,20.132,20.283,7113,0
20071009,20.387,20.387,19.972,20.252,3475,0
20071010,20.283,20.804,20.076,20.804,16354,0
20071011,20.336,20.804,20.179,20.715,18631,0
20071012,20.502,20.804,20.185,20.804,9904,0
20071015,21.266,21.266,20.804,21.059,3562,0
20071016,20.855,21.324,20.595,21.324,4188,0
20071017,21.318,21.318,20.486,20.902,11087,0
20071018,20.804,20.804,20.049,20.595,6862,0
20071019,20.283,20.804,20.179,20.804,11187,0
20071022,20.345,20.538,20.294,20.538,2983,0
20071023,20.309,20.309,18.942,19.763,26134,0
20071024,20.258,20.258,19.009,19.685,47641,0
20071025,19.649,19.789,19.19,19.602,12856,0
20071026,19.504,19.504,18.525,19.238,25496,0
20071029,19.243,19.243,18.551,19.087,14949,0
20071030,18.603,19.061,18.489,18.895,7181,0
20071031,18.431,18.567,17.855,17.855,35766,0
20071102,17.406,17.746,17.085,17.163,11144,0
20071105,16.851,16.955,16.071,16.409,11951,0
20071106,15.68,15.862,15.244,15.602,20031,0
20071107,15.857,15.962,14.801,15.577,24889,0
20071108,14.801,15.577,14.563,15.016,29145,0
20071109,15.343,15.343,14.458,15.343,23868,0
20071112,14.962,15.343,14.874,15.134,8209,0
20071113,15.498,15.498,14.983,15.234,9773,0
20071114,15.602,15.862,14.666,15.28,11144,0
20071115,15.331,15.331,12.487,14.25,42279,0
20071116,13.891,13.891,13.017,13.537,21281,0
20071119,14.043,14.043,13.007,13.523,18440,0
20071120,13.195,13.195,12.686,12.82,10270,0
20071121,12.742,12.742,11.551,11.603,24698,0
20071122,11.286,12.222,10.667,12.222,619117,0
20071123,12.222,12.482,12.014,12.482,8634,0
20071126,12.559,12.82,12.118,12.477,25983,0
20071127,12.165,12.222,11.978,12.108,10647,0
20071128,12.248,12.248,11.983,12.102,15310,0
20071129,12.431,12.783,12.138,12.268,10867,0
20071130,12.482,12.737,12.232,12.737,29764,0
20071203,13.059,13.382,12.534,12.768,11507,0
20071204,12.997,12.997,12.404,12.726,5167,0
20071205,12.846,12.846,12.482,12.534,14771,0
20071206,12.576,12.576,12.274,12.477,14423,0
20071207,12.377,12.377,12.082,12.248,4238,0
20071210,12.357,12.357,12.014,12.171,4763,0
20071211,12.222,12.222,11.598,11.926,4262,0
20071212,11.702,11.702,11.327,11.509,12805,0
20071213,11.442,11.442,11.12,11.312,24176,0
20071214,11.182,11.182,10.538,11.182,49110,0
20071217,11.156,11.156,10.334,10.454,43435,0
20071218,10.402,10.647,9.923,9.985,37256,0
20071219,10.126,10.137,9.829,9.96,464681,0
20071220,9.985,10.323,9.944,10.266,39056,0
20071221,10.293,10.849,10.111,10.359,40585,0
20071227,10.204,10.349,10.142,10.349,9219,0
20071228,10.402,10.647,10.402,10.402,20616,0
20080102,10.505,10.505,10.454,10.454,5633,0
20080103,10.402,10.661,10.193,10.661,11348,0
20080104,10.761,10.761,10.392,10.392,17219,0
20080107,10.349,10.349,10.126,10.298,15362,0
20080108,10.137,10.505,10.137,10.298,22676,0
20080109,10.152,10.438,10.126,10.193,166723,0
20080110,10.429,10.429,9.59,10.184,16812,0
20080111,9.934,10.137,9.523,9.985,67683,0
20080114,10.22,10.22,9.423,9.778,15652,0
20080115,9.778,9.778,9.362,9.4923,11389,0
20080116,9.278,9.278,8.5915,8.7683,10283,0
20080117,8.9926,9.0499,8.5819,8.8412,16112,0
20080118,8.6909,9.4655,8.6909,9.1016,360671,0
20080121,9.205,9.205,8.8162,8.8412,10463,0
20080122,8.3218,8.8929,8.3218,8.8412,58580,0
20080123,8.8522,8.9455,8.6337,8.8412,23149,0
20080124,8.9455,9.59,8.9455,9.59,6963,0
20080125,10.084,10.084,9.517,10.011,10747,0
20080128,10.064,10.334,9.617,10.011,11006,0
20080129,10.167,10.359,10.095,10.142,5257,0
20080130,10.376,10.386,9.887,9.887,7025,0
20080131,10.131,10.131,9.58,9.58,2697,0
20080201,9.825,10.402,9.825,10.402,15414,0
20080204,10.636,10.636,10.402,10.402,8633,0
20080205,10.402,10.402,10.142,10.142,25447,0
20080206,9.96,10.142,9.938,10.142,9426,0
20080207,10.184,11.234,10.184,11.234,53883,0
20080208,11.514,11.79,11.156,11.338,14019,0
20080211,11.052,11.702,11.052,11.702,3631,0
20080212,12.066,12.066,11.65,11.702,17624,0
20080213,11.962,11.962,11.442,11.65,8549,0
20080214,11.91,11.91,11.442,11.495,7917,0
20080215,11.442,11.702,11.442,11.505,2759,0
20080218,11.796,11.822,11.182,11.807,6096,0
20080219,11.753,11.753,11.442,11.442,8110,0
20080220,11.78,11.78,11.389,11.442,3367,0
20080221,11.644,11.78,11.437,11.753,2446,0
20080222,11.462,11.462,11.193,11.193,3673,0
20080225,11.26,11.447,10.932,11.389,3380,0
20080226,11.442,11.458,11.109,11.109,3184,0
20080227,11.031,11.442,11.025,11.349,9600,0
20080228,11.598,11.598,11.349,11.442,42042,0
20080229,11.338,11.442,11.161,11.442,3615,0
20080303,11.036,11.036,10.661,10.922,8807,0
20080304,11.177,11.182,10.932,10.932,10069,0
20080305,11.182,11.442,10.968,10.999,56783,0
20080306,11.27,11.556,10.989,11.556,2422,0
20080307,11.265,11.389,11.109,11.338,2528,0
20080310,11.343,11.442,11.057,11.207,7091,0
20080311,11.203,11.203,10.952,10.999,2003,0
20080312,11.025,11.025,10.938,10.938,9630,0
20080313,10.938,10.975,10.938,10.975,345,0
20080314,10.975,11.234,10.975,11.234,10937,0
20080317,11.182,11.182,10.745,10.87,5162,0
20080318,10.713,10.713,10.412,10.558,2613,0
