Date,Open,High,Low,Close,Volume,OpenInt
20131211,14.376,14.376,12.976,13.647,41465078,0
20131212,13.485,13.782,13.383,13.409,8325975,0
20131213,13.409,13.73,13.409,13.73,3550805,0
20131216,13.654,13.977,13.654,13.824,2387722,0
20131217,13.799,13.866,13.596,13.613,1319383,0
20131218,13.74,13.74,13.587,13.689,960800,0
20131219,13.689,13.689,13.57,13.613,2302141,0
20131220,13.57,13.63,13.502,13.613,3826828,0
20131223,13.713,13.713,13.553,13.57,1034468,0
20131227,13.57,13.613,13.536,13.603,1426214,0
20131230,13.527,13.553,13.494,13.51,1064991,0
20140102,13.57,13.57,13.4,13.527,3223261,0
20140103,13.536,13.57,13.358,13.485,1400617,0
20140107,13.409,13.494,13.154,13.4,2167721,0
20140108,13.281,13.4,13.23,13.4,2844938,0
20140109,13.315,13.46,13.315,13.426,1145813,0
20140110,13.358,13.443,13.247,13.443,2474255,0
20140113,13.502,14.13,13.502,14.028,3228336,0
20140114,13.9,14.078,13.816,13.985,925587,0
20140115,13.917,13.977,13.807,13.934,475297,0
20140116,13.927,14.037,13.91,13.951,656963,0
20140117,14.062,14.282,13.994,14.172,2100178,0
20140120,14.248,14.248,14.087,14.163,159062,0
20140121,14.18,14.189,14.028,14.078,349404,0
20140122,14.02,14.095,13.96,14.078,231043,0
20140123,14.037,14.078,13.994,14.002,186850,0
20140124,13.968,14.037,13.968,14.011,953052,0
20140127,13.833,13.994,13.816,13.91,947101,0
20140128,13.875,14.02,13.782,13.951,3772381,0
20140129,13.875,13.927,13.596,13.696,2975912,0
20140130,13.696,13.773,13.613,13.74,1249481,0
20140131,13.713,13.74,13.553,13.654,809959,0
20140203,13.596,13.747,13.596,13.73,1127395,0
20140204,13.57,13.757,13.561,13.74,676472,0
20140205,13.74,13.968,13.696,13.824,1193665,0
20140206,13.824,14.037,13.782,14.037,3064580,0
20140207,14.078,14.189,13.968,14.163,1387597,0
20140210,14.163,14.35,14.087,14.308,1973204,0
20140211,14.299,14.367,14.087,14.315,864786,0
